Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Sergey Sirotkin (SIR),1:50.776,1:42.776,1:42.127,1:42.946,1:42.487,1:41.443,1:41.254,1:41.413,1:41.377,1:40.955,1:41.381,1:41.229,1:40.946,1:41.139,1:41.328,1:41.300,1:42.265,1:40.881,1:40.845,1:41.392,1:41.009,1:40.657,1:40.736,1:40.961,1:42.635,1:41.733,1:40.930,1:45.487,2:00.603,1:39.257,2:15.653,2:14.718,1:48.838,2:01.832,2:12.363,1:42.418,1:41.396,1:40.482,1:39.737,1:39.628,1:39.293,1:39.005,1:39.325,1:39.209,1:39.117,1:39.040,1:38.624,1:38.673,1:39.108,1:38.641,1:38.778,1:38.632,1:38.996,1:38.716,1:39.162,1:38.969
Charles Leclerc (LEC),1:51.646,1:43.172,1:42.543,1:42.212,1:42.101,1:42.016,1:41.687,1:41.776,1:41.613,1:41.550,1:41.858,1:41.283,1:41.317,1:42.003,1:41.583,1:42.030,1:41.498,1:41.280,1:41.410,1:42.431,1:47.280,1:58.719,1:38.808,1:39.325,1:39.681,1:39.751,1:39.813,1:48.884,1:40.903,1:47.180,2:39.950,2:37.501,1:50.825,1:40.772,1:40.429,1:40.384,1:40.416,1:40.655,1:40.009,1:40.887,1:40.046,1:39.843,1:39.866,1:40.111,1:39.749,1:39.926,1:40.026,1:39.628,1:40.799,1:39.982,1:39.852,1:40.028,1:39.859,1:39.885,1:39.924,1:40.250
Brendon Hartley (HAR),1:51.539,1:43.976,1:42.609,1:43.317,1:42.216,1:42.276,1:42.186,1:41.762,1:41.626,1:46.763,1:58.627,1:39.895,1:40.590,1:40.554,1:40.537,1:40.693,1:40.681,1:40.829,1:40.856,1:40.225,1:40.444,1:40.176,1:40.394,1:39.887,1:40.059,1:40.120,1:40.036,1:40.712,1:54.719,1:55.826,2:37.585,2:38.153,1:47.696,1:40.613,1:40.530,1:40.136,1:40.408,1:40.270,1:40.165,1:40.170,1:39.881,1:39.958,1:39.806,1:40.045,1:40.170,1:39.854,1:39.971,1:39.888,1:40.786,1:39.376,1:45.667
Pierre Gasly (GAS),1:52.141,1:43.991,1:42.555,1:42.258,1:41.533,1:41.731,1:41.907,1:41.580,1:41.904,1:41.613,1:41.506,1:41.541,1:41.178,1:42.156,1:42.420,1:42.046,1:41.866,1:41.695,1:42.164,1:46.866,1:58.295,1:38.521,1:38.704,1:38.699,1:38.915,1:38.957,1:39.014,1:39.460,1:43.579,1:40.749,2:17.386,2:42.839,1:41.092,1:39.478,2:16.392,1:42.461,1:41.631,1:40.225,1:39.098,1:39.285,1:39.102,1:39.228,1:39.157,1:39.360,1:38.989,1:39.199,1:39.215,1:38.538,1:38.818,1:38.741,1:39.423,1:38.447,1:39.015,1:38.367,1:38.764,1:38.916
Lance Stroll (STR),1:48.995,1:42.471,1:41.216,1:41.681,1:41.624,1:42.148,1:41.559,1:41.240,1:41.525,1:40.852,1:41.495,1:41.182,1:40.749,1:40.804,1:41.288,1:41.168,1:41.317,1:40.927,1:40.547,1:40.672,1:40.633,1:41.080,1:45.569,1:58.041,1:40.520,1:39.925,1:40.282,1:39.406,1:39.485,1:40.071,2:10.652,2:14.004,1:49.171,2:13.431,2:20.312,1:42.839,1:41.083,1:40.133,1:39.193,1:39.358,1:38.925,1:39.591,1:38.951,1:39.171,1:39.322,1:39.287,1:39.030,1:38.546,1:38.968,1:38.665,1:38.812,1:38.576,1:38.857,1:38.500,1:38.745,1:39.276
Esteban Ocon (OCO),1:49.720,1:42.285,1:41.553,1:41.328,1:41.533,1:40.567,1:40.486,1:40.841,1:40.925,1:40.538,1:44.877,1:57.232,1:39.711,1:40.075,1:40.248,1:40.725,1:40.666,1:40.330,1:41.031,1:39.662,1:39.645,1:39.638,1:39.791,1:40.639,1:40.410,1:39.375,1:39.334,1:39.524,1:39.594,1:39.707,2:08.026,2:29.617,1:50.953,2:14.172,2:20.680,1:41.266,1:40.271,1:39.379,1:39.427,1:38.748,1:38.783,1:38.740,1:38.658,1:38.598,1:38.821,1:38.035,1:37.985,1:38.015,1:38.240,1:38.078,1:38.259,1:39.440,1:38.934,1:38.170,1:38.382,1:38.763
Stoffel Vandoorne (VAN),1:51.030,1:42.970,1:42.165,1:42.778,1:40.677,1:41.397,1:40.933,1:40.786,1:41.479,1:41.343,1:41.234,1:41.263,1:40.857,1:41.133,1:41.101,1:40.919,1:40.836,1:40.402,1:40.264,1:40.643,1:41.406,1:45.395,1:58.347,1:38.873,1:39.569,1:39.695,1:39.641,1:39.484,1:39.397,1:39.763,2:08.950,2:13.659,1:50.933,2:14.437,2:21.609,1:43.065,1:40.412,1:39.572,1:39.364,1:39.393,1:39.016,1:38.876,1:38.795,1:38.610,1:38.902,1:39.344,1:38.834,1:38.870,1:38.583,1:38.279,1:38.493,1:38.390,1:38.390,1:38.137,1:38.379,1:38.681
Carlos Sainz (SAI),1:46.138,1:41.594,1:40.866,1:40.916,1:41.101,1:40.513,1:40.480,1:40.465,1:40.459,1:40.584,1:40.933,1:45.595,1:58.775,1:39.737,1:41.142,1:40.331,1:39.913,1:40.104,1:39.973,1:39.619,1:40.067,1:39.660,1:39.551,1:39.813,1:39.388,1:39.200,1:39.606,1:39.734,1:39.690,1:39.907,2:08.065,2:30.978,1:51.981,2:15.594,2:22.335,1:41.017,1:38.593,1:38.559,1:38.161,1:38.363,1:38.541,1:39.120,1:38.562,1:38.686,1:38.857,1:38.188,1:38.233,1:37.892,1:38.101,1:37.889,1:37.810,1:37.770,1:37.865,1:37.754,1:38.495,1:38.880
Max Verstappen (VER),1:42.561,1:39.367,1:39.319,1:39.421,1:39.416,1:39.101,1:39.094,1:39.345,1:39.219,1:39.184,1:39.448,1:39.145,1:39.068,1:39.450,1:39.431,1:39.357,1:44.048,1:56.316,1:37.755,1:38.450,1:38.187,1:37.854,1:37.676,1:38.386,1:37.787,1:37.562,1:37.542,1:37.639,1:37.724,1:38.247,1:45.059,2:38.713,2:38.435,2:25.615,2:25.473,1:39.092,1:37.580,1:37.386,1:39.563,1:37.477,1:37.176,1:36.671,1:43.068,1:36.952,1:37.391,1:36.887,1:36.678,1:36.289,1:36.280,1:36.206,1:36.362,1:36.717,1:37.060,1:37.234,1:37.088,1:37.265
Marcus Ericsson (ERI),1:52.842,1:43.963,1:43.584,1:42.210,1:42.015,1:42.214,1:42.194,1:42.018,1:41.763,1:41.672,1:41.471,1:41.550,1:42.175,1:42.663,1:42.043,1:42.067,1:42.726,1:41.307,1:41.250,1:41.072,1:41.211,1:40.684,1:40.486,1:40.644,1:40.925,1:41.675,1:41.978,1:41.575,1:46.213,2:05.988,2:34.845,2:37.351,1:50.043,1:40.935,1:40.339,1:40.153,1:40.246,1:40.896,1:39.888,1:39.682,1:38.691,1:38.871,1:38.984,1:39.341,1:39.024,1:38.705,1:38.723,1:38.574,1:38.774,1:38.435,1:38.696,1:38.386,1:38.535,1:38.551,1:38.926,1:39.212
