Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Esteban Gutiérrez (GUT),2:32.223,1:59.281,2:01.802,2:00.046,2:02.284,1:56.014,1:55.222,1:44.831,1:32.645,1:31.222,1:30.616,1:36.354,2:12.414,1:49.374,1:39.854,1:53.292,2:02.378,2:03.275,1:58.936,2:11.863,35:17.755,2:00.308,2:03.529,1:59.185,2:01.320,1:59.639,1:59.742,2:25.125,26:27.952,2:02.625,1:53.735,1:34.170,1:30.731,1:30.434,1:29.525,1:29.676,1:30.168,1:30.020,1:30.079,1:29.916,1:28.204,1:28.984,1:27.805,1:28.821,1:31.292,1:31.661,1:46.077,2:20.784,2:22.535,2:10.856,1:52.744,1:34.271,1:33.179,1:33.623,1:58.285,1:31.332,1:30.739,1:30.432,1:32.180,1:53.705
Daniel Ricciardo (RIC),2:23.530,1:59.859,2:02.822,2:00.255,2:00.117,1:57.089,1:57.577,1:30.925,1:29.800,1:29.597,1:28.204,1:28.762,1:48.393,2:04.472,1:56.262,2:04.734,2:05.416,2:04.759,1:59.523,2:04.528,35:21.562,2:01.066,1:59.581,2:01.810,1:58.602,2:02.718,1:59.455,2:17.572,26:35.851,2:02.733,2:00.192,1:29.582,1:27.628,1:27.201,1:27.680,1:26.917,1:27.059,1:27.208,1:27.383,1:33.788,1:49.023,1:25.532,1:25.689,1:25.646,1:26.046,1:27.414,1:28.355,1:50.014,1:49.653,1:56.019,2:13.391,2:10.127,2:04.958,2:01.512,2:00.064,1:31.317,1:29.027,1:29.736,1:30.237,1:28.946,1:28.907,1:27.855,1:27.244,1:26.178,1:26.042,1:26.013,1:26.129,1:26.936,1:26.854,1:26.905,1:27.840
Sergio Pérez (PER),2:27.600,2:00.753,2:01.473,1:59.996,2:01.068,1:56.265,1:57.932,1:31.553,1:31.524,1:31.008,1:30.268,1:29.601,1:39.612,1:50.994,2:03.581,2:05.258,2:05.926,2:04.104,2:00.591,2:01.537,35:23.365,2:01.034,2:00.437,2:00.431,1:59.862,2:02.774,1:58.604,2:17.061,26:36.898,2:02.353,2:01.418,1:29.543,1:27.734,1:27.974,1:27.447,1:27.353,1:27.472,1:27.451,1:27.889,1:27.876,1:27.093,1:27.260,1:27.167,1:27.526,1:27.592,1:27.780,1:27.671,1:39.210,1:49.836,2:20.328,2:11.528,2:09.390,2:02.585,2:02.241,2:03.890,1:29.929,1:29.198,1:28.891,1:28.216,1:28.287,1:28.104,1:27.940,1:27.729,1:27.990,1:27.366,1:27.859,1:27.351,1:27.627,1:27.687,1:27.844,1:27.946
Nico Hülkenberg (HUL),2:25.218,2:01.732,2:00.659,2:00.081,2:00.821,1:56.661,1:56.774,1:31.810,1:29.665,1:30.781,1:28.629,1:27.975,1:42.991,1:49.873,2:06.793,2:06.581,2:05.132,2:04.509,2:01.470,2:00.712,35:23.869,2:04.397,2:15.650,1:59.164,2:00.883,1:59.526,2:00.719,2:24.227,26:28.960,2:03.007,1:54.190,1:34.061,1:30.619,1:29.815,1:29.506,1:27.934,1:28.144,1:27.596,1:27.130,1:27.382,1:27.926,1:28.320,1:27.129,1:27.193,1:27.324,1:27.514,1:28.026,1:49.293,1:49.242,1:57.439,2:12.631,2:07.582,2:03.573,2:01.524,2:00.844,1:30.668,1:29.915,1:29.417,1:29.493,1:27.578,1:27.767,1:27.071,1:27.347,1:27.572,1:28.489,1:28.006,1:27.703,1:27.272,1:26.728,1:27.282,1:27.648
Sebastian Vettel (VET),2:21.969,2:00.558,2:02.903,1:59.649,2:00.378,1:57.151,1:57.819,1:30.617,1:29.548,1:52.451,1:55.238,1:29.520,1:51.485,1:48.682,1:43.327,1:55.008,2:02.233,2:03.705,1:57.318,2:10.786,35:17.733,2:01.157,2:01.735,1:59.128,2:00.788,1:59.811,2:01.733,2:23.216,26:28.902,2:02.433,1:55.783,1:32.382,1:30.035,1:27.846,1:27.710,1:28.829,1:26.991,1:27.825,1:27.922,1:27.135,1:28.237,1:28.176,1:27.192,1:27.925,1:27.964,1:27.169,1:26.897,1:45.354,1:48.149,2:05.602,2:11.744,2:07.615,2:02.738,2:00.736,2:04.265,1:31.341,1:28.935,1:28.732,1:28.621,1:28.411,1:28.132,1:28.073,1:27.333,1:27.334,1:28.244,1:29.437,1:26.758,1:27.041,1:27.081,1:26.195,1:26.799
Jenson Button (BUT),2:40.632,2:00.657,2:01.003,2:00.534,1:59.912,1:57.817,1:50.014,1:41.913,1:49.262,1:29.374,1:28.506,1:29.431,1:51.423,1:49.836,1:45.924,1:55.686,2:04.403,2:04.829,1:57.135,2:10.608,35:17.741,2:01.131,2:00.138,1:59.903,1:59.916,2:00.699,2:03.061,2:19.956,26:31.214,2:02.289,1:57.527,1:34.890,1:30.651,1:37.461,1:49.031,1:28.625,1:27.350,1:26.983,1:27.249,1:27.937,1:27.638,1:33.144,1:29.661,1:35.769,1:49.724,1:32.730,1:46.818,1:46.275,2:14.117,2:11.353,1:52.502,1:34.502,1:33.770,1:32.931,1:56.972,1:34.957,1:32.486,1:32.210,1:31.523,1:30.274,1:30.192,1:30.034,1:30.189,1:29.355,1:30.053,1:29.849,1:30.245,1:30.348,1:30.338,1:30.502,1:30.217
Felipe Massa (MAS),2:33.679,2:00.330,2:01.847,1:59.667,2:00.859,1:57.255,1:52.470,1:34.335,1:37.856,1:57.233,1:29.662,1:30.309,1:51.198,1:48.663,1:45.013,1:54.536,2:02.308,2:04.761,1:58.101,2:12.579,35:17.412,2:00.842,2:03.188,1:59.621,2:00.567,1:59.793,2:00.249,2:24.338,26:28.718,2:02.873,1:59.725,1:52.485,1:29.705,1:29.406,1:28.160,1:27.760,1:27.340,1:26.792,1:26.767,1:26.789,1:28.272,1:28.237,1:29.435,1:26.773,1:28.016,1:28.506
Kimi Räikkönen (RAI),2:17.500,2:03.345,2:01.060,2:00.437,1:59.631,1:59.126,1:57.755,1:31.772,1:29.284,1:29.367,1:29.032,1:28.847,1:44.809,1:46.720,2:09.675,2:06.805,2:05.178,2:03.655,2:02.614
Fernando Alonso (ALO),2:28.459,2:00.462,2:01.327,2:00.336,2:00.951,1:56.296,1:56.104,1:31.366,1:39.131,1:48.905,1:29.818,1:30.092,1:50.243,1:50.098,1:43.086,1:59.678,2:06.767,2:02.986,1:59.233,2:07.789,35:17.917,2:01.151,2:00.064,2:01.044,2:00.061,2:01.077,2:01.495,2:18.457,26:34.203,2:02.315,1:59.201,1:31.095,1:30.376,1:29.246,1:28.537,1:27.798,1:28.098,1:27.668,1:27.935,1:28.058,1:27.927,1:30.215,1:27.990,1:28.223,1:28.579,1:28.274,1:28.318,1:47.819,1:48.917,1:59.077,2:12.026,2:07.575,2:03.934,2:01.220,2:14.281,1:32.372,1:29.060,1:27.926,1:29.479,1:28.739,1:27.326,1:27.359,1:28.049,1:27.927,1:28.198,1:28.860,1:27.166,1:28.016,1:27.116,1:27.104,1:27.772
Nico Rosberg (ROS),2:15.474,2:03.508,2:00.200,2:01.521,1:59.812,1:58.117,1:59.139,1:28.680,1:27.448,1:26.269,1:27.577,1:26.993,1:34.740,2:04.697,2:12.345,2:06.343,2:05.718,2:03.468,2:02.317,2:01.011,35:24.601,2:01.913,2:00.963,2:01.096,1:59.740,2:01.532,1:59.705,2:16.732,26:36.783,2:02.782,2:02.585,1:28.784,1:26.888,1:27.189,1:26.592,1:26.296,1:26.334,1:27.286,1:27.696,1:27.665,1:26.551,1:26.490,1:26.846,1:31.093,1:26.457,1:26.337,1:26.222,1:41.119,1:54.904,2:21.890,2:10.976,2:09.212,2:02.603,2:02.025,2:04.481,1:28.999,1:27.570,1:27.593,1:27.408,1:26.901,1:26.901,1:27.014,1:26.637,1:26.842,1:26.389,1:26.522,1:27.360,1:27.110,1:27.481,1:28.105,1:28.213
Lewis Hamilton (HAM),2:14.120,2:03.432,2:01.303,2:01.153,1:59.555,1:58.620,1:58.170,1:28.062,1:27.283,1:26.679,1:26.450,1:26.886,1:31.874,2:09.339,2:13.073,2:06.149,2:05.240,2:03.767,2:02.115,1:58.922,35:26.744,2:01.796,2:00.933,2:00.889,2:00.254,2:00.915,1:59.984,2:16.026,26:37.686,2:03.091,2:02.555,1:26.873,1:26.269,1:26.448,1:25.779,1:25.693,1:26.311,1:26.240,1:26.295,1:25.770,1:26.261,1:25.681,1:25.747,1:25.639,1:25.805,1:26.192,1:25.933,1:33.845,2:17.665,2:21.875,2:11.841,2:10.252,2:03.018,2:02.091,2:04.701,1:27.626,1:26.635,1:26.236,1:27.384,1:26.701,1:26.338,1:26.003,1:26.167,1:25.727,1:26.468,1:26.161,1:26.798,1:26.483,1:26.482,1:26.552,1:28.285
