Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Daniel Ricciardo (RIC),1:54.988,1:46.036,1:45.146,1:45.077,1:44.990,1:44.679,1:44.980,1:45.211,1:45.299,1:45.994,1:48.720,2:05.084,1:44.381,1:44.031,1:43.862,1:43.966,1:43.983,1:44.024,1:45.236,1:46.055,1:46.167,1:48.504,2:18.586,2:07.878,2:12.043,2:31.764,1:51.370,1:44.392,1:44.324,1:43.236,1:43.165,1:43.043,1:43.243,1:43.148,1:43.466,1:44.852,1:44.548,1:46.006,2:01.440,1:41.854,1:43.437,1:43.685,1:42.921,1:42.336,1:44.607,1:42.072,1:42.917,1:41.754,1:41.437,1:43.478,1:41.473
Jérôme d'Ambrosio (DAM),1:54.198,1:45.676,1:44.821,1:45.088,1:44.696,1:44.552,1:44.838,1:44.861,1:44.968,1:45.095,1:45.854,1:45.263,1:49.379,2:04.427,1:43.181,1:43.661,1:43.351,1:43.413,1:43.434,1:43.415,1:43.441,1:43.514,1:53.296,2:29.170,2:26.719,2:33.717,1:47.235,1:48.653,1:45.286,1:42.791,1:43.014,1:42.832,1:43.219,1:42.928,1:43.195,1:44.464,1:47.146,2:02.623,1:41.922,1:43.725,1:42.174,1:42.727,1:43.128,1:42.267,1:41.794,1:42.392,1:42.981,1:42.973,1:43.205,1:42.809,1:42.881
Sergio Pérez (PER),1:52.362,1:44.417,1:45.756,1:42.977,1:43.538,1:42.111,1:42.500,1:41.654,1:42.954,1:41.982,1:43.171,1:41.950,1:41.767,1:41.925,1:41.749,1:42.053,1:42.158,1:43.879,1:42.626,1:46.403,1:56.803,1:38.938,1:38.942,2:00.798,2:05.318,1:59.358,2:29.628,1:42.153,1:38.649,1:38.972,1:38.622,1:39.618,1:39.234,1:39.444,1:39.824,1:40.114,1:42.260,2:00.678,1:36.569,1:37.992,1:38.045,1:37.215,1:37.497,1:38.076,1:38.552,1:37.889,1:38.102,1:38.172,1:38.688,1:39.375,1:39.969,1:40.040,1:39.338
Paul di Resta (DIR),1:46.673,1:42.476,1:41.750,1:41.614,1:41.673,1:41.817,1:41.953,1:41.962,1:42.563,1:45.607,2:00.606,1:43.852,1:41.988,1:41.630,1:41.086,1:40.958,1:41.120,1:41.046,1:41.454,1:42.904,1:41.637,1:41.903,1:42.160,1:58.986,2:21.157,1:58.436,2:29.144,1:42.049,1:40.085,1:39.788,1:39.458,1:39.256,1:39.384,1:39.474,1:41.478,1:57.683,1:39.926,1:40.264,1:39.964,1:39.301,1:39.257,1:39.097,1:37.970,1:40.178,1:39.687,1:42.098,1:39.813,1:39.483,1:40.020,1:40.134,1:40.409,1:40.545,1:40.797
Pastor Maldonado (MAL),1:50.956,1:43.731,1:43.297,1:43.393,1:42.643,1:42.808,1:43.606,1:42.826,1:47.652,1:42.929,1:43.503,1:44.423,1:43.917,1:43.996,1:44.114,1:46.078,1:59.439,1:41.079,1:41.142,1:41.501,1:41.263,1:43.353,1:41.641,2:03.016,2:07.692,2:00.304,2:12.368,1:41.678,1:42.191,1:39.992,1:40.725,1:40.967,1:40.600,1:40.307,1:41.719,1:40.055,1:40.639,1:40.465,1:40.584,1:41.061,1:42.712,1:55.955,1:38.319,1:38.643,1:38.809,1:38.384,1:38.096,1:38.112,1:38.336,1:37.645,1:37.981,1:41.025,1:39.951
Bruno Senna (SEN),1:50.053,1:43.785,1:43.764,1:44.222,1:43.786,1:42.456,1:43.251,1:42.659,1:43.095,1:42.469,1:43.375,1:44.515,1:44.997,1:44.935,1:45.835,2:04.214,1:42.690,1:40.900,1:41.155,1:42.436,1:41.809,1:42.501,1:41.536,2:03.867,2:05.292,1:44.741,2:27.675,1:43.415,1:45.239,1:42.445,1:41.293,1:41.178,1:40.434,1:41.276,1:43.331,1:57.258,1:40.049,1:38.552,1:39.312,1:38.693,1:38.471,1:38.407,1:38.554,1:39.160,1:38.713,1:39.639,1:38.694,1:38.799,1:39.320,1:39.530,1:39.685,1:41.094,1:41.501
Vitaly Petrov (PET),1:48.306,1:43.217,1:42.820,1:42.480,1:42.424,1:42.159,1:42.392,1:42.594,1:42.626,1:43.212,1:42.743,1:43.775,1:42.663,1:42.252,1:43.518,1:42.700,1:42.887,1:44.991,1:58.701,1:41.146,1:41.860,1:41.071,1:40.952,1:59.570,2:06.113,2:00.087,2:30.034,1:44.166,1:40.679,1:40.470,1:41.977,1:39.884,1:40.320,1:40.020,1:40.740,1:40.645,1:39.692,1:39.755,1:41.881,1:54.683,1:37.256,1:37.460,1:37.357,1:38.715,1:39.700,1:40.135,1:37.053,1:38.418,1:37.140,1:37.542,1:37.271,1:38.176,1:37.606
Kamui Kobayashi (KOB),1:49.176,1:43.591,1:44.212,1:42.373,1:42.338,1:42.023,1:42.540,1:42.559,1:43.629,1:45.207,2:01.454,1:40.717,1:41.108,1:40.958,1:42.518,1:44.105,1:40.780,1:40.863,1:41.402,1:41.651,1:41.249,1:41.173,1:41.419,2:02.806,2:22.879,1:48.110,2:28.866,1:42.858,1:41.512,1:40.667,1:41.011,1:40.809,1:40.469,1:41.176,1:40.547,1:40.326,1:40.688,1:40.185,1:40.281,1:40.284,1:40.500,1:40.048,1:39.988,1:39.724,1:40.917,1:40.962,1:40.923,1:39.750,1:41.288,1:40.663,1:40.499,1:40.559,1:40.792
Jaime Alguersuari (ALG),1:52.985,1:45.448,1:45.282,1:43.398,1:43.809,1:43.233,1:43.892,1:43.801,1:44.371,1:42.570,1:42.700,1:42.613,1:43.090,1:43.035,1:44.003,1:44.870,1:45.921,1:58.428,1:39.679,1:40.422,1:41.041,1:42.444,1:39.850,2:04.330,2:06.503,1:45.207,2:28.085,1:42.599,1:42.508,1:39.934,1:40.953,1:40.877,1:41.320,1:40.999,1:41.065,1:43.264,1:57.423,1:39.245,1:39.050,1:37.577,1:37.411,1:37.464,1:37.676,1:37.949,1:38.324,1:38.917,1:39.491,1:39.847,1:40.076,1:40.974,1:40.609,1:41.054,1:42.434
Sébastien Buemi (BUE),1:48.784,1:43.356,1:42.870,1:42.923,1:42.604,1:42.107,1:42.365,1:42.516,1:42.827,1:43.534,1:45.692
