Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Pastor Maldonado (MAL),2:09.751,2:41.657,2:42.904,2:28.206,1:47.164,1:47.968,1:48.013,1:47.027,2:14.091,1:46.033,1:46.309,1:45.972,1:46.381,1:45.503,1:45.685,1:45.692,1:45.642,1:45.613,1:45.201,1:45.232,1:45.257,1:44.709,1:44.209,1:44.092,1:44.856,1:44.210,1:44.169,1:43.953,1:43.747,1:44.592,1:43.877,1:43.656,1:43.659,1:43.163,1:43.594,1:43.201,1:43.430,1:43.429,1:43.291,1:43.085,1:43.132,1:43.058,1:43.204,1:43.231,1:43.289,1:44.625,1:43.605,1:44.198,1:44.037,1:45.935,1:43.853,1:46.258,1:44.317,1:48.232,1:45.108
Nico Hülkenberg (HUL),1:59.320,2:41.632,2:40.583,2:32.885,1:46.592,1:45.678,1:45.506,1:45.374,1:45.578,1:45.281,1:45.117,1:44.901,1:44.749,1:44.924,1:44.680,1:44.587,1:44.772,1:44.606,1:44.701,1:44.172,1:44.041,1:44.290,1:44.218,1:43.764,1:43.739,1:43.583,1:43.720,2:03.046,1:42.805,1:42.992,1:43.146,1:42.928,1:42.682,1:42.854,1:42.633,1:42.685,1:42.822,1:42.491,1:42.205,1:42.408,1:42.579,1:42.188,1:42.062,1:42.305,1:42.956,1:41.773,1:41.709,1:41.994,1:41.737,1:41.186,1:41.494,1:41.098,1:41.338,1:40.952,1:41.350,1:42.137
Romain Grosjean (GRO),1:55.731,2:41.016,2:40.036,2:35.883,1:45.259,1:44.583,1:44.594,1:44.696,1:44.229,1:44.121,1:44.221,1:44.154,1:44.225,1:44.485,1:44.104,1:44.277,1:43.966,1:44.020,1:43.647,1:43.781,1:43.327,1:43.709,1:43.338,1:43.294,1:43.698,1:43.449,1:43.728,1:44.063,1:44.507,2:03.342,1:42.793,1:43.008,1:42.775,1:42.672,1:42.546,1:42.325,1:42.600,1:42.473,1:41.898,1:42.364,1:42.029,1:42.419,1:42.033,1:42.014,1:41.882,1:41.469,1:41.326,1:41.232,1:40.997,1:41.010,1:40.775,1:40.445,1:40.609,1:40.913,1:40.766,1:40.576
Sebastian Vettel (VET),1:54.040,2:41.099,2:40.520,2:36.030,1:44.250,1:44.097,1:44.158,1:44.130,1:44.115,1:43.812,1:43.895,1:43.947,1:43.901,1:44.010,1:43.680,1:43.626,1:43.347,1:43.516,1:43.252,1:43.299,1:43.384,1:43.531,1:43.533,1:43.398,1:43.882,1:44.042,1:45.091,2:02.791,1:42.486,1:42.710,1:42.681,1:42.691,1:42.673,1:42.725,1:42.223,1:42.989,1:43.179,1:42.391,1:42.226,1:41.102,1:42.105,1:42.186,1:42.004,1:42.157,1:41.928,1:41.960,1:42.075,1:41.740,1:41.956,1:40.917,1:41.090,1:40.994,1:41.278,1:39.856,1:40.680,1:41.770
Jenson Button (BUT),2:08.009,2:41.575,2:42.710,2:28.254,1:46.678,1:46.688,1:46.147,1:45.877,1:45.917,1:45.594,1:45.922,1:46.312,1:45.551,1:45.680,1:45.469,1:45.463,1:45.122,1:45.582,1:44.849,1:45.384,2:03.657,1:44.669,1:45.205,1:44.696,1:45.124,1:44.637,1:44.804,1:45.019,1:44.890,1:44.560,1:44.258,1:43.776,1:43.634,1:43.604,1:44.094,1:43.689,1:43.626,1:43.609,1:43.472,1:43.248,1:42.759,1:42.770,1:42.642,1:42.489,1:42.536,1:42.505,1:42.684,1:43.376,1:43.009,1:41.285,1:41.420,1:41.419,1:41.740,1:43.316,1:41.798,1:41.624
Mark Webber (WEB),1:58.515,2:41.795,2:40.575,2:32.892,1:46.095,1:45.293,1:44.794,1:45.565,1:45.457,1:45.021,1:44.000,1:44.027,1:43.949,1:44.581,1:43.810,1:44.212,1:44.159,1:44.021,1:43.482,1:44.331,1:43.860,1:43.480,1:43.374,1:42.787,1:43.224,1:43.424,1:43.439,1:44.515,2:02.539,1:42.468,1:42.628,1:42.166,1:42.602,1:42.559,1:43.706,1:43.272,1:41.683,1:41.959,1:42.132,1:42.046,1:42.920,1:42.028,1:42.200,1:42.123,1:41.422,1:40.710,1:41.051,1:41.233,1:41.072,1:40.985,1:40.804,1:40.591,1:41.348,1:40.860,1:40.628,1:41.132
Felipe Massa (MAS),2:07.049,2:41.997,2:41.857,2:28.827,1:46.836,1:46.695,1:46.031,1:45.836,1:45.787,1:45.677,1:45.919,1:45.934,1:45.918,1:45.758,1:45.386,1:45.432,1:45.397,1:45.189,1:44.999,1:45.074,1:45.097,2:03.762,1:45.105,1:44.208,1:44.879,1:44.494,1:44.633,1:45.112,1:44.772,1:44.361,1:44.338,1:44.112,1:43.926,1:43.585,1:43.870,1:43.920,1:43.629,1:43.721,2:01.866,1:42.282,1:42.252,1:42.364,1:42.152,1:42.160,1:42.482,1:42.115,1:41.812,1:42.157,1:41.614,1:41.435,1:41.393,1:41.818,1:41.209,1:41.857,1:41.555,1:42.417
Heikki Kovalainen (KOV),2:06.331,2:41.601,2:41.573,2:29.356,1:46.981,1:46.654,1:45.898,1:45.678,1:45.911,1:45.584,1:45.973,1:45.559,1:45.680,1:45.725,1:45.553,1:45.220,1:45.612,2:05.142,1:44.458,1:44.499,1:44.117,1:44.232,1:44.484,1:44.141,1:45.127,1:44.123,1:44.448,1:44.865,1:45.410,1:44.437,1:45.785,2:14.909,1:42.271,1:42.653,1:43.120,1:42.379,1:42.048,1:42.322,1:42.894,1:42.676,1:42.182,1:42.688,1:43.597,1:42.446,1:43.252,1:42.597,1:42.236,1:42.630,1:43.721,1:42.427,1:41.725,1:41.028,1:41.373,1:41.133,1:41.257,1:42.490
Fernando Alonso (ALO),2:01.148,2:41.228,2:41.532,2:31.630,1:46.586,1:46.379,1:45.261,1:45.186,1:45.554,1:45.191,1:45.585,1:44.877,1:46.409,1:45.357,1:44.878,1:44.902,1:44.303,1:44.407,1:44.210,1:44.151,1:44.146,1:45.175,1:43.810,1:43.595,1:43.935,1:44.314,2:02.340,1:43.723,1:43.159,1:43.121,1:42.877,1:42.917,1:43.036,1:42.755,1:42.631,1:42.437,1:42.421,1:42.073,1:41.700,1:41.551,1:42.100,1:42.072,1:41.726,1:41.931,1:41.594,1:41.542,1:41.410,1:41.993,1:41.681,1:41.379,1:41.397,1:41.186,1:41.335,1:41.350,1:41.789,1:41.765
Nico Rosberg (ROS),2:05.297,2:41.801,2:41.555,2:29.559,1:47.154,1:46.514,1:45.945,1:45.677,1:45.845,1:45.643,1:45.887,1:45.536,1:45.861,1:45.579,1:45.538,1:45.300,1:45.235,1:45.100,1:45.000,1:44.661,1:45.093,1:45.450,2:04.523,1:44.055,1:44.581,1:44.411,1:44.719,1:45.110,1:44.607,1:43.805,1:43.859,1:43.471,1:43.533,1:43.446,1:43.239,1:43.452,1:42.905,1:42.687,1:42.559,1:42.552,1:42.644,1:42.574,1:42.548,1:41.844,1:41.458,1:41.710,1:41.650,1:41.898,1:41.764,1:41.496,1:41.133,1:41.162,1:41.635,1:41.486,1:41.843,1:42.700
Lewis Hamilton (HAM),1:56.522,2:42.404,2:40.440,2:33.962,1:45.883,1:45.276,1:44.737,1:44.967,1:45.316,1:44.631,1:44.735,1:44.520,1:45.851,1:45.668,1:44.914,1:44.787,1:44.448,1:44.771,1:44.059,1:44.214,1:44.299,1:44.103,1:44.180,1:44.000,1:44.898,2:03.158,1:43.461,1:43.684,1:43.345,1:43.063,1:43.015,1:43.022,1:42.393,1:42.782,1:42.759,1:42.914,1:42.623,1:42.371,1:42.260,1:42.372,1:42.530,1:42.071,1:42.122,1:41.982,1:42.432,1:42.320,1:41.430,1:41.938,1:40.866,1:40.818,1:41.236,1:41.227,1:41.064,1:41.355,1:41.823,1:42.485
