Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Jules Bianchi (BIA),1:54.433,1:44.617,1:42.286,1:42.330,1:42.001,1:42.186,1:41.785,1:42.672,1:42.207,1:41.856,1:40.048,1:57.046,1:40.051,1:40.158,1:53.101,2:06.625,1:44.748,2:23.935,2:43.185,2:39.007,2:21.628,1:42.689,1:40.654,1:40.305,1:40.588,1:40.460,1:40.960,1:40.652,1:39.882,1:40.102,1:39.958,1:40.176,1:37.990,1:56.605,1:39.490,1:38.393,1:38.611,1:38.364,1:38.553,1:38.790,1:49.213,2:04.613,1:43.943,2:08.372,2:20.410,1:40.077,1:38.502,1:37.995,1:38.509,1:38.457,1:37.978,1:38.357
Giedo van der Garde (VDG),1:54.978,1:45.227,1:43.552,1:43.420,1:43.618,1:43.664,1:43.316,1:43.573,1:43.103,1:41.179,2:01.340,1:42.427,1:42.817,1:42.994,1:55.261,2:05.283,1:46.579,2:01.941,2:43.701,2:38.918,2:20.540,1:43.324,1:42.096,1:41.301,1:42.150,1:41.730,1:42.969,1:40.119,1:59.659,1:40.939,1:40.807,1:40.941,1:41.017,1:40.168,1:40.391,1:40.489,1:40.840,1:41.651,1:41.465,1:40.432,2:19.444,2:15.894,2:04.079,1:39.610,1:39.524,1:39.183,1:39.157,1:39.778,1:41.121,1:38.722,1:41.091,1:39.693
Valtteri Bottas (BOT),1:52.278,1:43.540,1:41.853,1:41.600,1:41.196,1:40.931,1:40.730,1:41.515,1:41.300,1:42.013,1:41.317,1:42.671,1:43.926,1:41.625,1:46.165,2:18.438,1:46.503,2:31.407,2:43.771,2:38.234,2:23.770,1:41.104,1:40.269,1:39.833,1:40.246,1:38.931,1:39.270,1:39.435,1:39.139,1:38.820,1:40.340,1:39.558,1:39.358,1:39.558,1:39.416,1:39.345,1:39.438,1:37.907,2:04.050,1:36.571,1:48.267,2:03.833,1:46.490,2:08.069,2:20.854,1:38.570,1:37.270,1:36.980,1:36.917,1:36.681,1:36.936,1:36.312
Esteban Gutiérrez (GUT),1:49.862,1:41.988,1:40.169,1:39.906,1:40.322,1:40.797,1:41.114,1:41.274,1:42.017,1:38.461,1:56.196,1:39.117,1:40.109,1:39.174,1:46.468,2:04.286,1:56.012,2:36.924,2:43.780,2:38.085,2:26.757,1:40.463,1:39.459,1:39.652,1:38.986,1:38.779,1:39.666,1:58.435,1:38.401,2:02.291,1:36.697,1:36.439,1:37.423,1:37.872,1:38.499,1:36.894,1:37.589,1:37.383,1:38.071,1:35.805,2:09.710,2:05.106,1:38.887,2:00.721,2:19.904,1:38.678,1:36.717,1:36.844,1:36.868,1:36.834,1:36.775,1:37.075
Max Chilton (CHI),1:53.987,1:45.382,1:42.650,1:42.873,1:42.844,1:43.272,1:42.916,1:43.285,1:42.880,1:43.474,1:43.159,1:42.217,1:59.647,1:42.977,1:56.240,2:05.661,1:47.455,2:01.913,2:44.162,2:38.537,2:20.803,1:43.776,1:42.167,1:42.344,1:42.170,1:41.841,1:42.755,1:42.727,1:40.867,1:40.723,1:40.527,1:39.293,1:59.913,1:39.945,1:40.317,1:40.489,1:40.682,1:41.495,1:41.423,1:41.038,2:02.433,2:25.846,2:04.823,1:41.948,1:40.528,1:40.269,1:39.606,1:40.073,1:41.917,1:39.156,1:39.453,1:40.238
Charles Pic (PIC),1:53.289,1:43.652,1:42.905,1:43.128,1:42.197,1:42.105,1:41.596,1:41.973,1:41.780,1:41.660,1:41.630,1:41.575,1:41.270,1:41.441,1:46.689,2:23.430,1:44.113,2:25.480,2:44.380,2:38.572,2:22.533,1:42.056,1:40.452,1:39.889,1:40.443,1:39.740,1:40.031,1:40.663,1:39.510,1:39.436,1:39.306,1:39.337,1:39.309,1:37.236,1:57.458,1:38.164,1:38.231,1:38.741,1:38.716,1:38.559,1:48.700,2:07.662,1:45.875,2:08.037,2:21.361,1:39.989,1:38.770,1:38.288,1:37.528,1:37.799,1:37.294,1:37.091
Jean-Éric Vergne (VER),1:51.814,1:42.155,1:41.625,1:40.379,1:39.866,1:39.779,1:39.682,1:40.719,1:40.803,1:39.826,1:39.617,1:39.397,1:40.559,1:48.802,2:10.365,2:05.436,1:43.243,2:33.626,2:44.382,2:37.903,2:24.482,1:40.822,1:40.204,1:39.804,1:40.086,1:56.977,1:39.183,1:40.862,1:38.429,1:38.370,1:38.717,1:38.758,1:38.875,1:38.979,1:38.551
Daniel Ricciardo (RIC),1:47.013,1:40.478,1:39.197,1:39.231,1:39.698,1:39.126,1:39.497,1:39.672,1:40.017,1:40.359,1:38.054,2:00.418,1:38.353,1:38.569,1:38.710,2:05.740,2:07.345,2:37.453,2:44.005,2:37.670,2:29.652,1:39.285,1:38.045,1:37.771,1:37.738,1:37.773,1:38.276,1:37.927,1:37.970,1:37.676,1:37.753,1:35.542,1:56.140,1:36.084,1:35.994,1:36.215,1:35.927,1:36.377,1:36.576,1:37.038,1:36.305,1:59.843,2:19.842,2:31.804,2:24.830,1:37.315,1:37.140,1:37.329,1:36.270,1:36.433,1:36.108,1:36.416
Sergio Pérez (PER),1:48.859,1:41.097,1:39.906,1:39.819,1:39.103,1:39.600,1:39.757,1:40.596,1:40.420,1:39.514,1:39.434,1:39.456,1:37.245,1:55.567,1:38.476,2:05.633,2:08.139,2:37.285,2:43.780,2:38.017,2:29.086,1:39.799,1:38.333,1:37.822,1:38.024,1:37.969,1:37.841,1:38.672,1:38.977,1:38.595,1:37.754,1:37.053,1:35.146,1:54.086,1:37.222,1:36.285,1:36.131,1:36.625,1:36.149,1:36.748,1:36.420,2:01.691,2:15.930,2:31.381,2:24.543,1:51.111
Paul di Resta (DIR),1:52.609,1:42.066,1:41.372,1:40.992,1:39.805,1:39.776,1:39.625,1:40.716,1:38.298,1:56.037,1:38.621,1:39.158,1:39.143,1:39.649,1:40.140,2:05.526,2:01.978,2:37.489,2:43.957,2:37.355,2:27.589,1:40.324,1:39.028,1:38.304,1:38.547,1:38.387,1:38.556,1:38.362,1:38.249,1:37.914,1:38.439,1:38.297,1:35.847,1:55.105,1:37.874,1:37.583,1:37.699,1:37.316,1:37.211,1:37.618,1:37.327,2:02.904,2:19.422,2:20.209,2:20.709,1:36.845,1:37.065,1:35.539,1:35.534,1:35.840,1:38.114,1:35.330
