Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Pastor Maldonado (MAL),1:54.725,1:48.609,1:48.388,1:48.795,1:49.014,1:49.786,1:52.606,2:09.007,1:47.729,1:47.137,1:46.697,1:47.004,1:46.784,1:47.927,1:48.692,1:47.068,1:46.535,1:46.446,1:46.497,1:46.390,1:46.550,1:46.622,1:51.024,2:06.006,1:45.249,1:45.858,1:45.270,1:45.587,1:45.391,1:45.242,2:10.928,2:13.699,1:58.319,2:38.395,2:34.009,2:32.565,1:46.711,2:13.955,2:37.565,2:32.108,1:46.991,1:44.445,1:44.136,1:44.538,1:50.153,1:45.402,1:44.879,1:44.608,1:44.451,1:44.462,1:44.310,1:44.312,1:44.576,1:44.368,1:45.194
Nico Hülkenberg (HUL),1:51.311,1:48.039,1:47.663,1:48.215,1:48.353,1:48.212,1:47.419,1:47.122,1:47.232,1:51.745,2:06.711,1:45.488,1:45.544,1:45.788,1:46.000,1:46.193,1:46.123,1:46.660,1:46.466,1:46.752,1:46.067,1:45.569,1:45.711,1:45.814,1:45.860,1:51.045,2:06.237,1:44.670,1:44.979,1:44.915,2:11.699,2:14.527,2:12.591,2:38.928,2:35.027,2:34.289,1:44.452,2:13.221,2:38.528,2:33.619,1:44.304,1:43.400,1:43.085,1:43.174,1:43.872,1:43.962,1:44.673,1:44.322,1:43.690,1:43.653,1:43.433,1:43.153,1:42.608,1:42.861,1:42.841
Romain Grosjean (GRO),1:49.131,1:46.944,1:46.890,1:46.867,1:47.094,1:46.983,1:46.712,1:46.413,1:46.148,1:50.986,2:04.517,1:45.185,1:44.957,1:45.141,1:45.130,1:45.645,1:45.510,1:45.518,1:45.335,1:44.771,1:44.873,1:45.185,1:45.171,1:45.237,1:44.679,1:45.132,1:44.675,1:44.688,1:44.845,1:45.014,1:55.884,2:48.379,2:42.157,2:40.721,2:35.132,2:35.681,1:44.602,2:13.740,2:38.324,2:34.166,1:43.481,1:42.680,1:42.244,1:42.217,1:42.062,1:41.936,1:42.332,1:42.355,1:42.360,1:42.146,1:42.049,1:42.022,1:41.944,1:42.235,1:42.403
Sebastian Vettel (VET),1:47.023,1:46.386,1:46.922,1:46.685,1:47.131,1:46.848,1:46.643,1:45.986,1:46.071,1:46.070,1:51.231,2:04.505,1:44.534,1:44.689,1:44.788,1:45.110,1:45.506,1:45.231,1:45.549,1:45.163,1:44.485,1:45.301,1:45.062,1:44.549,1:43.986,1:44.854,1:44.957,1:45.147,1:44.779,1:44.774,1:52.871,2:54.240,2:43.767,2:39.783,2:35.679,2:36.297,1:43.103,2:14.138,2:37.566,2:35.628,1:42.185,1:41.996,1:41.726,1:41.671,1:42.095,1:41.829,1:42.006,1:41.976,1:41.862,1:42.051,1:41.666,1:42.029,1:41.380,1:42.614,1:43.578
Jenson Button (BUT),1:55.281,1:48.949,1:48.641,1:53.805,2:09.953,1:46.266,1:48.002,1:49.689,1:47.082,1:46.957,1:46.181,1:46.756,1:46.601,1:46.229,1:46.028,1:45.989,1:45.949,1:46.058,1:45.936,1:46.789,1:46.919,1:51.954,2:07.685,1:44.785,1:44.455,1:44.558,1:44.543,1:45.472,1:45.717,1:44.864,2:06.448,2:15.051,2:10.297,2:37.667,2:34.164,2:33.946,1:46.125,2:14.050,2:37.771,2:32.281,1:45.811,1:43.989,1:43.683,1:43.418,1:43.073,1:43.274,1:43.823,1:44.524,1:43.785,1:43.623,1:43.649,1:43.668,1:45.206,1:44.087,1:44.457
Mark Webber (WEB),1:56.328,1:48.641,1:48.339,1:49.181,1:47.603,1:47.738,1:47.797,1:46.176,1:46.620,1:46.263,1:46.559,1:51.363,2:04.819,1:44.640,1:45.054,1:46.400,1:46.286,1:46.508,1:46.235,1:46.448,1:46.935,1:45.866,1:45.388,1:45.456,1:45.672,1:44.815,1:43.863,1:43.980,1:45.155,1:48.597,2:42.547,2:30.909,2:02.222,2:32.739,2:33.081,2:31.038
Adrian Sutil (SUT),2:00.158,1:50.434,1:55.186,2:14.506,1:47.266,1:47.717,1:47.635,1:47.531,1:47.827,1:47.938,1:48.355,1:47.694,1:47.925,1:47.353,1:46.480,1:46.402,1:46.583,1:46.552,1:46.433,1:46.027,1:45.894,1:46.021,1:46.392,1:46.525,1:46.214,1:46.655,1:46.611,1:51.401,2:04.971,1:44.740,2:12.855,2:13.930,1:53.517,2:32.061,2:33.283,2:30.958,2:03.350,2:20.283,3:00.237,1:50.498,1:54.852,2:01.292,1:44.095,1:45.592,1:46.059,1:47.307,1:46.532,1:46.831,1:46.300,2:01.635
Felipe Massa (MAS),2:02.290,1:49.287,1:50.124,1:47.996,1:49.257,1:53.499,2:05.891,1:48.149,1:47.779,1:48.377,1:47.144,1:47.476,1:47.698,1:46.851,1:46.966,1:46.976,1:46.857,1:47.133,1:46.806,1:46.359,1:46.128,1:46.413,1:47.195,1:45.996,1:45.968,1:46.539,1:46.582,1:46.930,1:51.083,2:06.094,2:14.163,2:14.647,1:53.543,2:30.982,2:34.537,2:29.312,1:45.996,2:15.658,2:36.539,2:31.125,1:46.720,1:44.420,1:44.189,1:44.030,1:46.455,1:43.092,1:42.954,1:43.995,1:43.732,1:43.504,1:43.548,1:43.064,1:43.831,1:43.055,1:43.157
Kimi Räikkönen (RAI),1:53.950,1:48.101,1:47.665,1:47.676,1:47.996,1:47.820,1:47.664,1:47.814,1:46.547,1:47.107,1:52.147,2:06.498,1:45.074,1:45.007,1:45.072,1:46.345,1:46.206,1:46.516,1:46.302,1:46.718,1:46.179,1:45.645,1:45.991,1:45.635,1:50.088,2:04.591,1:42.813,1:43.792,1:43.724,1:45.117,2:04.824,2:14.428,2:22.512,2:39.859,2:35.471,2:34.842,1:44.380,2:12.723,2:37.772,2:34.958,1:43.055,1:42.641,1:42.134,1:42.098,1:42.131,1:42.114,1:42.128,1:42.297,1:42.269,1:42.269,1:41.975,1:42.356,1:42.207,1:42.237,1:42.445
Fernando Alonso (ALO),1:51.814,1:48.239,1:48.115,1:48.241,1:48.161,1:47.899,1:47.661,1:48.077,1:53.917,2:04.226,1:45.977,1:45.895,1:45.364,1:45.863,1:45.891,1:46.733,1:46.016,1:46.371,1:46.270,1:46.838,1:46.010,1:45.723,1:45.830,1:45.878,1:46.103,1:47.359,1:46.166,1:51.246,2:04.055,1:43.317,2:10.732,2:16.121,2:11.072,2:39.346,2:34.728,2:34.123,1:45.577,2:13.916,2:38.009,2:32.536,1:45.606,1:43.691,1:43.624,1:43.350,1:43.051,1:43.136,1:44.187,1:44.687,1:43.490,1:43.723,1:43.596,1:43.229,1:42.731,1:42.709,1:43.665
Nico Rosberg (ROS),1:50.482,1:47.525,1:47.549,1:47.653,1:48.266,1:48.066,1:47.233,1:46.873,1:46.617,1:51.625,2:07.303,1:45.559,1:45.363,1:45.096,1:45.554,1:46.271,1:47.039,1:45.512,1:45.693,1:45.471,1:45.057,1:45.002,1:44.788,1:44.751,1:44.802,1:45.709,1:45.590,1:54.413,2:24.495,1:45.018,2:08.883,2:14.960,2:06.555,2:37.735,2:34.074,2:33.528,1:46.141,2:14.066,2:37.869,2:32.078,1:45.851,1:44.063,1:43.789,1:43.470,1:43.288,1:43.140,1:43.729,1:44.323,1:43.833,1:43.749,1:43.505,1:43.570,1:42.551,1:42.471,1:42.803
Lewis Hamilton (HAM),1:49.848,1:46.908,1:46.924,1:47.090,1:47.401,1:47.258,1:46.527,1:46.840,1:51.254,2:04.122,1:45.428,1:45.137,1:45.351,1:45.829,1:45.966,1:45.653,1:45.464,1:44.830,1:44.839,1:45.064,1:45.165,1:45.686,1:46.591,1:46.981,1:47.349,1:48.059,1:48.329,1:50.797,1:53.817,2:03.614,2:04.688,2:15.466,2:21.225,2:39.127,2:35.627,2:34.242,1:45.454,2:13.262,2:39.280,2:32.567,1:44.379,1:43.316,1:43.175,1:43.037,1:43.913,1:43.875,1:44.705,1:44.299,1:43.743,1:43.772,1:43.462,1:43.176,1:42.539,1:42.910,1:43.596
