Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Pastor Maldonado (MAL),2:13.925,1:23.936,1:21.901,1:21.362,1:21.613,1:21.547,1:20.941,1:20.881,1:22.005,1:22.387,1:21.251,1:21.285,1:21.275,1:21.494,1:21.603,1:21.430,1:22.601,1:21.519,1:22.039,1:22.352,1:24.847,1:22.898,1:21.313,1:21.279,1:21.127,1:21.881,1:21.838,1:22.713,1:23.807,1:50.888,1:44.549,1:29.578,1:32.292,2:01.381,2:04.617,1:56.715,1:56.045,1:49.684,1:25.568,1:24.794,1:23.595,1:23.544,1:23.448,1:23.186
Nico Hülkenberg (HUL),1:36.784,1:23.726,1:24.057,1:22.805,1:23.355,1:22.675,1:22.877,1:22.791,1:24.248,1:22.959,1:22.589,1:22.301,1:22.633,1:22.400,1:22.579,1:22.526,1:22.088,1:21.616,1:22.062,1:21.542,1:21.295,1:21.508,1:21.288,1:21.310,1:21.463,1:21.787,1:41.523,1:23.699,1:19.853,1:31.092,1:39.738,1:31.861,1:52.368,2:03.132,2:04.753,1:57.040,1:56.181,1:50.985,1:26.928,1:24.217,1:23.068,1:23.918,1:23.720,1:23.479,1:23.568,25:24.068,1:52.627,1:23.006,1:21.637,1:21.199,1:21.389,1:21.987,1:21.098,1:21.743,1:22.003,1:21.451,1:20.583,1:21.571,1:21.224,1:21.669,1:22.223,1:22.186,1:55.956,2:02.940,2:00.448,1:48.210,1:23.099,1:21.125,1:21.410,1:23.464,1:22.770,1:21.769,1:21.923,1:22.048,1:21.834,1:21.791,1:22.306,1:23.484
Romain Grosjean (GRO),1:39.001,1:24.132,1:23.788,1:22.706,1:23.123,1:23.090,1:22.716,1:23.094,1:23.932,1:23.630,1:23.228,1:22.436,1:22.743,1:22.705,1:22.757,1:22.309,1:22.218,1:22.756,1:23.040,1:22.681,1:23.033,1:23.483,1:21.514,1:21.326,1:22.131,1:22.444,1:23.102,1:21.518,1:22.093,1:48.142,1:48.181,1:25.358,1:41.511,2:04.671,2:03.629,1:57.213,1:56.255,1:49.162,1:27.058,1:24.524,1:23.488,1:23.378,1:24.002,1:23.133,1:23.564,25:26.915,1:49.656,1:23.134,1:21.889,1:21.356,1:21.213,1:21.966,1:21.167,1:21.371,1:21.635,1:21.536,1:20.969,1:21.314,1:21.153,1:21.917,1:22.346,2:25.950,1:39.654
Sebastian Vettel (VET),1:29.683,1:24.167,1:23.578,1:22.594,1:22.504,1:22.768,1:23.266,1:22.714,1:22.881,1:23.078,1:22.124,1:22.627,1:22.059,1:22.058,1:22.174,1:21.525,1:21.815,1:21.840,1:21.082,1:21.592,1:21.134,1:21.263,1:20.224,1:20.541,1:19.748,1:20.045,1:20.127,1:19.897,1:19.554,1:38.838,1:38.167,1:49.049,2:00.645,2:02.113,2:05.377,1:57.330,1:56.256,1:56.996,1:25.806,1:24.678,1:23.838,1:23.732,1:23.517,1:23.502,1:23.262,25:18.412,1:58.362,1:23.092,1:21.647,1:21.790,1:21.681,1:21.606,1:21.557,1:21.394,1:21.213,1:21.245,1:20.750,1:21.526,1:21.186,1:22.007,1:22.368,1:22.252,1:46.616,2:06.138,2:01.063,1:53.853,1:22.117,1:20.931,1:20.611,1:20.048,1:19.124,1:19.464,1:19.213,1:19.291,1:18.969,1:18.610,1:16.577,1:19.463
Jenson Button (BUT),1:34.555,1:23.375,1:24.100,1:23.407,1:23.511,1:22.723,1:22.902,1:22.701,1:22.854,1:23.207,1:22.324,1:22.544,1:22.474,1:22.531,1:22.365,1:22.273,1:21.009,1:21.118,1:21.077,1:21.714,1:21.133,1:21.153,1:20.864,1:20.599,1:20.418,1:37.532,1:22.046,1:19.335,1:20.845,1:31.056,1:40.652,1:34.069,1:58.305,2:02.271,2:06.690,1:57.457,1:54.662,1:54.241,1:26.246,1:24.322,1:23.718,1:24.575,1:23.586,1:23.918,1:22.919,25:22.801,1:53.750,1:23.347,1:21.238,1:21.768,1:21.526,1:22.413,1:21.571,1:21.514,1:21.703,1:21.129,1:21.361,1:21.304,1:21.115,1:21.821,1:22.430,1:22.178,1:53.436,2:02.627,2:01.790,1:49.265,1:22.903,1:21.040,1:21.993,1:23.369,1:21.668,1:21.663,1:22.278,1:18.964,1:18.861,1:18.720,1:18.910,1:19.327
Mark Webber (WEB),1:30.851,1:23.922,1:23.847,1:22.335,1:22.467,1:22.747,1:23.246,1:23.145,1:22.661,1:22.784,1:22.701,1:22.574,1:22.234,1:22.218,1:22.057,1:21.823,1:21.373,1:21.888,1:21.361,1:21.133,1:21.296,1:21.326,1:20.785,1:19.750,1:36.822,1:21.621,1:20.471,1:19.160,1:20.152,1:22.362,1:37.933,1:46.720,2:00.982,2:01.834,2:05.335,1:57.540,1:56.322,1:56.255,1:26.181,1:24.771,1:23.274,1:24.084,1:23.503,1:23.602,1:23.129,25:19.348,1:57.278,1:23.297,1:21.226,1:21.959,1:21.608,1:21.569,1:21.554,1:21.333,1:21.476,1:21.332,1:20.929,1:21.229,1:21.525,1:21.674,1:22.609,1:22.058,1:48.309,2:05.010,2:01.062,1:53.057,1:22.571,1:21.364,1:20.389,1:19.916,1:19.525,1:19.224,1:19.199,1:19.248,1:19.005,1:18.687,1:18.262,1:18.961
Adrian Sutil (SUT),1:35.083,1:23.487,1:24.213,1:23.081,1:23.553,1:22.663,1:22.923,1:22.720,1:24.078,1:22.795,1:22.419,1:22.710,1:22.206,1:22.737,1:22.277,1:22.331,1:21.563,1:21.277,1:21.127,1:20.912,1:21.672,1:21.462,1:21.302,1:21.227,1:21.209,1:21.660,1:20.872,1:21.554,1:21.533,1:42.017,1:42.470,1:37.605,1:53.716,2:02.498,2:06.760,1:57.521,1:54.448,1:53.742,1:26.331,1:24.132,1:23.731,1:24.051,1:23.529,1:23.802,1:23.107,25:21.999,1:54.433,1:23.243,1:21.395,1:21.664,1:21.448,1:21.106,1:21.902,1:21.342,1:21.740,1:21.069,1:20.751,1:20.725,1:21.727,1:21.696,1:22.447,1:22.115,1:49.461,2:05.584,2:02.278,1:50.264,1:22.891,1:20.964,1:22.003,1:23.849,1:21.746,1:21.658,1:21.944,1:18.292,1:18.792,1:18.690,1:18.539,1:19.670
Felipe Massa (MAS),1:42.252,1:23.437,1:23.456,1:23.035,1:22.857,1:23.781,1:22.975,1:23.782,1:23.365,1:23.016,1:22.520,1:22.980,1:22.391,1:22.366,1:22.688,1:22.950,1:22.990,1:22.691,1:22.402,1:22.437,1:23.674,1:22.824,1:23.020,1:22.876,1:23.475,1:42.613,1:23.194,1:20.064
Kimi Räikkönen (RAI),1:31.685,1:23.738,1:23.741,1:22.499,1:22.426,1:22.892,1:23.138,1:22.894,1:23.466,1:22.622,1:22.215,1:22.542,1:22.274,1:22.517,1:22.165,1:22.001,1:21.032,1:21.838,1:21.588,1:21.044,1:21.461,1:21.036,1:21.000,1:20.351,1:20.061,1:37.043,1:23.660,1:20.275,1:20.982,1:30.908,1:41.622,1:32.978,1:59.511,2:01.978,2:06.889,1:56.631,1:55.001,1:55.697,1:25.996,1:24.615,1:23.301,1:24.169,1:23.621,1:23.463,1:23.139,25:20.667,1:56.157,1:23.230,1:20.991,1:21.993,1:21.660,1:21.565,1:21.588,1:21.533,1:21.514,1:21.219,1:20.931,1:21.190,1:21.442,1:21.880,1:22.549,1:22.018,1:48.467,2:06.251,2:01.219,1:51.846,1:22.815,1:20.856,1:21.842,1:42.138,1:19.521,1:17.941,1:17.984,1:19.739,1:21.530,1:21.699,1:21.566,1:17.392
Fernando Alonso (ALO),1:31.890,1:23.679,1:24.484,1:22.882,1:23.704,1:22.618,1:22.843,1:23.538,1:23.967,1:23.011,1:22.203,1:22.563,1:22.474,1:22.719,1:22.473,1:21.779,1:20.719,1:21.243,1:21.135,1:21.668,1:21.078,1:20.541,1:20.502,1:20.567,1:20.244,1:20.200,1:20.013,1:36.844,1:24.708,1:29.196,1:41.531,1:33.515,1:59.297,2:02.111,2:06.857,1:57.486,1:54.594,1:54.917,1:25.849,1:24.566,1:23.395,1:24.091,1:23.630,1:24.037,1:23.198,25:22.622,1:54.228,1:23.282,1:21.133,1:21.839,1:21.629,1:21.680,1:21.764,1:21.472,1:21.672,1:21.189,1:21.883,1:21.089,1:21.356,1:21.882,1:22.363,1:21.940,1:51.732,2:03.612,2:02.231,1:49.717,1:23.019,1:21.123,1:21.944,1:24.301,1:21.874,1:21.525,1:22.710,1:19.507,1:19.579,1:19.589,1:19.340,1:19.405
Nico Rosberg (ROS),1:28.220,1:24.147,1:23.767,1:22.504,1:22.302,1:22.516,1:22.414,1:22.196,1:22.936,1:22.521,1:22.394,1:22.167,1:22.132,1:21.949,1:21.797,1:21.675,1:21.616,1:21.346,1:21.506,1:21.754,1:21.122,1:21.085,1:20.762,1:20.563,1:20.116,1:19.928,1:19.919,1:19.213,1:19.137,1:21.699,1:54.863,1:53.593,2:00.734,2:01.651,2:05.931,1:57.094,1:56.431,1:56.821,1:24.813,1:24.511,1:24.284,1:23.949,1:23.376,1:23.012,1:22.885,25:19.930,1:58.630,1:22.943,1:21.184,1:21.614,1:21.655,1:21.231,1:21.631,1:21.087,1:20.540,1:20.817,1:21.095,1:21.040,1:21.136,1:21.178,1:22.628,1:22.411,1:45.795,2:10.038,2:00.706,1:54.050,1:21.474,1:20.607,1:20.037,1:20.189,1:19.228,1:19.076,1:18.662,1:18.327,1:18.564,1:18.354,1:18.416,1:18.432
Lewis Hamilton (HAM),1:29.423,1:24.097,1:23.597,1:22.440,1:22.501,1:22.667,1:22.623,1:22.666,1:22.534,1:22.566,1:22.521,1:22.277,1:21.812,1:22.122,1:21.788,1:21.893,1:21.835,1:21.706,1:21.208,1:21.625,1:21.105,1:21.010,1:21.166,1:20.409,1:20.254,1:20.264,1:19.899,1:19.554,1:19.127,1:21.729,2:02.320,1:45.994,2:01.267,2:01.851,2:07.137,1:56.098,1:55.706,1:55.652,1:26.079,1:24.744,1:23.289,1:24.439,1:23.304,1:23.467,1:23.269,25:21.829,1:54.825,1:23.072,1:21.289,1:21.854,1:21.670,1:21.549,1:21.530,1:21.580,1:21.684,1:21.465,1:20.654,1:21.253,1:21.494,1:21.810,1:22.621,1:22.108,1:48.288,2:05.878,2:01.043,1:52.181,1:22.788,1:20.913,1:20.418,1:19.776,1:19.551,1:19.393,1:19.208,1:19.637,1:19.350,1:18.133,1:20.370,1:23.702
