Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Jules Bianchi (BIA),1:53.869,1:45.396,1:44.195,1:45.520,1:43.707,1:43.350,1:43.872,1:44.567,1:46.641,2:03.990,1:42.830,1:43.017,1:42.610,1:42.794,1:42.627,1:42.807,1:42.654,1:43.256,1:42.839,1:43.653,1:44.045,1:47.326,2:01.464,1:41.767,1:41.423,1:41.566,1:41.440,1:41.401,1:41.389,1:41.621,1:41.613,1:42.098,1:41.984,1:42.533,1:42.826,1:46.167,2:00.191,1:40.189,1:40.640,1:40.751,1:41.911,1:41.624,1:40.570,1:40.151,1:40.654,1:40.722,1:41.430,1:43.134,1:59.662,1:38.756,1:39.546,1:40.255,1:39.436,1:39.822,1:39.907,1:39.942
Giedo van der Garde (VDG),1:53.912,2:11.107,2:07.908,1:43.309,1:43.363,1:44.084,1:44.515,1:44.618,1:44.607,1:44.628,1:45.667,1:44.139,1:45.058,1:47.743,2:03.911,1:42.457,1:44.601,1:43.128,1:43.024,1:46.402,1:42.760,1:45.019,1:43.383,1:46.990,2:00.915,1:41.017,1:41.760,1:42.485,1:41.253,1:41.506,1:42.294,1:42.834,1:42.797,1:44.434,1:43.342,1:44.309,1:44.367,1:44.744,1:47.929,2:01.067,1:41.120,1:41.268,1:41.517,1:42.500,1:41.902,1:43.114,1:45.679,2:00.247,1:39.334,1:41.038,1:40.175,1:40.616,1:41.023,1:40.576,1:42.242
Valtteri Bottas (BOT),1:51.909,1:45.179,1:42.673,1:42.468,1:42.849,1:43.123,1:42.977,1:42.843,1:42.993,1:43.197,1:43.342,1:43.960,1:46.305,2:00.823,1:41.213,1:40.896,1:41.541,1:41.285,1:41.224,1:41.209,1:42.620,1:43.197,1:41.575,1:41.381,1:41.659,1:41.683,1:42.306,1:41.063,1:43.329,2:04.616,1:39.063,1:39.718,1:40.167,1:40.177,1:40.470,1:40.227,1:40.411,1:40.246,1:40.275,1:40.332,1:40.447,1:40.401,1:40.051,1:39.799,1:40.591,1:40.554,1:42.922,1:59.844,1:38.674,1:38.699,1:39.769,1:38.734,1:38.755,1:38.820,1:39.395,1:39.838,1:38.192
Esteban Gutiérrez (GUT),1:58.363,2:06.931,1:41.991,1:42.071,1:42.413,1:42.831,1:43.100,1:43.098,1:43.194,1:43.452,1:43.313,1:43.717,1:44.144,1:44.526,1:43.877,1:46.373,2:00.406,1:42.170,1:41.413,1:41.483,1:41.818,1:42.043,1:41.597,1:43.431,1:42.281,1:42.377,1:42.569,1:42.356,1:42.229,1:42.487,1:41.230,1:41.609,1:44.206,1:58.457,1:38.990,1:39.534,1:40.898,1:39.207,1:39.733,1:39.968,1:39.584,1:40.163,1:42.335,1:56.942,1:38.202,1:39.476,1:39.094,1:41.245,1:38.991,1:39.419,1:39.240,1:39.428,1:39.774,1:39.353,1:38.442,1:39.363
Max Chilton (CHI),1:54.573,1:45.159,1:45.260,1:44.559,1:44.075,1:44.013,1:44.143,1:44.837,1:44.550,1:47.873,2:01.283,1:41.921,1:42.512,1:42.809,1:42.409,1:42.731,1:42.498,1:43.072,1:42.967,1:43.472,1:43.982,1:45.243,1:47.345,2:01.654,1:41.344,1:41.448,1:41.441,1:41.321,1:41.414,1:41.450,1:41.549,1:41.696,1:42.143,1:42.153,1:44.014,1:42.354,1:46.633,2:04.487,1:40.567,1:40.246,1:42.081,1:40.122,1:40.259,1:40.822,1:40.818,1:42.893,1:59.226,1:39.459,1:39.672,1:39.279,1:39.989,1:40.236,1:40.851,1:40.881,1:40.992,1:41.654
Charles Pic (PIC),1:54.256,1:45.602,1:43.807,1:44.249,1:43.363,1:42.936,1:42.925,1:43.419,1:43.290,1:44.240,1:47.638,2:00.959,1:41.960,1:41.760,1:42.237,1:41.834,1:41.820,1:42.887,1:42.322,1:42.684,1:43.271,1:42.951,1:45.425,1:59.878,1:40.333,1:40.657,1:40.753,1:40.845,1:41.423,1:41.110,1:40.983,1:42.256,1:41.702,1:41.720,1:44.633,1:59.920,1:39.546,1:39.561,1:40.163,1:40.471,1:40.369,1:40.628,1:41.144,1:40.678,1:40.561,1:40.899,1:41.321,1:40.565,1:39.957,1:40.424,1:41.501,1:41.224,1:40.730,1:42.107,1:40.858,1:41.592
Jean-Éric Vergne (VER),1:52.215,3:10.162,2:19.825,1:43.107,1:43.240,1:43.189,1:43.834,1:43.963,1:44.097,1:45.226,1:43.337,1:43.669,1:43.207,1:44.548,1:43.250,1:47.548
Daniel Ricciardo (RIC),1:50.800,1:43.714,1:42.969,1:42.958,1:44.291,1:43.127,1:44.336,1:43.567,1:46.179,2:01.942,1:42.613,1:42.515,1:42.378,1:42.214,1:42.020,1:42.356,1:41.844,1:42.020,1:42.059,1:42.874,1:42.533,1:42.942,1:43.576,1:43.505,1:46.026,1:59.979,1:40.723,1:40.520,1:41.046,1:40.364,1:40.353,1:40.638,1:41.015,1:40.659,1:40.727,1:40.986,1:41.561,1:41.306,1:41.641,1:42.023,1:43.882,1:59.138,1:39.855,1:40.544,1:39.653,1:40.244,1:40.274,1:40.056,1:39.847,1:40.271,1:39.579,1:40.882,1:41.500,1:41.464,1:40.259,1:40.237
Sergio Pérez (PER),1:48.405,1:42.900,1:42.743,1:42.050,1:42.147,1:42.731,1:43.199,1:43.869,1:42.574,1:44.700,1:59.059,1:40.745,1:41.943,1:41.570,1:40.659,1:40.836,1:40.981,1:40.513,1:41.001,1:44.338,1:56.585,1:39.648,1:41.094,1:40.498,1:40.076,1:40.010,1:40.852,1:40.155,1:40.129,1:41.942,1:40.201,1:42.258,1:41.593,1:40.507,1:40.449,1:41.569,1:40.372,1:40.933,1:43.580,1:55.745,1:37.913,1:38.207,1:38.701,1:38.733,1:39.084,1:38.893,1:40.112,1:38.654,1:38.409,1:38.146,1:38.322,1:38.542,1:39.212,1:40.462,1:39.277,1:39.251,1:39.419
Paul di Resta (DIR),1:45.809,1:42.800,1:42.502,1:42.359,1:42.658,1:41.911,1:42.972,1:42.104,1:42.997,1:42.445,1:42.947,1:42.965,1:42.857,1:45.101,1:58.582,1:40.848,1:41.270,1:40.697,1:40.726,1:41.029,1:41.270,1:40.638,1:40.467,1:41.285,1:40.895,1:40.743,1:40.394,1:41.171,1:41.525,1:41.085,1:40.890,1:41.184,1:41.346,1:41.439,1:41.049,1:43.689,1:57.827,1:39.007,1:38.944,1:38.853,1:38.983,1:39.300,1:39.099,1:39.202,1:38.961,1:39.173,1:39.121,1:38.947,1:39.012,1:38.865,1:38.893,1:39.327,1:39.049,1:38.974,1:39.296,1:38.407,1:38.336
