Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Jules Bianchi (BIA),2:09.920,1:58.043,1:57.471,1:57.500,1:57.993,1:57.511,1:57.826,1:58.141,1:59.924,2:11.117,2:30.178,2:20.699,1:54.981,1:55.439,1:55.092,1:54.711,1:55.283,1:55.211,1:57.284,1:55.264,2:06.001,1:59.595,2:04.202,2:38.944,2:22.044,2:04.355,2:08.680,1:54.882,1:54.651,2:17.809,1:56.979,1:55.934,1:56.517,1:57.047,1:54.538,1:55.620,1:55.680,1:56.846,1:56.486,2:03.943,2:13.172,1:53.208,1:54.277,1:53.504,1:52.898,1:54.264,1:53.314,1:53.428,1:54.055,1:54.588,1:53.398,1:55.423,1:54.245,1:53.513,1:54.458,1:55.003,1:54.827,1:55.542,1:56.097,1:58.960
Giedo van der Garde (VDG),2:08.639,1:57.952,1:57.029,1:56.462,1:56.449,1:56.655,1:56.372,1:56.123,1:56.128,1:56.264,1:56.412,1:56.389,2:03.411,2:16.647,1:55.108,1:55.675,1:57.073,1:55.553,1:55.176,1:54.934,1:54.888,1:55.306,1:54.868,1:55.440,2:08.015,2:27.891,2:24.404,2:26.771,2:37.830,2:38.640,1:56.634,1:55.803,1:54.901,1:54.187,1:54.290,1:54.273,1:54.425,1:54.313,1:56.861,1:54.847,1:54.791,2:03.373,2:15.076,1:52.472,1:52.913,1:52.716,1:53.452,1:52.982,1:53.430,1:53.704,1:53.701,1:53.320,1:54.509,1:55.486,1:55.468,1:56.303,1:55.325,1:54.927,1:55.083,1:56.166
Valtteri Bottas (BOT),2:09.040,1:57.822,1:57.144,1:56.713,1:56.295,1:56.543,1:56.580,1:56.360,1:55.955,1:56.269,1:56.721,1:56.323,2:05.751,2:16.751,1:54.099,1:54.218,1:55.026,1:54.054,1:53.116,1:53.294,1:53.222,1:53.449,1:53.708,2:03.376,2:34.069,2:18.019,2:02.275,2:34.013,2:38.016,2:39.388,1:56.441,1:56.420,1:56.510,1:54.237,1:54.194,1:54.247,1:54.009,1:54.344,1:54.732,1:52.803,1:53.319,2:01.200,2:18.520,1:52.476,1:51.911,1:51.963,1:51.798,1:52.459,1:52.653,1:53.143,1:52.065,1:51.908,1:51.706,1:51.894,1:53.624,1:52.841,1:52.391,1:52.625,1:53.640,1:54.127,1:56.484
Esteban Gutiérrez (GUT),2:04.097,1:56.264,1:55.886,1:54.840,1:56.679,1:54.987,1:54.639,1:55.148,1:55.532,1:55.583,2:02.860,2:12.483,1:52.212,1:52.825,1:54.147,1:56.041,1:53.766,1:53.966,1:53.597,1:53.028,1:52.948,1:53.257,1:53.610,1:54.136,2:26.765,2:43.949,2:04.636,2:50.337,2:38.088,2:40.196,1:54.554,1:53.320,1:53.382,1:53.225,1:54.764,1:54.006,1:52.007,1:52.192,1:52.707,1:52.590,1:52.416,1:52.730,1:52.871,1:52.827,1:53.531,1:54.149,1:53.056,1:52.859,1:56.339,1:55.841,1:53.593,1:54.187,1:53.139,1:56.193,1:54.732,1:56.885,1:56.227,1:55.427,1:59.236,1:56.975,1:58.564
Max Chilton (CHI),2:11.133,1:59.162,1:58.249,1:57.821,1:57.333,1:58.075,1:58.090,1:58.560,1:59.499,1:59.393,2:07.471,2:17.669,1:55.108,1:55.653,1:55.580,1:55.586,1:55.330,1:55.380,1:55.931,1:55.571,1:55.866,1:55.981,1:55.714,2:13.193,2:56.299,2:38.695,1:58.369,1:56.116,1:56.898,2:36.540,1:56.786,1:55.875,1:56.656,1:55.913,1:55.379,1:55.540,1:54.808,1:55.417,1:55.451,1:56.336,2:03.633,2:13.846,1:53.470,1:53.264,1:53.528,1:53.422,1:54.092,1:53.911,1:53.591,1:53.041,1:53.195,1:53.544,1:54.902,1:54.657,1:54.771,1:54.639,1:54.838,1:54.968,1:55.516,1:56.137
Charles Pic (PIC),2:10.482,1:58.284,1:57.370,1:57.344,1:58.226,1:57.306,1:57.832,1:58.045,1:59.932,1:59.809,2:05.402,2:18.109,1:55.416,1:55.217,1:55.166,1:55.411,1:55.011,1:55.061,1:55.095,1:55.016,1:55.097,1:54.553,1:55.303,2:04.029,2:33.927,2:31.981,1:57.894,2:01.352,2:37.480,2:38.220,1:56.877,1:55.662,1:56.453,1:55.025,1:54.727,1:54.561,1:54.265,1:54.712,1:55.162,1:54.519,1:55.937,1:56.372,1:56.259,1:55.260,1:54.981,1:54.843,1:54.970,1:55.144,1:55.163,1:56.545,1:55.797,1:55.468,1:56.065,2:07.026,2:18.048,1:51.325,1:51.778,1:50.990,1:51.564,1:53.795
Jean-Éric Vergne (VER),2:06.425,1:57.356,1:56.154,1:56.088,1:55.903,1:55.594,1:56.186,1:56.079,1:55.561,1:56.462,2:03.598,2:15.832,1:53.494,1:53.245,1:53.220,1:53.532,1:53.189,1:53.279,1:53.191,1:53.187,1:53.914,1:53.689,1:54.083,2:01.776,2:27.736,2:23.491,2:04.439,2:50.782,2:37.422,2:41.126,1:54.083,1:53.744,1:53.299,1:53.081,1:52.735,1:52.856,1:52.711,1:52.490,2:00.481,2:10.714,1:51.768,1:51.334,1:50.637,1:50.386,1:50.328,1:50.532,1:51.116,1:51.678,1:52.077,1:54.245,1:53.499,1:55.245,1:53.171,1:55.405,1:54.452,1:57.057,1:56.101,1:58.433,1:59.855,1:59.782,2:07.316
Daniel Ricciardo (RIC),2:06.095,1:57.105,1:55.986,1:55.817,1:55.644,1:55.309,1:55.134,1:55.155,1:55.346,1:55.405,1:55.829,1:55.490,1:55.840,1:56.728,2:02.527,2:18.026,1:53.753,1:53.891,1:53.355,1:53.291,1:53.222,1:53.493,1:53.052
Sergio Pérez (PER),2:03.469,1:56.316,1:55.437,1:54.877,1:55.386,1:54.467,1:54.703,1:54.561,1:54.686,1:54.366,1:54.513,1:54.825,1:55.455,2:01.165,2:12.145,1:57.298,1:53.412,1:52.844,1:52.045,1:52.147,1:52.661,1:52.472,1:52.993,1:52.780,2:23.809,2:39.270,2:15.847,2:50.316,2:38.596,2:41.926,1:53.725,1:53.985,1:53.255,1:53.023,1:52.390,1:52.617,1:52.597,1:52.961,1:52.804,1:52.411,1:52.381,1:53.085,1:52.561,1:52.085,1:52.503,1:51.926,1:52.186,1:52.292,1:52.364,1:52.568,1:53.327,1:53.663,1:53.412,1:55.039,1:56.026,1:55.665,1:57.692,1:58.705,1:58.073,1:57.941,1:58.903
Paul di Resta (DIR),2:05.231,1:57.024,1:55.896,1:55.342,1:55.607,1:55.365,1:54.934,1:54.908,1:55.020,1:55.265,1:55.235,1:54.353,1:54.615,1:54.326,1:54.509,1:54.374,1:54.013,1:53.826,1:54.172,2:01.410,2:14.123,1:52.799,1:52.873,1:53.044,2:18.811,2:18.771,2:22.831,2:51.286,2:39.318,2:42.490,1:54.638,1:53.790,1:53.118,1:52.315,1:52.545,1:52.671,1:52.636,1:52.254,1:52.596,1:52.264,1:52.159,1:58.702,2:10.922,1:51.226,1:50.739,1:50.889,1:51.104,1:51.234,1:52.737,1:51.935,1:51.007,1:50.927,1:51.399,1:51.644
Pastor Maldonado (MAL),2:07.051,1:57.486,1:56.163,1:56.011,1:56.156,1:55.672,1:55.925,1:56.073,1:55.540,1:56.366,1:56.210,1:54.466,1:55.652,1:56.000,2:00.017,2:05.296,2:13.688,1:53.085,1:53.003,1:53.324,1:52.990,1:53.228,1:53.337,1:53.722,2:26.669,2:39.820,2:00.001,2:36.462,2:38.279,2:39.570,1:55.187,1:54.428,1:54.166,1:53.238,1:53.179,1:53.880,1:53.264,1:53.416,1:53.080,1:52.969,1:58.746,2:12.793,1:52.300,1:51.240,1:51.096,1:50.708,1:51.650,1:51.057,1:51.190,1:51.206,1:51.313,1:51.900,1:52.119,1:52.876,1:54.675,1:56.972,1:55.846,1:55.087,1:55.391,1:54.590,1:54.787
Nico Hülkenberg (HUL),2:02.864,1:56.337,1:55.213,1:54.971,1:54.952,1:54.834,1:54.455,1:54.312,1:54.278,1:54.246,1:54.896,1:55.037,2:02.274,2:11.902,1:54.452,1:58.031,1:52.447,1:55.227,1:52.453,1:52.733,1:52.530,1:52.458,1:53.018,1:52.955,2:22.576,2:39.827,2:15.503,2:50.615,2:38.417,2:41.357,1:53.909,1:53.996,1:53.161,1:53.183,1:52.444,1:52.676,1:52.611,1:52.871,1:53.015,1:52.328,1:52.414,1:53.114,1:52.693,1:52.524,1:52.262,1:52.272,1:52.186,1:52.318,1:52.630,1:52.376,1:53.016,1:53.399,1:53.264,1:55.381,1:58.668,1:55.047,1:55.454,1:58.110,1:58.298,1:57.707,1:58.896
Romain Grosjean (GRO),2:00.392,1:55.352,1:55.010,1:54.440,1:54.500,1:54.241,1:53.539,1:53.700,1:53.621,1:53.576,1:53.635,1:53.513,1:53.429,1:53.922,2:02.573,2:13.264,1:52.969,1:52.341,1:52.915,1:53.765,1:53.213,1:52.840,1:52.873,1:52.638,2:18.291,2:35.187,2:32.071,2:51.049,2:39.540,2:42.713,1:54.645,1:53.448,2:00.881,2:55.606,1:51.097,1:51.398,2:03.713
Sebastian Vettel (VET),1:55.509,1:52.866,1:53.005,1:53.318,1:53.265,1:53.029,1:53.069,1:53.142,1:52.901,1:53.339,1:53.016,1:53.222,1:52.756,1:53.299,1:53.663,1:53.784,2:01.858,2:12.729,1:52.188,1:52.179,1:52.113,1:51.875,1:51.881,1:52.109,2:07.497,2:53.267,2:40.944,2:52.511,2:38.157,2:45.170,1:51.773,1:50.641,1:50.430,1:50.996,1:50.687,1:50.182,1:50.185,1:50.123,1:50.259,1:50.262,1:50.022,1:50.511,1:51.109,1:58.873,2:10.016,1:48.574,1:49.811,1:50.437,1:50.570,1:50.479,1:50.089,1:50.303,1:50.309,1:50.683,1:49.701,1:52.338,1:50.663,1:49.242,1:49.416,1:50.919,1:55.868
