Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Jules Bianchi (BIA),1:55.073,1:46.865,1:46.060,1:46.677,1:47.370,1:51.046,2:02.341,1:45.110,1:46.154,1:46.495,1:45.565,1:46.388,1:45.568,1:45.579,1:45.019,1:49.413,2:04.763,1:43.995,1:44.211,1:43.924,1:43.431,1:43.663,1:44.554,1:44.157,1:43.747,1:43.977,1:44.071,1:44.321,1:44.506,1:44.286,1:44.218,1:48.769,1:59.865,1:42.162,1:41.537,1:42.280,1:41.812,1:41.980,1:42.181,1:42.724,1:42.371,1:42.081,1:43.196,1:42.696,1:42.838,1:43.138,1:42.448,1:41.883,1:42.172,1:42.091,1:43.870,1:43.081,1:42.365,1:43.594,1:45.137
Giedo van der Garde (VDG),1:55.861,1:47.069,1:46.616,1:46.972,1:48.277,1:53.978,2:02.607,1:45.319,1:45.786,1:46.408,1:46.055,1:46.330,1:46.426,1:46.517,1:48.294,1:46.868,1:47.060,1:46.752,1:47.086,1:53.036,2:01.082,1:43.671,1:43.907,1:44.618,1:44.365,1:44.647,1:44.902,1:45.147,1:45.176,1:44.973,1:45.056,1:45.177,1:47.053,1:45.541,1:45.841,1:46.211,1:50.282,2:02.072,1:42.378,1:42.858,1:42.602,1:42.357,1:42.610,1:44.908,1:44.017,1:43.846,1:44.962,1:43.794,1:45.072,1:43.786,1:43.786,1:43.885,1:44.052,1:45.426,1:44.614
Valtteri Bottas (BOT),1:54.748,1:46.671,1:45.837,1:45.665,1:45.942,1:46.537,1:48.054,1:46.612,1:45.492,1:46.286,1:47.146,1:45.490,1:44.784,1:45.433,1:45.046,1:49.831,2:01.539,1:43.767,1:44.083,1:45.018,1:43.250,1:43.883,1:44.873,1:45.199,1:44.623,1:44.240,1:44.336,1:44.698,1:44.891,1:44.435,1:43.666,1:43.872,1:43.648,1:48.647,2:00.663,1:40.797,1:41.312,1:42.237,1:42.233,1:42.237,1:41.696,1:41.920,1:41.784,1:42.514,1:42.181,1:41.964,1:42.146,1:42.218,1:42.645,1:42.355,1:46.353,1:56.854,1:38.200,1:39.664,1:40.057,1:40.534
Esteban Gutiérrez (GUT),1:52.827,1:44.775,1:44.829,1:44.959
Max Chilton (CHI),1:56.332,1:47.609,1:46.729,1:46.557,1:47.957,1:49.632,1:54.746,2:03.112,1:45.202,1:45.416,1:45.086,1:45.561,1:45.392,1:45.345,1:46.055,1:45.628,1:45.828,1:45.903,1:45.938,1:45.522,1:50.806,2:06.147,1:43.383,1:44.120,1:43.831,1:43.524,1:45.210,1:43.424,1:44.400,1:43.399,1:43.641,1:44.087,1:48.559,2:05.300,1:42.249,1:42.639,1:44.221,1:42.430,1:41.978,1:42.633,1:44.190,1:44.599,1:42.603,1:43.070,1:43.257,1:43.358,1:42.603,1:43.129,1:44.338,1:43.294,1:45.377,1:43.792,1:42.684,1:42.605,1:42.316
Charles Pic (PIC),1:57.049,1:47.374,1:45.876,1:45.779,1:50.969,2:01.440,1:44.512,1:45.735,1:47.647,1:46.210,1:45.769,1:46.273,1:45.501,1:45.200,1:45.309,1:45.157,1:49.410,2:02.040,1:43.785,1:44.173,1:43.830,1:43.953,1:44.186,1:44.060,1:43.931,1:44.232,1:44.498,1:44.453,1:44.494,1:44.442,1:44.447,1:44.496,1:48.951,1:59.589,1:42.085,1:42.287,1:42.142,1:42.565,1:42.497,1:42.566,1:42.377,1:42.197,1:42.126,1:42.790,1:43.199,1:42.658,1:42.425,1:41.997,1:44.007,1:42.526,1:42.649,1:42.284,1:42.510,1:43.552,1:44.663
Jean-Éric Vergne (VER),1:56.745,1:46.840,1:45.435,1:45.123,1:45.571,1:46.126,1:47.098,1:44.028,1:45.977,1:44.520,1:45.144,1:44.578,1:44.837,1:46.173,2:00.770,2:00.382,1:43.016,1:43.194,1:43.917,1:45.008,1:43.239,1:43.859,1:43.595,1:43.334,1:44.083,1:43.235,1:43.275,1:43.290,1:43.778,1:43.374,1:43.415,1:43.844,1:43.173,1:43.536,1:44.635,1:43.306,1:48.176,1:56.588,1:40.372,1:40.835,1:40.817,1:41.362,1:45.574,1:58.597,1:40.456,1:40.450,1:40.197,1:40.399,1:40.633,1:40.868,1:40.379,1:40.534,1:40.228,1:40.885,1:40.608,1:40.138
Daniel Ricciardo (RIC),1:49.736,1:44.498,1:44.308,1:52.263,2:05.153,1:44.130,1:43.808,1:43.876,1:44.737,1:44.023,1:44.332,1:44.857,1:44.602,1:45.796,1:44.737,1:44.838,1:44.034,1:44.276,1:44.768,1:44.275,1:44.176,1:44.155,1:49.366,1:59.349,1:41.852,1:41.924,1:42.111,1:41.968,1:41.969,1:42.315,1:42.255,1:42.346,1:42.230,1:42.027,1:42.172,1:42.195,1:43.109,1:46.951,1:59.157,1:40.954,1:41.398,1:40.616,1:40.719,1:40.650,1:40.685,1:41.773,1:41.475,1:41.363,1:41.243,1:41.074,1:40.953,1:40.419,1:40.362,1:40.446,1:40.240,1:40.592
Sergio Pérez (PER),1:53.668,1:45.586,1:44.652,1:44.762,1:44.987,1:45.026,1:46.161,1:44.876,1:44.524,1:44.738,1:44.792,1:45.398,1:45.244,1:46.071,1:45.222,1:47.383,1:45.418,1:45.022,1:45.128,1:46.940,1:45.468,1:45.102,1:44.850,1:50.111,1:58.307,1:41.359,1:41.513,1:42.285,1:43.161,1:45.184,1:47.926,1:58.617,1:41.418,1:41.878,1:41.779,1:41.948,1:42.277,1:41.823,1:42.273,1:41.925,1:42.774,1:43.148,1:42.422,1:43.488,1:42.628,1:43.107,1:42.614,1:41.811,1:42.319,1:42.504,1:41.959,1:41.427,1:41.772,1:41.330,1:41.281,1:41.419
Paul di Resta (DIR),1:53.849,1:46.169,1:44.419,1:44.617,1:45.471,1:45.397,1:45.552,1:44.852,1:44.657,1:44.958,1:45.059,1:45.006,1:45.680,1:50.049,1:58.771,1:43.097,1:43.749,1:43.619,1:44.460,1:44.146,1:44.316,1:44.127,1:45.447,1:43.937,1:43.983,1:43.756,1:43.674,1:43.544,1:43.324,1:43.506,1:43.212,1:49.205,1:57.367,1:41.031,1:41.744,1:41.434,1:41.138,1:41.342,1:41.403,1:41.467,1:41.325,1:41.307,1:41.590,1:41.446,1:41.515,1:41.729,1:41.491,1:40.911,1:40.932,1:40.744,1:40.666,1:40.660,1:44.726,1:55.464,1:40.101,1:40.888
