Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Jules Bianchi (BIA),1:50.319,1:42.143,1:40.560,1:41.155,1:42.374,1:58.423,1:40.822,1:40.867,1:40.986,1:40.924,1:41.013,1:41.697,1:41.041,1:40.966,1:41.026,1:40.704,1:41.147,1:42.468,1:56.542,1:39.844,1:40.155
Giedo van der Garde (VDG),1:48.928,1:41.413,1:40.583,1:41.239,1:42.586,1:58.279,1:40.423,1:41.745,1:41.105,1:40.800,1:40.987,1:40.978,1:41.280,1:41.145,1:40.810,1:40.823,1:41.283,1:41.039,1:43.413,1:57.904,1:40.160,1:41.740,1:42.757,2:01.554,1:42.003,1:42.021,2:10.537,2:20.540,2:20.867,1:41.883,1:39.836,1:39.770,1:39.389,1:39.615,1:40.045,1:40.050,1:40.093,1:42.610,1:56.043,1:38.509,1:38.987,1:38.930,1:38.854,1:38.827,1:38.870,1:39.040,1:38.590,1:38.652,1:38.653,1:38.631,1:38.839,1:38.536,1:40.879,1:39.473,1:39.064,1:39.481,1:40.152,1:41.817,1:42.541
Valtteri Bottas (BOT),1:49.722,1:42.100,1:40.425,1:41.044,1:39.835,1:39.686,1:39.443,1:39.476,1:39.060,1:39.297,1:39.269,1:39.222,1:39.285,1:39.113,1:39.011,1:39.351,1:38.858,1:39.857,1:40.050,1:40.172,1:42.384,1:42.951,2:10.099,2:01.701,2:03.543,1:50.512,2:10.749,2:20.537,2:21.672,1:41.481,1:38.414,1:38.155,1:37.902,1:38.104,1:37.762,1:37.713,1:38.104,1:37.715,1:37.562,1:39.057,1:38.172,1:37.271,1:37.073,1:37.085,1:37.165,1:37.993,1:37.870,1:37.135,1:37.102,1:37.092,1:37.083,1:37.204,1:37.085,1:42.426,2:17.851,1:33.972,1:43.462,1:34.846,1:35.666
Esteban Gutiérrez (GUT),1:48.680,1:40.758,1:39.773,1:40.072,1:39.347,1:42.053,1:54.511,1:38.656,1:38.642,1:38.543,1:38.206,1:38.642,1:38.553,1:38.253,1:38.808,1:38.905,1:38.762,1:40.063,1:39.157,1:39.428,1:40.085,1:42.791,1:53.960,1:59.060,2:03.408,1:54.620,2:21.835,2:20.448,2:22.029,1:39.932,1:38.630,1:37.683,1:37.865,1:37.923,1:37.881,1:37.794,1:37.466,1:37.793,1:37.269,1:37.544,1:39.682,1:53.962,1:35.920,1:36.547,1:36.637,1:36.751,1:36.238,1:36.059,1:35.980,1:37.207,1:36.221,1:37.197,1:36.087,1:36.636,1:36.315,1:35.792,1:36.026,1:36.025,1:37.931,1:35.830
Max Chilton (CHI),1:51.141,1:42.915,1:41.287,1:41.658,1:41.020,1:41.509,1:40.535,1:44.771,1:58.651,1:41.799,1:40.659,1:41.052,1:40.969,1:41.027,1:40.644,1:40.156,1:40.748,1:40.100,1:40.772,1:43.238,1:57.363,1:40.189,1:46.786,2:03.488,1:44.394,1:43.697,1:59.281,2:20.627,2:19.610,1:41.553,1:39.987,1:39.911,1:39.564,1:39.856,1:39.923,1:40.044,1:42.096,1:57.596,1:38.816,1:39.056,1:39.314,1:38.991,1:38.870,1:38.779,1:39.531,1:38.979,1:38.383,1:38.964,1:39.169,1:40.225,1:40.023,1:41.637,1:38.623,1:38.981,1:40.036,1:40.316,1:40.599,1:40.576,1:39.931
Charles Pic (PIC),1:50.619,1:42.819,1:41.216,1:43.666,1:59.457,1:40.017,1:40.384,1:40.306,1:40.866,1:40.942,1:40.786,1:41.414,1:41.130,1:41.052,1:40.840,1:40.554,1:41.060,1:40.602,1:40.639,1:40.323,1:40.221,1:40.108,1:40.958,2:06.491,2:01.292,1:42.495,2:08.417,2:20.197,2:20.797,1:42.903,1:40.490,1:40.364,1:39.879,1:42.704,1:59.445,1:39.529,1:38.960,1:39.391,1:38.929,1:38.887,1:38.798,1:38.435,1:38.440,1:38.610,1:39.281,1:38.734,1:38.468,1:38.688,1:39.008,1:39.320,1:37.584,1:38.056,1:40.275,1:38.227,1:38.928,1:39.472,1:40.368,1:40.458,1:38.209
Jean-Éric Vergne (VER),1:49.178,1:41.528,1:40.600,1:43.828,1:58.718,1:39.746,1:40.282,1:40.709,1:39.398,1:39.495,1:39.437,1:39.281,1:39.506,1:39.948,1:39.307,1:39.878,1:40.151,1:39.760,1:39.685,1:39.715,1:40.363,1:50.545
Daniel Ricciardo (RIC),1:43.464,1:39.380,1:38.952,1:38.431,1:41.631,1:55.702,1:38.864,1:38.814,1:38.669,1:38.733,1:38.741,1:38.539,1:39.081,1:39.182,1:39.233,1:39.118,1:39.203,1:41.979,1:55.297,1:39.663,1:38.908,1:38.266,1:39.121,1:57.156,2:02.256,2:02.913,2:21.996,2:20.787,2:22.851,1:39.631,1:38.164,1:38.105,1:37.543,1:37.852,1:37.670,1:37.866,1:37.586,1:37.529,1:37.638,1:39.957,1:54.205,1:36.170,1:36.092,1:36.142,1:36.342,1:36.034,1:36.007,1:36.441,1:36.166,1:36.009,1:36.293,1:36.926,1:36.812,1:37.396,1:36.312,1:36.967,1:36.064,1:35.982,1:36.672,1:36.183
Sergio Pérez (PER),1:45.042,1:39.488,1:38.838,1:39.106,1:38.879,1:38.479,1:40.760,1:55.305,1:38.637,1:38.829,1:38.663,1:38.550,1:39.032,1:39.222,1:39.220,1:39.095,1:39.327,1:39.122,1:38.948,1:40.056,1:38.203,1:38.686,1:38.507,1:55.147,2:16.511,2:07.818,2:22.201,2:20.543,2:23.697,1:39.298,1:37.889,1:37.445,1:37.676,1:37.519,1:37.613,1:37.053,1:37.010,1:36.492,1:36.761,1:37.007,1:37.399,1:36.703,1:36.462,1:36.890,1:37.128,1:36.576,1:36.593,1:36.548,1:36.507,1:36.134,1:37.941,1:37.029,1:36.234,1:36.226,1:36.697,1:36.589,1:36.161,1:36.884,1:36.678,1:37.964
Paul di Resta (DIR),1:46.799,1:40.496,1:39.556,1:41.742,1:55.818,1:38.775,1:38.875,1:39.392,1:38.528,1:38.675,1:38.829,1:38.904,1:38.914,1:38.801,1:38.733,1:38.882,1:38.885,1:39.902,1:39.231,1:38.982,1:38.831,1:39.807,1:39.433,1:58.453,2:16.064,2:01.081,2:21.899,2:20.462,2:22.434,1:39.882,1:38.300,1:37.972,1:37.651,1:37.672,1:37.827,1:37.846,1:37.652,1:37.591,1:37.513,1:37.595,1:36.862,1:36.629,1:36.566,1:36.654,1:36.950,1:37.026,1:36.858,1:37.898,1:37.400,1:38.060,1:36.770,1:36.975,1:37.393,1:36.676,1:36.992,1:36.937,1:37.076,1:37.803,1:38.456,1:37.817
