Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Timo Glock (GLO),2:47.040,2:21.582,1:43.554,1:40.513,1:37.572,1:37.263,1:40.866,1:36.885,1:36.612,1:37.103,1:37.680,1:36.725,1:37.566,1:37.347,1:37.403,1:38.600,1:36.924,1:36.672,1:36.181,1:35.920,1:35.748,1:35.768,1:35.806,1:36.094,1:41.277,2:06.368,1:37.304,1:37.030,1:38.080,1:37.747,1:37.469,1:36.854,1:41.160,2:01.414,1:35.974,1:34.684,1:34.525,1:34.579,1:34.500,1:35.583,1:34.068,1:34.956,1:33.808,1:33.282,1:33.571,1:33.934,1:33.914,1:33.951,1:31.661,1:33.835,1:30.838,1:30.644,1:29.948
Robert Kubica (KUB),2:50.741,2:18.827,1:45.149,1:39.679,1:38.062,1:36.976,1:37.659,1:37.115,1:36.877,1:37.201,1:36.960,1:37.243,1:37.721,1:37.442,1:37.418,1:37.701,1:37.862,1:36.777,1:37.951,1:37.119,1:37.164,1:37.088,1:37.135,1:36.991,1:36.833,1:37.150,1:36.663,1:37.010,1:36.086,1:36.124,1:35.842,1:35.862,1:35.680,1:40.060,2:06.060,1:35.093,1:34.418,1:34.379,1:34.606,1:34.368,1:34.441,1:34.088,1:33.820,1:33.408,1:32.931,1:32.366,1:32.541,1:32.156,1:32.290,1:30.782,1:31.097,1:30.298,1:30.655
Kimi Räikkönen (RAI),2:55.150,2:15.081,1:47.705,1:41.596,1:38.643,1:37.342,1:37.671,1:37.497,1:36.559,1:36.750,1:38.345,1:36.635,1:37.565,1:37.101,1:36.514,1:36.890,1:37.034,1:36.569,1:36.913,1:37.067,1:36.579,1:37.265,1:37.172,1:36.544,1:36.828,1:42.174,2:00.647,1:34.868,1:35.397,1:36.090,1:35.222,1:35.353,1:35.328,1:35.360,1:41.544,2:05.008,1:35.149,1:35.674,1:35.115,1:34.764,1:34.576,1:35.111,1:33.478,1:32.733,1:32.595,1:31.691,1:33.617,1:30.130,1:29.844,1:29.639,1:29.649,1:29.144,1:28.047
Sébastien Bourdais (BOU),5:22.148,1:41.275,1:42.988,1:40.053,1:36.486,1:38.367,1:37.519,1:37.139,1:37.159,1:36.193,1:37.198,1:36.873,1:35.881,1:36.103,1:37.240,1:35.903,1:35.937,1:35.796,1:36.260,1:36.743,1:42.327,2:04.949,1:36.452,1:36.100,1:35.866,1:36.171,1:36.300,1:41.536,2:07.520,1:37.023,1:36.553,1:36.657,1:38.291,1:34.467,1:34.994,1:35.026,1:35.230,1:34.985,1:34.958,1:35.171,1:35.016,1:34.564,1:34.772,1:33.758,1:33.284,1:33.157,1:32.998,1:31.564,1:34.359,1:30.595,1:30.098,1:29.258
Kazuki Nakajima (NAK),3:02.734,2:18.171,1:42.016,1:41.383,1:39.442,1:38.347,1:38.516,1:39.573,1:37.771,1:38.239,1:38.354,1:38.998,1:38.081,1:37.794,1:38.133,1:37.909,1:37.900,1:37.639,1:37.611,1:37.816,1:37.449,1:37.228,1:37.037,1:37.188,1:36.981,1:36.911,1:36.669,1:36.838,1:36.600,1:36.679,1:41.371,2:05.359,1:35.549,1:35.084,1:35.061,1:35.786,1:36.382,1:35.507,1:34.773,1:34.979,1:35.034,1:35.217,1:37.169,1:33.531,1:33.418,1:33.228,1:32.883,1:33.882,1:32.564,1:35.345,1:30.728,1:30.437,1:30.215
Heikki Kovalainen (KOV),2:37.934,2:28.498,1:38.357,1:37.241,1:36.647,1:35.780,1:35.593,1:35.542,1:35.316,1:35.606,1:35.391,1:36.129,1:36.367,1:37.360,1:36.252,1:35.779,1:35.883,1:35.984,1:35.972,1:36.617,1:36.073,1:40.622,2:05.444,1:36.559,1:36.403,1:36.349,1:36.434,1:36.288,1:36.154,1:36.013,1:35.936,1:35.458,1:35.391,1:40.303,2:02.735,1:34.449,1:34.192,1:34.500,1:34.289,1:34.036,1:34.295,1:33.952,1:33.989,1:33.758,1:33.518,1:33.111,1:33.009,1:32.935,1:32.205,1:31.133,1:31.293,1:30.632,1:30.300
Fernando Alonso (ALO),2:44.910,2:23.224,1:44.303,1:39.425,1:37.596,1:37.533,1:36.933,1:37.169,1:35.602,1:37.382,1:37.438,1:37.221,1:36.600,1:37.967,1:37.752,1:37.326,1:38.076,1:37.474,1:38.717,1:36.435,1:39.082,1:36.925,1:37.490,1:37.342,1:36.945,1:37.180,1:36.694,1:36.920,1:36.125,1:40.723,2:08.229,1:35.804,1:36.218,1:34.855,1:35.447,1:35.456,1:34.829,1:36.021,1:34.979,1:34.581,1:34.644,1:34.497,1:33.990,1:33.753,1:33.304,1:32.913,1:32.330,1:31.855,1:30.820,1:30.587,1:29.961,1:30.820,1:30.995
Nico Rosberg (ROS),2:40.113,2:26.731,1:41.842,1:38.067,1:37.159,1:36.646,1:37.211,1:36.753,1:36.759,1:36.445,1:36.921,1:37.409,1:39.796,1:37.828,1:38.083,1:37.241,1:36.851,1:36.789,1:37.246,1:37.232,1:36.857,1:37.103,1:36.792,1:37.811,1:36.664,1:37.036,1:37.522,1:41.666,2:10.380,1:37.486,1:37.627,1:37.746,1:41.484,2:03.837,1:35.570,1:35.261,1:36.646,1:36.070,1:35.744,1:35.703,1:35.003,1:34.841,1:34.572,1:34.484,1:34.252,1:33.313,1:33.199,1:32.980,1:31.732,1:32.069,1:30.983,1:30.555,1:30.019
Nick Heidfeld (HEI),2:49.287,2:20.030,1:47.250,1:40.572,1:38.551,1:37.143,1:37.538,1:37.065,1:36.780,1:37.075,1:37.568,1:37.017,1:37.201,1:38.436,1:36.921,1:37.717,1:37.006,1:36.600,1:37.310,1:36.632,1:37.068,1:37.055,1:37.465,1:37.908,1:36.698,1:37.316,1:36.554,1:36.883,1:42.106,2:05.980,1:35.302,1:35.618,1:35.675,1:35.451,1:35.612,1:35.337,1:34.775,1:35.442,1:35.806,1:35.142,1:34.451,1:33.896,1:34.175,1:33.242,1:33.643,1:32.988,1:32.805,1:32.295,1:32.013,1:31.501,1:30.975,1:30.559,1:29.807
Lewis Hamilton (HAM),2:57.228,2:15.927,1:45.372,1:41.924,1:38.627,1:37.669,1:37.367,1:37.302,1:37.613,1:36.100,1:36.006,1:36.250,1:36.184,1:36.125,1:36.307,1:37.431,1:35.291,1:35.460,1:35.637,1:35.196,1:36.321,1:37.210,1:35.627,1:34.468,1:34.324,1:35.714,1:40.293,2:04.945,1:35.184,1:35.773,1:36.408,1:36.341,1:36.346,1:36.022,1:36.043,1:40.373,1:58.834,1:32.869,1:33.232,1:33.405,1:34.095,1:34.073,1:34.007,1:34.108,1:33.549,1:33.363,1:33.347,1:33.216,1:31.871,1:31.092,1:30.370,1:29.721,1:29.846
