Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Rubens Barrichello (BAR),1:33.072,1:22.043,1:20.796,1:20.483,1:19.966,1:19.542,1:19.341,1:19.160,1:19.500,1:19.125,1:19.203,1:19.059,1:19.197,1:19.122,1:18.813,1:18.620,1:18.254,1:18.368,1:18.378,1:18.218,1:18.109,1:18.105,1:18.313,1:18.023,1:18.155,1:18.372,1:18.185,1:19.830,1:18.565,1:17.986,1:21.805,1:39.410,1:18.497,1:18.489,1:21.887,2:31.139,2:12.875,2:07.830,1:28.574,1:20.423,1:30.371,1:20.631,1:20.079,1:20.032,1:19.961,1:19.369,1:19.148,1:19.048,1:44.071,1:55.076
Giancarlo Fisichella (FIS),1:33.860,1:22.660,1:21.845,1:20.974,1:20.509,1:20.245,1:19.596,1:19.462,1:19.429,1:19.677,1:21.059,1:19.722,1:19.325,1:19.480,1:20.521,1:20.264,1:19.946,1:19.114,1:18.765,1:18.518,1:18.528,1:18.560,1:18.745,1:18.244,1:18.278,1:18.613,1:21.939,1:37.321,1:18.533,1:19.016,1:18.722,1:20.215,1:19.039,1:18.479,1:25.535,2:14.708,2:07.049,2:15.371,1:28.989,1:21.123,1:24.151,1:20.927,1:20.719,1:20.197,1:20.948,1:20.147,1:20.032,1:19.629,1:19.736,1:19.139,1:19.557,1:19.161,1:19.070,1:19.198,1:18.945,1:18.778,1:18.779,1:19.518,1:18.949,1:18.623,1:20.662,1:18.862,1:18.544,1:18.474,1:18.588,1:18.448,1:43.208
Sebastian Vettel (VET),1:29.297,1:19.784,1:19.181,1:19.260,1:18.388,1:18.072,1:17.979,1:17.978,1:17.866,1:17.550,1:18.108,1:17.486,1:17.637,1:17.563,1:17.962,1:17.401,1:17.099,1:17.166,1:16.914,1:16.772,1:20.231,1:39.542,1:18.728,1:18.500,1:18.165,1:17.909,1:17.844,1:18.010,1:18.086,1:18.800,1:17.864,1:17.526,1:17.935,1:17.808,1:18.080,1:27.638,1:54.828,2:04.588,2:13.806,2:09.503,1:56.090,1:21.030,1:20.294,1:20.089,1:19.541,1:19.235,1:18.729,1:18.644,1:18.683,1:18.353,1:18.610,1:18.549,1:18.032,1:18.173,1:18.157,1:18.149,1:18.192,1:18.354,1:18.137,1:19.069,1:18.037,1:17.424,1:17.474,1:17.505,1:17.554,1:17.962,1:19.236
Jenson Button (BUT),1:31.599,1:21.620,1:21.120,1:19.925,1:19.448,1:19.158,1:19.522,1:20.039,1:18.823,1:18.754,1:18.390,1:18.742,1:20.647,1:18.599,1:18.500,1:18.507,1:18.357,1:18.327,1:18.238,1:18.007,1:17.976,1:18.069,1:18.296,1:18.681,1:18.772,1:18.592,1:21.502,1:40.102,1:19.142,1:18.838,1:18.908,1:20.960,1:19.613,1:19.931,1:26.507,2:29.585,2:08.797,2:07.068,2:09.829,1:58.996,1:22.815,1:18.681,1:18.328,1:17.969,1:18.291,1:17.849,1:17.974,1:17.748,1:17.837,1:17.803,1:17.911,1:17.802,1:18.751,1:20.894,1:36.938,1:17.636,1:18.150,1:18.046,1:18.106,1:18.350,1:17.787,1:17.807,1:17.987,1:17.770,1:17.665,1:17.922
Mark Webber (WEB),1:29.626,1:20.131,1:19.166,1:19.122,1:18.683,1:18.470,1:18.173,1:18.180,1:17.998,1:17.827,1:17.950,1:17.897,1:17.656,1:17.976,1:17.765,1:17.855,1:17.560,1:17.497,1:17.213,1:17.206,1:17.306,1:17.279,1:20.678,1:39.287,1:18.607,1:18.341,1:18.119,1:17.872,1:18.270,1:18.423,1:18.339,1:18.158,1:18.419,1:17.939,1:17.907,1:26.433,1:55.227,2:01.677,2:17.799,2:06.711
Adrian Sutil (SUT),1:34.472,1:22.442,1:26.774,1:19.823,1:19.278,1:19.311,1:18.992,1:19.405,1:19.378,1:19.160,1:18.981,1:19.249,1:18.742,1:18.769,1:18.825,1:18.467,1:18.446,1:18.189,1:18.486,1:18.218,1:18.264,1:18.136,1:18.280,1:18.863,1:21.895,1:41.847,1:20.748,1:18.997,1:18.783,1:18.656,1:18.395,1:18.318,1:18.623,1:18.829,1:27.978,2:16.325,2:11.514,2:06.219,1:34.409,1:41.165,1:20.140,1:19.562,1:19.675,1:19.340,1:19.220,1:19.049,1:18.852,1:19.002,1:19.442,1:18.889,1:19.889,1:20.271,1:20.641,1:20.294,1:19.013,1:18.332,1:18.578,1:18.741,1:18.364,1:20.249,1:18.339,1:18.188,1:22.070,1:18.370,1:17.990,1:17.889,1:18.322
Jarno Trulli (TRU),1:27.616,1:19.370,1:19.247,1:19.358,1:18.033,1:17.979,1:17.411,1:17.528,1:17.532,1:17.323,1:17.206,1:17.424,1:17.323,1:17.063,1:17.312,1:17.202,1:17.023,1:17.190,1:20.945,1:39.668,1:18.461,1:18.173,1:18.459,1:18.126,1:18.064,1:18.047,1:17.831,1:18.255,1:18.255,1:18.304,1:18.301,1:18.029,1:18.303,1:18.150,1:18.143,1:21.571,2:01.286,2:05.342,2:13.565,2:09.381,1:56.528,1:21.189,1:20.192,1:19.499,1:19.123,1:19.818,1:18.685,1:18.747,1:18.464,1:18.504,1:18.538,1:18.340,1:18.205,1:17.996,1:18.045,1:18.284,1:18.229,1:18.362,1:18.039,1:21.410,1:18.657,1:18.213,1:18.072,1:18.184,1:18.197,1:18.001,1:18.753
David Coulthard (COU),1:32.141,1:21.459,1:21.175,1:19.886,1:19.485,1:19.157,1:19.548,1:19.965,1:18.821,1:18.846,1:18.300,1:18.712,1:17.845,1:17.626,1:17.664,1:17.475,1:17.055,1:16.994,1:17.122,1:17.419,1:20.732,1:40.520,1:18.045,1:18.268,1:18.155,1:18.622,1:18.484,1:18.259,1:18.612,1:18.451,1:18.472,1:18.591,1:18.481,1:18.382,1:20.677,1:21.412,1:43.915,1:59.788,2:19.653,2:06.504,1:53.766,1:21.018,1:19.851,1:20.246,1:19.701,1:19.268,1:19.523,1:18.882,1:31.571,1:19.050,1:19.389,1:19.308,1:18.415,1:18.484,1:18.390,1:18.119,1:18.600,1:18.399,1:18.607,1:18.081,1:18.078,1:17.960,1:17.841,1:18.041,1:18.358,1:18.179,1:18.002
Felipe Massa (MAS),1:25.007,1:18.618,1:18.062,1:17.199,1:16.901,1:16.921,1:17.339,1:16.968,1:16.908,1:16.668,1:16.602,1:17.642,1:17.038,1:16.773,1:16.594,1:17.115,1:16.694,1:16.884,1:16.502,1:19.856,1:38.093,1:17.401,1:17.485,1:17.257,1:17.541,1:17.428,1:17.242,1:17.924,1:17.224,1:17.475,1:17.484,1:17.445,1:17.544,1:17.495,1:17.621,1:25.122,2:17.208,2:08.012,2:15.218,2:10.243,1:57.879,1:19.985,1:18.617,1:18.206,1:18.024,1:17.846,1:17.922,1:18.045,1:17.774,1:17.690,1:17.813,1:17.843,1:17.710,1:17.270,1:17.526,1:17.122,1:20.717,1:17.619,1:17.238,1:16.917,1:17.147,1:16.853,1:16.938,1:16.846,1:16.935,1:17.443,1:17.535
Nelson Piquet Jr. (PIQ),1:33.369,1:22.637,1:20.999,1:20.500,1:19.995,1:19.751,1:19.489,1:19.153,1:19.570,1:18.803,1:19.275,1:19.079,1:19.265,1:19.168,1:18.975,1:18.775,1:18.503,1:18.064,1:18.302,1:18.440,1:18.045,1:18.153,1:18.449,1:18.121,1:18.286,1:18.139,1:18.209,1:18.485,1:18.977,1:18.255,1:18.431,1:17.739,1:17.770,1:17.827,1:21.251,1:45.746,1:33.242,1:56.256,2:06.132,2:09.882,1:58.489,1:19.681,1:18.367,1:18.163,1:18.146,1:17.824,1:17.784,1:17.628,1:17.559,1:17.546,1:18.129,1:17.541,1:17.741,1:17.365,1:17.269,1:17.441,1:17.675,1:17.345,1:17.371,1:18.386,1:17.169,1:17.136,1:16.976,1:16.951,1:17.046,1:16.910,1:17.315
Timo Glock (GLO),1:30.065,1:20.826,1:19.370,1:19.132,1:18.685,1:18.604,1:18.321,1:18.187,1:18.590,1:18.055,1:18.115,1:17.868,1:17.946,1:18.444,1:17.722,1:17.933,1:17.399,1:17.798,1:17.792,1:17.409,1:17.258,1:17.187,1:17.328,1:16.712,1:16.997,1:17.211,1:17.110,1:17.046,1:21.165,1:39.595,1:18.081,1:17.882,1:18.040,1:17.865,1:20.179
Robert Kubica (KUB),1:26.949,1:19.267,1:19.617,1:18.304,1:17.912,1:17.619,1:17.116,1:17.346,1:17.218,1:16.851,1:16.994,1:17.031,1:17.136,1:17.090,1:16.885,1:17.178,1:16.610,1:20.364,1:39.561,1:17.958,1:17.992,1:17.723,1:18.039,1:17.671,1:17.561,1:17.576,1:17.451,1:17.538,1:17.620,1:17.380,1:17.411,1:17.100,1:17.520,1:17.662,1:17.356,1:21.998,2:12.007,2:05.082,2:13.346,2:10.251,1:57.879,1:20.893,1:20.720,1:19.046,1:18.449,1:18.501,1:18.346,1:18.533,1:17.981,1:18.206,1:18.378,1:18.272,1:18.197,1:17.934,1:17.862,1:17.424,1:17.923,1:17.920,1:17.679,1:19.052,1:17.785,1:17.449,1:17.405,1:17.360,1:17.550,1:17.886,1:17.557
Kimi Räikkönen (RAI),1:28.839,1:19.653,1:18.866,1:18.845,1:18.035,1:18.051,1:17.573,1:17.828,1:17.485,1:17.390,1:17.411,1:17.508,1:17.389,1:17.378,1:17.416,1:17.378,1:17.219,1:17.233,1:17.625,1:17.388,1:17.070,1:20.679,1:38.243,1:17.595,1:17.326,1:17.382,1:17.392,1:17.255,1:17.830,1:17.637,1:17.237,1:17.014,1:17.491,1:17.561,1:17.348,1:20.936,2:11.163,2:06.663,2:21.480,2:06.909,1:53.929,1:20.091,1:20.362,1:19.547,1:18.150,1:17.543,1:17.640,1:18.421,1:17.796,1:18.088,1:18.410,1:18.362,1:18.239,1:17.784,1:17.949,1:17.740,1:18.077,1:17.498,1:17.470,1:16.723,1:17.112,1:16.398,1:16.961,1:16.655,1:16.931,1:16.342,1:16.418
Sébastien Bourdais (BOU),1:31.078,1:21.653,1:20.581,1:19.270,1:18.858,1:18.613,1:18.329,1:18.132,1:18.320,1:17.957,1:18.233,1:17.949,1:17.759,1:18.549,1:17.859,1:18.035,1:17.375,1:17.451,1:17.592,1:17.216,1:17.433,1:18.247,1:21.868,1:39.758,1:18.575,1:18.476,1:18.153,1:17.755,1:18.053,1:17.812,1:17.830,1:17.497,1:18.024,1:18.009,1:17.579,1:21.149,1:56.443,2:01.137,2:18.191,2:06.752,1:54.532,1:20.568,1:19.779,1:20.660,1:19.316,1:19.236,1:19.189,1:18.634,1:18.566,1:18.793,1:18.552,1:19.134,1:19.119,1:18.749,1:18.265,1:18.156,1:18.358,1:19.697,1:18.083,1:18.083,1:17.870,1:17.444,1:16.969,1:17.909,1:18.512,1:18.221,1:18.041
Kazuki Nakajima (NAK),1:32.562,1:23.010,1:20.816,1:20.400,1:20.083,1:19.604,1:19.381,1:19.107,1:19.458,1:19.053,1:19.341,1:18.913,1:19.209,1:19.093,1:18.860,1:18.813,1:27.052,1:17.984,1:17.840,1:17.927,1:17.764,1:17.748,1:17.691,1:18.054,1:18.458,1:18.127,1:17.939,1:17.979,1:21.683,1:38.364,1:20.369,1:18.439,1:18.702,1:20.082,1:24.416,2:22.172,2:12.486,2:07.171,1:29.971,1:23.633,1:39.293,1:19.107,1:19.055,1:18.655,1:18.522,1:18.662,1:18.825,1:18.718,1:20.209,1:21.110,1:20.779,1:21.916,1:20.714,1:19.571,1:18.564,1:18.045,1:18.130,1:17.872,1:17.990,1:17.796,1:17.974,1:18.082,1:17.897,1:18.486,1:18.443,1:18.199,1:18.509
Heikki Kovalainen (KOV),1:25.896,1:19.403,1:18.315,1:17.994,1:17.573,1:17.287,1:17.391,1:17.492,1:17.331,1:17.116,1:17.088,1:17.124,1:16.963,1:17.025,1:16.829,1:17.142,1:16.747,1:16.948,1:16.861,1:16.677,1:20.927,1:38.961,1:17.874,1:17.315,1:17.445,1:17.382,1:17.526,1:17.200,1:17.344,1:17.398,1:17.212,1:17.026,1:17.381,1:17.632,1:17.475,1:25.409,2:13.905,2:07.159,2:15.391,2:09.565,1:56.782,1:20.861,1:19.426,1:18.871,1:18.315,1:18.247,1:18.113,1:18.093,1:17.785,1:17.758,1:17.985,1:19.236,1:17.819,1:17.817,1:17.445,1:17.415,1:17.989,1:17.609,1:17.229,1:17.102,1:17.125,1:16.815,1:16.495,1:16.899,1:16.784,1:16.791,1:17.750
Fernando Alonso (ALO),1:28.164,1:19.230,1:18.936,1:20.268,1:18.185,1:18.187,1:17.750,1:17.924,1:17.701,1:17.290,1:17.196,1:17.565,1:17.439,1:17.395,1:17.242,1:17.492,1:17.115,1:17.243,1:20.693,1:39.994,1:17.787,1:18.857,1:18.625,1:18.651,1:18.468,1:18.322,1:17.729,1:17.809,1:17.999,1:19.336,1:18.067,1:18.204,1:17.972,1:17.844,1:18.020,1:26.546,1:55.176,2:03.447,2:15.231,2:08.754,1:55.453,1:20.927,1:20.369,1:21.915,1:18.895,1:19.210,1:18.847,1:19.113,1:18.308,1:18.716,1:18.371,1:18.775,1:17.902,1:17.875,1:17.503,1:17.877,1:18.206,1:23.904,1:17.746,1:17.776,1:17.707,1:17.625,1:17.702,1:18.282,1:18.249,1:18.069,1:18.324
Nico Rosberg (ROS),1:31.914,1:22.351,1:21.061,1:20.085,1:19.553,1:19.035,1:19.561,1:19.789,1:19.258,1:18.770,1:18.717,1:18.501,1:19.729,1:18.912,1:18.411,1:18.466,1:18.099,1:18.470,1:18.146,1:18.139,1:18.001,1:17.912,1:18.408,1:18.596,1:18.742,1:18.606,1:19.081,1:20.664,1:38.181,1:17.648,1:17.737,1:17.720,1:17.643,1:17.380,1:19.253,1:21.057,1:42.615,1:59.031,2:15.804,2:06.684,1:54.550,1:21.289,1:20.112,1:20.499,1:18.851,1:19.250,1:18.783,1:18.801,1:18.529,1:18.554,1:18.604,1:20.313,1:19.028,1:18.551,1:18.331,1:17.783,1:17.870,1:19.133,1:17.731,1:17.819,1:17.922,1:18.022,1:17.863,1:18.184,1:18.081,1:18.096,1:18.253
Nick Heidfeld (HEI),1:30.714,1:20.831,1:19.567,1:19.495,1:18.465,1:18.492,1:18.201,1:18.178,1:18.599,1:18.318,1:18.016,1:17.890,1:17.998,1:18.372,1:17.892,1:17.776,1:17.484,1:17.793,1:17.655,1:17.757,1:16.917,1:19.419,1:18.140,1:17.308,1:17.412,1:17.413,1:20.605,1:38.525,1:17.544,1:17.687,1:18.416,1:17.791,1:18.439,1:17.787,1:17.912,1:25.601,1:55.977,1:59.087,2:07.357,2:09.904,1:58.873,1:18.587,1:17.728,1:16.968,1:16.875,1:16.556,1:16.778,1:16.645,1:16.446,1:16.499,1:16.220,1:15.987,1:19.742,1:35.823,1:17.053,1:16.818,1:17.132,1:17.737,1:17.224,1:16.958,1:17.028,1:16.905,1:17.079,1:16.857,1:16.875,1:17.183,1:17.389
Lewis Hamilton (HAM),1:23.180,1:17.904,1:17.508,1:16.522,1:16.546,1:16.420,1:16.378,1:16.646,1:16.404,1:16.078,1:16.100,1:16.566,1:16.543,1:16.350,1:16.326,1:16.465,1:16.039,1:19.679,1:40.668,1:17.099,1:16.994,1:16.941,1:17.260,1:16.986,1:17.028,1:16.766,1:17.208,1:17.480,1:17.353,1:16.767,1:17.511,1:17.322,1:17.223,1:17.583,1:17.324,1:19.966,2:30.859,2:13.140,2:09.650,2:09.995,1:59.199,1:18.152,1:16.785,1:16.618,1:16.505,1:16.472,1:16.152,1:16.360,1:16.274,1:19.361,1:36.725,1:16.918,1:16.407,1:16.094,1:16.756,1:16.879,1:17.566,1:16.342,1:16.675,1:16.571,1:16.303,1:16.141,1:16.274,1:16.786,1:16.595,1:16.292,1:16.895
