Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Rubens Barrichello (BAR),2:05.408,1:53.267,1:52.690,1:52.441,1:52.158,1:52.103,1:51.581,1:51.092,1:51.574,1:51.079,1:51.010,1:50.413,1:50.320,1:53.955
Giancarlo Fisichella (FIS),2:07.931,1:53.922,1:52.884,1:52.801,1:52.390,1:52.366,1:51.581,1:51.680,1:50.823,1:51.464,1:51.407,1:50.562,1:50.679,1:51.061,2:02.652,2:04.177,2:56.974,2:45.544,2:42.788,1:52.842,1:50.464,1:50.104,1:49.976,1:49.573,1:49.308,1:50.000,1:49.523,1:49.101,1:53.525,2:17.737,1:51.336,1:51.284,1:51.303,1:51.304,1:52.350,1:50.883,1:50.443,1:50.377,1:50.636,1:50.765,1:50.427,1:50.032,1:49.710,1:50.345,1:52.253,1:50.360,1:49.720,1:50.224,1:50.233,1:50.441,2:04.521,1:55.952,2:31.650,1:55.446,1:51.593,1:51.380,1:51.644,1:52.741,1:51.147,1:51.470,1:52.066
Sebastian Vettel (VET),1:56.730,1:49.436,1:48.734,1:48.483,1:49.018,1:49.016,1:48.429,1:48.219,1:47.861,1:47.820,1:47.452,1:47.292,1:47.271,1:47.282,1:58.253,2:52.292,3:04.579,2:58.866,2:39.390,1:53.874,1:51.320,1:50.311,1:50.588,1:49.836,1:50.008,1:50.033,1:50.005,1:50.032,1:49.338,1:49.212,1:49.299,1:48.918,1:48.435,1:47.978,1:48.130,1:48.577,1:47.878,1:48.359,1:48.606,1:48.006,1:47.907,1:47.943,1:51.972,2:09.417,1:49.405,1:48.995,1:49.202,1:48.748,1:48.779,1:48.795,2:01.380,2:29.751,2:41.012,1:51.585,1:49.172,1:48.264,1:47.863,1:47.852,1:47.558,1:47.842,1:47.964
Jenson Button (BUT),2:03.476,1:52.905,1:52.358,1:52.412,1:51.526,1:51.658,1:51.226,1:52.087,1:51.994,1:50.659,1:50.391,1:49.998,1:49.365,1:49.418,1:52.412,2:21.259,3:01.687,2:56.907,2:36.257,1:54.504,1:51.418,1:50.317,1:50.588,1:50.918,1:50.194,1:49.669,1:50.012,1:50.195,1:49.740,1:50.243,1:49.867,1:49.428,1:49.140,1:49.988,1:54.186,2:11.447,1:48.532,1:49.028,1:48.945,1:48.922,1:49.095,1:48.955,1:49.703,1:49.756,1:49.305,1:49.186,1:49.232,1:49.116,1:48.694,1:49.326,1:55.213,2:19.610,2:37.883,1:52.595,1:50.110,1:49.299,1:49.048,1:49.699,1:48.796,1:48.164,1:48.128
Mark Webber (WEB),2:02.719,1:52.823,1:52.270,1:52.342,1:51.374,1:51.793,1:51.168,1:52.407,1:51.745,1:50.744,1:49.957,1:49.825,1:49.183,1:53.381,3:12.221,1:56.925,2:06.489,2:45.763,2:42.128,1:52.843,1:50.918,1:50.122,1:49.947,1:50.042,1:50.037,1:49.213,1:49.872,2:03.206,2:26.606
Adrian Sutil (SUT),2:07.243,1:53.272,1:52.526,1:52.165,1:52.523,1:51.985,1:51.634,1:51.308,1:51.303,1:51.262,1:50.979,1:51.158,1:50.033,1:50.718,1:55.392,2:10.916,3:02.498,2:57.284,2:34.737,1:56.032,1:51.734,1:51.185,1:50.446,1:51.055,1:50.826,1:50.455,1:50.553,1:51.226,1:50.853,1:50.261,1:49.794,1:49.523,1:49.690,1:49.463,1:49.791,1:49.612,1:49.394,1:49.270,1:53.721,2:16.537,1:50.835,1:50.750,1:50.696,1:50.454,1:50.304,1:49.970,1:50.332,1:50.054,1:50.904
Jarno Trulli (TRU),2:00.625,1:52.562,1:52.261,1:51.979,1:51.495,1:51.032,1:52.288,1:53.385,1:52.394,1:50.659,1:49.857,1:49.545,1:49.211,1:49.042,1:54.058,2:20.374,3:00.113,2:48.953,2:43.300,1:51.887,1:49.758,1:49.317,1:49.130,1:48.773,1:48.535,1:48.261,1:47.917,1:48.104,1:47.784,1:47.647,1:47.614,1:46.972,1:52.081,2:14.874,1:49.774,1:49.736,1:49.904,1:51.959,1:51.737,1:49.288,1:49.117,1:49.001,1:49.654,1:49.341,1:49.437,1:48.883,1:49.174,1:48.434,1:48.885,3:05.452
David Coulthard (COU),2:03.966,1:53.004,1:52.454,1:52.216,1:51.886,1:51.650,1:51.021,1:52.027,1:52.106,1:50.693,1:50.597,1:49.847,1:49.568,1:53.771,3:10.889,1:56.675,2:06.656,2:45.024,2:41.523,1:53.021,1:51.101,1:50.117,1:50.264,1:49.921,1:50.138,1:49.713,1:49.801,1:49.372,1:49.679,1:48.771,1:48.162,1:48.341,1:48.453,1:47.879,1:47.925,1:48.231,1:47.814,1:48.210,1:47.855,1:47.873,1:47.562,1:56.441,2:14.389,1:49.739,1:49.721,1:49.853,1:49.661,1:48.447,1:48.924,1:48.906,1:58.064,2:30.919,2:38.431,1:52.378,1:49.710,1:48.761,1:48.407,1:48.552,1:48.688,1:48.209,1:48.715
Felipe Massa (MAS),1:50.994,1:47.658,1:46.539,1:46.694,1:46.342,1:46.666,1:47.311,1:46.938,1:46.405,1:46.216,1:46.431,1:46.011,1:45.757,1:46.223,1:55.702,3:15.798,3:07.388,3:52.983,1:53.135,1:56.430,1:50.757,1:50.799,1:50.314,1:54.929,1:59.839,1:47.705,1:48.836,1:49.053,1:48.154,1:49.162,1:57.870,2:09.492,1:47.462,1:49.990,1:49.647,1:48.809,1:48.620,1:49.061,1:49.003,1:50.904,1:50.422,1:50.188,1:49.643,1:50.196,1:51.123,1:50.653,1:49.594,1:50.116,1:50.167,1:56.794,2:00.865,1:53.738,2:32.768,1:51.447,1:50.420,1:49.921,1:50.372,1:51.328,1:48.956,1:49.321,1:55.415
Nelson Piquet Jr. (PIQ),2:06.046,1:53.529,1:52.409,1:52.379,1:52.503,1:51.952,1:51.749,1:51.259,1:51.378,1:51.350,1:50.877,1:50.565,1:50.449
