Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Timo Glock (GLO),1:47.984,1:42.282,1:40.760,1:40.793,1:40.639,1:40.252,1:39.772,1:39.803,1:39.488,1:39.314,1:39.938,1:40.080,1:39.446,1:38.859,1:39.208,1:39.083,1:38.639,1:39.694,1:38.882,1:38.623,1:39.277,1:38.214,1:38.029,1:37.991,1:37.836,1:37.887,1:37.507,1:37.756,1:37.529,1:38.293,1:37.446,1:42.218,2:04.087,1:38.407,1:38.814,1:38.757,1:38.546,1:38.295,1:38.118,1:38.079,1:38.278,1:38.309,1:38.319,1:37.957,1:37.920,1:37.548,1:37.998,1:37.671,1:37.554,1:37.719,1:38.403,1:37.283,1:36.918,1:36.923,1:36.973,1:36.727
Robert Kubica (KUB),1:46.650,1:40.451,1:40.156,1:39.598,1:39.596,1:39.442,1:39.242,1:39.004,1:38.945,1:38.859,1:38.621,1:38.395,1:38.504,1:38.587,1:38.441,1:38.186,1:38.041,1:37.797,1:37.985,1:37.640,1:37.737,1:37.415,1:37.596,1:37.278,1:42.032,2:01.154,1:38.453,1:38.019,1:37.766,1:37.746,1:37.791,1:37.638,1:37.453,1:37.324,1:37.658,1:37.661,1:37.526,1:37.784,1:37.987,1:42.834,1:59.386,1:37.320,1:37.567,1:37.669,1:37.713,1:37.768,1:37.718,1:37.937,1:37.704,1:37.288,1:37.118,1:36.911,1:36.948,1:36.874,1:36.855,1:36.854
Kimi Räikkönen (RAI),1:41.214,1:38.125,1:37.686,1:37.505,1:37.329,1:37.158,1:36.951,1:37.004,1:36.912,1:36.664,1:36.612,1:36.668,1:36.701,1:36.483,1:41.473,2:04.402,1:38.339,1:37.952,1:37.794,1:37.677,1:37.579,1:37.574,1:37.764,1:37.337,1:37.384,1:37.199,1:37.141,1:37.344,1:37.216,1:38.594,1:37.139,1:37.065,1:37.020,1:37.327,1:37.186,1:37.125,1:37.890,1:43.712,2:03.123,1:37.792,1:37.711,1:38.284,1:37.842,1:38.272,1:37.419,1:38.225,1:38.575,1:38.227,1:40.494,1:40.861,1:38.605,1:37.883,1:37.444,1:37.118,1:37.599,1:38.129
Sébastien Bourdais (BOU),1:51.413,1:43.008,1:42.108,1:41.213,1:40.808,1:39.847,1:40.314,1:39.362,1:39.650,1:39.649,1:40.360,1:39.165,1:39.310,1:39.307,1:39.626,1:38.864,1:38.725,1:38.495,1:38.977,1:38.630,1:38.632,1:38.257,1:42.973,2:01.541,1:38.845,1:38.280,1:38.414,1:38.460,1:38.630,1:39.171,1:38.099,1:37.819,1:37.697,1:37.621,1:37.858,1:37.452,1:37.470,1:37.644,1:43.299,2:01.660,1:39.330,1:39.278,1:39.391,1:39.364,1:39.409,1:38.943,1:39.153,1:38.654,1:39.060,1:38.558,1:38.167,1:38.253,1:38.261,1:38.093,1:37.970,1:38.323
Kazuki Nakajima (NAK),1:50.475,1:42.377,1:41.612,1:41.337,1:40.969,1:40.773,1:41.593,1:40.609,1:40.364,1:40.018,1:40.067,1:39.608,1:39.671,1:39.416,1:39.360,1:39.303,1:38.852,1:38.817,1:39.729,1:39.084,1:38.985,1:39.086,1:38.960,1:38.955,1:39.163,1:38.762,1:39.032,1:38.737,1:38.871,1:38.412,1:43.471,2:04.677,1:39.704,1:39.492,1:40.139,1:40.361,1:39.474,1:39.281,1:39.295,1:39.163,1:39.506,1:39.254,1:39.091,1:39.698,1:39.222,1:39.039,1:38.887,1:38.789,1:38.865,1:38.524,1:38.346,1:38.224,1:38.239,1:38.019,1:38.198,1:38.295
Heikki Kovalainen (KOV),1:44.409,1:39.596,1:39.450,1:38.893,1:38.693,1:38.353,1:38.078,1:38.038,1:37.802,1:37.681,1:37.605,1:37.570,1:37.445,1:37.530,1:37.682,1:37.399,1:37.412,1:41.986,2:04.693,1:38.146,1:38.113,1:38.010,1:38.075,1:38.397,1:37.961,1:38.069,1:37.835,1:37.763,1:37.751,1:37.505,1:37.404,1:37.302,1:37.375,1:37.541,2:21.752,2:08.582,1:39.213,1:38.840,1:38.738,1:38.806,1:39.047,1:38.946,1:38.930,1:38.887,1:38.845,1:38.729,1:38.808,1:38.792,1:43.616
Fernando Alonso (ALO),1:43.782,1:38.212,1:38.082,1:38.084,1:37.970,1:37.909,1:37.759,1:37.657,1:37.453,1:37.152,1:37.200,1:37.248,1:36.924,1:41.704,2:04.078,1:38.417,1:38.250,1:38.266,1:38.128,1:38.159,1:38.160,1:38.339,1:38.034,1:37.809,1:37.737,1:37.796,1:37.477,1:37.537,1:37.426,1:37.260,1:37.069,1:37.143,1:37.357,1:36.766,1:36.708,1:41.823,2:02.345,1:38.012,1:38.155,1:38.386,1:38.211,1:38.488,1:38.372,1:38.286,1:38.107,1:37.887,1:38.034,1:37.835,1:37.815,1:37.573,1:37.412,1:36.882,1:36.683,1:36.827,1:36.929,1:36.659
Nico Rosberg (ROS),1:48.822,1:41.818,1:40.782,1:40.582,1:41.005,1:40.165,1:39.822,1:39.719,1:39.507,1:39.289,1:39.795,1:39.334,1:38.210,1:38.312,1:43.117,2:04.588,1:39.554,1:39.562,1:39.461,1:40.290,1:39.362,1:39.228,1:38.937,1:40.115,1:39.278,1:39.019,1:38.838,1:38.396,1:38.721,1:38.644,1:38.808,1:38.912,1:39.088,1:38.095,1:37.572,1:37.813,1:37.899,1:37.246,1:42.586,2:03.052,1:39.177,1:38.799,1:38.620,1:39.089,1:39.211,1:38.761,1:39.173,1:41.528,1:38.821,1:38.442,1:38.448,1:38.496,1:38.381,1:38.398,1:38.865
Nick Heidfeld (HEI),1:45.103,1:39.927,1:39.232,1:39.101,1:38.851,1:38.517,1:38.283,1:38.206,1:38.240,1:37.978,1:37.728,1:37.689,1:37.736,1:37.748,1:37.675,1:37.844,1:42.268,2:02.793,1:38.636,1:38.384,1:38.441,1:38.414,1:38.405,1:38.134,1:38.148,1:37.690,1:37.778,1:37.692,1:37.761,1:37.761,1:37.703,1:37.492,1:37.364,1:37.127,1:37.291,1:37.127,1:37.806,1:37.005,1:42.138,2:00.869,1:38.077,1:37.984,1:37.688,1:37.752,1:38.845,1:38.751,1:37.298,1:37.478,1:37.579,1:37.616,1:37.553,1:37.529,1:37.091,1:37.103,1:37.399,1:36.498
Lewis Hamilton (HAM),1:40.107,1:37.332,1:37.081,1:37.265,1:36.940,1:36.792,1:36.846,1:36.807,1:36.683,1:36.782,1:36.776,1:36.652,1:36.325,1:36.396,1:41.146,2:03.283,1:37.712,1:37.608,1:37.553,1:37.639,1:37.737,1:37.347,1:37.483,1:37.457,1:37.618,1:37.429,1:37.414,1:37.108,1:37.737,1:37.184,1:36.801,1:36.886,1:37.048,1:36.858,1:37.393,1:37.427,1:36.961,1:41.989,2:00.670,1:38.569,1:37.815,1:37.860,1:37.534,1:37.571,1:37.622,1:37.753,1:37.865,1:37.868,1:37.907,1:38.034,1:37.963,1:38.156,1:38.435,1:38.649,1:38.756,1:38.774
