Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Franck Montagny (FMO),1:36.544,2:07.709
Jenson Button (BUT),1:28.841,1:44.815,2:08.781,1:20.873,1:19.338,1:18.684,1:19.113,1:18.815,1:19.539,1:18.408,1:18.808,1:18.542,1:18.993,1:18.171,1:18.313,1:18.209,1:18.040,1:18.636,1:18.903,1:18.167,1:18.001,1:18.409,1:18.238,1:18.494,1:18.682,1:21.021,1:38.546,1:20.375,1:18.611,1:19.303,1:18.946,1:18.786,1:18.539,1:18.861,1:19.243,1:19.461,1:18.976,1:18.858,1:19.591,1:20.328,1:19.252,1:18.964,1:19.146,1:19.986,1:18.968,1:19.451,1:18.010,1:18.414,1:19.172,1:18.619,1:19.372,1:36.218,1:22.014,1:18.887,1:19.547,1:18.635,1:18.480,1:18.058,1:19.830,1:48.905,2:04.162,2:00.840,1:20.473,1:20.376,1:19.401,1:21.127,1:20.729,1:19.062,1:18.976
Mark Webber (WEB),1:31.480,1:47.045,2:09.432,1:19.513,1:19.457,1:19.134,1:19.569,1:19.135,1:19.612,1:19.571,1:20.127,1:20.470,1:20.014,1:20.895,1:37.387,1:19.522,1:17.705,1:18.097,1:18.351,1:18.644,1:20.159,1:18.977,1:20.923,1:19.369,1:19.593,1:19.914,1:19.666,1:19.893,1:25.906,1:22.775,1:19.190,1:18.883,1:19.615,1:18.919,1:18.840,1:21.299,1:18.747,1:22.884,1:19.890,1:19.272,1:18.599,1:19.271,1:18.671,1:39.023,1:21.149,1:18.088,1:17.918,1:18.174,1:18.570,1:18.859,1:19.398,1:19.230,1:18.844,1:18.614,1:21.032,1:20.317,1:18.984,1:20.813,1:24.447,1:23.356,1:55.410,1:54.420,1:22.164,1:20.538,1:20.003,1:19.844,1:19.774,1:19.617,1:23.858
Jarno Trulli (TRU),1:26.139,1:45.724,2:09.176,1:19.067,1:18.572,1:18.417,1:18.233,1:18.380,1:18.416,1:17.901,1:17.842,1:17.745,1:17.887,1:17.577,1:17.503,1:17.571,1:17.818,1:17.750,1:17.842,1:17.850,1:18.035,1:18.532,1:18.796,1:19.149,1:41.533,1:21.760,1:18.700,1:19.072,1:18.411,1:18.367,1:18.455,1:18.164,1:17.959,1:17.791,1:17.871,1:17.578,1:17.555,1:18.438,1:19.032,1:18.629,1:20.650,1:18.301,1:18.314,1:18.241,1:17.891,1:18.235,1:18.119,1:35.574,1:21.399,1:19.976,1:19.920,1:18.293,1:17.975,1:17.557,1:17.524,1:17.960,1:18.452,1:18.429,1:21.105,2:12.610,2:04.561,2:03.629,1:19.995,1:20.629,1:19.574,1:18.169,1:17.930,1:18.333,1:18.299
David Coulthard (COU),1:35.076,1:51.877,2:06.033,1:23.635,1:19.495,1:19.166,1:19.324,1:19.487,1:19.633,1:19.687,1:19.534,1:19.538,1:19.128,1:19.287,1:19.479,1:18.747,1:19.895,1:19.310,1:18.833,1:18.952,1:18.717,1:20.442,1:18.576,1:18.855,1:18.096,1:17.978,1:19.566,1:18.684,1:18.563,1:18.661,1:19.238,1:18.729,1:18.759,1:36.012,1:20.842,1:18.821,1:19.037,1:18.162,1:17.619,1:17.876,1:17.858,1:17.838,1:18.387,1:18.775,1:18.345,1:19.192,1:18.283,1:18.889,1:17.629,1:17.837,1:18.875,1:19.297,1:19.129,1:17.657,1:17.857,1:34.380,1:19.627,1:17.814,1:19.461,1:49.430,2:03.665,1:59.355,1:22.041,1:19.706,1:20.271,1:19.069,1:19.183,1:18.690,1:18.298
Felipe Massa (MAS),1:29.929,1:45.958,2:09.207,1:20.501,1:19.535,1:19.224,1:19.109,1:18.684,1:18.910,1:19.752,1:18.549,1:18.274,1:18.412,1:18.984,1:19.018,1:18.469,1:17.922,1:17.931,1:17.695,1:18.914,1:17.659,1:17.463,1:17.759,1:18.023,1:18.188,1:20.364,1:17.416,1:17.412,1:17.620,1:17.403,1:17.308,1:17.810,1:17.985,1:18.252,1:17.549,1:38.543,1:21.539,1:17.753,1:18.029,1:18.856,1:21.141,1:18.491,1:18.255,1:18.184,1:18.394,1:18.527,1:19.876,1:18.421,1:17.829,1:17.992,1:17.968,1:18.107,1:19.218,1:18.036,1:18.372,1:18.453,1:17.488,1:17.708,1:17.732,1:22.482,1:23.882,2:02.757,1:55.183,1:21.744,1:20.075,1:18.406,1:18.633,1:20.308,1:20.091,1:20.819
Takuma Sato (SAT),1:34.622,1:50.817,2:07.336,2:11.018,1:24.257,1:24.347,1:22.955,1:23.835,1:25.954,1:28.683,1:22.736,1:21.862,1:25.751,1:22.325,1:22.634,1:22.075,1:23.458,1:21.057,1:20.765,1:20.594,1:21.002,1:41.000,1:24.251,1:23.149,1:22.359,1:21.250,1:22.459,1:25.566,1:21.317,1:22.525,1:23.124,1:22.370,1:26.303,1:26.481,1:22.805,1:21.077,1:20.774,1:20.552,1:21.248,1:20.490,1:20.614,1:21.002,1:39.823,1:23.236,1:21.165,1:22.445,1:21.010,1:20.668,1:21.538,1:22.290,1:21.578,1:23.163,1:25.565,1:21.606,1:22.726,1:23.234,1:38.940,2:04.936,1:57.601,1:29.944,1:21.746,1:21.483,1:22.040,1:21.732
Kimi Räikkönen (RAI),1:24.079,1:44.154,2:10.194,1:18.096,1:17.562,1:17.211,1:17.350,1:16.980,1:16.802,1:16.654,1:17.061,1:17.721,1:17.761,1:17.061,1:16.894,1:16.537,1:16.621,1:16.463,1:16.380,1:16.032,1:16.240,1:15.841,1:16.027,1:16.175,1:39.542,1:19.539,1:17.240,1:17.621,1:17.379,1:17.606,1:17.025,1:17.261,1:17.089,1:17.309,1:17.811,1:18.420,1:16.929,1:16.631,1:16.853,1:16.723,1:17.026,1:16.618,1:16.747,1:17.310,1:17.181,1:19.536,1:17.048,1:17.348,1:17.463,1:18.776,1:19.350,1:17.516,1:42.367,1:20.039,1:17.786,1:17.722,1:17.280,1:17.782,1:18.138,1:18.447,1:58.042,2:04.303,2:00.495,1:19.497,1:17.731,1:16.934,1:16.691,1:16.916,1:20.695,1:20.463
Fernando Alonso (ALO),1:23.725,1:43.466,2:10.795,1:18.069,1:17.382,1:16.883,1:17.401,1:16.911,1:16.899,1:16.949,1:17.047,1:18.056,1:17.562,1:17.033,1:16.738,1:16.277,1:16.394,1:16.402,1:16.521,1:15.957,1:16.143,1:15.911,1:35.138,1:17.866,1:16.276,1:17.646,1:16.902,1:16.855,1:16.771,1:17.305,1:18.102,1:17.066,1:16.999,1:17.365,1:17.208,1:16.943,1:16.965,1:17.526,1:16.602,1:16.476,1:17.409,1:16.566,1:16.698,1:17.082,1:16.284,1:16.558,1:17.001,1:17.146,1:16.809,1:33.741,1:19.325,1:17.966,1:17.225,1:17.449,1:17.628,1:18.072,1:18.263,1:18.594,1:19.052,1:19.966,2:12.783,2:04.935,2:02.254,1:17.921,1:18.191,1:17.580,1:16.742,1:17.048,1:18.427,1:18.061
Nico Rosberg (ROS),1:26.579
Nick Heidfeld (HEI),1:30.373,1:47.424,2:08.894,1:20.239,1:19.171,1:19.545,1:18.864,1:19.319,1:18.760,1:19.047,1:18.697,1:19.507,1:19.009,1:18.129,1:18.240,1:19.566,1:17.942,1:17.984,1:18.170,1:18.170,1:20.494,1:17.893,1:18.126,1:18.125,1:18.687,1:18.523,1:18.182,1:18.215,1:17.923,1:20.581,1:18.166,1:17.862,1:18.025,1:37.059,1:20.114,1:18.169,1:18.099,1:18.387,1:17.946,1:17.635,1:17.717,1:18.848,1:17.501,1:17.753,1:18.924,1:18.142,1:18.155,1:18.400,1:18.234,1:18.119,1:19.639,1:17.454,1:17.825,1:34.776,1:18.599,1:17.518,1:17.785,1:17.974,1:19.669,2:11.492,2:04.123,2:02.554,1:21.611,1:20.274,1:19.415,1:18.656,1:17.873,1:17.651,1:18.364
