Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Kamui Kobayashi (KOB),1:42.657,1:58.080,1:57.954,2:01.783,1:51.112,1:17.579,1:15.935,1:16.285,1:15.836,1:15.562,1:15.611,1:15.546,1:15.342,1:15.388,1:15.428,1:15.202,1:15.093,1:15.378,1:15.291,1:15.053,1:15.052,1:15.311,1:15.800,1:15.408,1:16.531,1:16.605,1:15.585,1:15.643,1:15.299,1:19.222,1:36.736,1:16.197,1:16.066,1:15.389,1:15.406,1:15.327,1:15.646,1:15.326,1:15.230,1:15.548,1:15.331,1:15.280,1:15.450,1:15.493,1:15.149,1:15.247,1:15.256,1:14.920,1:15.125,1:15.084,1:15.476,1:14.978,1:15.027,1:14.963,1:15.264,1:18.954,1:39.088,1:15.761,1:15.393,1:15.862,1:15.415,1:15.852,1:15.912,1:15.707,1:15.997,1:16.129,1:15.244,1:15.075,1:14.981,1:14.874,1:14.676
Romain Grosjean (GRO),1:43.469,1:59.319,1:57.975,2:00.756,1:50.329,1:19.058,1:18.901,1:16.741,1:17.216,1:16.576,1:16.008,1:15.966,1:16.341,1:16.273,1:15.727,1:15.851,1:15.535,1:15.667,1:15.694,1:15.624,1:15.733,1:15.621,1:15.644,1:16.079,1:15.935,1:15.623,1:16.182,1:15.917,1:16.034,1:15.652,1:15.929,1:15.847,1:15.591,1:19.822,1:36.120,1:15.817,1:15.471,1:16.178,1:15.523,1:15.843,1:16.101,1:15.538,1:15.226,1:15.131,1:15.254,1:15.257,1:15.298,1:15.401,1:15.369,1:15.920,1:15.000,1:14.796,1:14.966,1:14.789,1:19.906,1:35.498,1:14.869,1:15.163,1:15.091,1:15.388,1:16.963,1:16.270,1:14.889,1:14.917,1:15.433,1:15.336,1:15.165,1:15.149,1:15.486,1:15.770
Jaime Alguersuari (ALG),1:45.236,1:58.948,1:59.141,2:00.177,1:49.704,1:18.185,1:18.937,1:17.856,1:16.382,1:17.544,1:16.526,1:16.038,1:16.132,1:16.227,1:16.082,1:15.778,1:15.784,1:15.730,1:15.756,1:15.680,1:15.693,1:15.739,1:15.401,1:15.520,1:16.475,1:16.044,1:16.124,1:15.577,1:15.604,1:21.015,1:36.455,1:15.837,1:15.450,1:15.056,1:15.516,1:15.333,1:15.610,1:17.149,1:16.041,1:16.321,1:15.762,1:16.207,1:15.611,1:15.740,1:16.388,1:16.651,1:15.614,1:15.509,1:15.848,1:19.409,1:34.163,1:15.826,1:15.021,1:15.132,1:15.715,1:17.892,1:15.561,1:15.054,1:14.861,1:14.915,1:14.915,1:14.985,1:15.077,1:14.967,1:14.944,1:15.081,1:15.173,1:15.163,1:15.181,1:15.465
Sébastien Buemi (BUE),1:40.360,1:58.869,1:57.811,2:00.986,1:53.059,1:17.050,1:15.897,1:15.092,1:15.296,1:15.052,1:15.054,1:15.052,1:15.086,1:15.079,1:15.159,1:14.938,1:14.911,1:14.634,1:14.756,1:15.008,1:14.928,1:14.763,1:14.850,1:19.280,1:37.016,1:15.778,1:16.207,1:15.697,1:15.817,1:16.020,1:16.081,1:15.878,1:15.774,1:16.809,1:15.344,1:14.945,1:14.933,1:15.085,1:15.075,1:15.159,1:15.279,1:15.179,1:15.343,1:15.233,1:15.066,1:14.897,1:14.829,1:14.790,1:14.820,1:14.657,1:14.773,1:14.855,1:14.618,1:18.788,1:35.043,1:14.767,1:14.787,1:14.563,1:14.706,1:14.672,1:14.659,1:14.753,1:14.793,1:14.763,1:14.715,1:14.757,1:14.868,1:14.836,1:14.853,1:14.799,1:15.023
Vitantonio Liuzzi (LIU),1:47.463,2:00.738,2:05.681,1:59.815,1:41.978,1:18.843,1:17.966,1:17.453,1:16.824,1:16.911,1:16.951,1:16.545,1:16.429,1:16.470,1:16.250,1:16.119,1:16.215,1:15.958,1:16.014,1:16.005,1:16.061,1:15.849,1:15.946,1:15.701,1:15.563,1:15.743,1:15.927,1:15.984,1:15.747,1:15.829,1:16.444,1:16.367,1:15.924,1:15.758,1:15.276,1:15.270,1:15.054,1:15.261,1:15.177,1:15.488,1:15.006,1:15.088,1:14.990,1:19.041,1:37.581,1:18.160,1:16.270,1:15.890,1:17.572,1:15.787,1:15.664,1:15.420,1:15.273,1:15.527,1:15.944,1:15.827,1:15.482,1:15.629,1:15.507,1:15.512,1:15.380,1:15.462,1:15.667,1:15.623,1:15.479,1:15.329,1:15.521,1:15.943,1:16.043,1:15.721,1:16.134
Rubens Barrichello (BAR),1:31.292,2:00.739,1:59.347,1:59.722,1:58.063,1:15.380,1:14.636,1:14.454,1:14.559,1:14.476,1:14.573,1:14.452,1:14.391,1:14.546,1:14.513,1:14.293,1:14.179,1:14.118,1:14.048,1:13.950,1:17.689,1:36.497,1:16.711,1:15.604,1:15.290,1:15.698,1:15.625,1:15.302,1:15.337,1:15.653,1:15.757,1:15.779,1:15.692,1:15.221,1:14.960,1:14.728,1:14.642,1:15.050,1:14.795,1:15.292,1:15.143,1:15.030,1:15.056,1:14.858,1:14.937,1:14.673,1:14.714,1:15.183,1:14.737,1:18.351,1:33.432,1:14.950,1:14.695,1:14.996,1:15.116,1:14.719,1:14.555,1:14.623,1:14.442,1:14.548,1:15.710,1:15.847,1:21.821,1:34.912,1:14.027,1:14.262,1:14.243,1:14.783,1:15.121,1:15.187,1:16.811
Giancarlo Fisichella (FIS),1:50.813,1:57.669,1:58.295,2:01.420,1:45.817,1:20.006,1:17.488,1:17.686,1:16.689,1:16.712,1:16.378,1:16.556,1:16.236,1:16.751,1:15.831,1:15.879,1:16.050,1:15.755,1:15.599,1:15.512,1:15.780,1:15.770,1:15.952,1:15.440,1:15.405,1:15.938,1:16.391,1:15.689,1:15.504,1:16.756,1:16.070,1:15.827,1:15.701,1:15.338,1:15.336,1:14.995,1:18.434,1:37.218,1:16.266,1:15.988,1:16.285,1:15.644,1:15.586,1:15.593,1:16.690,1:16.681,1:15.441,1:15.608,1:15.531,1:15.382,1:15.350,1:15.540,1:15.061,1:15.182,1:14.931,1:15.497,1:15.738,1:15.856,1:15.570,1:15.775,1:15.711,1:15.660,1:15.809,1:15.877,1:15.950,1:16.460,1:18.537,1:16.181,1:15.946,1:15.685,1:16.049
Sebastian Vettel (VET),1:45.837,2:00.669,1:57.538,2:01.866,1:47.383,1:17.301,1:15.781,1:16.981,1:15.730,1:15.474,1:15.597,1:15.630,1:15.579,1:15.495,1:15.209,1:15.153,1:15.065,1:15.106,1:15.290,1:15.376,1:15.209,1:15.667,1:15.237,1:15.374,1:15.153,1:17.089,1:15.034,1:15.333,1:15.483,1:15.413,1:14.871,1:15.373,1:14.729,1:14.119,1:13.954,1:13.944,1:17.468,1:35.395,1:14.879,1:14.929,1:15.198,1:14.960,1:14.678,1:15.052,1:14.629,1:14.508,1:14.517,1:14.324,1:14.492,1:14.927,1:14.637,1:14.597,1:14.828,1:14.402,1:14.289,1:17.203,1:30.808,1:14.349,1:13.890,1:14.521,1:14.286,1:14.410,1:14.459,1:14.758,1:14.959,1:14.703,1:14.301,1:14.358,1:14.377,1:14.259,1:14.341
Jenson Button (BUT),1:43.723,1:59.518,1:58.650,2:00.179,1:49.949,1:17.424,1:15.815,1:16.385,1:15.836,1:15.586,1:15.667,1:15.739,1:15.535,1:15.496,1:15.017,1:15.263,1:15.002,1:15.285,1:15.348,1:15.063,1:15.105,1:15.085,1:15.850,1:15.313,1:14.736,1:14.606,1:14.881,1:14.990,1:18.339,1:34.604,1:15.859,1:15.914,1:15.712,1:15.455,1:14.620,1:14.790,1:14.792,1:14.974,1:14.897,1:15.106,1:15.093,1:15.014,1:14.841,1:14.691,1:14.473,1:14.353,1:14.623,1:14.554,1:14.711,1:14.750,1:14.656,1:14.829,1:14.626,1:14.382,1:17.801,1:33.243,1:15.599,1:15.016,1:15.250,1:14.919,1:14.696,1:14.889,1:14.795,1:14.648,1:14.598,1:14.557,1:14.591,1:14.579,1:14.798,1:14.824,1:15.579
Mark Webber (WEB),1:32.269,2:01.463,1:59.570,2:00.887,1:55.403,1:16.045,1:15.027,1:14.706,1:14.750,1:14.411,1:14.371,1:14.632,1:14.640,1:14.483,1:14.407,1:14.405,1:14.442,1:14.352,1:14.101,1:14.128,1:14.050,1:14.012,1:14.501,1:13.875,1:13.733,1:17.459,1:35.113,1:14.964,1:14.890,1:14.942,1:15.123,1:15.244,1:15.214,1:14.988,1:14.719,1:14.571,1:14.572,1:14.625,1:14.607,1:14.616,1:14.466,1:14.471,1:14.938,1:14.388,1:14.199,1:14.315,1:14.504,1:14.498,1:14.519,1:14.463,1:14.441,1:17.975,1:34.274,1:14.399,1:14.491,1:14.492,1:14.829,1:14.761,1:14.563,1:14.459,1:14.429,1:14.245,1:14.350,1:14.469,1:14.532,1:14.621,1:15.539,1:15.449,1:15.478,1:15.912,1:16.302
