Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Sébastien Buemi (BUE),1:47.250,1:33.621,1:33.338,1:33.065,1:31.349,1:31.389,1:31.155,1:31.047,1:30.835,1:31.252,1:31.784,1:31.070,1:30.735,1:30.839,1:30.941,1:30.905,1:30.901,1:51.643,1:50.646,1:45.188,1:37.367,2:35.605,2:32.332,2:19.167,1:36.262,1:31.897,1:31.520,1:30.631,1:30.073,1:29.977,1:29.299,1:29.512,1:29.257,1:29.230,1:29.357,1:30.002,1:29.618,1:29.758,1:29.914,1:29.991,1:48.725,1:34.900,1:29.301,1:32.442,1:30.586,1:30.180,1:30.271,1:30.397,1:30.582,1:31.038,1:34.441,1:32.524,1:33.028,1:33.282,1:32.897,1:50.707,1:56.307,2:30.458
Rubens Barrichello (BAR),1:43.773,1:31.887,1:31.130,1:30.070,1:29.935,1:29.669,1:29.642,1:30.696,1:32.295,1:33.108,1:30.996,1:32.568,1:31.416,1:31.066,1:30.449,1:30.550,1:30.844,2:03.280,1:51.176,1:45.244,1:39.682,2:33.536,2:32.252,2:18.436,1:34.416,1:31.606,1:30.550,1:30.007,1:30.132,1:29.524,1:29.166,1:29.584,1:29.168,1:29.620,1:29.494,1:29.544,1:29.829,1:30.243,1:30.046,1:29.899,1:29.656,1:29.476,1:29.066,1:29.102,1:29.660,1:32.454,1:30.050,1:29.788,1:29.491,1:29.502,1:48.951,1:34.405,1:31.725,1:29.486,1:29.587,1:44.670,2:21.430,2:31.564
Giancarlo Fisichella (FIS),1:48.102,1:33.676,1:33.729,1:33.055,1:31.824,1:31.454,1:31.510,1:31.106,1:31.040,1:31.255,1:31.320,1:31.178,1:30.752,1:30.736,1:30.994,1:30.898,1:30.720,1:32.189,2:18.719,1:47.532,1:39.568,2:26.920,2:31.953,2:15.656,1:38.153,1:33.790,1:31.260,1:31.296,1:32.507,1:31.057,1:30.794,1:30.323,1:30.473,1:30.999,1:30.713,1:30.520,1:30.439,1:30.236,1:30.122,1:29.996,1:29.956,1:30.230,1:30.362,1:30.444,1:32.047,1:30.699,1:30.373,1:30.521,1:49.487,1:34.575,1:29.005,1:30.148,1:30.460,1:31.108,1:31.235,1:53.201,2:08.822,2:11.921
Sebastian Vettel (VET),1:39.647,1:31.173,1:29.752,1:28.999,1:28.849,1:28.424,1:28.235,1:28.140,1:28.331,1:28.970,1:28.862,1:28.387,1:28.260,1:28.457,1:28.279,1:50.990,1:35.628,1:30.580,1:34.856,2:24.788,1:46.868,2:38.375,2:31.909,2:22.185,1:33.553,1:31.452,1:30.116,1:29.431,1:29.242,1:29.120,1:28.686,1:28.819,1:28.875,1:28.604,1:28.528,1:28.173,1:28.557,1:28.459,1:28.369,1:28.448,1:28.852,1:29.082,1:29.102,1:28.976,1:46.765,1:34.308,1:29.862,1:29.555,1:29.628,1:29.507,1:29.225,1:30.154,1:29.721,1:30.237,1:31.092,2:40.783
Jenson Button (BUT),1:35.652,1:30.612,1:29.848,1:29.223,1:28.787,1:28.513,1:28.246,1:28.248,1:28.624,1:28.332,1:28.439,1:28.676,1:28.565,1:28.336,1:28.490,1:28.753,1:28.020,1:28.122,1:55.095,1:53.246,2:06.421,3:05.713,2:31.122,2:23.406,1:32.859,1:30.521,1:30.005,1:29.181,1:28.554,1:28.320,1:28.310,1:28.524,1:28.358,1:28.347,1:28.562,1:28.300,1:28.675,1:28.438,1:28.480,1:28.700,1:28.738,1:28.785,1:28.859,1:29.358,1:29.048,1:29.082,1:52.089,1:33.783,1:29.395,1:29.576,1:29.296,1:29.868,1:29.497,1:29.807,1:29.636,1:37.817,2:55.654,2:32.873
Mark Webber (WEB),3:04.966,1:49.274,1:39.890,1:33.096,1:32.341,1:31.841,1:31.952,1:32.116,1:32.155,1:32.009,1:31.864,1:34.537,1:32.058,1:34.415,1:31.760,1:31.458,1:37.251,1:43.969,1:46.644,1:38.215,2:04.684,1:35.439,1:36.307,2:11.955,1:36.897,1:33.794,1:32.997,1:32.486,1:32.179,1:31.540,1:31.244,1:32.028,1:32.038,1:31.080,1:50.969,1:35.428,1:28.890,1:28.508,1:29.452,1:29.445,1:30.092,1:31.133,1:31.728,1:37.974,1:32.061,1:32.231,1:32.340,1:32.184,1:31.938,1:31.743,1:33.267,1:40.493,1:33.707,1:32.895,1:41.577,2:39.077,2:32.586
Adrian Sutil (SUT),2:38.132,1:38.550,1:31.722,1:31.430,1:31.938,1:32.133,1:31.712,1:33.188,1:32.910,1:32.037,1:33.072,1:31.314,1:31.093,1:31.312,1:31.416,1:30.953,1:31.191,1:34.958,1:45.582,2:04.958,2:15.399,1:56.121,1:44.074,2:14.294,1:34.676,1:34.218,1:31.088,1:31.277,1:30.220,1:28.987,1:29.705,1:29.990,1:31.583,1:56.262,1:37.812,1:30.496,1:30.271,1:29.901,1:29.849,1:29.760,1:29.562,1:29.156,1:28.943,1:29.441,1:29.222,1:29.506,1:29.722,1:29.527,1:29.662,1:29.736,1:30.043,1:30.251,1:31.617,1:31.560,1:32.021,1:54.029,2:10.096,2:12.441
Jarno Trulli (TRU),1:49.525,1:34.164,1:32.445,1:32.789,1:31.999,1:31.589,1:31.559,1:31.294,1:31.175,1:47.769,1:35.416,1:30.149,1:29.633,1:29.874,1:29.450,1:29.219,1:30.781,1:33.578,1:44.251,1:44.670,1:44.123,2:35.677,2:32.314,2:19.328,1:34.312,1:31.634,1:30.521,1:29.192,1:29.367,1:29.611,1:28.998,1:29.011,1:48.157,1:34.834,1:29.581,1:30.271,1:30.510,1:30.458,1:30.186,1:29.811,1:30.029,1:30.074,1:30.286,1:30.493,1:32.044,1:30.753,1:30.387,1:30.458,1:30.899,1:28.916,1:28.927,1:29.003,1:30.747,1:30.801,1:30.119,1:51.112,2:12.172,2:30.943
Felipe Massa (MAS),1:40.201,1:31.642,1:30.122,1:29.532,1:29.412,1:29.720,1:30.134,1:30.918,1:32.283,1:33.750,1:52.120,1:35.625,1:30.473,1:30.002,1:30.104,1:30.845,1:30.310,1:32.623,1:39.129,1:52.765,1:48.109,2:35.808,2:31.699,2:22.712,1:33.747,1:31.513,1:30.262,1:29.872,1:29.559,1:29.141,1:50.326,1:36.476,1:30.358,1:30.030,1:29.977,1:29.997,1:29.813,1:29.970,1:30.043,1:30.125,1:29.949,1:30.374,1:29.944,1:33.153,1:30.439
Nelson Piquet Jr. (PIQ),1:46.565,1:33.814,1:33.280,1:31.407,1:32.127,1:31.900,1:31.121,1:31.001,1:31.128,1:31.351,1:31.748,1:30.838,1:30.743,1:31.139,1:30.706,1:30.913,1:30.502,1:32.812,2:00.323,1:46.601,1:44.163,2:35.582,2:32.542,2:20.068
