Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Luca Badoer (BAD),2:26.414,2:52.962,2:54.705,2:49.447,1:55.082,1:52.395,1:53.781,1:52.541,1:51.906,1:51.105,1:50.997,1:51.141,1:50.926,1:50.392,1:50.361,1:49.920,1:50.185,1:49.988,1:50.574,1:50.056,1:49.874,1:50.231,1:49.938,1:53.919,2:18.370,1:51.370,1:50.263,1:52.088,1:50.802,1:51.204,1:51.347,1:50.451,1:51.181,1:50.056,1:51.224,1:51.261,1:50.154,1:50.803,1:50.502,1:50.610,1:49.803,1:50.913,1:50.088,1:51.842
Sébastien Buemi (BUE),2:22.611,2:54.187,2:55.449,2:49.873,1:54.143,1:52.375,1:51.003,1:50.515,1:50.523,1:49.763,1:49.973,1:49.750,1:49.609,1:49.498,1:49.094,1:49.227,1:49.281,1:49.083,1:48.838,1:48.927,1:52.632,2:05.656,1:48.435,1:48.474,1:48.981,1:49.377,1:51.738,1:50.310,1:49.528,1:52.942,2:05.256,1:49.120,1:48.840,1:48.344,1:48.782,1:48.526,1:48.588,1:48.685,1:48.963,1:48.230,1:47.942,1:47.763,1:48.475,1:47.792
Rubens Barrichello (BAR),2:25.412,2:56.790,2:56.067,2:46.545,1:53.312,1:51.757,1:50.878,1:50.191,1:51.070,1:49.905,1:49.773,1:49.753,1:49.575,1:51.032,1:50.277,1:49.597,1:49.744,1:49.875,1:49.163,1:49.100,1:49.309,1:48.656,1:48.458,1:48.508,1:48.980,1:48.594,1:52.352,2:06.961,1:48.582,1:49.550,1:48.599,1:48.727,1:49.642,1:49.042,1:48.961,1:49.310,1:48.257,1:48.476,1:49.003,1:48.811,1:48.729,1:50.604,1:49.038,1:49.491
Giancarlo Fisichella (FIS),2:04.719,2:58.581,2:57.294,2:55.849,1:50.832,1:48.545,1:48.248,1:47.983,1:48.331,1:47.994,1:48.017,1:47.827,1:47.886,1:51.377,2:07.255,1:48.737,1:48.770,1:48.958,1:48.907,1:48.635,1:48.869,1:48.453,1:48.626,1:48.479,1:48.683,1:48.516,1:48.398,1:48.520,1:48.217,1:48.089,1:51.384,2:05.413,1:48.055,1:48.265,1:48.039,1:48.063,1:48.037,1:47.891,1:47.968,1:48.111,1:47.786,1:47.756,1:47.737,1:47.834
Sebastian Vettel (VET),2:18.772,2:54.150,2:55.841,2:51.942,1:51.972,1:50.853,1:49.468,1:49.025,1:48.980,1:48.259,1:48.193,1:48.150,1:47.740,1:47.646,1:47.771,1:51.451,2:09.535,1:49.096,1:48.909,1:48.618,1:49.013,1:48.230,1:48.480,1:48.334,1:48.352,1:48.332,1:48.052,1:48.169,1:48.010,1:47.727,1:47.948,1:47.740,1:47.790,1:47.680,1:51.104,2:03.402,1:47.331,1:47.263,1:47.565,1:47.627,1:47.685,1:47.891,1:47.308,1:47.466
Mark Webber (WEB),2:13.900,2:55.852,2:56.853,2:52.603,1:51.510,1:49.506,1:49.026,1:48.556,1:48.724,1:47.979,1:48.336,1:48.286,1:47.973,1:51.091,2:12.881,1:50.222,1:49.520,1:53.089,1:54.923,1:48.902,1:48.751,1:48.980,1:49.720,1:49.575,1:50.106,1:49.403,1:49.503,1:48.951,1:48.712,1:48.680,1:48.626,1:48.590,1:48.630,1:51.405,2:04.991,1:48.830,1:48.117,1:48.013,1:47.783,1:47.800,1:48.006,1:48.112,1:48.518,1:48.420
Adrian Sutil (SUT),2:27.886,2:54.850,2:56.728,2:46.187,1:54.068,1:51.580,1:52.208,1:50.489,1:50.066,1:49.807,1:49.716,1:49.420,1:49.421,1:49.979,1:51.282,1:50.362,1:49.858,1:49.958,1:49.462,1:48.891,1:48.966,1:53.580,1:49.474,1:48.790,1:48.891,1:52.594,2:09.077,1:48.706,1:48.916,1:49.340,1:49.085,1:49.306,1:48.968,1:48.904,1:49.261,1:49.348,1:48.595,1:48.855,1:49.450,1:48.334,1:48.176,1:47.859,1:48.465,1:48.473
Jarno Trulli (TRU),2:13.077,3:07.956,2:55.552,2:47.751,1:55.032,1:52.894,1:53.285,1:52.106,1:52.215,1:51.219,1:51.099,1:50.864,1:51.061,1:50.667,1:50.231,1:50.029,1:50.056,1:50.089,1:50.317,1:54.010,2:18.096
Timo Glock (GLO),2:12.223,2:56.579,2:56.994,2:52.552,1:51.630,1:49.436,1:48.749,1:48.283,1:48.511,1:48.650,1:48.220,1:51.944,2:13.809,1:50.185,1:49.713,1:49.749,1:49.409,1:49.046,1:50.520,1:49.971,1:49.802,1:49.931,1:50.523,1:49.564,1:50.048,1:49.179,1:49.245,1:49.494,1:48.302,1:48.820,1:48.601,1:51.845,2:05.495,1:49.006,1:49.478,1:48.823,1:48.338,1:49.733,1:48.754,1:47.736,1:48.272,1:48.343,1:48.417,1:48.563
Robert Kubica (KUB),2:09.127,2:57.150,2:56.882,2:54.355,1:51.142,1:48.920,1:48.203,1:48.129,1:48.283,1:47.973,1:48.109,1:51.396,2:07.188,1:49.195,1:49.011,1:49.332,1:49.197,1:48.932,1:48.729,1:48.569,1:48.505,1:48.732,1:48.666,1:48.878,1:48.754,1:48.502,1:48.572,1:48.543,1:48.359,1:51.976,2:05.016,1:48.405,1:48.790,1:48.681,1:48.331,1:48.742,1:48.478,1:48.261,1:48.046,1:47.823,1:47.664,1:47.757,1:47.756,1:47.902
