Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Adrian Sutil (SUT),2:04.224,1:47.992,1:46.185,1:46.876,1:46.547,1:45.573,1:45.426,1:43.980,1:43.699,1:43.902,1:43.736,1:44.563,1:44.073,1:43.756,1:46.160,1:44.446,1:43.001,1:43.200,1:42.854,1:42.782,1:43.075,1:42.755,1:44.685,1:45.349,2:10.769,1:42.545,1:42.237,1:41.658,1:41.515,1:41.574,1:41.494,1:41.966,1:41.235,1:40.904,1:41.832,1:42.251,1:42.226,1:41.165,1:41.154,1:41.339,1:43.910,2:09.226,1:42.799,1:43.069,1:42.321,1:42.200,1:42.215,1:42.342,1:44.520,1:41.676,1:42.169,1:43.933,1:42.199,1:43.145
Jarno Trulli (TRU),1:54.273,1:45.502,1:44.503,1:43.604,1:42.869,1:42.638,1:42.366,1:41.890,1:41.795,1:41.539,1:41.874,1:41.504,1:41.368,1:41.453,1:41.305,1:41.202,1:41.260,1:43.226,2:10.759,1:43.963,1:43.386,1:43.208,1:42.830,1:42.396,1:42.365,1:42.413,1:42.363,1:41.997,1:41.931,1:41.688,1:41.847,1:41.778,1:41.925,1:41.873,1:41.973,1:41.839,1:41.725,1:41.743,1:41.171,1:41.477,1:41.252,1:43.727,2:06.478,1:42.449,1:41.643,1:41.376,1:41.170,1:41.253,1:40.723,1:40.852,1:40.738,1:40.950,1:40.834,1:41.770,1:41.744
Robert Kubica (KUB),1:53.496,1:45.712,1:43.898,1:42.818,1:42.365,1:42.143,1:41.823,1:41.725,1:41.471,1:41.359,1:41.166,1:41.215,1:41.100,1:41.241,1:41.275,1:43.391,2:10.212,1:43.246,1:46.055,1:43.993,1:43.395,1:43.303,1:42.924,1:42.595,1:42.490,1:42.450,1:42.547,1:42.248,1:42.018,1:41.860,1:41.736,1:42.463,1:41.671,1:41.669,1:41.604,1:41.475,1:41.720,1:41.802,1:43.130,2:06.147,1:42.495,1:48.776,1:42.474,1:42.305,1:41.927,1:41.714,1:41.828,1:41.728,1:41.731,1:41.485,1:41.105,1:41.039,1:41.052,1:40.924,1:42.060
Kimi Räikkönen (RAI),1:58.348,1:47.432,1:45.456,1:44.701,1:44.231,1:43.843,1:43.602,1:43.347,1:42.713,1:42.463,1:42.323,1:42.346,1:42.237,1:42.188,1:42.201,1:41.871,1:43.815,1:43.284,1:42.578,1:42.423,1:42.410,1:42.412,1:42.587,1:42.532,1:42.068,1:42.447,1:42.064,1:42.493,1:44.076,2:11.834,1:44.034,1:44.360,1:43.818,1:43.603,1:43.333,1:42.629,1:42.505,1:42.392,1:42.757,1:42.023,1:42.509,1:43.207,1:42.480,1:42.855,1:42.478,1:42.870,1:41.842,1:42.490,1:41.146,1:42.116,1:40.969,1:41.027,1:40.978,1:40.843,1:42.142
Kazuki Nakajima (NAK),1:59.339,1:48.067,1:45.588,1:44.974,1:44.817,1:44.065,1:43.588,1:43.690,1:43.634,1:43.213,1:43.069,1:42.821,1:42.997,1:42.768,1:42.697,1:42.566,1:42.731,1:42.644,1:43.839,1:44.228,1:43.536,1:43.372,1:43.058,1:43.144,1:42.699,1:42.576,1:42.624,1:42.488,1:42.077,1:42.421,1:41.960,1:44.005,2:10.719,1:43.544,1:43.392,1:43.156,1:42.897,1:42.495,1:42.619,1:42.573,1:42.463,1:42.488,1:42.453,1:42.140,1:42.144,1:42.215,1:41.962,1:41.444,1:41.595,1:41.520,1:41.520,1:41.280,1:41.077,1:40.754,1:41.508
Heikki Kovalainen (KOV),1:58.783,1:47.501,1:45.518,1:44.867,1:44.473,1:43.909,1:43.688,1:43.416,1:43.003,1:42.976,1:42.422,1:42.689,1:42.367,1:42.568,1:42.065,1:41.972,1:43.397,1:42.553,1:42.379,1:42.154,1:42.292,1:42.676,1:42.025,1:42.458,1:42.205,1:42.438,1:41.965,1:42.640,1:42.214,1:41.883,1:42.951,2:10.783,1:43.044,1:43.231,1:43.425,1:42.879,1:43.217,1:43.515,1:43.817,1:43.456,1:43.073,1:43.116,1:42.763,1:42.665,1:42.247,1:41.979,1:41.824,1:41.756,1:41.617,1:41.726,1:41.626,1:41.681,1:41.316,1:41.420,1:41.589
Fernando Alonso (ALO),2:01.915,1:48.425,1:46.809,1:45.747,1:45.597,1:44.643,1:44.001,1:44.315,1:43.663,1:43.948,1:43.702,1:43.383,1:43.452,1:43.213,1:43.220,1:42.946,1:43.023,1:42.894,1:43.457,1:43.185,1:43.677,1:43.052,1:42.498,1:42.497,1:42.175,1:42.419,1:42.118,1:42.159,1:42.009,1:41.892,1:42.226,1:42.358,1:42.822,1:43.929,2:07.858,1:42.713,1:43.075,1:43.616,1:43.169,1:43.175,1:42.808,1:42.528,1:42.651,1:42.174,1:42.490,1:42.739,1:41.761,1:43.234,1:41.483,1:42.802,1:41.115,1:41.005,1:43.644,1:40.757,1:40.935
Nico Rosberg (ROS),1:56.884,1:45.542,1:44.563,1:43.767,1:42.950,1:42.738,1:42.013,1:42.470,1:41.931,1:41.938,1:41.754,1:41.485,1:41.538,1:41.401,1:41.185,1:41.501,1:41.292,1:43.268,2:08.446,1:43.637,1:43.817,1:43.283,1:42.939,1:42.773,1:42.817,1:42.550,1:42.333,1:42.444,1:42.124,1:42.263,1:41.943,1:42.260,1:41.946,1:41.759,1:41.754,1:41.375,1:41.572,1:43.221,2:07.696,1:43.121,1:42.405,1:42.532,1:42.119,1:42.022,1:42.051,1:42.131,1:41.794,1:41.426,1:40.997,1:41.162,1:41.058,1:41.226,1:41.459,1:41.018,1:41.662
Nick Heidfeld (HEI),1:55.786,1:45.518,1:44.561,1:43.413,1:42.764,1:42.786,1:42.192,1:42.085,1:41.849,1:41.632,1:41.607,1:41.735,1:41.384,1:41.521,1:41.324,1:41.261,1:41.477,1:41.177,1:43.104,2:08.250,1:42.983,1:42.816,1:42.419,1:42.058,1:41.953,1:42.621,1:43.709,1:41.914,1:41.766,1:41.582,1:41.621,1:41.347,1:41.514,1:41.234,1:41.228,1:41.152,1:40.978,1:41.142,1:40.931,1:40.886,1:42.774,2:06.372,1:42.563,1:41.949,1:41.883,1:41.674,1:41.601,1:41.433,1:41.332,1:41.154,1:41.087,1:40.794,1:41.594,1:40.672,1:41.505
Lewis Hamilton (HAM),1:49.107,1:43.788,1:42.715,1:42.136,1:41.620,1:41.277,1:41.205,1:41.333,1:40.932,1:40.769,1:41.851,1:41.347,1:41.148,1:40.971,1:40.599,1:40.367,1:42.267,2:07.894,1:42.993,1:48.011
