Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Sébastien Buemi (BUE),1:51.023,1:38.556,1:37.918,1:38.094,1:37.799,1:37.199,1:37.084,1:37.759,1:37.212,1:37.149,1:37.372,1:37.309,1:37.714,1:37.751,1:37.651,1:38.107,1:39.401,1:38.020,1:37.821,1:37.728,1:40.393,1:58.251,1:36.430,1:36.279,1:36.431,1:36.441,1:36.420,1:36.607,1:36.850,1:37.097,1:37.354,1:37.035,1:37.352,1:37.133,1:38.301,1:37.502,1:36.871,1:39.238,1:58.942,1:36.781,1:37.056,1:36.633,1:36.766,1:36.702,1:36.478,1:36.787,1:36.551,1:36.968,1:36.616,1:37.674,1:36.488,1:36.896,1:36.326,1:36.914,1:36.444,1:38.224,1:37.324,1:36.842,1:36.669,1:36.802
Rubens Barrichello (BAR),1:40.668,1:35.348,1:35.312,1:34.800,1:35.234,1:35.347,1:35.475,1:35.051,1:35.219,1:35.682,1:36.058,1:36.455,1:36.193,1:38.395,1:57.966,1:37.025,1:37.238,1:37.213,1:37.339,1:37.284,1:37.275,1:37.300,1:37.672,1:37.641,1:37.852,1:35.885,1:35.855,1:36.417,1:36.400,1:36.696,1:37.022,1:39.425,2:02.057,1:35.324,1:34.771,1:35.297,1:34.765,1:35.334,1:35.036,1:35.540,1:35.389,1:35.059,1:35.486,1:35.535,1:35.848,1:35.250,1:35.038,1:34.772,1:35.198,1:36.780,1:53.909,1:35.402,1:34.763,1:34.676,1:34.823,1:35.405,1:35.516,1:35.605,1:35.092,1:35.366
Giancarlo Fisichella (FIS),1:51.527,1:38.466,1:38.043,1:36.819,1:36.451,1:37.164,1:36.859,1:37.979,1:36.365,1:35.890,1:36.887,1:36.529,1:37.396,1:37.764,1:37.471,1:37.652,1:37.371,1:39.141,1:58.065,1:36.154,1:36.370,1:37.187,1:37.186,1:37.102,1:37.227,1:37.252,1:37.088,1:37.493,1:37.067,1:37.423,1:37.530,1:37.422,1:37.506,1:37.700,1:39.549,1:58.427,1:36.783,1:36.850,1:37.960,1:36.913,1:36.446,1:35.942,1:36.043,1:35.938,1:36.111,1:35.424,1:35.392,1:35.727,1:35.433,1:35.460,1:36.621,1:35.798,1:35.447,1:35.301,1:35.750,1:36.190,1:36.220,1:36.042,1:36.060,1:36.264
Sebastian Vettel (VET),1:45.947,1:37.998,1:36.039,1:35.932,1:36.117,1:36.699,1:36.434,1:36.356,1:36.753,1:36.834,1:37.172,1:37.549,1:37.584,1:37.685,1:38.853,1:37.776,1:37.147,1:37.546,1:37.539,1:37.249,1:39.931,1:59.511,1:36.393,1:35.815,1:36.055,1:36.525,1:35.608,1:35.343,1:35.952,1:36.533,1:36.011,1:35.527,1:35.757,1:35.216,1:35.681,1:35.756,1:35.189,1:34.926,1:34.501,1:34.668,1:34.688,1:34.089,1:34.306,1:36.977,1:53.804,1:35.065,1:35.292,1:34.902,1:35.055,1:34.984,1:34.781,1:34.790,1:34.966,1:34.657,1:35.043,1:34.897,1:34.946,1:35.340,1:35.762,1:36.111
Jenson Button (BUT),1:45.637,1:36.306,1:36.140,1:36.517,1:36.014,1:37.130,1:36.063,1:36.410,1:36.796,1:37.106,1:37.083,1:37.332,1:39.986,1:55.985,1:35.435,1:36.185,1:37.160,1:36.898,1:35.257,1:35.669,1:35.987,1:36.976,1:37.770,1:36.313,1:35.841,1:36.207,1:36.005,1:36.522,1:36.394,1:36.771,1:38.849,1:57.574,1:37.084,1:35.482,1:34.749,1:34.697,1:34.921,1:35.258,1:35.062,1:35.464,1:34.833,1:34.757,1:35.229,1:35.178,1:35.673,1:35.396,1:35.001,1:34.857,1:35.214,1:34.498,1:35.845,1:53.875,1:34.252,1:34.906,1:35.654,1:35.505,1:35.178,1:35.553,1:35.242,1:35.238
Mark Webber (WEB),1:41.512,1:35.600,1:35.304,1:34.602,1:35.063,1:35.704,1:35.505,1:35.468,1:35.062,1:35.220,1:36.036,1:36.457,1:36.478,1:39.053,1:46.110,1:36.154,1:36.299,1:35.822,1:39.651,1:59.135,1:36.488,1:36.981,1:37.789,1:35.665,1:35.616,1:35.481,1:35.651,1:35.578,1:36.014,1:35.616,1:35.433,1:36.240,1:34.836,1:35.068,1:34.425,1:34.290,1:34.003,1:34.869,1:34.827,1:36.003,1:35.242,1:34.609,1:37.084,1:56.303,1:35.294,1:35.421,1:35.256,1:35.069,1:35.019,1:34.746,1:35.077,1:34.954,1:35.458,1:35.289,1:36.137,1:36.166,1:36.408,1:36.397,1:35.292,1:36.981
Adrian Sutil (SUT),1:47.322,1:38.166,1:37.177,1:36.699,1:36.768,1:36.955,1:36.839,1:36.570,1:36.673,1:36.821,1:36.853,1:38.896,1:36.851,1:36.875,1:37.232,1:37.506,1:37.389,1:37.483,1:37.291,1:37.203,1:37.156,1:36.817,1:36.735,1:37.596,1:36.388,1:36.263,1:38.804,2:04.112,2:01.002,1:36.367,1:36.111,1:36.255,1:36.188,1:35.528,1:36.397,1:36.405,1:35.943,1:35.751,1:36.182,1:35.792,1:35.771,1:35.394,1:35.366,1:35.436,1:35.468,1:37.829,1:57.065,1:35.754,1:35.486,1:35.594,1:35.631,1:36.192,1:36.080,1:36.072,1:36.310,1:36.504,1:36.108,1:36.120,1:36.101,1:35.609
Jarno Trulli (TRU),1:52.783,1:45.875,1:59.368,1:36.206,1:36.309,1:36.357,1:36.143,1:36.146,1:36.445,1:36.679,1:36.737,1:36.383,1:36.618,1:36.829,1:36.850,1:36.963,1:37.167,1:37.690,1:38.166,1:39.861,1:42.544,1:56.587,1:36.995,1:36.586,1:36.470,1:36.079,1:35.892,1:36.417,1:37.130,1:37.021,1:37.187,1:36.761,1:37.092,1:36.777,1:36.554,1:39.240,1:37.187,1:37.107,1:38.327,1:37.125,1:36.867,1:35.911,1:36.708,1:36.211,1:38.072,1:36.177,1:38.472,1:36.431,1:37.941,1:54.147,1:34.058,1:33.654,1:34.086,1:34.078,1:35.123,1:37.224,1:38.508,1:36.577,1:36.481,1:36.901
Felipe Massa (MAS),1:45.397,1:37.552,1:36.282,1:36.272,1:36.121,1:36.701,1:36.518,1:36.304,1:36.644,1:36.890,1:37.105,1:37.443,1:37.552,1:37.540,1:38.408,1:37.023,1:36.939,1:37.188,1:37.615,1:37.337,1:37.200,1:37.412,1:37.739,1:37.555,1:40.084,1:57.953,1:35.559,1:35.656,1:35.957,1:35.935,1:36.010,1:35.676,1:35.780,1:35.455,1:35.512,1:35.469,1:35.369,1:34.933,1:34.545,1:35.395,1:35.067,1:34.794,1:34.797,1:36.417,1:37.695,1:55.138,1:35.163,1:34.946,1:34.913,1:34.588,1:34.461,1:34.639,1:34.458,1:34.717,1:34.837,1:35.069,1:35.162,1:36.267,1:35.450,1:36.613
Nelson Piquet Jr. (PIQ),1:52.363,1:39.896,1:38.533,1:37.996,1:37.429,1:38.347,1:37.510,1:37.723,1:37.572,1:37.915,1:37.609,1:37.898,1:37.485,1:38.800,1:37.287,1:37.650,1:38.122,1:37.317,1:37.285,1:37.068,1:37.136,1:37.011,1:36.619,1:36.531,1:36.517,1:39.183,2:00.194,1:37.301,1:37.027,1:36.669,1:36.951,1:36.534,1:36.483,1:35.854,1:36.081,1:37.167,1:36.846,1:36.647,1:36.366,1:35.818,1:36.161,1:35.758,1:36.371,1:35.720,1:35.177,1:34.876,1:38.906,1:55.398,1:35.501,1:35.538,1:36.211,1:35.545,1:36.323,1:35.522,1:35.810,1:36.107,1:36.243,1:36.313,1:36.489,1:36.929
