Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Johnny Herbert,4:18.026
Pedro Diniz,2:01.051,2:19.579,2:29.357,2:26.685,2:30.683,2:29.890,2:30.292,2:26.993,2:29.634,2:26.007,2:25.687,1:31.826,1:29.808,1:30.272,1:30.651,1:29.500,1:28.930,1:29.137,1:28.199,1:29.089,1:28.605,1:28.442,1:29.385,1:28.507,1:28.432,1:28.976,1:29.562,1:28.507,1:28.545,1:28.441,1:28.014,1:27.944,1:29.377,1:28.487,1:27.830,1:27.868,1:32.051,1:55.110,1:27.447,1:27.715,1:27.606,1:27.797,1:27.965,1:27.215,1:28.230,1:28.140,1:30.143,1:28.551,1:28.062,1:29.822,1:28.110,1:28.203
Mika Salo,3:07.234,2:21.936,1:31.498,2:17.885,2:30.471,2:30.172,2:27.884,3:13.671,1:46.481,2:27.057,2:24.335,1:29.528,1:29.567,1:30.225,1:28.652,1:29.300,1:28.236,1:28.275,1:28.070,1:29.559,1:27.877,1:27.785,1:28.820,1:28.252,1:28.296,1:27.297,1:27.333,1:27.488,1:31.671,1:54.664,1:28.560,1:28.148,1:28.424,1:28.767,1:28.479,1:28.190,1:30.067,1:28.504,1:28.617,1:28.723,1:29.883,1:28.192,1:28.330,1:28.025,1:27.616,1:27.893,1:27.729,1:28.241,1:27.625,1:29.676,1:27.718,1:29.560
Gastón Mazzacane,1:48.537,2:31.510,2:29.554,2:26.766,2:30.362,2:30.060,2:29.768,2:27.048,2:29.675,2:26.100,2:25.866,1:31.838,1:29.516,1:29.503,1:29.527,1:29.981,1:29.729,1:28.952,1:28.827,1:28.815,1:28.495,1:28.677,1:29.336,1:28.468,1:28.796,1:28.862,1:28.650,1:29.052,1:32.858,1:55.055,1:29.732,1:30.292,1:30.336,1:30.028,1:29.066,1:29.415,1:30.017,1:29.089,1:29.865,1:28.965,1:29.460,1:29.860,1:28.916,1:29.272,1:28.754,1:29.117,1:28.828,1:28.696,1:28.299,1:28.328,1:30.277,1:28.850
Mika Häkkinen,1:40.077,2:31.500,2:29.409,2:28.370,2:29.913,2:30.645,2:28.727,2:27.800,2:27.948,2:28.638,2:26.328,1:29.128,1:28.027,1:27.708,1:27.303,1:27.235,1:27.329,1:27.282,1:27.083,1:27.230,1:27.007,1:27.116,1:27.056,1:26.950,1:26.992,1:26.751,1:26.540,1:26.532,1:26.456,1:26.596,1:27.031,1:26.372,1:26.377,1:26.289,1:27.469,1:26.125,1:26.463,1:26.320,1:27.063,1:26.048,1:25.943,1:30.327,1:47.961,1:26.045,1:25.922,1:26.155,1:26.050,1:26.131,1:25.753,1:25.595,1:26.431,1:25.812,1:26.090
Jean Alesi,5:37.100,1:32.244,2:12.258,2:30.202,2:28.894,2:29.123,2:26.958,2:29.599,2:26.752,2:24.941,1:32.379,1:28.867,1:29.937,1:29.553,1:29.782,1:29.106,1:28.839,1:28.647,1:28.763,1:28.621,1:28.577,1:29.193,1:28.570,1:28.731,1:29.952,1:28.138,1:28.468,1:28.579,1:31.910,1:51.426,1:28.333,1:28.374,1:29.689,1:28.763,1:28.718,1:30.639,1:28.991,1:28.790,1:28.580,1:29.271,1:30.141,1:29.010,1:28.616,1:28.775,1:30.526,1:28.161,1:27.978,1:28.118,1:28.314,1:28.308,1:28.506
Jos Verstappen,1:46.028,2:30.718,2:28.760,2:27.373,2:30.388,2:30.925,2:29.280,2:26.659,2:28.961,2:27.827,2:25.672,1:29.193,1:29.259,1:28.353,1:28.768,1:27.735,1:27.958,1:27.858,1:27.877,1:27.862,1:29.577,1:27.673,1:27.625,1:27.362,1:27.616,1:27.354,1:27.300,1:27.346,1:27.463,1:27.671,1:27.033,1:31.077,1:52.926,1:28.002,1:27.931,1:27.933,1:28.058,1:27.899,1:27.901,1:28.006,1:27.771,1:27.914,1:27.613,1:28.130,1:27.745,1:27.718,1:27.846,1:27.694,1:27.745,1:27.568,1:27.501,1:27.420,1:27.704
Marc Gené,1:47.057,2:30.756,2:29.238,2:27.760,2:30.120,2:30.124,2:29.929,2:26.867,2:29.289,2:27.036,2:24.906,1:30.912,1:29.942,1:29.901,1:29.303,1:29.162,1:29.608,1:29.127,1:29.103,1:29.653,1:29.540,1:28.851,1:29.621,1:28.530,1:28.521,1:29.042,1:28.251,1:28.486,1:29.582,1:28.393,1:28.131,1:28.492,1:33.059,1:52.415,1:29.044,1:28.548,1:28.731,1:31.262,1:28.562,1:28.663,1:28.613,1:29.046,1:29.299,1:28.410,1:28.261,1:28.436,1:28.828,1:28.164,1:28.237,1:28.417,1:28.654,1:28.914
Ricardo Zonta (ZON),2:12.716,2:08.691,2:29.483,2:26.626,2:30.728,2:29.525,2:30.636,2:27.119,2:29.534,2:26.448,2:24.496,1:29.163,1:28.844,1:28.006,1:27.367,1:27.773,1:27.233,1:27.570,1:27.910,1:27.716,1:27.699,1:26.433,1:29.883,1:49.246,1:27.132,1:27.668,1:27.812,1:27.441,1:27.912,1:27.135,1:27.043,1:27.424,1:27.625,1:27.941,1:27.564,1:31.629,1:48.579,1:27.351,1:27.168,1:27.189,1:27.116,1:27.058,1:27.371,1:27.243,1:27.367,1:30.040,1:27.222,1:26.982,1:27.018,1:26.722,1:26.833,1:27.268,1:27.233
Jacques Villeneuve (VIL),1:41.496,2:31.099,2:29.335,2:28.066,2:29.858,2:30.788,2:29.156,2:27.446,2:28.476,2:27.986,2:26.171,1:29.715,1:28.444,1:28.038
Michael Schumacher (MSC),1:37.034,2:33.280,2:29.489,2:28.507,2:29.794,2:30.571,2:28.819,2:28.003,2:28.118,2:28.641,2:26.472,1:28.294,1:27.348,1:27.221,1:26.919,1:27.060,1:27.173,1:27.027,1:26.820,1:26.735,1:26.623,1:26.428,1:26.432,1:26.432,1:26.521,1:26.402,1:26.422,1:26.224,1:26.278,1:26.008,1:26.565,1:26.632,1:26.622,1:26.313,1:26.903,1:25.663,1:26.050,1:25.762,1:29.664,1:47.607,1:26.029,1:26.322,1:26.227,1:27.006,1:26.683,1:26.533,1:26.689,1:27.036,1:26.517,1:26.908,1:26.733,1:26.515,1:27.564
Alexander Wurz (WUR),1:44.651,2:31.552,2:28.660,2:27.261,2:30.722,2:30.881,2:29.129,2:26.784,2:28.767,2:28.140,2:25.703,1:31.299,1:29.720,1:29.313,1:29.295,1:29.499,1:29.452,1:29.025,1:28.820,1:28.955,1:28.893,1:28.710,1:28.905,1:28.420,1:30.110,1:28.521,1:28.536,1:28.146,1:28.244,1:28.001,1:27.778,1:28.012,1:27.800,1:27.687,1:27.850,1:27.625,1:27.422,1:27.473,1:27.367,1:26.896,1:26.961,1:30.921,1:47.113,1:26.869,1:27.114,1:27.365,1:27.069,1:27.338,1:27.573,1:27.685,1:27.431,1:27.735,1:27.866
Ralf Schumacher (SCH),1:42.231,2:31.002,2:29.284,2:28.035,2:29.808,2:30.914,2:28.983,2:27.517,2:28.471,2:27.945,2:26.243,1:29.890,1:29.150,1:29.072,1:28.830,1:29.822,1:29.066,1:29.005,1:28.416,1:30.375,1:28.564,1:28.224,1:28.409,1:28.312,1:27.897,1:27.845,1:27.834,1:27.691,1:27.537,1:27.407,1:27.427,1:27.460,1:27.680,1:27.226,1:27.359,1:27.374,1:26.888,1:27.039,1:26.810,1:26.935,1:26.860,1:27.118,1:31.104,1:47.359,1:27.018,1:26.924,1:27.283,1:27.795,1:26.636,1:26.680,1:27.230,1:27.357,1:28.729
Giancarlo Fisichella (FIS),1:42.943,2:31.069,2:29.495,2:27.421,2:30.101,2:30.710,2:29.107,2:27.245,2:28.666,2:27.828,2:26.565,1:29.980,1:29.285,1:28.656,1:30.076,1:29.339,1:29.217,1:28.786,1:28.667,1:29.424,1:28.802,1:28.747,1:28.350,1:28.260,1:28.183,1:28.068,1:27.830,1:27.898,1:27.760,1:27.867,1:27.800,1:27.580,1:27.562,1:27.518,1:28.623,1:27.485,1:27.339,1:27.354,1:27.320,1:27.162,1:27.118,1:27.180,1:30.936,3:17.746,1:26.985,1:26.731,1:26.747,1:26.894,1:27.173,1:27.381,1:27.251,1:27.640
Jenson Button (BUT),1:43.666,2:31.154,2:29.216,2:27.471,2:30.362,2:30.679,2:29.206,2:27.131,2:28.879,2:27.819
Nick Heidfeld (HEI),1:48.123,2:30.881,2:28.615,2:28.122,2:29.833,2:30.116,2:29.916,2:26.889,2:29.406,2:27.003,2:25.406,1:30.548,1:30.518,1:29.580,1:29.989
