Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Karun Chandhok (CHA),1:55.194,1:43.268,1:42.657,1:42.385,1:42.075,1:42.159,1:41.875,1:41.850,1:42.877,1:42.004,1:41.176,1:41.781,1:41.385,1:41.602,1:41.417,1:43.939,1:41.207,1:41.111,1:41.310,1:44.973,1:40.974,1:46.184,2:03.668,1:40.018,1:44.581,1:46.759,1:47.868,1:43.779,1:59.296,1:42.913,1:41.172,1:41.009,1:39.952,1:40.309,1:39.710,1:39.525,1:39.441,1:39.371,1:40.704,1:38.798,1:38.981,1:40.056,1:40.060,1:39.127,1:39.218,1:41.698,1:44.050,1:40.846,1:41.094,1:38.832
Lucas di Grassi (DIG),1:54.105,1:42.528,1:41.665,1:41.454,1:41.066,1:40.794,1:40.641,1:40.685,2:06.607
Vitaly Petrov (PET),1:50.699,1:40.258,1:39.244,1:39.389,1:38.910,1:38.862,1:38.619,1:38.275,1:38.444,1:38.019,1:38.013,1:37.587,1:37.295,1:37.410,1:41.631,1:54.885,1:37.301,1:36.964,1:36.871,1:36.713,1:36.561,1:36.588,1:36.200,1:36.707,1:36.329,1:36.208,1:35.970,1:53.768,1:42.277,2:19.496,1:38.555,1:38.094,1:36.100,1:35.527,1:35.075,1:35.324,1:37.231,1:35.277,1:34.797,1:40.514,1:53.693,1:34.891,1:33.248,1:32.788,1:36.539,1:33.894,1:35.388,1:33.024,1:33.790,1:33.248,1:32.600,1:32.484
Nico Hülkenberg (HUL),1:50.975,1:40.359,1:39.585,1:39.142,1:38.985,1:38.831,1:38.859,1:38.416,1:38.315,1:38.041,1:38.097,1:38.159,1:37.607,1:36.983,1:37.386,1:36.788,1:36.950,1:37.008,1:36.440,1:36.456,1:36.274,1:36.470,1:36.486,1:36.084,1:36.373,1:36.407,1:40.509,2:08.593,1:44.147,2:20.478,1:38.668,1:37.946,1:35.336,1:35.479,1:35.320,1:35.327,1:35.193,1:36.500,1:34.702,1:34.880,1:34.376,1:34.410,1:34.550,1:34.791,1:34.863,1:34.267,1:34.146,1:33.989,1:34.909,1:34.837,1:35.199,1:35.321
Kamui Kobayashi (KOB),1:48.395,1:39.214,1:39.056,1:38.828,1:38.676,1:38.439,1:38.371,1:38.471,1:38.168,1:38.053,1:38.006,1:41.354,1:54.366,1:35.939,1:36.648,1:36.456,1:36.338,1:36.300,1:37.012,1:36.680,1:36.535,1:36.362,1:36.260,1:36.232,1:36.555,1:36.341,1:36.345,1:50.899,1:51.806,2:21.904,1:37.667,1:36.902,1:35.860,1:35.599,1:35.020,1:35.107,1:34.802,1:35.449,1:35.176,1:35.002,1:34.482,1:34.228,1:33.794,1:33.928,1:34.217,1:34.216,1:34.081,1:34.685,1:34.854,1:33.646,1:34.089,1:33.558
Jaime Alguersuari (ALG),1:51.481,1:41.083,1:39.616,1:39.524,1:39.030,1:38.850,1:38.962,1:38.561,1:38.503,1:38.258,1:38.392,1:38.313,1:37.680,1:37.548,1:37.540,1:37.365,1:37.618,1:37.836,1:37.971,1:36.924,1:36.761,1:36.915,1:36.990,1:36.285,1:36.867,1:36.305,1:36.049,1:53.679,1:57.593,2:17.374,1:38.393,1:38.239,1:36.104,1:36.616,1:35.224,1:35.369,1:35.869,1:35.514,1:34.887,1:35.894,1:34.088,1:34.005,1:33.748,1:34.050
Sébastien Buemi (BUE),1:51.352,1:40.430,1:39.746,1:39.260,1:39.092,1:38.809,1:38.765,1:38.509,1:38.618,1:38.368,1:38.238,1:38.207,1:37.906,1:37.179,1:37.605,1:41.425,1:56.664,1:37.014,1:37.329,1:37.564,1:37.884,1:38.052,1:37.697,1:37.390,1:37.516,1:37.125,1:38.342,1:54.713,1:39.116,2:06.712,1:38.555,1:41.039,1:37.633,1:37.730,1:35.937,1:35.485,1:34.983,1:35.371,1:35.187,1:35.287,1:34.789,1:34.773,1:34.365,1:34.510,1:34.826,1:34.671,1:34.278,1:34.101,1:33.685,1:34.324,1:34.691,1:32.980
Pedro de la Rosa (DLR),1:50.472,1:39.714,1:39.375,1:39.004,1:38.925,1:38.685,1:38.363,1:38.392,1:38.075,1:38.442,1:37.748,1:37.793,1:40.743,1:54.338,1:36.810,1:38.599,1:36.743,1:36.822,1:36.534,1:36.447,1:36.159,1:36.205,1:35.883,1:36.471,1:37.004,1:43.498,2:01.831,1:47.723,1:47.685
Michael Schumacher (MSC),1:47.410,1:39.257,1:38.688,1:39.046,1:38.558,1:38.386,1:38.305,1:38.331,1:38.491,1:37.822,1:42.144,1:56.176,1:37.868,1:36.250,1:36.498,1:36.523,1:36.469,1:36.481,1:36.649,1:36.532,1:36.553,1:36.470,1:36.215,1:35.992,1:36.389,1:36.734,1:35.840,1:50.682,1:52.201,2:21.436,1:38.000,1:37.927,1:36.323,1:35.357,1:35.279,1:35.444,1:34.991,1:35.387,1:34.842,1:36.145,1:34.278,1:34.227,1:34.724,1:34.679,1:34.309,1:34.444,1:34.171,1:34.554,1:34.924,1:35.123,1:34.943,1:35.332
Sakon Yamamoto (YAM),1:55.630,1:43.839,1:43.495,1:43.123,1:43.109,1:42.542,1:42.495,1:42.854,1:42.773,1:42.255,1:42.355,1:42.417,1:41.851,1:44.654,1:43.514,1:42.059,1:43.382,1:43.717,1:41.898,1:48.662,2:04.967,1:40.836,1:41.095,1:40.912,1:41.893,1:46.925,1:45.460,1:42.900,1:48.260,1:43.139,1:41.172,1:41.804,1:40.295,1:39.633,1:39.592,1:39.233,1:39.628,1:39.035,1:40.434,1:39.498,1:39.008,1:41.881,1:39.025,1:39.047,1:40.394,1:43.227,1:44.253,1:39.659,1:38.719,1:38.309
Vitantonio Liuzzi (LIU),1:53.706,1:41.572,1:41.111,1:40.856,1:40.500,1:40.471,1:40.064,1:40.098,1:40.304,1:39.139,1:38.710,1:38.760,1:38.193,1:38.622,1:38.648,1:38.836,1:38.153,1:38.023,1:37.745,1:38.002,1:38.177,1:38.080,1:37.630,1:37.038,1:37.630,1:37.163,1:38.185,1:57.524,2:01.579,1:45.517,1:37.169,1:38.124,1:36.509,1:35.605,1:35.264,1:35.376,1:35.535,1:35.100,1:34.877,1:34.904,1:34.535,1:34.084,1:34.087,1:34.109,1:34.333,1:34.410,1:34.109,1:34.051,1:35.592,1:34.488,1:34.018,1:34.344
