Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Karun Chandhok (CHA),2:34.479
Rubens Barrichello (BAR),2:12.361,2:05.349,2:04.856,2:04.713,2:04.606,2:05.060,2:04.524,2:04.655,2:04.551,2:04.887,2:04.716,2:04.412,2:03.740,2:03.993,2:03.784,2:03.425,2:03.493,2:03.200,2:06.338,2:20.886,2:01.077,2:03.996,2:01.278,2:01.363,2:00.711,2:00.989,2:01.213,2:01.000,2:00.894,2:00.624,2:01.439,2:01.125,2:01.095,2:00.606,2:00.792,2:00.417,2:00.498,2:00.469,2:00.436,2:00.410,2:00.018,2:00.297,2:00.114,2:00.112,2:00.119,2:00.369,1:59.833,2:01.735,2:06.307
Sebastian Vettel (VET),2:03.366,2:02.517,2:02.969,2:02.723,2:02.858,2:02.675,2:02.555,2:02.656,2:02.659,2:02.631,2:02.318,2:02.653,2:02.512,2:02.408,2:02.460,2:02.394,2:05.068,2:20.578,2:01.738,2:01.506,2:01.192,2:00.999,2:01.152,2:00.569,2:00.832,2:00.724,2:01.124,2:00.320,2:00.500,2:00.421,2:00.283,2:00.218,2:01.574,2:04.102,2:05.060,2:02.970,2:02.725,2:03.571,2:03.063,2:02.254,2:02.633,2:02.413,2:02.337,2:01.566,2:01.644,2:01.535,2:01.194,2:00.640,2:00.336
Jenson Button (BUT),2:10.721,2:04.853,2:04.279,2:04.154,2:03.955,2:04.037,2:04.076,2:03.917,2:03.842,2:03.656,2:03.832,2:04.029,2:03.730,2:03.852,2:03.864,2:05.999,2:21.832,2:01.501,2:02.022,2:01.714,2:01.402,2:01.548,2:01.650,2:01.446,2:01.429,2:01.349,2:01.337,2:01.242,2:01.435,2:01.591,2:00.976,2:00.623,2:00.601,2:00.755,2:00.471,2:00.549,2:00.640,2:00.484,2:00.599,2:00.734,2:00.604,2:00.700,2:00.571,2:00.606,1:59.970,2:00.513,2:00.300,2:01.062,2:00.624
Mark Webber (WEB),2:09.956,2:04.661,2:03.692,2:04.504,2:03.336,2:04.010,2:03.731,2:04.135,2:03.720,2:03.503,2:03.976,2:04.175,2:04.047,2:04.202,2:04.542,2:06.026,2:24.016,2:00.785,2:02.584,2:01.171,2:01.178,2:01.520,2:01.582,2:01.653,2:01.716,2:01.189,2:01.411,2:01.875,2:01.636,2:01.467,2:01.705,2:00.804,1:59.894,2:00.036,2:00.616,2:00.358,2:00.691,2:00.460,2:00.323,2:00.703,2:00.482,2:01.864,2:01.826,1:59.891,1:59.487,1:59.786,2:00.089,2:00.753,2:00.989
Adrian Sutil (SUT),2:24.476,2:05.478,2:05.255,2:06.930,2:03.993,2:04.236,2:04.346,2:04.409,2:04.767,2:04.508,2:04.907,2:05.850,2:04.343,2:03.904,2:06.091,2:23.607,2:02.428,2:03.058,2:02.590,2:02.666,2:02.392,2:02.483,2:02.667,2:01.998,2:01.897,2:01.702,2:01.844,2:01.579,2:01.546,2:01.547,2:02.283,2:01.650,2:01.834,2:01.451,2:01.647,2:00.635,2:01.007,2:01.362,2:01.236,2:00.874,2:00.718,2:00.402,1:59.601,1:59.618,2:00.254,2:00.963,2:00.717,2:00.212,1:59.393
Jarno Trulli (TRU),2:19.666,2:10.511,2:10.784,2:07.475,2:07.390,2:07.526,2:07.619,2:07.298,2:07.379,2:07.349,2:07.388,2:07.309,2:08.541,2:07.572,2:08.395,2:07.428,2:07.013,2:06.475,2:07.362,2:07.054,2:06.738,2:06.587,2:06.377,2:09.022,2:30.244,2:07.183,2:03.274,2:03.386,2:04.884,2:05.286,2:03.674,2:04.692,2:03.327,2:02.930,2:03.343,2:03.275,2:03.291,2:10.126,2:11.885,2:10.923,2:17.574,2:17.286,2:14.933,2:28.693,2:20.681,2:23.993
Felipe Massa (MAS),2:06.758,2:03.196,2:02.825,2:03.146,2:02.675,2:03.222,2:02.819,2:02.820,2:02.494,2:02.946,2:02.655,2:03.422,2:02.482,2:03.626,2:03.161,2:02.668,2:04.902,2:19.728,2:00.117,2:00.701,2:00.818,2:00.878,2:00.723,2:01.027,2:00.756,2:00.535,2:00.420,2:00.760,2:00.239,2:00.371,2:00.457,2:00.104,2:00.262,2:02.013,2:02.378,2:00.405,1:59.811,1:59.732,2:00.371,2:00.952,2:00.314,1:59.837,2:00.312,1:59.847,2:00.537,2:00.484,2:01.168,2:01.747,2:02.874
Timo Glock (GLO),2:18.573,2:08.234,2:08.050,2:08.328,2:07.402,2:07.306,2:07.108,2:07.520,2:07.333,2:07.569,2:07.062,2:07.093,2:07.692,2:10.521,2:12.478,2:31.458
Robert Kubica (KUB),2:20.006,2:06.279,2:04.239,2:04.810,2:04.437,2:04.859,2:05.490,2:05.548,2:05.276,2:05.745,2:05.877,2:08.705,2:21.543,2:01.397,2:02.055,2:01.971,2:02.359,2:01.814,2:01.755,2:02.426,2:02.288,2:02.455,2:02.649,2:02.746,2:01.958,2:00.603,2:00.962,2:00.496,2:01.183,2:00.660,2:00.923,2:01.412,2:00.474,2:00.607,2:00.577,2:00.894,2:00.506,2:00.693,2:00.499,2:00.601,2:00.483,2:00.958,2:00.967,2:00.926,2:00.571,2:00.979,2:01.516,2:01.464,2:01.848
Heikki Kovalainen (KOV),2:17.386,2:08.155,2:08.329,2:07.987,2:07.787,2:07.142,2:07.267,2:07.485,2:07.570,2:07.097,2:07.316,2:07.538,2:08.657,2:08.313,2:07.878,2:08.436,2:08.161,2:07.035,2:06.673,2:06.540,2:06.691,2:06.510,2:06.502,2:06.462,2:06.094,2:13.179,2:08.398,2:06.756,2:10.433,2:11.516,2:30.857,2:04.833,2:07.213,2:03.708,2:03.191,2:02.894,2:03.214,2:02.915,2:03.091,2:03.265,2:05.474,2:03.085,2:05.526,2:02.906,2:03.305,2:05.623,2:02.701
Fernando Alonso (ALO),2:05.394,2:02.720,2:03.046,2:02.781,2:02.640,2:03.034,2:02.921,2:02.618,2:02.823,2:02.766,2:02.716,2:02.690,2:03.061,2:03.447,2:02.875,2:05.043,2:19.372,2:01.640,2:01.619,2:01.361,2:01.042,2:00.491,2:01.235,2:00.732,2:00.789,2:00.637,2:00.579,2:00.506,1:59.583,2:00.019,2:00.451,2:01.206,2:00.411,2:02.456,1:59.477,1:58.879,1:59.528,1:59.622,1:59.626,1:59.587,1:59.406,1:59.576,2:00.654,1:59.448,1:58.287,2:00.015,2:00.433,2:00.053,2:01.101
Nico Rosberg (ROS),2:08.063,2:03.507,2:03.519,2:03.682,2:03.384,2:03.503,2:03.571,2:03.674,2:03.834,2:03.716,2:03.914,2:04.002,2:04.132,2:03.924,2:03.726,2:05.842,2:21.500,2:01.683,2:02.338,2:01.758,2:01.351,2:01.462,2:01.201,2:01.520,2:01.370,2:02.045,2:01.300,2:01.247,2:01.273,2:01.341,2:01.142,2:00.625,2:00.903,2:01.104,2:00.889,2:00.766,2:00.497,2:00.599,2:00.848,2:00.694,2:00.980,2:00.289,2:00.406,2:00.509,2:00.236,2:00.504,2:00.920,2:00.902,2:00.414
Lewis Hamilton (HAM),2:08.558,2:03.578,2:03.722,2:03.558,2:03.283,2:03.662,2:03.786,2:03.554,2:03.838,2:03.581,2:03.921,2:03.938,2:04.332,2:03.899,2:06.059,2:20.765,2:00.447,2:02.131,2:00.940,2:01.211,2:00.825,2:00.876,2:00.842,2:00.896,2:00.584,2:00.512,2:00.194,2:00.377,2:00.036,2:00.355,2:00.325,2:00.368,1:59.706,2:00.150,2:00.062,1:59.904,2:01.466,2:00.715,2:00.456,2:00.565,1:59.731,1:59.560,1:59.590,2:00.721,2:00.642,2:01.166,2:00.859,2:01.410,2:01.922
