Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Bruno Senna (SEN),2:25.416,2:31.039,2:38.720,2:38.450,2:36.758,1:51.569,1:51.089,1:50.693,1:50.275,1:49.830,1:49.647,1:49.790,1:50.148,1:49.578,1:49.655,1:49.705,1:50.159,1:49.096,1:49.146,1:49.107,1:48.969,1:49.223,1:49.215,1:48.866,1:48.885,1:48.767,1:48.400,1:49.794,1:49.060,1:48.287,1:49.176,1:50.411,1:47.921,1:48.357,1:55.376,1:51.306,1:49.320,1:50.154,1:47.669,1:47.432,1:47.264,1:47.054,1:47.043,1:46.813,1:46.653,1:46.501,1:46.382,1:46.647,1:48.696,1:46.709,1:48.943,1:46.255,1:46.410
Lucas di Grassi (DIG),2:26.741,2:28.661,2:38.773,2:38.594,2:36.614,1:51.727,1:51.126,1:50.386,1:50.245,1:50.045,1:49.462,1:49.557,1:49.231,1:49.427,1:49.540,1:49.577,1:49.478,1:49.358,1:49.134,1:49.033,1:49.090,1:49.143,1:48.879,1:48.826,1:48.665,1:48.602,1:48.422,1:48.371,1:48.471,1:49.084,1:47.981,1:49.398,1:48.333,1:49.543,1:47.516,1:47.793,1:50.143,1:52.795,1:47.855,1:50.167,1:49.542,1:47.454,1:47.448,1:47.568,1:46.967,1:46.799,1:46.916,1:46.429,1:46.432,1:46.126,1:48.564,1:47.597,1:50.847
Vitaly Petrov (PET),2:13.237,2:40.480,2:38.701,2:38.346,2:36.377,1:50.985,1:48.876,1:47.931,1:47.164,1:46.946,1:46.087,1:47.004,1:46.065,1:46.187,1:46.620,1:46.214,1:46.484,1:46.214,1:46.211,1:45.796,1:45.737,1:45.812,1:46.307,1:45.477,1:45.409,1:45.347,1:45.278,1:44.952,1:45.207,1:45.029,1:45.329,1:45.087,1:44.969,1:45.166,1:44.600,1:44.735,1:44.164,1:44.648,1:43.726,1:43.663,1:43.620,1:43.358,1:43.453,1:42.993,1:43.211,1:42.925,1:43.502,1:42.857,1:42.898,1:42.436,1:42.735,1:42.311,1:42.542,1:43.947,1:45.002
Nico Hülkenberg (HUL),2:16.807,2:31.309,2:38.138,2:39.531,2:38.076,1:49.078,1:48.566,1:47.898,1:49.026,1:47.053,1:46.921,1:46.968,1:47.010,1:46.615,1:46.675,1:46.461,1:46.185,1:46.279,1:46.260,1:45.710,1:45.908,1:46.142,1:45.838,1:45.493,1:45.765,1:45.223,1:45.397,1:44.940,1:45.132,1:45.347,1:45.256,1:44.770,1:45.045,1:45.311,1:44.465,1:46.347,2:04.069,1:44.544,1:43.635,1:43.613,1:44.155,1:44.220,1:43.668,1:43.651,1:43.570,1:43.319,1:43.019,1:43.160,1:42.804,1:42.695,1:42.397,1:43.050,1:43.050,1:42.464,1:43.572
Kamui Kobayashi (KOB),2:12.086,2:31.442,2:38.254,2:39.006,2:39.077,1:48.870,1:48.640,1:46.905,1:46.871,1:46.629,1:46.642,1:46.782,1:46.990,1:46.544,1:47.009,1:46.734,1:46.531,1:46.435,1:45.657,1:45.717,1:45.409,1:45.236,1:45.345,1:45.577,1:47.941,1:46.173,1:46.076,1:45.131,1:44.951,1:44.910,1:45.256,1:45.070,1:47.146,2:03.718,1:43.525,1:44.862,1:44.884,1:44.664,1:44.031,1:44.095,1:44.369,1:43.366,1:43.288,1:43.512,1:43.601,1:43.335,1:42.997,1:44.455,1:43.573,1:42.961,1:42.867,1:42.917,1:42.733,1:42.816,1:42.784
Jaime Alguersuari (ALG),2:18.877,2:35.604,2:39.003,2:38.232,2:36.328,1:50.479,1:51.283,1:48.046,1:47.350,1:47.010,1:46.724,1:47.996,1:46.619,1:47.802,1:46.313,1:46.359,1:46.007,1:46.162,1:45.867,1:45.805,1:45.638,1:45.577,1:46.225,1:45.607,1:45.470,1:45.723,1:45.338,1:44.767,1:44.895,1:45.179,1:45.103,1:44.854,1:44.847,1:44.673,1:44.886,1:44.508,1:44.494,1:44.075,1:44.312,1:43.966,1:44.056,1:43.519,1:43.820,1:44.614,1:43.331,1:43.205,1:43.157,1:43.002,1:42.727,1:42.986,1:43.073,1:42.731,1:42.936,1:42.911,1:42.967
Sébastien Buemi (BUE),2:15.903,2:31.287,2:37.944,2:39.658,2:37.892,1:49.578,1:48.533,1:47.908,1:47.540,1:47.644,1:46.809,1:46.634,1:46.599,1:46.831,1:46.680,1:46.533,1:46.380,1:46.278,1:46.190,1:45.882,1:46.131,1:45.816,1:45.575,1:45.567,1:45.402,1:45.333,1:45.398,1:45.162,1:45.073,1:44.970,1:45.326,1:44.991,1:44.864,1:45.076,1:44.649,1:44.941,1:46.177,2:05.543,1:43.771,1:43.436,1:44.376,1:44.153,1:43.512,1:43.236,1:43.334,1:43.296,1:43.285,1:42.879,1:42.626,1:42.573,1:43.008,1:42.659,1:43.107,1:43.151,1:42.916
Christian Klien (KLI),2:31.154,2:39.434,2:25.784,2:37.855,2:36.825,1:52.180,1:51.427,1:50.548,1:50.218,1:50.046,1:49.603,1:50.212,1:49.606,1:50.021,1:49.652,1:49.488,1:49.470,1:49.648,1:49.585,1:49.492,1:49.363,1:49.244,1:49.393,1:49.197,1:48.828,1:49.090,1:50.564,1:48.588,1:48.964,1:49.996,1:50.573,1:48.796,1:55.978,1:51.227,1:49.745,1:48.075,1:49.482,1:47.728,1:47.559,1:47.412,1:47.382,1:47.590,1:47.099,1:46.646,1:47.611,1:47.665,1:46.815,1:48.325,1:48.285,1:48.414,1:46.814,1:47.635,1:48.969
Rubens Barrichello (BAR),2:11.347,2:31.575,2:38.055,2:39.159,2:39.089,1:49.032,1:48.361,1:46.766,1:46.918,1:46.705,1:46.643,1:46.821,1:46.721,1:46.788,1:47.067,1:46.690,1:46.395,1:48.345,2:06.719,1:45.392,1:45.296,1:45.191,1:45.269,1:45.167,1:45.079,1:45.736,1:46.204,1:45.341,1:44.997,1:45.272,1:44.987,1:44.883,1:44.735,1:44.979,1:45.143,1:45.620,1:44.700,1:44.563,1:44.013,1:44.365,1:43.824,1:43.606,1:43.339,1:43.529,1:43.796,1:43.103,1:42.978,1:43.896,1:43.177,1:42.669,1:42.997,1:42.904,1:42.679,1:42.777,1:43.121
Sebastian Vettel (VET),2:04.146,2:32.172,2:39.400,2:39.324,2:39.834,1:46.549,1:45.615,1:45.337,1:45.674,1:45.917,1:46.122,1:46.334,1:46.667,1:46.198,1:45.999,1:45.784,1:45.695,1:46.018,1:45.331,1:45.406,1:45.034,1:44.991,1:44.913,1:46.638,2:04.010,1:43.564,1:43.695,1:43.715,1:43.763,1:43.302,1:44.031,1:43.734,1:43.553,1:42.942,1:43.106,1:43.080,1:42.705,1:42.829,1:42.864,1:42.807,1:43.150,1:43.025,1:42.936,1:42.831,1:43.094,1:42.809,1:42.637,1:41.984,1:42.309,1:41.739,1:42.114,1:42.185,1:42.122,1:42.538,1:42.566
