Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Karun Chandhok (CHA),2:04.464,1:49.335,1:48.218,1:47.816,1:47.819,1:47.893,1:47.708,1:48.075,2:16.357,2:04.043,1:52.547,2:12.214,2:35.691,2:32.942,1:48.312,1:47.201,1:46.781,1:46.856,1:46.261,1:46.462,1:46.103,1:46.465,1:45.819,1:45.900,1:45.940,1:45.772,1:45.610,1:45.621,1:45.499,1:45.143,1:45.464,1:45.597,1:45.537,1:46.608,1:45.001,1:44.936,1:46.332,1:47.217,1:47.786,1:50.420,1:49.095,1:44.911,1:44.707,1:46.238,1:44.419,1:44.705,1:44.399,1:44.024,1:44.414,1:44.022,1:43.820,1:44.046,1:44.089,1:45.147,1:50.069
Bruno Senna (SEN),2:04.670,1:49.772,1:48.152,1:47.957,1:48.209,1:47.494,1:47.878,1:48.203,1:56.821,1:55.818,2:17.704,2:14.442,2:35.960,2:32.121,1:48.909,1:47.341,1:46.945,1:46.899,1:46.540,1:46.673,1:46.421,1:46.130,1:45.690,1:46.054,1:45.952,1:45.509,1:45.944,1:45.673,1:45.224,1:45.745,1:46.043,1:45.472,1:46.682,1:45.474,1:45.442,1:52.227,2:30.959,1:50.657,1:43.662,1:43.662,1:43.735,1:43.684,1:43.223,1:43.290,1:43.544,1:44.632,1:44.645,1:43.736,1:45.772,1:43.473,1:43.054,1:45.727,1:45.769,1:43.561,1:42.927
Lucas di Grassi (DIG),2:03.271,1:48.160,1:47.827,1:47.639,1:47.788,1:46.985,1:46.798,1:46.919,1:55.915,2:01.332,2:01.491,2:27.046,2:36.870,2:32.877,1:48.258,1:48.261,1:46.126,1:46.133,1:46.041,1:45.648,1:45.858,1:45.416,1:45.143,1:45.110,1:45.633,1:45.473,1:45.045,1:44.947,1:44.703,1:44.661,1:44.367,1:45.009,1:44.759,1:44.511,1:44.337,1:44.377,1:44.433,1:45.759,1:44.587,1:44.314,1:45.293,2:01.718,1:53.548,1:44.158,1:42.414,1:43.504,1:44.459,1:43.746,1:44.116,1:43.808,1:43.607,1:43.756,1:43.709,1:43.791,1:43.865,1:44.539
Vitaly Petrov (PET),2:00.108,1:46.433,1:44.867,1:45.032,1:45.107,1:44.622,1:44.152,1:44.332,2:06.040,2:07.825,1:58.997,2:30.503,2:35.495,2:35.994,1:46.097,1:44.401,1:43.871,1:43.564,1:43.494,1:43.041,1:43.274,1:43.153,1:42.757,1:42.695,1:42.809,1:42.279,1:42.175,1:42.307,1:42.006,1:42.003,1:41.679,1:41.411,1:41.819,1:41.376,1:41.529,1:42.430,1:41.496,1:41.418,1:41.256,1:41.126,1:41.426,1:41.087,1:41.184,1:41.591,1:40.591,1:41.251,1:41.467,1:41.171,1:41.572,1:41.147,1:40.807,1:41.107,1:42.281,1:40.457,1:40.279,1:40.367,1:45.100
Nico Hülkenberg (HUL),1:55.641,1:46.165,1:44.891,1:44.790,1:44.151,1:43.874,1:43.937,1:43.892,2:11.609,2:07.084,1:56.526,2:32.820,2:36.100,2:36.577,1:46.604,1:44.035,1:43.707,1:43.455,1:43.351,1:43.200,1:42.926,1:42.898,1:42.758,1:42.545,1:42.579,1:42.088,1:42.308,1:41.836,1:41.828,1:41.769,1:41.418,1:41.510,1:41.620,1:41.390,1:41.480,1:41.204,1:41.452,1:41.803,1:41.763,1:42.108,1:42.146,1:41.926,1:41.236,1:41.120,1:41.146,1:40.790,1:40.917,1:40.860,1:46.333
Kamui Kobayashi (KOB),2:01.266,1:47.639,1:46.734,1:45.294,1:44.661,1:44.463,1:44.325,1:44.172,1:47.204,2:11.416,2:00.759,2:31.805,2:35.552,2:39.846,1:44.871,1:43.343,1:43.568,1:43.086,1:43.022,1:42.475,1:42.281,1:42.077,1:42.358,1:41.831,1:41.587,1:41.538,1:41.774,1:41.868,1:41.607,1:41.291,1:41.418,1:41.305,1:40.901,1:40.796,1:40.767,1:40.891,1:44.232,1:40.837,1:41.259,1:41.027,1:40.576,1:40.311,1:41.692,1:40.284,1:40.266,1:40.038,1:39.845,1:39.941,1:39.846,1:39.972,1:40.228,1:39.833,1:54.898,1:45.112,1:39.735,1:41.296,1:39.517
Jaime Alguersuari (ALG),2:00.584,1:48.004,1:46.089,1:44.867,1:44.588,1:44.612,1:44.546,1:44.218,1:45.062,2:29.746,2:03.537,2:27.454,2:37.015,2:32.058,1:47.282,1:44.012,1:43.458,1:43.751,1:43.624,1:43.801,1:43.127,1:43.279,1:43.031,1:42.568,1:42.792,1:42.914,1:42.358,1:42.313,1:42.347,1:42.355,1:42.196,1:41.988,1:41.863,1:41.868,1:41.789,1:41.933,1:41.655,1:41.913,1:41.884,1:41.429,1:41.219,1:41.531,1:40.951,1:41.918,1:40.797,1:40.847,1:40.831,1:41.339,1:40.666,1:40.443,1:40.706,1:40.372,1:40.454,1:40.477,1:40.327,1:40.507,1:40.515
Sébastien Buemi (BUE),1:56.998,1:45.435,1:45.577,1:44.765,1:44.362,1:44.028,1:43.906,1:43.407,2:03.986,2:09.431,1:58.963,2:32.717,2:36.250,2:37.072,1:45.745,1:44.120,1:43.779,1:43.337,1:43.280,1:43.020,1:42.882,1:42.609,1:42.790,1:42.472,1:42.402,1:41.838,1:41.727,1:41.864,1:41.780,1:41.473,1:41.682,1:41.613,1:41.521,1:41.572,1:41.345,1:41.249,1:41.360,1:42.045,1:43.985,1:41.640,1:41.530,1:40.887,1:41.041,1:40.924,1:40.755,1:40.540,1:40.677,1:40.383,1:40.327,1:40.245,1:40.407,1:40.102,1:40.084,1:40.262,1:40.923,1:41.159,1:45.597
Pedro de la Rosa (DLR),2:00.877,1:47.349,1:45.159,1:45.040,1:44.685,1:44.846,1:44.065,1:44.386,2:03.519,2:07.935,1:58.101,2:30.703,2:35.849,2:36.295,1:46.333,1:44.081,1:44.026,1:43.359,1:43.350,1:43.408,1:42.960,1:42.813,1:42.681,1:42.794,1:42.489,1:42.490,1:42.326,1:42.251,1:41.472,1:42.061,1:41.647,1:41.829,1:42.020,1:41.420,1:41.665,1:41.580,1:41.088,1:42.326,1:41.179,1:41.268,1:41.458,1:41.517,1:41.373,1:41.029,1:41.036,1:41.413,1:41.412,1:41.460,1:41.210,1:41.130,1:41.071,1:41.115,1:40.706,1:40.835,1:40.576,1:40.430,1:45.489
Michael Schumacher (MSC),1:57.746,1:45.245,1:45.824,1:44.643,1:44.459,1:44.415,1:44.153,1:43.765,1:47.896,2:15.364,1:58.773,2:53.653,2:42.972,2:26.607,1:46.113,1:44.542,1:43.069,1:43.839,1:43.265,1:42.960,1:43.003,1:43.100,1:43.022,1:43.385,1:42.383,1:42.575,1:42.632,1:42.333,1:42.494,1:42.203,1:42.103,1:41.903,1:41.916,1:41.987,1:41.971,1:50.696,1:51.724,1:40.148,1:41.276,1:39.895,1:40.125,1:40.381,1:40.246,1:40.011,1:40.880,1:39.981,1:39.807,1:40.011,1:39.633,1:39.884,1:39.974,1:39.730,1:38.968,1:39.600,1:39.190,1:39.513,1:40.411
Vitantonio Liuzzi (LIU),1:58.757,1:45.887,1:45.460,1:44.944,1:44.631,1:44.623,1:44.241,1:43.923,2:12.830,2:05.384,1:59.864,2:29.825,2:36.629,2:33.114,1:46.366,1:44.657,1:44.087,1:43.926,1:43.836,1:43.135,1:43.063,1:42.900,1:42.784,1:43.209,1:42.689,1:42.665,1:42.502,1:42.753,1:42.211,1:42.273,1:41.871,1:42.077,1:41.663,1:41.721,1:41.990,1:41.884,1:41.427,1:41.693,1:41.624,1:41.971,1:41.422,1:41.884,1:40.908,1:41.152,1:41.209,1:40.976,1:40.583,1:40.917,1:40.755,1:40.699,1:40.721,1:40.305,1:40.366,1:40.784,1:40.772,1:40.366,1:45.553
Rubens Barrichello (BAR),1:54.930,1:45.902,1:44.798,1:44.594,1:44.085,1:43.847,1:43.974,1:43.670,2:01.938,2:11.790,1:59.273,2:32.451,2:36.615,2:38.271,1:45.215,1:44.079,1:43.701,1:43.089,1:42.938,1:43.026,1:42.599,1:42.384,1:42.163,1:42.048,1:42.076,1:42.097,1:41.823,1:42.037,1:41.769,1:41.508,1:41.728,1:41.418,1:41.470,1:41.390,1:41.288,1:41.277,1:43.051,1:41.820,1:41.142,1:41.385,1:40.814,1:40.320,1:40.787,1:41.145,1:41.202,1:40.556,1:40.373,1:40.497,1:40.282,1:40.349,1:40.244,1:39.948,1:40.043,1:40.169,1:39.550,1:39.489,1:44.771
Sebastian Vettel (VET),1:49.992,1:43.768,1:43.534,1:43.153,1:43.055,1:42.684,1:42.841,1:42.654,1:42.620,2:15.248,2:10.161,2:48.170,2:35.530,2:40.386,1:42.765,1:42.059,1:41.904,1:41.696,1:41.748,1:41.478,1:40.943,1:41.382,1:40.990,1:41.152,1:41.195,1:41.141,1:41.000,1:41.698,1:40.985,1:41.081,1:41.166,1:41.509,1:41.379,1:41.631,1:41.363,1:41.146,1:40.673,1:41.108,1:41.349,1:41.336,1:40.528,1:40.619,1:40.614,1:40.653,1:40.186,1:41.385,1:41.402,1:39.863,1:40.351,1:39.695,1:39.446,1:39.141,1:39.976,1:40.508,1:41.007,1:42.005,1:42.519
Jenson Button (BUT),1:54.539,1:45.672,1:44.869,1:44.160,1:44.062,1:43.575,1:43.430,1:43.166,1:59.819,2:15.172,1:59.823,2:32.226,2:36.235,2:38.689,1:45.380,1:43.779,1:43.332,1:43.325,1:42.935,1:42.596,1:42.430,1:42.047,1:42.212,1:41.989,1:41.745,1:41.619,1:41.429,1:41.919,1:41.695,1:41.367,1:41.553,1:41.163,1:41.064,1:40.915,1:40.815,1:40.797,1:43.431,1:40.890,1:41.307,1:41.028,1:40.514,1:40.436,1:41.634,1:40.248,1:40.181,1:40.142,1:40.067,1:39.625,1:39.898,1:40.057,1:40.442,1:39.920,1:39.633,1:38.766,1:39.085,1:38.949,1:44.433
Mark Webber (WEB),1:56.306,1:45.876,1:45.176,1:44.671,1:44.064,1:44.237,2:02.361,1:48.286
Adrian Sutil (SUT),1:58.481,1:45.063,1:45.757,1:44.898,1:44.570,1:44.172,1:44.249,1:43.742,2:05.396,2:07.303,1:57.836,2:33.261,2:35.833,2:37.032,1:45.401,1:44.430,1:43.762,1:43.318,1:43.268,1:43.194,1:42.665,1:42.882,1:42.732,1:42.482,1:42.424,1:42.130,1:41.882,1:41.793,1:41.670,1:41.507,1:41.519,1:41.658,1:41.518,1:41.548,1:41.313,1:41.424,1:41.385,1:41.612,1:41.975,1:41.037,1:40.513,1:40.285,1:40.602,1:40.260,1:40.600,1:41.138,1:40.411,1:40.268,1:40.441,1:40.241,1:40.545,1:39.803,1:40.175,1:40.603,1:40.195,1:39.952,1:45.585
Jarno Trulli (TRU),2:58.889,1:54.492,6:04.173,2:03.263,1:47.687,1:57.174,1:56.075,1:58.827,2:24.256,2:36.544,2:32.851,1:47.709,1:47.175,1:46.552,1:46.218,1:45.891,1:45.507,1:45.789,1:47.731,1:44.321,1:44.936,1:44.186,1:44.541,1:45.006,1:44.897,1:44.780,1:44.513,1:44.594,1:44.522,1:44.971,1:44.524,1:44.456,1:44.308,1:45.166,1:45.467,1:44.273,1:44.224,1:45.046,1:46.165,1:43.176,1:42.662,1:47.197,1:50.968,1:48.015,1:43.748,1:45.366,1:45.017,1:43.463,1:42.495,1:42.193,1:42.040,1:42.362,1:41.770
