Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Karun Chandhok (CHA),2:14.903,2:53.558,2:36.323,1:58.939,2:01.351,2:01.741,2:01.662,1:57.073,1:55.919,1:57.577,2:01.798,2:20.638,1:49.543,1:51.939,1:48.788,1:50.264,1:58.238,2:15.458,2:22.059,2:04.684,2:01.307,2:43.127,2:36.673,2:06.335,1:59.275,1:56.864,1:57.123,1:59.014,1:56.004,1:56.092,1:56.432,1:55.474,2:07.126,1:57.927,1:57.328,1:57.762,1:59.341,2:00.413,2:03.034,2:05.561,2:23.258,2:22.856,1:56.156,1:56.721,1:54.354,1:58.391,1:54.282,1:59.722,1:54.485,1:55.111,1:54.703,2:14.305
Bruno Senna (SEN),2:12.121,2:49.949,2:28.096,2:00.081,2:00.529,1:59.239,1:56.377,1:56.156,1:52.960,1:54.600,1:52.478,1:56.404,2:12.706,1:49.784,1:52.978,1:48.216,1:57.176,2:11.999,2:25.980,2:02.979,1:58.113,1:56.676,1:55.796,2:16.358,1:58.153,1:56.714,2:01.443,1:57.758,1:55.925,1:58.267,1:56.116,2:00.580,1:57.181,1:57.932,1:56.990,1:57.941,1:57.462,1:59.563,2:01.147,2:06.565,2:10.914,2:21.746,1:55.356,1:54.590,1:53.609,1:54.536,1:53.023,1:52.819,1:52.223,1:53.313,1:53.003,1:54.570,1:55.686,1:55.303
Lucas di Grassi (DIG),17:06.445,2:00.340,1:59.912,1:59.591,1:55.376,1:57.516,1:53.185,2:30.498
Vitaly Petrov (PET),2:08.716,2:44.706,2:23.037,1:57.090,1:51.752,1:47.273,1:48.749,1:49.797,1:48.419,1:47.524,1:51.342,1:46.898,1:45.534,1:43.801,1:46.155,1:46.736,1:46.238,1:46.469,1:53.534,2:07.900,2:14.605,2:19.262,1:59.881,1:59.065,2:29.790,1:54.347,1:53.358,1:51.240,1:50.290,1:49.915,1:50.741,1:51.077,2:01.414,1:52.642,1:52.241,1:52.343,1:53.468,1:59.433,2:16.199,1:49.530,1:49.886,1:48.881,1:49.694,1:51.650,1:50.968,1:48.130,1:47.460,1:47.891,1:51.889,1:49.364,1:51.129,1:50.193,1:50.429,1:52.707,1:53.170,1:53.811
Nico Hülkenberg (HUL),2:13.591,2:48.995,2:26.243,1:55.010,2:01.328,2:28.992,1:50.150,1:48.227,1:48.178,1:48.372,1:48.691,1:46.577,1:44.549,1:45.599,1:49.692,1:45.531,1:46.768,1:53.460,2:06.749,2:12.788,1:56.987,1:59.810,2:01.192,2:38.701,2:31.101,2:28.700,1:52.851,1:52.554,1:51.740,1:51.286,1:51.307,1:56.279,1:52.902,1:50.971,1:52.104,1:55.370,1:52.792,1:57.382,2:09.643,1:50.705,1:50.367,1:50.136,1:50.412,1:49.173,1:49.444,1:49.196,1:50.478,1:50.442,1:52.286,1:51.839,1:53.196,1:54.093,1:54.178,1:57.648,1:54.782
Jaime Alguersuari (ALG),2:14.602,2:44.513,2:20.650,1:54.967,1:55.900,1:52.526,1:51.285,1:49.815,1:48.684,1:48.012,1:53.653,2:04.993,1:43.765,1:43.755,1:45.251,1:44.958,1:45.793,1:49.608,2:04.698,2:25.247,2:25.636,1:59.115,1:57.131,1:57.094,1:53.360,1:55.012,1:52.884,1:51.084,1:51.749,1:52.227,1:53.659,1:53.103,1:55.033,1:59.667,2:13.802,1:49.853,1:49.418,1:49.192,1:49.471,1:49.368,1:49.478,1:50.051,1:50.518,1:51.621,1:52.780,2:00.194,2:11.707,1:49.227,1:47.268,1:47.395,1:47.819,1:48.256,1:51.411,1:52.190,1:51.489,1:51.642
Pedro de la Rosa (DLR),2:10.049,2:44.330,2:22.472,1:56.118,1:51.162,1:47.739,1:49.333
Michael Schumacher (MSC),2:03.853,2:53.134,2:25.560,1:58.452,2:08.103,1:48.359,1:47.810,1:47.742,1:48.154,1:47.104,1:48.932,1:46.237,1:45.101,1:44.298,1:45.190,1:46.767,1:46.059,1:46.689,1:59.849,2:08.560,1:52.424,2:18.864,1:59.520,1:58.434,2:29.761,1:56.394,1:53.846,1:51.870,1:52.085,1:52.537,1:52.764,1:51.985,1:53.285,1:53.533,1:53.521,1:58.026,2:09.406,1:49.066,1:49.257,1:48.590,1:48.792,1:49.162,1:49.698,1:49.848,1:50.209,1:50.520,1:50.763,1:51.782,1:53.227,1:52.248,1:52.789,1:53.101,1:53.957,1:53.848,1:56.373,1:56.474
Rubens Barrichello (BAR),2:10.466,2:47.967,2:20.641,1:55.372,2:01.261,2:12.232,1:50.627,1:49.638,1:48.312,1:48.349,1:49.188,1:47.326,1:45.746,1:45.638,1:45.848,1:46.023,1:45.559,1:56.836,2:13.529,1:54.774,1:59.233,1:57.809,1:56.849,1:55.391,2:22.225,1:56.822,1:52.922,1:52.197,1:52.032,1:53.537,1:54.776,1:52.840,1:53.726,1:53.131,1:54.102,1:54.651,1:59.245,2:10.228,1:50.186,1:49.955,1:50.328,1:50.218,1:49.806,1:51.128,1:49.895,1:50.625,1:49.869,1:50.451,1:50.502,1:50.453,1:50.831,1:51.562,1:52.267,1:52.725,1:53.272,1:54.707
Sebastian Vettel (VET),1:59.841,2:50.762,2:35.266,1:52.256,2:00.641,2:09.526,1:48.874,1:47.319,1:45.940,1:46.702,1:48.712,1:46.498,1:43.152,1:42.358,1:43.821,1:43.725,1:44.180,1:45.240,1:52.299,2:08.387,2:14.588,2:10.689,1:58.972,1:58.237,2:27.955,1:56.070,1:52.637,1:51.578,1:51.648,1:49.777,1:49.565,1:50.042,1:51.210,1:50.736,1:51.897,1:51.582,1:57.081,2:11.000,1:50.102,1:49.507,1:49.347,1:48.694,1:48.904,1:48.495,1:48.763,1:49.173,1:48.737,1:49.876,1:50.833,1:51.372,1:51.250,1:52.142,1:53.747,1:54.168,1:54.246,1:55.354
