Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Roberto Merhi (MER),1:41.668,1:25.969,1:25.002,1:24.481,1:24.690,1:24.217,1:24.667,1:24.662,1:24.593,1:24.154,1:24.697,1:24.392,1:24.400,1:25.397,1:24.976,1:24.381,1:26.825,1:26.571,1:30.085,1:26.251,1:25.020,1:26.534,1:26.003,1:24.059,1:24.259,1:24.258,1:24.790,1:24.309,1:24.225,1:24.445,1:28.648,1:27.840,1:27.649,1:24.686,1:46.307,1:25.914,1:22.174,1:22.511,1:22.719,1:23.794,1:22.399,1:22.622,1:23.622,1:22.239,1:22.345,1:22.125,1:21.715,1:22.653,1:22.237,1:22.172,1:22.377,1:22.262,1:22.427,1:22.097,1:22.436,1:24.565,1:22.860,1:22.770,1:25.247,1:26.417,1:40.012,1:42.963,2:00.640,2:00.677,1:54.064,1:26.597,1:24.560,1:40.101,1:27.742,1:25.104,1:24.027,1:24.110,1:24.279,1:22.876,1:23.176,1:25.341
Carlos Sainz (SAI),1:40.484,1:22.946,1:23.403,1:23.649,1:23.704,1:24.074,1:24.579,1:22.448,1:22.683,1:22.161,1:22.462,1:39.645,1:25.376,1:21.129,1:21.853,1:21.760,1:21.182,1:21.435,1:21.603,1:21.523,1:21.327,1:20.956,1:23.638,1:23.545,1:23.115,1:21.860,1:21.576,1:21.059,1:24.189,1:21.401,1:21.755,1:22.459,1:21.553,1:21.385,1:21.720,1:21.851,1:20.902,1:22.002,1:20.858,1:20.426,1:20.139,1:20.541,1:20.525,1:20.661,1:20.146,1:20.154,1:20.665,1:19.816,1:20.159,1:20.439,1:20.242,1:20.485,1:21.000,1:25.421,1:23.731,1:23.075,1:21.087,1:20.719,1:20.412,1:20.406,1:20.256,1:20.617,1:38.951,1:45.145,1:55.522,2:00.856,2:01.070,1:24.678,1:22.222,1:35.601,1:24.855,1:21.717,1:21.717,1:21.140,1:20.802,1:20.831,1:20.888,1:21.109
Felipe Nasr (NAS),1:35.990,1:24.099,1:23.281,1:23.305,1:22.625,1:26.882,1:22.743,1:22.027,1:21.724,1:21.163,1:21.571,1:20.763,1:21.052,1:21.158,1:20.993,1:21.274,1:20.778,1:39.697,1:26.096,1:20.789,1:20.446,1:20.887,1:21.351,1:21.049,1:21.022,1:21.844,1:20.274,1:20.642,1:21.265,1:21.196,1:22.035,1:21.086,1:22.160,1:22.138,1:20.901,1:21.148,1:21.559,1:21.005,1:21.059,1:20.639,1:22.880,1:22.709,1:21.759,1:20.784,1:20.888,1:20.792,1:20.299,1:20.133,1:21.650,1:20.846,1:21.046,1:21.205,1:20.608,1:20.675,1:23.265,1:21.592,1:20.435,1:20.879,1:21.992,1:22.122,1:21.006,1:20.648,1:36.830,1:59.948,1:58.479,2:00.446,1:57.786,1:24.994,1:22.782,1:38.071,1:24.042,1:22.545,1:21.458,1:21.013,1:20.334,1:20.017,1:21.290,1:22.082
Max Verstappen (VER),1:34.063,1:23.227,1:22.224,1:22.209,1:24.503,1:22.554,1:22.131,1:21.014,1:20.935,1:20.532,1:20.488,1:20.602,1:20.381,1:21.055,1:20.603,1:20.895,1:20.317,1:20.739,1:20.527,1:20.716,1:21.345,1:20.893,1:20.407,1:20.305,1:20.337,1:20.703,1:20.987,1:21.216,2:06.104,1:24.320,1:20.337,1:24.465,1:21.704,1:20.514,1:21.202,1:20.915,1:21.441,1:21.205,1:20.942,1:20.956,1:20.774,1:21.582,1:21.907,1:22.196,1:20.711,1:38.784,1:22.068,1:19.674,1:18.873,1:19.088,1:19.369,1:19.441,1:20.271,1:20.548,1:21.941,1:20.122,1:19.581,1:19.843,1:20.852,1:23.593,1:20.788,1:20.974
Will Stevens (STE),1:40.324,1:26.364,1:24.834,1:24.195,1:24.968,1:24.312,1:24.665,1:24.912,1:24.467,1:24.077,1:24.340,1:24.282,1:23.937,1:25.321,1:25.038,1:25.540,1:25.666,1:27.284,1:26.650,1:28.769,1:26.460,1:26.206,1:26.796,1:26.399,1:24.676,1:24.416,1:26.973,1:26.974,1:30.588,1:26.568,1:31.142,1:28.648,1:47.371,1:29.994,1:24.494,1:23.543,1:23.086,1:23.126,1:25.961,1:24.267,1:23.863,1:27.718,1:24.310,1:23.141,1:27.534,1:24.465,1:24.942,1:25.612,1:27.670,1:23.105,1:24.734,1:23.453,1:24.719,1:22.886,1:23.083,1:23.005,1:22.755,1:22.693,1:22.833,1:31.600,1:45.174,1:46.111,1:35.280,1:31.906,1:54.717,1:30.725,1:24.221,1:26.614,1:25.614,1:24.310,1:25.112,1:23.378,1:23.490,1:24.778,1:23.063,1:23.513
Marcus Ericsson (ERI),1:38.439,1:24.679,1:23.188,1:23.638,1:23.095,1:24.729,1:24.244,1:22.636,1:22.478,1:22.097,1:21.867,1:21.945,1:22.111,1:40.189,1:24.531,1:20.932,1:20.912,1:21.266,1:22.452,1:21.519,1:21.203,1:20.826,1:24.797,1:22.155,1:24.029,1:21.908,1:21.468,1:21.117,1:20.980,1:24.797,1:21.314,1:21.896,1:21.347,1:21.799,1:22.519,1:21.266,1:21.174,1:39.871,1:23.887,1:19.773,1:20.062,1:20.660,1:20.713,1:19.962,1:20.307,1:20.010,1:19.923,1:20.102,1:20.173,1:21.036,1:20.393,1:20.597,1:20.605,1:21.393,1:21.901,1:20.111,1:19.943,1:19.753,1:19.998,1:19.929,1:22.681,1:20.147,1:42.790,1:44.921,1:49.797,2:00.778,1:58.835,1:29.848,1:42.634,1:24.240,1:20.318,1:19.788,1:21.045,1:20.262,1:19.285,1:19.942,1:19.926,1:19.698
Daniil Kvyat (KVY),1:28.993,1:21.803,1:21.517,1:21.152,1:21.050,1:21.532,1:21.468,1:20.674,1:20.724,1:21.013,1:20.613,1:20.487,1:20.743,1:21.308,1:20.526,1:20.694,1:20.592,1:20.565,1:21.001,1:21.738,1:20.393,1:20.319,1:20.923,1:20.672,1:20.756,1:20.988,1:21.623,1:39.072,1:24.152,1:20.425,1:20.381,1:20.359,1:20.943,1:20.912,1:21.144,1:19.810,1:20.035,1:20.637,1:20.259,1:20.956,1:20.070,1:20.301,1:20.466,1:20.135,1:20.305,1:20.390,1:20.268,1:20.004,1:20.224,1:19.981,1:21.355,1:20.696,1:20.504,1:20.839,1:20.098,1:20.154,1:20.471,1:20.274,1:20.112,1:20.070,1:20.018,1:19.872,1:20.021,1:44.785,1:43.767,1:51.496,2:01.084,2:03.958,2:15.105,1:55.099,1:24.149,1:20.903,1:21.918,1:19.928,1:19.130,1:19.517,1:19.923,1:20.043
Valtteri Bottas (BOT),1:37.549,1:24.601,1:23.192,1:23.807,1:23.023,1:25.005,1:23.987,1:22.723,1:22.359,1:21.753,1:22.107,1:21.684,1:21.971,1:38.823,1:23.780,1:20.252,1:20.183,1:20.523,1:21.305,1:21.883,1:21.244,1:21.308,1:21.327,1:20.838,1:20.862,1:21.165,1:21.234,1:21.017,1:21.444,1:22.293,1:21.064,1:24.281,1:21.270,1:22.730,1:21.284,1:20.948,1:21.198,1:21.450,1:20.900,1:20.802,1:20.951,1:21.644,1:21.839,1:22.214,1:20.665,1:20.787,1:20.948,1:21.770,1:23.252,1:21.958,1:21.725,1:21.621,1:21.635,1:22.374,1:26.940,1:39.606,1:23.817,1:19.842,1:19.268,1:19.305,1:20.071,1:19.385,1:43.486,1:45.474,1:44.355,2:00.521,2:01.688,2:00.007,1:24.411,1:21.561,1:20.291,1:19.014,1:19.116,1:18.944,1:19.944,1:20.638,1:20.915,1:23.058
Daniel Ricciardo (RIC),1:29.697,1:22.092,1:21.715,1:21.603,1:21.515,1:21.757,1:21.695,1:20.982,1:20.633,1:20.532,1:20.434,1:20.599,1:21.231,1:20.969,1:20.697,1:20.962,1:20.719,1:21.067,1:20.749,1:21.751,1:20.642,1:20.574,1:20.863,1:20.931,1:20.477,1:20.656,1:20.797,1:20.959,1:20.470,1:20.528,1:20.913,1:20.954,1:21.177,1:21.644,1:21.606,1:38.798,1:22.880,1:20.493,1:21.026,1:21.160,1:21.078,1:21.524,1:21.888,1:21.301,1:20.412,1:20.340,1:20.050,1:19.941,1:19.779,1:19.863,1:20.062,1:20.999,1:19.832,1:20.058,1:19.552,1:20.433,1:19.778,1:19.541,1:19.370,1:19.404,1:19.794,1:19.927,1:19.809,1:42.621,1:59.200,1:39.455,2:00.524,2:01.996,2:14.439,1:53.981,1:24.960,1:19.600,1:19.708,1:18.063,1:18.511,1:19.087,1:19.063,1:27.138
Sergio Pérez (PER),1:31.791,1:22.559,1:22.544,1:21.434,1:21.460,1:21.565,1:21.414,1:21.289,1:21.181,1:21.018,1:21.066,1:21.424,1:21.216,1:20.748,1:20.501,1:20.780,1:20.965,1:20.558,1:20.919,1:21.196,1:21.579,1:21.550,1:20.939,1:21.001,1:20.843,1:20.755,1:21.212,1:21.295,1:21.037,1:20.939,1:21.344,1:20.930,1:21.494,1:21.723,1:21.925,1:38.853,1:23.456,1:20.593,1:20.130,1:20.927,1:20.559,1:20.538,1:20.578,1:20.304,1:20.226,1:20.001,1:19.994,1:20.053,1:20.064,1:20.523,1:20.480,1:20.668,1:20.314,1:21.477,1:20.375,1:20.031,1:20.388,1:20.336,1:20.330,1:20.229,1:20.031,1:20.635,1:20.569,2:00.310,1:46.219,1:28.724,1:56.305,2:00.977,2:13.184,1:54.257,1:24.840,1:22.270,1:20.321,1:19.657,1:19.838,1:19.833,1:19.920,1:19.922
