Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Lance Stroll (STR),2:01.979,1:55.209,1:54.329,1:54.505,1:54.380,1:53.909,1:53.712,1:53.554,1:57.181,2:06.963,1:51.379,1:51.956,1:51.878,1:51.799,1:52.188,1:52.434,1:52.503,1:52.304,1:53.591,1:52.530,1:52.114,1:52.138,1:51.995,1:54.691,1:51.866,1:52.041,1:51.695,1:51.386,2:18.547,2:41.344,1:53.862,2:06.905,3:04.425,1:52.149,1:51.557,1:50.687,1:50.870,1:50.815,1:50.702,1:50.880,1:50.543,1:50.949,1:50.769,1:50.606
Esteban Ocon (OCO),1:58.397,1:54.458,1:53.560,1:52.496,1:52.339,1:52.106,1:52.370,1:52.655,1:53.258,1:57.210,2:05.428,1:51.364,1:51.053,1:51.210,1:51.704,1:51.050,1:51.120,1:51.174,1:52.099,1:51.777,1:51.212,1:51.337,1:51.051,1:51.214,1:50.941,1:51.256,1:55.696,2:04.468,2:13.355,2:48.847,1:52.861,2:16.101,3:05.434,1:50.799,1:49.955,1:49.985,1:49.721,1:49.850,1:49.960,1:49.863,1:49.971,1:50.197,1:50.003,1:50.069
Stoffel Vandoorne (VAN),2:03.662,1:54.780,1:54.455,1:54.268,1:54.555,1:54.487,1:53.982,1:53.636,1:53.620,1:53.173,1:53.339,1:53.555,1:54.500,1:53.204,1:52.959,1:54.239,1:53.961,1:57.369,2:10.661,1:50.643,1:51.329,1:51.514,1:51.395,1:51.386,1:51.257,1:50.954,1:51.264,1:51.160,2:16.162,2:35.103,2:09.799,2:01.511,2:55.110,1:53.267,1:51.600,1:51.605,1:51.570,1:51.453,1:52.515,1:51.881,1:52.395,1:50.524,1:50.189,1:49.907
Pascal Wehrlein (WEH),2:09.424,2:12.885
Jolyon Palmer (PAL),2:00.992,1:54.436,1:54.352,1:54.535,1:54.957,1:53.650,1:54.219,1:57.777,2:08.280,1:51.175,1:51.719,1:52.094,1:51.823,1:51.932,1:52.019,1:52.672,1:52.322,1:52.594,1:52.563,1:52.295,1:52.245,1:52.384,1:51.844,1:55.891,1:53.612,1:53.250,1:51.901,1:52.295,2:14.496,2:35.803,2:11.282,1:58.770,3:02.321,1:53.397,1:51.352,1:51.679,1:51.478,1:51.499,1:52.472,1:52.103,1:50.849,1:50.065,1:49.382,1:49.283
Carlos Sainz (SAI),2:02.301,1:54.399,1:54.398,1:54.140,1:54.610,1:53.637,1:52.309,1:52.813,1:53.444,1:53.051,1:53.008,1:52.367,1:53.683,1:52.562,1:52.210,1:53.871,1:52.892,1:53.094,1:58.180,2:05.153,1:50.602,1:51.066,1:51.223,1:51.856,1:50.267,1:51.923,1:50.390,1:50.894,2:13.556,2:45.508,1:55.544,2:11.219,3:04.521,1:51.561,1:50.067,1:50.037,1:49.891,1:49.762,1:49.709,1:49.901,1:50.045,1:50.020,1:50.114,1:50.469
Max Verstappen (VER),1:55.640,1:51.674,1:51.332,1:51.364,1:51.022,1:51.105,1:51.195
Marcus Ericsson (ERI),2:04.216,1:55.209,1:54.528,1:54.446,1:54.483,1:55.056,1:54.550,1:58.698,2:07.603,1:52.949,1:53.570,1:53.142,1:53.865,1:53.131,1:53.995,1:54.710,1:53.789,1:53.734,1:54.834,1:53.580,1:53.569,1:53.552,1:57.558,2:05.540,1:50.775,1:51.380,1:53.226,1:51.773,2:31.798,2:01.385,2:43.045,1:51.722,2:18.053,1:54.797,1:51.642,1:51.400,1:51.633,1:51.949,1:52.261,1:53.286,1:52.535,1:52.875,1:52.947,1:53.742
Daniil Kvyat (KVY),2:03.080,1:54.745,1:54.462,1:54.408,1:54.459,1:54.310,1:53.953,1:53.603,1:53.193,1:52.946,1:53.263,1:52.662,1:53.550,1:54.598,1:52.778,1:53.226,1:52.938,1:56.795,2:03.950,1:50.870,1:50.959,1:51.334,1:51.458,1:52.263,1:53.132,1:51.245,1:51.646,1:51.741,2:14.441,2:34.360,2:08.343,2:03.889,3:03.567,1:52.620,1:52.816,1:50.574,1:51.478,1:51.644,1:49.708,1:50.286,1:50.611,1:50.194,1:50.102,1:50.560
Kevin Magnussen (MAG),1:58.970,1:54.807,1:54.584,1:55.078,1:53.236,1:53.434,1:53.150,1:53.771,1:57.871,2:04.640,1:51.349,1:51.613,1:52.078,1:52.125,1:52.531,1:51.851,1:52.346,1:52.432,1:51.712,1:51.698,1:51.967,1:51.344,1:50.993,1:51.264,1:51.037,1:51.178,1:51.359,1:51.320,2:05.127,2:37.773,2:14.300,2:17.241,3:06.410,2:03.592,2:04.486,1:49.126,1:49.253,1:50.101,1:50.383,1:50.327,1:50.202,1:50.441,1:51.017,1:50.565
