Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Charles Pic (PIC),1:55.469,1:46.537,1:44.352,1:43.416,1:43.349,1:44.406,1:43.699,1:42.956,1:42.752,1:42.516,1:42.168,1:43.250,1:41.102,1:59.498,1:40.892,1:41.127,1:41.543,1:41.253,1:41.380,1:42.052,1:41.172,1:40.882,1:40.704,1:40.563,1:40.552,1:41.678,1:41.480,1:41.527,1:41.372,1:41.293,1:40.049,1:39.052,1:57.802,1:41.689,1:41.284,1:39.364,1:40.231,1:40.748,1:41.547,1:39.485,1:39.900,1:39.496,1:39.212,1:38.789,1:38.699,1:38.533,1:38.453,1:38.439,1:38.477,1:38.008,1:38.992
Jean-Éric Vergne (VER),1:52.621,1:43.903,1:41.319,1:41.036,1:41.202,1:40.971,1:41.697,1:42.439,1:40.759,1:40.410,1:40.301,1:40.409,1:40.751,1:39.246,1:57.524,1:38.370,1:38.857,1:39.078,1:39.264,1:39.498,1:38.978,1:38.847,1:38.525,1:38.381,1:38.228,1:38.212,1:38.228,1:37.874,1:37.822,1:37.738,1:38.421,1:35.812,1:55.399,1:36.349,1:36.597,1:36.467,1:36.723,1:36.880,1:37.765,1:36.593,1:36.146,1:36.402,1:36.643,1:36.454,1:36.279,1:36.058,1:35.989,1:35.738,1:35.514,1:37.603,1:36.190,1:36.091
Daniel Ricciardo (RIC),1:52.943,1:44.070,1:41.482,1:41.113,1:40.975,1:41.000,1:41.611,1:41.125,1:40.091,1:39.893,1:39.454,1:40.616,1:40.191,1:40.769,1:40.870,1:37.565,1:56.739,1:38.374,1:38.373,1:38.808,1:38.660,1:38.604,1:38.807,1:38.638,1:38.468,1:38.259,1:38.757,1:38.169,1:36.140,1:56.499,1:37.711,1:37.682,1:37.431,1:37.309,1:37.149,1:38.512,1:37.303,1:38.554,1:36.937,1:36.734,1:36.257,1:36.242,1:36.257,1:36.002,1:35.746,1:35.904,1:35.693,1:35.764,1:35.448,1:35.603,1:35.723,1:35.505
Sergio Pérez (PER),1:50.228,1:40.884,1:39.781,1:40.689,1:40.524,1:40.133,1:40.472,1:40.001,1:39.903,1:40.734,1:37.594
Paul di Resta (DIR),2:36.909,2:19.266
Pastor Maldonado (MAL),1:46.954,1:41.066,1:41.073,1:41.582,1:40.245,1:39.816,1:40.229,1:40.372,1:40.309,1:40.322,1:37.406,2:37.158,2:04.214,1:38.280,1:38.417,1:38.426,1:38.754,1:38.751,1:38.938,1:39.413,1:38.742,1:38.458,1:38.559,1:39.798,1:39.573,1:38.346,1:38.383,1:37.839,1:38.000,1:38.405,1:37.561,1:38.009,1:38.004,1:37.515,1:37.632,1:40.620,1:37.931,1:38.042,1:38.278,1:38.114,1:38.150,1:38.718,1:42.395,1:38.751,1:41.037,1:40.431,1:39.929,1:38.811,1:39.318,1:40.900,1:41.195
Bruno Senna (SEN),1:49.373,1:41.400,1:41.180,1:40.717,1:40.789,1:40.290,1:40.599,1:39.769,1:39.749,1:40.209,1:39.759,1:39.235,1:45.640,1:40.443,1:56.570,1:38.072,1:39.331,1:38.406,1:38.692,1:38.546,1:38.682,1:38.493,1:38.064,1:38.610,1:37.963,1:38.037,1:38.240,1:37.915,1:37.954,1:36.505,1:55.612,1:36.883,1:36.452,1:36.821,1:37.530,1:37.602,1:36.102,1:36.432,1:36.622,1:36.836,1:36.602,1:36.981,1:36.918,1:36.946,1:36.605,1:36.571,1:36.294,1:35.863,1:36.363,1:36.678,1:36.727,1:35.963
Nico Hülkenberg (HUL),1:50.583,1:42.016,1:40.997,1:40.909,1:40.723,1:40.492,1:40.492,1:40.632,1:40.167,1:40.113,1:39.698,1:41.026,1:40.574,1:40.100,1:39.605,1:37.166,1:56.940,1:38.323,1:38.609,1:38.762,1:38.707,1:38.488,1:37.999,1:38.151,1:38.073,1:37.903,1:37.911,1:37.735,1:37.482,1:37.891,1:37.903,1:37.774,1:37.909,1:37.805,1:35.898,1:53.645,1:35.981,1:36.525,1:36.938,1:36.746,1:36.638,1:37.135,1:36.835,1:36.845,1:36.677,1:36.434,1:36.266,1:36.110,1:36.354,1:36.646,1:40.560,1:37.253
Kamui Kobayashi (KOB),1:51.857,1:42.660,1:40.994,1:40.335,1:40.456,1:40.253,1:40.451,1:40.409,1:40.388,1:39.969,1:39.570,1:39.622,1:40.293,1:39.548,1:38.875,1:37.364,1:57.191,1:38.082,1:38.001,1:38.370,1:38.099,1:38.215,1:38.121,1:37.794,1:37.665,1:38.024,1:38.150,1:37.513,1:39.213,1:37.809,1:37.595,1:37.735,1:38.241,1:39.127,1:36.612,1:36.555,1:34.608,2:07.087,1:35.677,1:36.320,1:36.103,1:36.232,1:35.655,1:35.834,1:35.839,1:36.094,1:35.896,1:35.478,1:35.555,1:35.903,1:36.856,1:36.365
Romain Grosjean (GRO),1:51.178,1:40.974,2:05.197,1:39.216,1:39.537,1:40.691,1:40.553,1:38.945,1:40.099,1:38.780,1:39.626,1:38.857,1:39.022,1:38.482,1:38.377,1:38.638,1:38.321,1:38.408,1:38.560,1:38.551,1:38.551,1:38.419,1:38.053,1:38.268,1:38.015,1:35.962,1:54.492,1:36.492,1:37.255,1:37.573,1:38.092,1:37.979,1:37.121,1:37.366,1:36.133,1:35.895,1:35.937,1:35.692,1:35.645,1:35.657,1:35.328,1:35.696,1:35.613,1:35.536,1:35.829,1:35.724,1:35.643,1:35.838,1:35.255,1:34.884,1:35.127,1:37.307
