Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Charles Pic (PIC),1:57.684,1:48.694,1:47.946,1:47.266,1:46.948,1:46.307,1:46.854,1:46.407,1:46.816,1:46.268,1:46.174,1:46.249,1:46.075,1:46.240,1:46.144,1:46.245,1:46.167,1:47.915,1:51.048,2:03.582,1:44.133,1:44.851,1:44.619,1:44.125,1:44.697,1:44.982,1:44.502,1:44.498,1:44.336,1:44.347,1:44.137,1:44.075,1:44.158,1:44.078,1:43.884,1:44.233,1:48.656,2:03.433,1:42.621,1:42.882,1:43.087,1:42.922,1:42.968,1:43.158,1:43.183,1:43.020,1:43.105,1:47.713,1:54.823,1:43.730,1:43.482,1:44.289,1:43.462,1:43.779,1:43.555
Jean-Éric Vergne (VER),1:59.116,1:47.744,1:45.550,1:45.586,1:45.041,1:45.345,1:45.810,1:46.005,1:45.269,1:45.328,1:49.904,2:03.108,1:43.475,1:45.940,1:43.926,1:44.171,1:43.457,1:43.669,1:43.119,1:43.323,1:43.183,1:43.131,1:42.923,1:43.002,1:43.234,1:43.556,1:43.628,1:47.908,2:00.724,1:41.205,1:41.104,1:41.417,1:41.754,1:41.880,1:41.714,1:42.047,1:41.803,1:41.566,1:41.861,1:41.770,1:46.371,1:58.524,1:40.682,1:40.272,1:40.173,1:40.353,1:40.360,1:40.019,1:40.377,1:40.489,1:40.361,1:40.661,1:40.493,1:41.297,1:41.698,1:42.259
Daniel Ricciardo (RIC),1:56.795,1:47.182,1:45.307,1:45.402,1:45.310,1:45.226,1:45.614,1:45.951,1:45.138,1:44.974,1:47.449,1:46.454,1:46.331,1:45.941,1:46.755,1:45.414,1:48.782,2:02.279,1:44.437,1:43.405,1:42.731,1:43.956,1:42.726,1:42.533,1:42.435,1:42.752,1:42.877,1:43.165,1:43.188,1:43.752,1:43.332,1:43.744,1:48.779,2:01.132,1:41.501,1:41.706,1:41.285,1:41.535,1:41.262,1:41.251,1:41.672,1:42.241,1:41.343,1:41.576,1:41.260,1:41.401,1:43.930,1:41.484,1:41.421,1:41.594,1:41.593,1:41.686,1:42.999,1:41.916,1:42.001,1:42.180
Sergio Pérez (PER),1:49.726,1:44.574,1:44.118,1:44.336,1:44.031,1:43.933,1:43.911,1:43.976,1:44.378,1:44.481,1:43.954,1:43.906,1:43.847,1:43.894,1:44.040,1:49.024,2:01.729,1:43.663,1:45.167,1:43.363,1:43.069,1:42.972,1:43.114,1:42.903,1:43.436,1:43.389,1:43.161,1:43.916,1:43.380,1:43.354,1:43.269,1:43.221,1:43.211,1:43.812,1:48.803,2:00.194,1:41.071,1:41.131,1:41.672,1:41.588,1:41.615,1:41.673,1:42.024,1:41.411,1:42.980,1:43.726,1:41.412,1:41.249,1:44.220,1:41.810,1:41.851,1:41.895,1:42.072,1:43.505,1:42.413,1:43.422
Paul di Resta (DIR),1:53.925,1:45.796,1:44.998,1:44.636,1:45.231,1:44.439,1:44.438,1:44.352,1:44.391,1:45.052,1:49.203,1:59.620,1:43.569,1:43.747,1:43.323,1:43.019,1:43.246,1:43.007,1:43.488,1:44.142,1:44.697,1:43.596,1:43.207,1:43.158,1:43.182,1:43.218,1:44.553,1:44.091,1:43.630,1:43.421,1:44.603,1:47.913,1:59.028,1:42.069,1:41.617,1:41.535,1:41.684,1:41.734,1:41.683,1:41.498,1:41.650,1:41.849,1:41.784,1:41.715,1:41.838,1:42.437,1:42.808,1:42.416,1:42.236,1:43.430,1:43.394,1:41.539,1:41.616,1:41.958,1:42.519,1:42.274
Pastor Maldonado (MAL),1:54.494,1:46.352,1:44.955,1:44.640,1:44.913,1:44.759,1:44.591,1:45.198,1:43.697,1:44.270,1:49.200,2:00.041,1:43.056,1:43.714,1:43.615,1:42.783,1:43.648,1:43.180,1:43.098,1:43.317,1:43.711,1:43.204,1:42.887,1:42.817,1:43.649,1:43.217,1:43.167,1:43.370,1:43.390,1:44.981,1:43.530,1:44.018,1:48.886,1:58.011,1:40.563,1:40.482,1:41.024,1:40.903,1:40.730,1:40.983,1:41.545,1:42.591,1:42.340,1:41.756,1:44.940,1:41.672,1:41.290,1:41.769,1:43.513,1:41.835,1:41.603,1:41.873,1:44.105,1:41.800,1:41.341,1:41.555
Bruno Senna (SEN),1:53.302,1:45.460,1:45.274,1:44.701,1:45.234,1:44.326,1:44.403,1:44.159,1:44.395,1:44.072,1:44.195,1:48.470,1:59.414,1:42.948,1:42.903,1:43.222,1:43.355,1:43.446,1:44.531,1:43.485,1:43.061,1:43.319,1:43.111,1:43.176,1:43.337,1:44.086,1:43.631,1:46.217,1:49.042,1:59.599,1:41.443,1:41.405,1:41.829,1:41.657,1:41.314,1:41.400,1:41.293,1:41.523,1:41.819,1:41.635,1:42.917,1:41.982,1:42.762,1:41.801,1:41.950,1:41.955,1:42.095,1:43.567,1:43.182,1:41.952,1:42.145,1:41.716,1:41.744,1:41.976,1:42.613,1:41.977
Vitaly Petrov (PET),1:57.261,1:47.651,1:46.514,1:45.805,1:45.350,1:45.353,1:45.699,1:46.654,1:47.896,1:50.145,2:01.954,1:46.554,1:44.796,1:44.920,1:45.312,1:44.645,1:44.501,1:44.497,1:44.885,1:45.386,1:44.186,1:44.310,1:44.185,1:43.765,1:44.015,1:44.239,1:44.298,1:44.652,1:48.323,2:00.405,1:42.915,1:43.734,1:43.106,1:43.004,1:42.804,1:42.763,1:42.766,1:42.385,1:43.101,1:43.638,1:42.893,1:42.723,1:42.877,1:42.889,1:42.965,1:42.968,1:43.213,1:44.602,1:43.115,1:42.881,1:43.496,1:43.126,1:45.953,1:44.904,1:43.577
Nico Hülkenberg (HUL),1:55.795,1:47.270,1:45.607,1:45.472,1:45.379,1:45.277,1:45.789,1:45.635,1:49.397,2:11.412,1:43.726,1:45.518,1:43.178,1:44.203,1:43.975,1:44.525,1:44.458,1:44.596,1:43.564,1:42.717,1:43.189,1:43.111,1:42.978,1:42.877,1:43.327,1:43.322,1:43.514,1:43.837,1:43.722,1:48.577,1:58.823,1:41.483,1:41.512,1:41.675,1:41.342,1:41.738,1:42.000,1:41.439,1:41.784,1:41.402,1:41.582,1:41.656,1:41.633,1:41.427,1:41.304,1:41.239,1:41.338,1:40.977,1:41.346,1:41.665,1:41.652,1:41.688,1:42.423,1:42.321,1:43.101,1:43.645
Kamui Kobayashi (KOB),1:50.276,1:45.188,1:44.182,1:44.080,1:43.855,1:44.049,1:44.218,1:44.461,1:48.589,2:01.325,1:44.164,1:43.950,1:43.721,1:43.541,1:43.399,1:43.670,1:44.283,1:43.393,1:43.157,1:43.286,1:43.212,1:43.109,1:43.287,1:43.229,1:48.505,1:58.637,1:41.705,1:42.046,1:42.149,1:42.252,1:42.759,1:42.792,1:42.889,1:42.793,1:42.756,1:42.884,1:42.730,1:46.824,1:58.137,1:39.960,1:40.737,1:40.982,1:40.784,1:40.770,1:41.268,1:41.510,1:41.784,1:41.184,1:42.047,1:41.655,1:41.855,1:41.285,1:42.647,1:43.584,1:42.098,1:42.017
