Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Romain Grosjean (GRO),2:07.314,1:59.168,1:58.312,1:58.127,1:57.596,1:58.758,1:57.407,1:57.406,1:57.153,1:57.374,1:57.499,1:58.203,1:57.146,2:05.198,2:18.914,1:57.304,1:55.495,1:56.153,1:56.584,1:57.060,1:56.268,1:56.815,1:56.309,1:56.774,1:55.904,1:56.552,1:56.665,1:56.640,1:56.890,1:56.692,1:57.763,1:56.931,2:22.588,2:41.067,2:27.331,2:47.796,2:39.818,2:42.853,1:58.440,2:23.738,2:36.914,2:40.681,1:56.543,1:55.109,1:55.396,1:55.261,1:57.024,1:54.519,1:54.432,1:54.815,1:54.450,1:54.549,1:54.134,1:54.370,1:54.393,1:54.123,1:54.335,1:54.495,1:55.294
Narain Karthikeyan (KAR),2:16.444,2:02.626,2:02.731,2:03.286,2:03.711,2:01.718,2:00.209,1:59.728,2:00.008,2:00.823,2:01.900,2:02.529,2:00.524,2:02.317,2:00.788,2:01.327,2:01.190,2:01.347,2:07.576,2:22.848,2:01.621,2:04.201,1:59.438,1:59.200,2:02.456,1:58.507,1:58.820,2:01.929,1:59.147,2:02.868
Pedro de la Rosa (DLR),2:16.068,2:02.428,2:01.453,2:00.985,2:01.429,2:00.875,2:01.007,2:00.579,2:00.756,2:00.621,2:00.256,2:01.030,2:02.735,2:03.803,2:02.278,2:01.752,2:02.177,2:08.771,2:22.226,1:58.432,1:59.702,1:58.715,1:59.795,2:01.353,1:59.851,1:59.598,2:00.595,1:59.621,2:01.988,2:12.546,2:22.496,2:24.973,2:17.082,2:16.099,2:17.859,1:58.754,1:57.950,1:59.436,1:59.896,2:30.453,2:34.579,2:33.055,2:00.333,1:59.301,1:58.641,1:58.662,1:57.968,1:57.671,1:58.149,1:58.552,1:58.333,1:58.154,1:58.100,2:00.522,1:59.715,2:03.768,2:01.532,2:04.113
Michael Schumacher (MSC),2:08.550,1:59.670,1:58.926,1:58.110,1:58.443,1:58.279,1:58.223,1:58.512,1:58.307,1:58.824,2:05.997,2:16.959,1:57.956,1:56.776,1:56.657,1:56.861,1:56.533,1:56.720,1:56.689,1:56.736,1:56.479,1:56.535,1:57.219,1:56.438,1:56.193,1:56.047,1:56.575,1:57.379,1:57.124,1:57.458,1:57.859,1:58.154,2:25.578,2:40.338,2:19.871,2:46.210,2:39.894,2:41.766
Sebastian Vettel (VET),2:00.608,1:57.079,1:56.187,1:56.090,1:56.255,1:56.466,1:56.767,1:56.886,1:58.218,2:05.061,2:17.073,1:57.044,1:55.495,1:54.941,1:55.695,1:55.843,1:56.136,1:56.013,1:56.319,1:56.135,1:56.297,1:56.745,1:56.006,1:55.877,1:56.067,1:55.583,1:55.881,1:55.565,1:55.380,1:55.342,1:55.169,1:55.224,2:12.532,3:06.454,2:42.638,2:48.587,2:41.024,2:43.746,1:54.542,2:25.346,2:40.476,2:41.335,1:54.106,1:53.302,1:53.152,1:53.129,1:52.949,1:52.853,1:52.776,1:52.134,1:52.731,1:52.785,1:52.800,1:52.594,1:52.511,1:52.713,1:52.850,1:52.540,1:54.092
Jenson Button (BUT),2:02.589,1:57.827,1:57.430,1:56.896,1:56.717,1:56.279,1:56.480,1:56.557,1:56.309,1:56.835,1:56.857,1:56.865,1:56.447,2:04.240,2:15.829,1:55.277,1:55.920,1:55.965,1:55.913,1:55.829,1:56.347,1:56.504,1:55.924,1:56.424,1:56.452,1:55.709,1:55.527,1:55.261,1:55.442,1:55.347,1:55.399,1:56.673,2:13.358,3:02.657,2:42.078,2:48.632,2:40.730,2:43.612,1:55.115,2:25.763,2:39.291,2:41.544,1:54.777,1:53.378,1:53.592,1:53.060,1:52.625,1:53.068,1:52.848,1:52.900,1:52.945,1:53.187,1:53.377,1:53.491,1:53.482,1:53.237,1:53.486,1:54.125,1:54.675
Mark Webber (WEB),2:06.507,1:58.892,1:58.335,1:58.105,1:57.350,1:57.317,1:57.289,2:04.268,2:17.124,1:56.771,1:58.291,1:57.281,1:56.823,1:56.639,1:56.502,1:56.709,1:58.655,1:56.725,1:55.724,1:55.752,1:55.592,1:56.035,1:56.343,1:56.066,1:56.081,1:56.811,1:56.710,2:03.886,2:13.963,1:54.439,1:55.096,1:56.884,2:21.135,2:24.279,2:32.203,2:47.879,2:40.147,2:43.435,1:57.365,2:31.313,2:40.518,2:37.185,1:58.614,1:55.224,1:56.608,1:55.609,1:56.445,1:56.274,1:56.298,1:55.487,1:52.778,1:52.955,1:53.404,1:53.950,1:53.463,1:54.804,1:55.114,1:55.109,1:56.759
Felipe Massa (MAS),2:54.254,2:20.684,1:56.867,1:55.664,1:55.782,1:55.767,1:55.825,1:55.732,1:56.041,1:56.696,1:58.616,1:57.177,1:58.890,1:59.351,1:59.293,1:58.161,1:57.752,1:58.106,2:05.925,2:15.139,1:54.481,1:56.071,1:55.635,1:56.801,1:54.787,1:54.541,1:55.196,1:54.505,1:54.802,1:56.010,1:54.130,1:56.411,2:29.844,2:21.861,2:02.004,2:45.657,2:40.297,2:39.929,1:57.954,2:23.733,2:36.279,2:38.926,1:58.062,1:54.831,1:56.470,1:54.787,1:53.997,1:54.510,1:54.417,1:54.705,1:54.859,1:54.595,1:54.236,1:54.726,1:54.462,1:54.921,1:54.875,1:55.541,1:57.403
Timo Glock (GLO),2:12.614,2:00.780,1:59.731,2:00.220,1:59.166,1:59.324,1:59.228,2:02.696,2:01.186,2:00.592,1:59.732,2:00.376,2:07.938,2:20.559,1:59.860,2:00.237,2:01.095,2:00.923,1:58.431,1:57.669,1:57.976,1:58.000,1:58.567,1:59.304,2:05.994,2:22.442,1:56.850,1:56.464,1:56.393,1:56.057,1:56.508,2:11.102,2:22.374,2:00.466,1:59.502,2:16.341,2:41.971,2:37.351,1:59.119,2:24.223,2:36.018,2:38.243,2:01.315,1:59.414,1:58.645,1:58.484,1:57.474,1:57.292,1:57.747,1:58.347,1:57.192,1:57.366,1:57.013,1:56.926,1:57.047,1:57.144,1:57.111,1:58.045,1:57.878
Kimi Räikkönen (RAI),2:09.239,1:59.744,1:58.687,1:58.191,1:58.361,1:58.296,1:58.252,1:58.637,1:58.472,1:58.653,1:59.063,1:57.625,2:06.309,2:15.842,1:56.756,1:56.311,1:56.253,1:56.497,1:56.475,1:56.878,1:56.555,1:56.511,1:57.376,1:56.444,1:56.277,1:55.991,1:56.376,1:57.104,1:57.269,1:57.270,1:58.004,2:05.174,2:39.600,2:21.817,2:18.406,2:45.487,2:40.233,2:40.872,1:59.594,2:22.927,2:36.182,2:39.795,1:56.996,1:55.879,1:54.863,1:55.123,1:55.132,1:54.320,1:54.455,1:54.412,1:54.461,1:54.560,1:53.785,1:54.634,1:54.134,1:54.154,1:54.664,1:54.665,1:55.861
Heikki Kovalainen (KOV),2:12.024,2:00.577,1:59.510,1:59.191,1:58.898,1:59.174,1:59.077,2:01.083,1:59.150,1:59.646,1:59.764,2:09.380,2:19.185,1:58.207,1:57.194,1:57.103,1:57.259,1:57.339,1:57.427,1:56.963,1:57.332,1:57.270,1:58.583,1:57.840,1:58.253,2:06.431,2:18.253,1:56.393,1:56.769,1:56.335,1:56.518,2:02.907,2:22.620,2:00.356,2:04.131,2:45.887,2:40.242,2:39.945,1:59.457,2:23.790,2:35.990,2:39.077,2:00.231,2:01.132,2:05.648,2:17.243,1:55.106,1:55.233,1:56.560,1:56.877,1:55.697,1:55.594,1:56.535,1:56.180,1:55.976,1:56.907,1:57.630,2:02.062,1:56.970
Fernando Alonso (ALO),2:04.729,1:58.511,1:58.202,1:57.600,1:57.152,1:57.014,1:57.264,1:56.787,1:56.944,1:56.559,2:04.339,2:16.112,1:55.836,1:57.403,1:57.844,1:57.128,1:56.229,1:55.465,1:55.032,1:55.012,1:55.155,1:55.239,1:56.109,1:55.492,1:56.224,1:55.901,1:55.624,1:55.248,2:03.064,2:15.391,1:57.755,1:57.924,2:17.248,2:28.621,2:36.600,2:48.949,2:40.361,2:44.399,1:55.657,2:27.624,2:36.495,2:41.565,1:56.087,1:54.766,1:53.954,1:54.130,1:53.806,1:53.463,1:53.344,1:53.987,1:53.399,1:52.828,1:52.709,1:52.790,1:53.092,1:52.957,1:53.825,1:53.662,1:54.765
Nico Rosberg (ROS),2:07.940,1:59.434,1:58.645,1:58.480,1:57.980,1:57.898,1:57.795,1:57.963,1:57.409,1:57.176,1:57.457,2:05.065,2:17.804,1:56.683,1:56.530,1:56.064,1:56.320,1:56.995,1:56.686,1:56.594,1:56.599,1:56.564,1:56.193,1:56.146,1:56.495,1:56.673,1:56.725,1:56.793,1:56.463,1:57.377,1:57.716,1:56.922,2:21.718,2:40.859,2:28.328,2:47.532,2:40.486,2:42.562,1:58.456,2:23.769,2:36.682,2:40.632,1:56.881,1:55.051,1:55.337,1:55.112,1:54.984,1:54.859,1:54.378,1:54.391,1:54.397,1:54.199,1:54.499,1:54.197,1:53.897,1:54.606,1:54.855,1:54.726,1:55.951
Lewis Hamilton (HAM),1:59.387,1:56.779,1:56.271,1:55.777,1:56.142,1:56.783,1:56.574,1:56.876,1:57.220,1:57.514,1:57.845,2:05.090,2:14.778,1:55.541,1:55.702,1:56.051,1:55.719,1:56.029,1:56.048,1:56.607,1:56.188,1:56.958
