Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Romain Grosjean (GRO),1:53.198,1:47.433,1:47.167,1:46.998,1:46.217,1:46.125,1:46.140,1:45.978,1:45.891,1:46.329,1:45.923,1:46.177,1:46.958,1:46.717,1:47.045,2:01.383,1:50.710,1:46.286,1:45.883,1:45.310,1:45.767,1:45.338,1:45.018,1:44.722,1:44.451,1:44.695,1:44.148,2:09.020,2:13.403,2:10.502,2:35.020,2:35.877,2:27.525,1:47.084,1:45.493,1:44.639,1:44.163,1:43.764,1:43.873,1:44.437
Narain Karthikeyan (KAR),2:04.997,1:50.630,1:50.461,1:49.623,1:49.514,1:50.128,1:49.389,1:51.020,1:50.082,1:49.654,1:49.948,1:50.373,1:51.141,1:52.320,2:07.887,1:56.944,1:48.637,1:48.362,1:47.921,1:47.803,1:49.307,1:48.034,1:48.129,1:48.048,1:48.069,1:47.868,1:56.356,2:05.060,2:47.258,2:26.301,2:00.751,1:48.231,1:47.612,1:47.836,1:47.262,1:47.038,1:46.940,1:46.788,1:56.604,1:53.990,1:46.510,1:46.388,1:46.601,1:46.791,1:46.960,1:46.864,1:46.710,1:46.947,1:46.785,1:47.359,1:47.674,1:48.070,1:50.073,1:49.786,1:55.003,1:54.865
Pedro de la Rosa (DLR),2:04.395,1:50.354,1:49.390,1:49.352,1:49.233,1:49.021,1:49.126,1:49.179,1:49.442,1:49.436,1:50.129,1:49.956,1:50.542,2:09.824,1:53.433,1:47.498,1:47.447,1:47.482,1:47.962,1:48.192,1:47.864,1:47.967,1:47.924,1:48.677,1:49.205,1:50.241,1:49.986,2:29.915,2:22.930,2:31.564,1:55.266,1:54.059,1:50.491,1:47.564,1:47.201,1:46.799,1:48.223,1:47.597,1:47.323,1:46.854,1:46.998,1:46.921,1:47.036,1:47.664,1:47.182,1:47.361,1:48.267,1:48.397,1:51.283,1:50.025,1:49.748,1:49.786,1:49.763,1:50.334,1:54.562,1:54.065
Michael Schumacher (MSC),1:59.626,1:48.471,1:48.651,1:47.167,1:47.616,1:47.331,1:47.285,1:47.232,1:47.522,1:47.363,1:47.370,1:47.209,1:47.458,1:47.555,1:47.676,1:48.298,1:48.423,1:48.877,2:05.247,1:51.923,1:46.005,1:45.481,1:45.398,1:45.312,1:45.414,1:45.187,1:44.871,1:58.873,2:10.614,1:57.299,2:28.709,2:36.433,2:23.447,1:47.386,1:46.578,1:46.263,1:44.823,1:44.236,1:44.273,1:44.434,1:58.497,1:49.203,1:43.099,1:44.073,1:44.096,1:43.366,1:43.307,1:43.670,1:44.065,1:43.232,1:43.340,1:43.577,1:45.022,1:44.012,1:45.870,1:47.049,1:44.474
Sebastian Vettel (VET),1:50.454,1:45.759,1:45.584,1:45.602,1:45.409,1:45.168,1:45.412,1:45.341,1:45.856,1:45.415,1:45.423,1:45.602,1:45.818,1:45.950,1:46.210,1:55.623,1:55.953,1:44.555,1:44.690,1:45.008,1:44.832,1:44.988,1:44.644,1:44.611,1:44.707,1:44.998,1:45.328,1:46.162,2:19.743,2:40.201,2:39.481,2:36.334,2:28.102
Jenson Button (BUT),2:00.025,1:48.828,1:47.235,1:46.804,1:47.403,1:47.369,1:47.348,1:47.348,1:47.300,2:00.989,1:50.803,1:46.233,1:46.563,1:46.789,1:46.434,1:46.510,1:45.952,1:46.314,1:49.248,1:49.135,1:46.277,1:46.358,1:46.306,1:46.260,1:46.327,1:59.831,1:50.120,2:03.864,2:10.334,1:52.772,2:23.704,2:35.909,2:21.182,1:47.939,1:46.486,1:46.308,1:45.750,1:45.940,1:45.224,1:45.770,1:45.448,1:45.211,1:44.993,1:45.258,1:45.009,1:44.930,1:44.924,1:44.806,1:46.442,1:45.109,1:44.993,1:44.944,1:45.395,1:45.729,1:45.623,1:47.265,1:47.932
Mark Webber (WEB),2:01.958,1:50.393,1:48.116,1:47.803,1:47.403,1:47.403,1:47.048,1:47.725,1:47.263,1:47.391,1:47.070,1:47.180,1:47.070,1:46.955,1:46.986,1:47.552,1:48.021,1:49.223,1:59.687,1:56.764,1:46.421,1:45.396,1:45.180,1:45.406,1:45.272,1:45.647,1:45.458,1:59.366,2:11.110,1:55.383,2:28.676,2:36.306,2:23.022,1:47.874,1:46.332,1:46.076,1:47.231,1:55.249,1:53.169,1:42.717,1:43.041,1:44.320,1:43.441,1:43.836,1:44.218,1:43.495,1:43.439,1:43.361,1:43.945,1:43.594,1:43.230,1:43.258,1:44.876,1:44.721,1:45.180,1:46.734,1:45.286
Felipe Massa (MAS),1:58.359,1:47.933,1:47.390,1:47.612,1:47.085,1:47.271,1:47.516,1:46.799,1:47.394,1:47.172,2:01.209,1:51.217,1:46.302,1:45.976,1:46.075,1:45.908,1:46.128,1:46.910,1:50.247,1:48.386,1:46.428,1:46.198,1:46.395,1:46.299,1:46.238,1:46.363,2:00.409,2:07.129,2:10.468,1:52.131,2:24.970,2:36.193,2:21.201,2:39.636,1:51.026,1:44.431,1:44.506,1:44.793,1:44.680,1:44.566,1:45.397,1:44.907,1:44.822,1:44.728,1:44.989,1:45.711,1:46.124,1:46.166,1:48.496,1:46.589,1:47.233,1:47.838,2:02.377,1:50.820,1:48.498,1:47.738
Kimi Räikkönen (RAI),1:55.542,1:48.188,1:46.806,1:46.290,1:46.821,1:46.541,1:46.287,1:46.556,1:45.894,1:46.235,1:46.979,1:47.778,1:47.182,2:03.048,1:50.577,1:46.394,1:47.170,1:48.610,1:49.935,1:46.585,1:45.507,1:45.284,1:46.046,1:45.031,1:44.728,1:44.828,1:45.051,2:10.443,2:14.143,1:56.339,2:31.050,2:36.939,2:25.779,1:47.382,1:45.936,1:44.315,1:44.545,1:44.272,1:44.041,1:44.241,1:44.883,1:44.464,1:43.686,1:44.150,1:44.184,1:44.284,1:44.562,1:44.662,1:45.065,1:45.050,1:44.793,1:45.044,1:45.217,1:46.263,1:47.443,1:46.137,1:47.865
Heikki Kovalainen (KOV),2:02.293,1:50.460,1:48.577,1:47.721,1:47.968,1:47.781,1:47.970,1:47.848,1:49.300,1:48.288,1:48.090,2:03.763,1:52.404,1:47.669,1:46.748,1:46.889,1:46.796,1:47.129,1:47.071,1:47.773,1:47.277,1:46.964,1:48.455,1:46.918,1:46.981,1:47.574,2:48.264,2:14.473,2:18.224,2:32.022,1:54.328,1:54.737,1:50.520,1:47.605,1:48.215,1:46.940,1:46.074,1:45.911,1:45.751,1:45.294,1:45.865,1:45.798,1:45.374,1:45.686,1:45.913,1:46.358,1:46.891,1:46.688,1:47.256,1:47.372,1:47.761,1:48.359,1:49.134,1:49.342,1:51.838,1:52.480,1:54.123
Fernando Alonso (ALO),1:57.156,1:47.741,1:47.268,1:46.973,1:46.925,1:46.907,1:46.726,1:46.583,1:46.492,1:46.804,1:46.954,1:46.826,1:46.202,1:46.435,1:59.822,1:50.692,1:47.037,1:47.678,1:47.301,1:45.797,1:45.573,1:46.224,1:45.669,1:45.539,1:45.313,1:45.437,1:45.176,2:08.369,2:15.221,1:57.850,2:31.890,2:36.076,2:26.800,1:46.122,1:45.764,1:44.518,1:44.141,1:43.754,1:43.921,1:43.666,1:44.018,1:44.692,1:43.808,1:44.139,1:44.308,1:44.215,1:44.102,1:44.617,1:44.689,1:45.354,1:45.333,1:45.272,1:45.140,1:45.329,1:45.259,1:46.102,1:48.930
Nico Rosberg (ROS),1:58.985,1:48.383,1:47.736,1:47.176,1:47.547,1:47.265,1:47.175,1:47.062,1:47.328,1:47.464,1:47.025,1:46.861,1:47.114,1:47.160,1:46.958,1:47.172,1:47.626,1:48.411,1:48.601,2:02.319,1:51.561,1:46.558,1:46.276,1:46.352,1:45.973,1:46.038,1:46.177,1:59.274,2:10.302,1:58.221,2:27.036,2:37.324,2:24.888,1:50.135,1:48.229,1:47.171,1:45.930,1:46.011,1:45.212,1:44.902,1:45.242,1:45.045,1:45.317,1:45.061,1:45.190,1:58.936,1:49.908,1:45.261,1:43.191,1:42.614,1:42.753,1:42.700,1:42.624,1:42.163,1:42.810,1:44.760,1:45.312
Lewis Hamilton (HAM),1:52.423,1:47.792,1:46.968,1:47.052,1:46.186,1:46.063,1:46.106,1:45.830,1:46.278,1:47.683,1:46.876,1:47.052,2:00.650,1:52.313,1:46.653,1:46.350,1:46.276,1:46.465,1:46.606,1:46.118,1:45.990,1:46.033,1:46.089,1:45.886,1:45.746,1:45.900,1:46.203,2:18.613,2:14.249,1:55.406,2:31.067,2:36.759,2:25.007,1:46.975,1:45.279,1:44.627,1:44.324,1:44.423,1:44.091,1:44.379,1:44.477,1:44.374,1:44.007,1:44.275,1:44.105,1:44.436,1:44.440,1:44.607,1:44.640,1:44.748,1:45.226,1:45.292,1:45.373,1:46.152,1:49.334
