Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Charles Pic (PIC),2:02.552,1:52.613,1:51.613,1:51.262,1:50.806,1:51.211,1:50.906,1:50.454,1:50.046,1:49.977,1:49.636,1:49.318,1:50.007,1:49.044,1:48.665,1:49.948,1:53.016,2:05.838,1:46.826,1:47.310,1:47.832,1:48.457,1:50.354,1:48.473,1:50.646,1:48.948,1:47.656,1:49.280,1:47.325,1:47.357,1:47.476,1:47.166,1:46.896,1:51.344,2:05.067,1:46.618,1:48.162,1:46.870,1:45.828,1:48.070,1:47.622,1:46.133,1:47.535,1:45.785,1:47.539,1:45.440,1:45.525,1:48.075,1:45.437,1:45.510,1:44.520,1:44.462,1:46.909
Jean-Éric Vergne (VER),1:58.554,1:48.370,1:48.712,1:48.878,1:49.156,1:47.872,1:48.203,1:47.602,1:47.216,1:46.632,1:46.579,1:48.665,1:52.508,2:04.870,1:46.401,1:45.906,1:46.215,1:46.283,1:47.784,1:46.866,1:45.730,1:45.531,1:44.995,1:45.419,1:44.325,1:45.015,1:45.512,1:44.846,1:45.058,1:44.707,1:44.941,1:44.626,1:44.449,1:44.575,1:44.726,1:44.869,1:45.004,1:50.061,2:02.317,1:44.056,1:43.910,1:43.722,1:43.907,1:43.762,1:43.601,1:43.350,1:43.947,1:42.721,1:42.940,1:43.107,1:43.581,1:43.304,1:43.899,1:44.011,1:44.444
Daniel Ricciardo (RIC),2:00.160,1:47.787,1:48.330,1:48.876,1:49.248,1:47.901,1:48.547,1:47.150,1:48.247,1:46.199,1:46.665,1:47.788,1:48.442,1:50.813,2:02.223,1:45.213,1:45.618,1:45.766,1:46.163,1:45.269,1:45.886,1:45.349,1:45.254,1:45.114,1:45.162,1:45.029,1:46.006,1:45.171,1:44.945,1:45.038,1:45.162,1:45.410,1:45.431,1:49.301,2:01.401,1:43.868,1:43.907,1:44.381,1:43.707,1:43.514,1:43.612,1:43.476,1:43.706,1:43.374,1:43.148,1:48.918,1:44.385,1:43.358,1:44.223,1:43.925,1:43.786,1:45.209,1:44.030,1:44.448,1:45.399
Sergio Pérez (PER),1:54.561,1:48.221,1:47.991,1:47.757,1:47.866,1:47.901,1:47.688,1:47.328,1:47.370,1:46.907,1:46.820,1:47.648,1:48.352,1:46.272,1:46.564,1:48.564,1:47.957,1:52.227,2:07.756,1:47.906,1:45.816,1:46.202,1:45.840,1:46.255,1:45.779,1:45.384,1:46.007,1:46.631,1:45.188,1:45.420,1:45.838,1:46.025,1:50.844,2:01.455,1:43.054,1:43.677,1:43.375,1:45.464,1:45.744,1:45.327,1:45.809,1:43.371,1:44.090,1:43.768,1:42.989,1:42.868,1:42.860,1:42.691,1:42.495,1:43.332,1:44.019,1:44.767,1:44.714,1:43.503,1:44.456
Paul di Resta (DIR),1:55.742,1:49.085,1:48.358,1:48.410,1:48.778,1:47.994,1:47.914,1:47.860,1:47.535,1:47.570,1:47.586,1:48.829,1:47.861,1:46.964,1:51.245,2:03.326,1:46.184,1:46.268,1:46.405,1:46.606,1:46.844,1:46.437,1:47.002,1:46.094,1:45.641,1:45.653,1:46.176,1:50.798,2:00.609,1:45.653,1:44.890,1:44.507,1:44.660,1:44.735,1:44.943,1:45.755,1:44.726,1:43.810,1:44.367,1:44.150,1:43.845,1:43.881,1:43.876,1:43.615,1:43.661,1:43.685,1:43.984,1:43.517,1:43.754,1:44.375,1:44.542,1:44.787,1:47.018,1:44.800,1:45.789
Pastor Maldonado (MAL),1:56.517,1:49.662,1:48.940,1:48.699,1:48.890,1:48.261,1:50.617,1:48.078,1:48.292,1:48.194,1:47.487,1:47.289,1:47.281,1:47.567,1:47.472,1:47.402,1:47.308,1:47.373,1:49.054,1:48.300,1:52.551,2:02.791,1:46.567,1:46.875,1:46.725,1:46.928,1:47.176,1:46.210,1:46.392,1:45.997,1:47.690,1:45.865,1:46.731,1:44.751,1:46.244,1:46.052,1:45.356,1:45.363,1:44.825,1:45.556,1:45.044,1:44.416,1:45.042,1:45.701,1:44.514,1:44.651,1:44.138,1:44.221,1:43.749,1:44.193,1:44.186,1:43.735,1:44.824,1:43.154,1:42.679
Bruno Senna (SEN),1:56.138,1:49.440,1:48.553,1:48.277,1:49.441,1:48.151,1:48.418,1:48.523,1:48.856,1:47.961,1:46.706,1:47.180,1:48.204,1:51.281,2:03.737,1:46.451,1:46.516,1:46.721,1:47.773,1:46.938,1:46.925,1:46.379,1:46.768,1:45.808,1:45.619,1:45.400,1:45.418,1:46.623,1:45.658,1:45.770,1:46.230,1:50.586,2:03.172,1:44.810,1:44.451,1:44.627,1:44.871,1:45.316,1:45.150,1:45.215,1:45.084,1:44.607,1:44.624,1:46.200,1:44.123,1:44.965,1:43.862,1:44.896,1:43.411,1:43.869,1:44.314,1:43.600,1:44.890,1:43.560,1:43.487
Vitaly Petrov (PET),2:00.004,1:51.027,1:49.100,1:49.372,1:49.974,1:49.683,1:49.582,1:48.710,1:48.274,1:48.318,1:48.346,1:48.914,1:50.075,1:56.433,2:05.413,1:48.505,1:47.246,1:47.434,1:47.201,1:47.632,1:48.039,1:47.339,1:47.625,1:47.078,1:46.642,1:46.317,1:46.404,1:46.431,1:46.467,1:47.092,1:46.759,1:51.940,2:03.543,1:47.008,1:47.983,1:47.336,1:45.973,1:45.515,1:45.414,1:45.739,1:45.657,1:45.550,1:45.386,1:47.374,1:46.695,1:45.427,1:45.109,1:49.062,1:45.864,1:45.013,1:46.133,1:45.405,1:45.374,1:45.481
Nico Hülkenberg (HUL),1:53.399,1:48.376,1:47.678,1:47.460,1:47.604,1:47.504,1:47.499,1:47.087,1:47.092,1:47.649,1:47.645,1:47.871,1:52.488,2:03.115,1:45.876,1:45.452,1:45.527,1:46.542,1:45.138,1:46.133,1:45.992,1:45.801,1:45.546,1:45.837,1:45.314,1:44.820,1:44.649,1:44.861,1:45.081,1:45.192,1:45.001,1:48.480,2:01.429,1:43.640,1:43.936,1:44.441,1:44.429,1:43.981,1:44.302,1:44.227,1:43.921,1:43.643,1:43.614,1:43.333,1:43.150,1:42.860,1:43.049,1:42.763,1:43.044,1:42.904,1:44.004,1:42.960,1:42.914,1:42.645,1:45.054
Kamui Kobayashi (KOB),2:30.991,2:18.541,1:47.066,1:47.153,1:47.777,1:47.704,1:53.610,1:58.296,1:47.774,1:48.099,2:00.373,1:48.277,1:47.883,1:48.601,1:51.705,2:03.482
