Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Romain Grosjean (GRO),2:04.294,1:52.551,1:24.044,1:24.330,1:23.725,1:23.085,1:23.325,1:23.466,1:22.861,1:22.717,1:22.493,1:23.334,1:22.513,1:22.574,1:22.592,1:22.639,1:22.960,1:22.732,1:23.120,1:23.523,1:23.074,1:23.369,1:23.166,1:25.414,1:38.838,1:21.210,1:21.236,1:21.121,1:21.401,1:21.818,1:21.063,1:21.170,1:21.612,1:21.930,1:21.543,1:21.938,1:21.194,1:21.655,1:21.366,1:23.831,1:22.165,1:24.196,1:42.423,1:24.350,1:20.105,1:20.627,1:21.762,1:24.412,1:21.792,1:21.340,1:20.469,1:20.632,1:22.637,1:20.945,1:20.857,1:20.370,1:22.571,1:22.905,1:20.838,1:20.013,1:21.831,1:20.449,1:20.154,1:20.486,1:20.192,1:20.920
Narain Karthikeyan (KAR),1:41.125,1:26.594,1:26.452,1:26.552,1:25.949,1:25.792,1:26.442,1:26.230,1:26.519,1:25.627,1:25.459,1:25.694,1:25.769,1:25.352,1:25.494,1:25.676,1:26.584,1:25.752,1:25.828,1:26.617,1:26.648,1:29.593,1:45.328,1:24.334,1:26.623,1:25.558,1:24.724,1:24.972,1:24.096,1:24.534,1:23.944,1:23.745,1:23.836,1:24.574,1:24.120,1:24.834,1:24.007,1:24.432,1:23.422,1:25.075,1:24.783,1:24.271,1:27.173,1:25.748,1:24.226,1:27.639,1:40.549,1:23.955,1:24.094,1:24.035,1:24.287,1:22.047,1:23.152,1:22.114,1:21.788,1:21.877,1:22.020,1:22.659,1:23.642,1:23.920,1:24.624,1:22.540,1:22.084,1:22.575
Pedro de la Rosa (DLR),1:38.867,1:26.634,1:27.469,1:26.606,1:25.804,1:25.756,1:25.583,1:25.680,1:26.036,1:26.045,1:25.492,1:25.564,1:25.482,1:25.349,1:25.410,1:25.082,1:25.523,1:25.337,1:25.882,1:27.925,1:41.589,1:24.872,1:25.179,1:24.569,1:25.029,1:25.131,1:26.488,1:25.201,1:25.559,1:25.002,1:24.286,1:25.124,1:26.183,1:24.413,1:24.171,1:25.022,1:24.927,1:24.176,1:26.579,1:24.299,1:24.280,1:24.767,1:23.891,1:24.010,1:28.442,1:39.900,1:24.079,1:23.720,1:22.613,1:23.650,1:22.407,1:23.403,1:23.613,1:23.224,1:24.071,1:22.480,1:23.629,1:22.728,1:23.126,1:23.195,1:23.405,1:23.293,1:22.765,1:24.209
Michael Schumacher (MSC),1:29.271,1:23.669,1:23.414,1:23.229,1:23.324,1:22.996,1:23.050,1:23.246,1:22.916,1:23.145,1:24.300,1:23.111,1:22.890,1:24.904,1:36.945,1:21.944,1:22.073,1:22.058,1:21.734,1:22.197,1:22.944,1:22.315,1:22.078,1:21.986,1:22.129,1:22.247,1:21.470,1:21.540,1:21.502,1:21.780,1:21.782,1:21.312,1:21.370,1:21.588,1:21.744,1:24.146,1:33.841,1:20.291,1:20.415,1:21.206,1:20.234,1:20.249,1:20.204,1:20.103,1:20.350,1:19.914,1:20.539,1:20.846,1:20.191,1:20.226,1:20.092,1:22.538,1:33.488,1:19.585,1:19.007,1:18.794,1:18.725,1:18.833,1:18.875,1:19.144,1:18.942,1:19.005,1:19.165,1:19.270,1:19.208,1:19.545,1:19.658
Sebastian Vettel (VET),1:28.162,1:22.918,1:22.828,1:22.697,1:22.771,1:22.726,1:22.863,1:22.769,1:22.613,1:22.570,1:22.482,1:22.306,1:22.289,1:22.290,1:22.287,1:22.168,1:22.084,1:22.180,1:22.575,1:24.877,1:34.380,1:21.065,1:21.171,1:21.326,1:21.071,1:20.939,1:20.931,1:20.992,1:21.258,1:21.326,1:21.366,1:20.651,1:20.864,1:20.982,1:21.603,1:20.891,1:20.856,1:20.883,1:20.764,1:20.796,1:22.793,1:33.996,1:20.341,1:19.866,1:20.623,1:19.908,1:20.698,1:19.820,1:19.980,1:19.841,1:20.101,1:20.033,1:20.769,1:19.999,1:19.919,1:19.721,1:19.740,1:19.773,1:19.661,1:19.953,1:19.717,1:19.772,1:19.710,1:20.081,1:20.552,1:20.188,1:19.469
Jenson Button (BUT),1:30.100,1:24.197,1:23.554,1:23.608,1:23.171,1:23.193,1:23.066,1:22.606,1:22.604,1:22.637,1:22.538,1:22.320,1:22.084,1:22.366,1:22.073,1:22.076,1:22.252,1:21.992,1:24.470,1:34.172,1:21.104,1:21.413,1:20.992,1:21.406,1:21.494,1:21.070,1:20.727,1:20.897,1:20.996,1:21.074,1:21.151,1:20.340,1:20.771,1:20.773,1:20.692,1:21.488,1:20.608,1:20.841,1:20.831,1:23.077,1:31.690,1:20.057,1:19.754,1:19.808,1:20.269,1:19.894,1:20.132,1:19.908,1:20.083,1:19.973,1:20.290,1:20.029,1:20.050,1:19.905,1:19.904,1:19.970,1:20.050,1:20.092,1:20.042,1:20.007,1:19.906,1:19.719,1:20.055,1:20.166,1:20.805,1:21.692,1:21.737
Mark Webber (WEB),1:31.284,1:24.253,1:23.977,1:23.449,1:23.146,1:23.265,1:23.247,1:23.310,1:23.297,1:23.319,1:23.221,1:25.789,1:37.185,1:24.051,1:22.186,1:22.159,1:22.291,1:22.671,1:22.319,1:22.257,1:21.781,1:21.967,1:22.020,1:22.297,1:21.956,1:21.981,1:22.136,1:22.498,1:22.291,1:22.507,1:22.303,1:23.251,1:21.880,1:21.489,1:21.603,1:21.640,1:21.408,1:21.524,1:22.590,1:24.170,1:33.904,1:20.510,1:20.605,1:20.557,1:20.757,1:20.671,1:20.885,1:20.659,1:20.949,1:20.801,1:20.638,1:20.610,1:20.833,1:20.236,1:20.358,1:20.141,1:20.043,1:19.972,1:19.794,1:19.906,1:19.859,1:19.926,1:20.101,1:20.001,1:19.927,1:19.863,1:20.329
Felipe Massa (MAS),1:46.843,1:41.703,1:23.314,1:22.767,1:22.596,1:22.439,1:22.596,1:22.943,1:23.558,1:23.423,1:24.156,1:22.942,1:23.441,1:22.780,1:22.511,1:22.459,1:22.457,1:22.422,1:22.608,1:22.952,1:22.925,1:23.544,1:24.135,1:26.172,1:36.036,1:21.134,1:20.937,1:20.940,1:21.010,1:21.801,1:22.200,1:21.079,1:20.810,1:21.108,1:21.147,1:21.008,1:21.279,1:21.186,1:20.977,1:21.202,1:21.281,1:21.664,1:21.197,1:21.119,1:21.444,1:21.161,1:24.020,1:35.377,1:19.683,1:20.022,1:19.981,1:20.117,1:20.368,1:20.166,1:20.373,1:19.906,1:19.418,1:19.531,1:20.043,1:19.718,1:20.137,1:21.305,1:19.419,1:19.258,1:20.185,1:19.632,1:19.225
Timo Glock (GLO),1:38.018,1:26.352,1:27.781,1:25.764,1:25.257,1:25.404,1:25.315,1:25.308,1:25.630,1:25.829,1:25.418,1:25.492,1:25.312,1:25.371,1:25.833,1:25.491,1:25.515,1:26.183,1:28.158,1:41.377,1:24.015,1:25.459,1:25.091,1:24.744,1:24.504,1:24.976,1:25.519,1:27.706,1:24.868,1:26.411,1:24.840,1:25.674,1:25.972,1:24.310,1:23.531,1:23.624,1:25.675,1:24.429,1:24.034,1:26.482,1:39.193,1:25.885,1:23.124,1:22.987,1:23.253,1:24.610,1:22.817,1:25.160,1:24.888,1:25.013,1:23.355,1:24.596,1:23.286,1:22.778,1:25.361,1:23.440,1:23.272,1:23.894,1:23.218,1:24.845,1:23.655,1:26.205,1:23.805,1:24.065
Kimi Räikkönen (RAI),1:32.446,1:24.227,1:25.402,1:23.596,1:23.072,1:23.408,1:22.596,1:22.720,1:22.712,1:22.987,1:25.637,1:35.436,1:21.942,1:21.988,1:22.685,1:22.247,1:21.931,1:22.037,1:22.087,1:21.830,1:21.377,1:21.242,1:21.211,1:21.687,1:21.674,1:21.717,1:21.753,1:21.627,1:21.523,1:21.530,1:21.633,1:21.229,1:21.045,1:21.315,1:21.185,1:21.703,1:21.637,1:24.029,1:33.888,1:19.726,1:19.722,1:20.047,1:20.199,1:19.724,1:20.004,1:20.087,1:19.639,1:20.694,1:19.881,1:19.993,1:20.630,1:20.100,1:19.562,1:19.660,1:19.726,1:19.485,1:19.512,1:19.775,1:19.903,1:19.904,1:19.789,1:20.212,1:19.764,1:20.046,1:19.821,1:20.109,1:20.566
Heikki Kovalainen (KOV),1:36.796,1:25.248,1:26.032,1:25.392,1:24.350,1:23.932,1:24.030,1:24.097,1:23.588,1:23.763,1:23.810,1:24.437,1:26.583,1:37.563,1:23.044,1:23.117,1:23.510,1:22.691,1:22.543,1:22.805,1:22.677,1:22.650,1:22.480,1:22.533,1:22.684,1:22.679,1:22.704,1:22.634,1:22.576,1:23.302,1:25.701,1:36.277,1:21.556,1:21.854,1:22.483,1:22.084,1:21.961,1:21.740,1:25.729,1:22.741,1:22.576,1:22.297,1:22.871,1:25.114,1:36.858,1:21.734,1:21.671,1:23.070,1:21.988,1:22.784,1:22.164,1:22.622,1:29.436,1:46.356,1:27.852,1:25.921,1:20.954,1:20.891,1:20.965,1:21.054,1:20.596,1:21.890,1:20.598,1:25.154,1:21.616
Fernando Alonso (ALO),1:26.842,1:23.250,1:23.187,1:22.600,1:22.697,1:22.645,1:22.812,1:22.631,1:22.546,1:22.396,1:22.419,1:22.214,1:21.994,1:22.108,1:22.101,1:22.065,1:22.125,1:24.523,1:34.951,1:21.681,1:21.659,1:21.768,1:21.727,1:21.609,1:21.260,1:21.251,1:21.251,1:21.089,1:21.429,1:21.402,1:20.904,1:20.784,1:20.926,1:20.914,1:20.851,1:20.373,1:20.826,1:21.146,1:20.650,1:20.776,1:22.863,1:33.711,1:20.169,1:20.195,1:20.325,1:19.884,1:20.173,1:19.910,1:19.888,1:19.902,1:20.190,1:20.086,1:19.977,1:20.035,1:20.061,1:20.111,1:20.042,1:19.837,1:19.775,1:19.835,1:19.889,1:19.593,1:19.641,1:19.620,1:19.892,1:19.044,1:20.832
Nico Rosberg (ROS),1:36.521,1:24.257,1:24.746,1:24.220,1:23.707,1:24.286,1:23.556,1:23.344,1:23.315,1:23.162,1:22.929,1:24.963,1:36.697,1:21.440,1:22.381,1:22.405,1:22.221,1:22.175,1:21.933,1:22.244,1:22.551,1:22.419,1:24.093,1:22.340,1:22.207,1:22.199,1:22.325,1:21.822,1:21.531,1:22.129,1:21.689,1:23.580,1:34.069,1:21.212,1:20.979,1:20.835,1:20.952,1:20.710,1:20.709,1:20.561,1:20.479,1:20.404,1:20.188,1:20.840,1:20.486,1:20.566,1:20.445,1:20.550,1:20.812,1:22.813,1:34.091,1:19.651,1:19.854,1:19.751,1:21.045,1:20.486,1:19.946,1:19.421,1:19.105,1:19.457,1:19.191,1:19.165,1:19.267,1:19.126,1:19.192,1:19.568,1:19.438
Lewis Hamilton (HAM),1:31.665,1:24.784,2:04.133,1:40.111,1:23.324,1:22.785,1:22.595,1:22.306,1:22.511,1:22.735,1:22.503,1:22.580,1:22.141,1:22.158,1:22.462,1:22.766,1:22.802,1:23.682,1:23.026,1:22.393,1:22.562,1:22.448,1:22.172,1:22.112,1:22.486,1:22.153,1:21.902,1:21.801,1:23.108,1:22.736,1:24.909,1:34.571,1:20.774,1:20.091,1:20.426,1:20.607,1:21.194,1:20.685,1:20.761,1:20.298,1:20.991,1:21.568,1:20.710,1:20.825,1:21.094,1:21.247,1:23.592,1:36.487,1:20.509,1:20.315,1:20.282,1:20.175,1:20.284,1:20.549,1:21.060,1:32.608
