Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Charles Pic (PIC),2:17.884,2:27.187,1:47.287,1:46.055,1:44.004,1:43.732,1:45.567,1:43.249,1:43.139,1:43.103,1:42.882,1:43.091,1:43.252,1:46.221,1:58.155,1:40.622,1:41.001,1:40.802,1:41.099,1:41.047,1:41.118,1:41.213,1:40.577,1:40.932,1:41.176,1:42.431,1:41.431,1:41.567,1:42.348,1:44.125,1:46.034,2:20.850,1:44.855,1:40.493,1:40.663,1:42.193,1:46.327
Jean-Éric Vergne (VER),2:13.918,2:29.043,1:43.870,1:42.381,1:41.949,1:41.905,1:41.916,1:42.243,1:42.105,1:41.749,1:41.696,1:41.786,1:41.592,1:42.208,1:42.937,1:43.103,1:42.329,1:46.109,2:02.316,1:40.022,1:40.857,1:39.023,1:39.718,1:40.636,1:39.010,1:38.971,1:39.083,1:38.780,1:38.738,1:39.199,1:39.180,1:39.096,1:38.884,1:39.065,1:40.936,1:56.219,1:37.818,1:37.663,1:37.533,1:37.564,1:37.581,1:37.912,1:38.185,1:38.533,1:38.735,1:38.260,1:38.365,1:38.429,1:38.269,1:38.276,1:39.009,1:39.669,1:40.514
Daniel Ricciardo (RIC),2:08.624,2:32.670,1:43.161,1:42.455,1:41.095,1:40.865,1:41.033,1:40.990,1:40.908,1:40.860,1:41.182,1:40.970,1:41.285,1:41.080,1:41.223,1:41.502,1:45.336,1:58.779,1:40.202,1:39.756,1:39.490,1:39.233,1:39.324,1:39.935,1:39.477,1:39.843,1:39.036,1:39.260,1:39.077,1:39.202,1:39.392,1:39.470,1:39.355,1:41.693,1:57.164,1:38.308,1:38.728,1:38.843,1:38.341,1:38.553,1:39.263,1:38.081,1:37.878,1:38.162,1:37.972,1:38.529,1:37.997,1:38.146,1:38.059,1:37.455,1:37.631,1:38.261,1:38.027
Sergio Pérez (PER),2:04.801,2:34.922,1:42.648,1:41.498,1:40.900,1:40.375,1:39.891,1:40.055,1:39.971,1:39.862,1:40.387,1:40.952,1:41.323,1:40.171,1:44.834,1:58.780,1:38.983,1:39.277
Paul di Resta (DIR),2:14.512,2:28.753,1:43.792,1:43.698,1:41.291,1:41.520,1:42.086,1:41.923,1:42.212,1:41.993,1:41.458,1:41.852,1:43.711,1:57.572,1:40.688,1:41.065,1:40.725,1:40.725,1:40.844,1:40.750,1:40.298,1:40.200,1:40.114,1:40.296,1:40.140,1:40.336,1:41.712,1:40.060,1:40.062,1:39.861,1:39.821,1:42.320,1:58.001,1:38.125,1:38.079,1:38.326,1:37.931,1:38.046,1:38.197,1:38.243,1:38.243,1:38.345,1:38.445,1:38.587,1:38.357,1:38.206,1:38.506,1:37.535,1:38.032,1:38.157,1:38.139,1:38.452,1:39.360
Pastor Maldonado (MAL),2:07.350,2:33.718,1:42.907,1:41.749,1:41.454,1:40.984,1:41.032,1:41.003,1:40.958,1:40.976,1:40.831,1:40.792,1:41.147,1:40.594,1:40.795,1:42.538,1:58.422,1:42.525,1:39.792,1:39.247,1:39.145,1:39.603,1:39.451,1:39.358,1:39.581,1:39.382,1:39.390,1:38.414,1:38.568,1:38.875,1:38.586,1:38.409,1:40.335,1:55.704,1:38.695,1:38.198,1:37.969,1:38.409,1:38.696,1:38.442,1:38.162,1:38.378,1:38.170,1:38.151,1:37.771,1:37.773,1:37.821,1:38.025,1:38.106,1:37.968,1:37.914,1:38.044,1:38.299
Bruno Senna (SEN),2:23.885,2:23.376,1:45.427,1:44.489,1:42.952,1:41.563,1:42.878,1:42.214,1:41.930,1:41.093,1:40.616,1:41.352,1:40.875,1:40.814,1:41.086,1:43.401,1:58.909,1:40.078,1:39.759,1:39.743,1:41.602,1:50.681,1:39.237,1:39.730,1:39.810,1:41.026,1:39.637,1:39.095,1:39.160,1:39.113,1:38.574,1:38.576,1:39.107,1:41.787,1:54.798,1:39.392,1:37.337,1:37.157,1:38.397,1:38.874,1:38.446,1:37.196,1:37.155,1:36.819,1:37.261,1:37.041,1:37.784,1:38.380,1:38.312,1:38.285,1:38.805,1:39.638,1:40.299
Vitaly Petrov (PET),2:19.668,2:25.501,1:45.060,1:43.301,1:43.427,1:43.124,1:43.056,1:44.147,1:43.209,1:42.713,1:44.161,1:42.977,1:43.657,1:43.796,1:43.644,1:43.194,1:43.035,1:42.751,1:46.587,1:58.875,1:41.497,1:41.644,1:41.211,1:41.019,1:41.037,1:40.610,1:40.920,1:40.874,1:42.249,1:41.254,1:41.850,1:40.825,1:40.669,1:40.708,1:42.561,1:41.037,1:41.042,1:40.836,1:41.244,1:42.393,1:43.415,1:45.939,1:58.519,1:39.057,1:41.830,1:38.919,1:38.344,1:40.711,1:50.144,1:38.524,1:38.794,1:39.806
Nico Hülkenberg (HUL),2:06.454,2:34.022,1:42.576,1:41.557,1:40.967,1:40.431,1:41.037,1:41.150,1:40.585,1:40.405,1:40.495,1:40.389,1:42.310,1:57.446,1:41.593,1:40.960,1:39.368,1:39.581,1:39.496,1:40.082,1:39.916,1:40.015,1:39.961,1:39.786,1:39.696,1:39.626,1:39.406,1:39.410,1:39.736,1:39.581,1:41.079,1:56.164,1:38.771,1:38.481,1:38.272,1:38.220,1:38.284,1:38.208,1:38.166,1:38.301,1:38.114,1:38.428,1:38.120,1:38.268,1:38.021,1:37.938,1:38.137,1:38.079,1:38.066,1:38.160,1:37.988,1:37.982,1:38.117
Kamui Kobayashi (KOB),1:59.454,2:38.635,1:40.366,1:40.390,1:40.028,1:40.114,1:40.038,1:39.965,1:39.840,1:39.983,1:39.853,1:40.061,1:39.951,1:41.903,1:58.223,1:41.454,1:41.224,1:39.321,1:39.304,1:39.434,1:39.308,1:38.993,1:39.008,1:39.113,1:39.593,1:39.729,1:39.830,1:39.780,1:39.659,1:40.025,1:42.174,1:54.735,1:38.313,1:38.465,1:38.348,1:38.113,1:38.700,1:37.766,1:37.735,1:37.608,1:37.701,1:37.860,1:37.758,1:37.454,1:37.226,1:37.732,1:36.800,1:36.847,1:36.988,1:36.990,1:36.762,1:36.679,1:37.447
Romain Grosjean (GRO),2:11.428,2:35.098,1:46.027,1:43.553,1:43.126,1:41.554,1:45.418,2:07.375,1:40.843,1:40.683,1:40.347,1:40.130,1:40.163,1:40.245,1:41.025,1:39.794,1:42.303,1:42.054,1:43.191,1:40.580,1:40.901,1:43.905,1:55.689,1:38.644,1:40.667,1:38.637,1:38.437,1:38.405,1:39.861,1:38.508,1:38.341,1:38.277,1:40.493,1:40.771,1:40.325,1:38.320,1:38.369,1:38.290,1:38.499,1:39.022,1:39.756,1:39.162,1:39.225,1:38.681,1:38.964,1:39.830,1:39.107,1:39.345,1:40.041,1:43.205,1:46.714
Narain Karthikeyan (KAR),2:20.430,2:25.666,1:45.635,1:43.926,1:45.300,1:43.836,1:43.270,1:44.339,1:43.372,1:43.419,1:42.802,1:43.407,1:43.989,1:43.556,1:46.099,2:03.130,1:41.835,1:42.262,1:41.465,1:41.472,1:41.388,1:41.716,1:44.020,1:41.694,1:43.588,1:42.580,1:41.656,1:43.293,1:42.111,1:42.005,1:43.550,1:43.943
Pedro de la Rosa (DLR),2:16.900,2:27.650,1:44.539,1:43.859,1:43.445,1:43.195,1:43.101,1:43.276,1:43.772,1:43.058,1:43.092,1:43.734,1:43.774,1:44.044,1:43.364,1:43.662,1:47.773,2:04.594,1:41.713,1:41.768,1:41.299,1:41.517,1:41.186,1:41.310,1:41.339,1:42.607,1:41.545,1:41.632,1:41.631,1:43.024,1:41.967,1:42.163,1:43.342,1:42.127,1:42.647,1:45.308,1:59.225,1:40.130,1:42.006,1:41.999,1:40.657,1:40.568,1:40.128,1:39.809,1:40.439,1:43.220,1:40.219,1:39.504,1:39.821,1:39.351,1:39.383,1:39.938
Michael Schumacher (MSC),2:15.845,2:27.792,1:43.987,1:44.000,1:42.029,1:41.925,1:41.783,1:42.034,1:41.732,1:41.823,1:41.596,1:41.282,1:41.937,1:41.674,1:42.772,1:42.470,1:44.958,1:56.200,1:39.726,1:39.621,1:39.467,1:39.564,1:39.382,1:39.319,1:39.823,1:40.125,1:39.450,1:39.320,1:39.006,1:38.856,1:38.885,1:39.182,1:39.029,1:39.982,1:39.375,1:41.275,1:54.042,1:37.747,1:37.665,1:37.409,1:37.381,1:37.501,1:36.942,1:37.010,1:37.412,1:37.721,1:37.775,1:38.223,1:38.042,1:37.789,1:37.319,1:38.284,1:38.523
Sebastian Vettel (VET),1:57.872,2:38.826,1:39.841,1:39.523,1:39.802,1:39.545,1:39.450,1:39.341,1:39.180,1:39.202,1:39.232,1:39.427,1:39.515,1:39.727,1:39.579,1:40.128,1:41.809,1:56.435,1:39.207,1:39.497,1:39.063,1:38.449,1:38.855,1:38.862,1:38.596,1:38.903,1:38.524,1:38.246,1:38.637,1:38.663,1:38.990,1:37.961,1:38.154,1:38.493,1:38.509,1:38.768,1:40.238,1:55.095,1:36.630,1:37.425,1:37.339,1:37.445,1:37.159,1:37.128,1:36.875,1:36.466,1:37.216,1:37.225,1:36.962,1:37.020,1:37.173,1:35.774,1:38.261
Jenson Button (BUT),2:01.866,2:36.703,1:40.681,1:40.298,1:40.473,1:40.033,1:40.234,1:40.299,1:40.117,1:40.033,1:40.001,1:40.362,1:41.648,1:55.664,1:40.869,1:41.456,1:42.860,1:38.953,1:39.875,1:39.736,1:39.672,1:39.488,1:39.504,1:39.484,1:39.734,1:39.390,1:38.942,1:39.260,1:39.381,1:39.539,1:39.522,1:38.982,1:38.624,1:39.508,1:40.878,1:55.151,1:37.997,1:37.914,1:37.545,1:37.422,1:37.224,1:37.524,1:37.256,1:37.007,1:37.160,1:37.532,1:37.090,1:36.900,1:36.764,1:36.623,1:36.606,1:36.618,1:36.938
