Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Charles Pic (PIC),2:46.644,3:04.641,3:02.744,2:55.805,2:06.019,2:02.008,2:02.122,2:01.222,2:00.936,2:01.730,2:01.667,2:01.549,2:01.573,2:01.631,2:01.693,2:00.760,2:00.299,2:05.013,2:11.508,1:58.245,1:58.551,1:59.050,1:59.885,1:58.794,2:00.129,1:59.951,1:57.939,1:58.457,1:58.905,1:59.636,1:59.100,1:58.729,1:58.362,1:58.884,1:58.887,1:59.746,2:02.831,2:00.777,1:59.097,1:59.881,2:00.777,2:02.888,2:00.909
Jean-Éric Vergne (VER),2:31.611,3:07.963,3:02.660,3:01.828,2:00.694,1:59.620,1:58.458,1:58.839,1:58.593,1:59.117,1:58.198,1:58.080,1:58.056,1:58.162,2:02.296,2:08.987,1:56.556,1:58.490,1:58.995,1:59.074,1:55.980,1:55.936,1:55.725,1:55.843,1:56.068,1:56.100,1:56.179,1:56.344,1:59.922,2:07.653,1:53.995,1:55.085,1:55.161,1:57.656,1:55.911,1:55.760,1:55.402,1:56.843,1:55.117,1:56.872,1:54.323,1:54.340,1:54.655,1:54.248
Daniel Ricciardo (RIC),2:30.376,3:07.740,3:02.857,3:02.642,2:00.571,1:59.194,1:58.734,1:58.687,1:58.780,1:57.593,1:57.958,2:01.166,2:08.687,1:56.799,1:57.101,1:58.627,1:58.269,1:56.884,1:56.635,1:56.400,1:57.378,1:57.210,1:56.737,1:57.572,1:56.875,1:57.213,1:56.780,2:01.119,2:08.090,1:55.216,1:55.217,1:55.484,1:56.680,1:56.974,1:56.173,1:56.292,1:55.152,1:56.332,1:57.405,1:56.091,1:54.881,1:54.605,1:55.380,1:54.956
Paul di Resta (DIR),2:28.499,3:07.206,3:03.059,3:03.996,2:00.214,1:59.673,1:58.683,1:58.772,1:58.977,2:02.885,2:11.064,1:57.430,1:57.382,1:57.508,1:58.224,1:57.927,1:57.618,1:58.749,1:58.860,1:59.158,1:57.481,1:56.462,1:58.085,1:57.385,1:56.788,2:00.304,2:07.044,1:54.562,1:55.070,1:55.215,1:55.309,1:55.164,1:55.103,1:55.296,1:55.960,1:57.232,1:54.998,1:55.774,1:57.519,1:56.152,1:54.833,1:54.894,1:55.201,1:54.598
Pastor Maldonado (MAL),2:51.174,2:59.089,3:02.854,2:56.181
Bruno Senna (SEN),2:35.591,3:05.884,3:01.843,3:01.553,2:00.509,1:59.561,1:58.637,1:59.200,1:58.440,1:58.914,1:58.505,1:57.954,1:58.995,1:58.480,1:58.332,2:01.847,2:10.072,1:56.707,1:56.861,1:58.833,1:57.485,1:56.481,1:56.247,1:56.361,1:56.799,1:56.634,1:56.738,1:56.125,1:57.329,1:56.966,1:56.839,1:56.699,1:56.457,1:56.302,1:56.357,1:56.693,1:56.852,1:57.542,2:02.151,2:07.078,1:53.316,1:53.993,1:52.822,1:53.075
Vitaly Petrov (PET),2:43.830,3:05.161,3:02.374,2:57.070,2:01.675,2:01.301,2:00.780,2:00.410,1:59.881,2:00.031,2:00.252,2:04.827,2:16.561,1:59.089,1:59.152,2:00.680,2:00.340,1:58.841,1:59.159,1:59.077,1:58.784,1:58.865,1:59.031,1:58.686,1:59.096,2:02.248,2:10.041,1:56.741,1:56.982,1:57.375,1:57.341,1:57.139,1:56.878,1:57.957,1:56.836,1:57.288,1:56.852,1:56.881,1:58.192,1:57.543,1:57.406,1:57.359,1:56.815
Nico Hülkenberg (HUL),2:27.525,3:07.834,3:02.923,3:03.978,1:58.669,1:58.358,1:58.380,1:58.046,1:57.795,1:58.209,1:57.991,1:57.907,2:01.098,2:10.535,1:58.656,1:56.251,1:55.988,1:56.216,1:56.258,1:56.463,1:56.150,1:55.937,1:55.366,1:55.612,1:55.726,1:56.117,1:58.909,2:06.524,1:54.406,1:54.797,1:55.252,1:56.822,1:56.126,1:56.458,1:56.214,1:53.778,1:53.815,1:54.755,1:54.061,1:53.760,1:53.812,1:54.374,1:54.392,1:54.130
Kamui Kobayashi (KOB),2:50.297,3:02.742,3:02.346,2:55.418,2:00.989,2:00.728,2:04.331,2:11.000,1:57.985,1:58.742,1:58.322,1:58.941,1:57.628,1:57.540,1:57.604,1:57.619,1:58.252,1:57.938,1:57.797,1:58.178,1:57.786,1:58.144,1:59.635,2:02.324,2:10.575,1:55.598,1:55.886,1:56.243,1:56.531,1:56.834,1:56.633,1:56.475,1:56.623,1:56.401,1:55.959,1:56.298,1:57.373,1:56.447,1:56.338,1:56.379,1:56.725,1:56.601,1:57.484,2:14.960
Narain Karthikeyan (KAR),2:42.004,3:05.522,3:02.422,2:58.033,2:03.532,2:03.263,2:01.684,2:00.792,2:00.803,2:02.132,2:01.426,2:01.576,2:01.427,2:05.633,2:15.818,1:59.113,1:59.577,1:59.433,1:59.637,2:00.233,1:59.895,1:59.586,2:00.017,1:59.694,2:00.340,2:01.005,2:01.008,2:06.496,2:12.038
