Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Charles Pic (PIC),2:04.696,1:54.571,1:53.936,1:52.486,1:52.475,1:52.035,1:52.084,1:51.857,2:17.189,2:17.881,2:37.831,2:42.695,2:35.140,2:29.639,1:53.199,1:54.335,1:51.561,1:51.252,1:51.137,1:50.898,1:51.084,1:50.926,1:50.527,1:50.660,1:50.873,1:51.988,2:10.622,1:49.978,1:49.978,1:49.756,1:49.600,1:49.508,1:49.079,1:49.085,1:49.262,1:49.486,1:49.247,2:01.624,2:17.724,1:54.782,1:56.352
Jean-Éric Vergne (VER),2:01.022,1:51.939,1:50.905,1:50.390,1:50.883,1:50.399,1:50.157,1:49.931,2:15.551,2:33.620,2:39.539,2:42.393,2:36.060,2:29.088,1:52.014,1:50.865,1:50.166,1:49.762,1:50.641,1:50.796,1:49.033,1:48.824,1:48.815,1:48.686,1:48.521,1:48.661,1:48.325,1:48.230,1:48.282,1:48.466,1:48.094,1:48.352,1:49.497,2:06.657,1:47.187,1:47.403,1:47.022,1:49.071,2:13.030,2:08.862,2:22.327,2:30.854,1:48.034,1:49.597,1:48.041,1:46.862,1:46.518,1:47.669,1:48.045,1:46.530,1:46.460,1:46.315,1:46.113,1:46.174,1:46.895
Daniel Ricciardo (RIC),2:00.683,1:51.645,1:50.799,1:50.376,1:50.578,1:50.165,1:49.943,1:49.821,2:11.717,2:33.763,2:40.538,2:42.091,2:37.285,2:30.690,1:51.330,1:50.157,1:49.290,1:49.163,1:50.097,1:49.203,1:49.492,1:49.251,1:50.368,1:49.058,1:49.000,1:51.582,2:09.090,1:48.612,1:48.384,1:48.652,1:47.955,1:47.862,1:48.289,1:48.938,1:48.356,1:47.579,1:47.798,1:52.583,2:17.483,1:59.730,2:21.718,2:30.611,1:47.957,1:48.696,1:46.372,1:46.327,1:46.207,1:46.062,1:46.131,1:46.111,1:45.911,1:46.036,1:45.903,1:46.262,1:46.430
Sergio Pérez (PER),1:59.445,1:50.615,1:50.009,1:49.657,1:49.305,1:49.202,1:49.227,1:48.994,2:12.287,2:37.316,2:40.690,2:41.689,2:37.507,2:32.187,1:50.850,1:49.610,1:48.702,1:48.508,1:48.419,1:48.415,1:48.358,1:48.457,1:48.695,1:48.516,1:47.963,1:47.926,1:48.204,1:49.031,1:48.639,1:49.738,2:05.453,1:47.612,1:47.617,1:47.885,1:47.969,1:47.763,1:47.670,2:11.328,2:42.697,1:54.787,2:04.074,2:30.614,1:47.358,1:49.276,2:12.575,1:45.935,1:45.726,1:46.556,1:45.559,1:45.840,1:46.448,1:46.480,1:46.324,1:45.410,1:48.318
Paul di Resta (DIR),2:49.694,2:16.608,1:50.421,1:50.156,1:49.896,1:49.791,1:49.673,2:02.143,2:16.358,2:11.887,1:52.863,2:33.094,2:35.139,2:28.758,1:52.658,1:51.550,1:50.226,1:50.491,1:49.687,1:49.181,1:49.045,1:48.704,1:48.775,1:48.687,1:48.454,1:48.445,1:48.136,1:48.051,1:47.899,1:48.060,1:47.940,1:48.125,1:47.752,1:47.867,1:47.977,1:47.654,1:47.805,1:48.629,2:13.853,2:25.750,2:22.186,2:30.818,1:48.031,1:47.746,1:46.534,1:45.832,1:46.497,1:46.007,1:45.850,1:46.129,1:45.756,1:45.745,1:45.617,1:46.197,1:46.000
Pastor Maldonado (MAL),1:54.395,1:50.653,1:49.944,1:49.412,1:49.372,1:49.148,1:48.663,1:48.685,2:07.443,2:44.410,2:41.080,2:41.288,2:37.946,2:33.064,1:48.977,1:48.672,1:48.574,1:48.302,1:48.437,1:48.597,1:49.344,1:49.080,1:49.614,1:49.643,1:48.277,1:48.397,1:48.405,1:49.698,1:52.160,2:07.301,1:47.991,1:48.229,1:47.207,1:47.563,1:47.312,1:46.966,1:47.351,1:49.029,2:13.672,2:14.856,2:26.548,2:31.636,1:47.212,1:46.514,1:46.193,1:46.167,1:45.623,1:45.462,1:45.401,1:45.370,1:45.565,1:45.352,1:45.118,1:45.523,1:44.833
Bruno Senna (SEN),2:05.741,1:53.890,1:52.502,1:52.543,1:52.004,1:51.058,1:50.419,1:49.910,2:14.452,2:20.836,2:39.337,2:42.942,2:35.795,2:29.724,1:52.130,1:50.772,1:50.233,1:49.723,1:49.826,1:49.139,1:49.885,1:49.091,1:49.175,1:48.853,1:48.795,1:48.629,1:47.956,1:47.814,1:47.761,1:48.180,1:47.939,1:48.984,2:09.092,1:47.021,1:46.527,1:46.682,1:46.500,1:47.178,2:14.352,2:12.410,2:22.437,2:31.183,1:47.998,1:46.940,1:46.679,1:46.762,1:46.482,1:46.390,1:45.693,1:46.243,1:45.787,1:45.754,1:45.781,1:46.164,1:46.116
Vitaly Petrov (PET),2:03.831,1:54.925,1:52.463,1:52.983,1:52.107,1:52.522,1:51.811,1:52.741,2:16.725,2:17.657,2:38.278,2:42.555,2:35.647,2:29.197,1:53.343,1:51.630,1:51.064,1:53.474,1:51.180,1:51.102,1:50.845,1:50.797,1:51.060,1:51.229,1:50.856,1:50.569,1:52.496,2:09.520,1:49.884,1:49.526,1:49.547,1:49.581,1:49.216,1:49.033,1:49.332,1:49.166,1:49.229,2:00.901,2:16.084,1:53.611,1:51.436,2:26.474,1:51.080,1:49.530,1:48.864,1:48.390,1:48.478,1:48.503,1:48.637,1:48.308,1:48.368,1:49.263,1:49.408,1:49.075,1:49.731
Kamui Kobayashi (KOB),1:58.078,1:51.109,1:50.395,1:51.601,1:50.161,1:49.891,1:49.447,1:49.680,2:10.163,2:36.492,2:40.541,2:42.542,2:36.593,2:32.363,1:50.918,1:49.838,1:49.026,1:49.340,1:49.037,1:48.993,1:49.054,1:48.814,1:48.626,1:49.346,1:50.509,2:06.421,1:49.326,1:48.460,1:47.456,1:48.006,1:47.605,1:47.515,1:47.317,1:47.418,1:47.178,1:47.218,1:47.145,1:48.724,2:13.923,2:14.902,2:25.271,2:31.935,1:47.466,1:47.051,1:46.668,1:46.437,1:46.396,1:46.336,1:45.884,1:45.920,1:45.513,1:45.846,1:45.733,1:45.693,1:45.423
Romain Grosjean (GRO),2:25.273,2:14.929,1:50.004,1:49.538,1:49.212,1:49.584,1:49.120,1:54.135,2:15.551,2:12.063,2:19.103,2:43.129,2:35.428,2:28.811,1:52.222,1:51.808,1:50.369,1:50.490,1:49.243,1:48.509,1:48.781,1:48.550,1:48.411,1:48.770,1:48.521,1:48.614,1:48.227,1:48.090,1:47.804,1:48.367,1:48.504,1:48.182,1:47.789,1:48.093,1:47.846,1:47.521,1:48.272
