Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Charles Pic (PIC),2:18.491,2:13.882,2:21.749,2:43.560,2:22.322,2:26.371,2:36.336,2:42.696,52:12.060,2:54.589,2:51.066,2:42.221,2:42.847,2:13.040,2:15.811,2:40.534,2:07.134,2:07.323,2:07.098,2:05.450,2:05.292,2:04.923,2:05.285,2:04.239,2:04.502,2:04.193,2:02.960,2:02.283,2:01.684,2:01.508,2:00.648,1:59.937,1:59.649,1:59.501,2:00.559,2:00.479,1:58.848,1:59.077,2:02.128,2:27.704,1:53.635,1:50.927,1:48.997,1:48.936,1:47.461,1:46.899,1:48.947,1:45.784,1:45.515,1:44.813,1:44.929,1:45.919,1:45.672,1:48.523
Jean-Éric Vergne (VER),2:14.402,2:09.361,2:11.797,2:14.900,2:24.186,2:35.131,2:35.328,3:02.347,52:15.247,2:55.024,2:47.378,2:44.358,2:50.856,2:10.881,2:11.071,2:25.810,2:04.372,2:04.292,2:04.219,2:02.942,2:03.094,2:03.140,2:03.180,2:02.983,2:01.979,2:03.295,2:00.236,2:00.541,1:59.289,1:59.325,1:58.787,1:58.204,1:57.838,1:56.912,1:55.992,1:55.313,1:54.667,1:54.565,1:54.171,1:58.585,2:07.080,1:45.645,1:44.567,1:43.587,1:43.271,1:42.818,1:42.544,1:43.923,1:42.493,1:43.193,1:42.161,1:42.347,1:42.388,1:42.670,1:41.922,1:42.190
Daniel Ricciardo (RIC),2:15.995,2:10.299,2:13.782,2:19.635,2:34.823,2:31.118,2:32.413,3:01.952,52:13.863,2:54.258,2:49.616,2:41.485,2:45.998,2:13.854,2:28.594,2:05.037,2:05.360,2:05.155,2:04.060,2:03.164,2:02.479,2:03.338,2:03.674,2:02.422,2:06.347,2:17.472,2:00.716,2:00.039,1:59.759,1:59.446,2:00.651,1:58.810,1:57.849,1:58.764,1:59.242,1:57.200,2:01.203,2:12.338,1:49.800,1:50.899,1:46.230,1:45.784,1:45.181,1:44.656,1:43.972,1:43.810,1:44.235,1:42.811,1:42.362,1:41.992,1:41.817,1:42.327,1:42.986,1:41.756,1:42.290,1:43.522
Sergio Pérez (PER),2:13.327,2:26.230,2:09.943,2:10.036,2:12.859,2:15.411,2:50.730,3:02.944,52:18.842,2:52.553,2:47.143,2:45.847,2:51.940,2:04.969,2:08.031,2:24.569,2:02.591,2:01.719,2:02.417,2:01.673,2:01.133,2:01.557,2:01.315,2:00.925,2:00.139,2:00.606,1:59.371,2:00.793,1:58.534,1:58.209,1:57.647,1:56.538,1:56.270,1:55.772,1:55.054,1:54.738,1:54.018,1:53.434,1:53.164,1:53.831,1:56.602,2:08.281,1:44.172,1:42.758,1:43.066,1:41.749,1:41.854,1:41.493,1:42.189,1:46.921,1:41.355,1:41.487,1:41.037,1:41.021,1:41.484,1:41.784
Paul di Resta (DIR),2:13.340,2:13.366,2:29.457,2:13.148,2:16.598,2:31.421,2:34.497,3:01.696,52:12.966,2:55.436,2:48.748,2:42.924,2:48.471,2:13.775,2:26.320,2:04.782,2:04.921,2:04.066,2:03.531,2:03.191,2:02.952,2:03.162,2:03.460,2:02.550,2:01.866,2:01.705,2:00.291,2:00.130,1:59.493,1:59.120,1:58.526,1:58.289,1:58.023,1:57.027,1:56.229,1:55.515,1:54.964,1:54.835,1:58.677,2:07.785,1:48.703,1:46.615,1:45.220,1:45.460,1:43.795,1:43.329,1:43.189,1:42.878,1:42.755,1:42.552,1:42.210,1:42.500,1:42.262,1:41.969,1:41.819,1:43.715
Pastor Maldonado (MAL),2:09.760,2:07.289,2:10.571,2:14.693,2:24.173,2:53.952,2:33.630,3:02.870,52:12.375,2:54.931,2:48.381,2:42.475,2:48.011,2:13.531,2:28.795,2:24.118,2:04.677,2:03.755,2:02.957,2:02.668,2:02.207,2:02.365,2:02.319,2:01.739,2:01.333,2:01.759,2:00.855,2:00.695,1:59.505,1:59.014,1:58.918,1:58.276,1:57.512,1:57.588,1:56.836,1:55.985,1:55.620,1:54.177,1:57.773,2:06.080,1:43.967,1:44.583,1:43.102,1:43.040,1:43.136,1:43.004,1:42.832,1:42.912,1:42.949,1:42.642,1:42.237,1:42.468,1:42.282,1:53.177
Bruno Senna (SEN),2:34.869,2:34.817,2:09.482,2:13.115,2:16.925,2:23.621,2:38.123,2:55.080,52:12.207,2:54.892,2:51.645,2:41.605,2:46.038,2:26.064,2:07.455,2:05.931,2:05.225,2:05.719,2:05.541,2:03.793,2:01.380,2:03.026,2:01.456,2:01.794,2:01.542,2:01.443,2:00.813,1:59.933,1:59.617,1:59.476,1:58.808,1:58.209,1:57.972,1:56.189,1:55.721,1:55.367,1:55.022,1:54.821,1:57.945,2:07.692,1:46.188,1:46.545,1:44.949,1:43.495,1:43.491,1:42.975,1:43.139,1:42.666,1:43.493,1:41.977,1:41.689,1:42.026,1:41.694,1:41.768,1:41.404,1:41.607
Vitaly Petrov (PET),2:16.726,2:10.744,2:13.669,2:21.281,2:35.296,2:29.445,2:34.502,2:59.831,52:12.785,2:54.400,2:50.751,2:40.685,2:50.769,2:32.116,2:07.925,2:05.936,2:04.639,2:04.272,2:04.335,2:03.781,2:03.730,2:03.440,2:03.030,2:02.600,2:02.976,2:02.751,2:02.178,2:02.346,2:02.716,2:01.596,2:00.429,1:59.758,1:59.313,1:58.718,1:58.384,1:58.872,1:58.196,1:58.149,2:00.777,2:16.197,1:47.880,1:47.006,1:47.608,1:45.486,1:44.819,1:44.399,1:44.469,1:44.029,1:44.044,1:45.508,1:44.789,1:43.513,1:43.924,1:43.964,1:43.688
Nico Hülkenberg (HUL),2:13.710,2:09.349,2:10.901,2:17.633,2:35.023,2:29.049,2:34.233,3:02.985,52:14.832,2:53.257,2:48.466,2:43.452,2:49.307,2:11.001,2:10.798,2:25.366,2:04.469,2:04.539,2:03.748,2:03.483,2:03.302,2:03.197,2:03.407,2:02.784,2:01.842,2:02.614,2:02.413,2:00.513,1:59.945,1:59.309,1:57.993,1:58.322,1:57.693,1:57.036,1:55.685,1:55.234,1:54.586,1:54.593,1:54.208,1:57.231,2:06.130,1:45.915,1:44.651,1:43.855,1:43.394,1:43.080,1:42.445,1:43.182,1:42.940,1:42.683,1:42.173,1:42.589,1:42.231,1:42.382,1:42.327,1:42.219
Kamui Kobayashi (KOB),2:11.587,2:08.004,2:11.984,2:14.660,2:26.926,2:49.212,2:33.392,3:02.494,52:12.679,2:55.036,2:48.323,2:42.536,2:50.931,2:28.977,2:07.135,2:05.978,2:05.369,2:06.786,2:04.486,2:05.503,2:03.931,2:02.825,2:02.371,2:02.307,2:02.145,2:01.376,2:00.945,2:00.579,2:00.206,1:59.073,1:57.450,1:57.541,1:57.600,1:56.706,1:56.343,1:55.680,1:55.582,1:54.675,1:54.883,2:04.011,2:13.812,1:45.295,1:45.234,1:44.202,1:45.368,2:06.986
Romain Grosjean (GRO),2:19.773,2:08.464,2:12.909
