Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Ralph Firman,1:38.219,1:27.158,1:27.979,1:27.469,1:27.845,1:39.244,2:25.770,1:26.806,1:27.444,1:26.054,1:26.677,1:30.671,1:33.321,2:00.469,2:27.571,1:26.778,1:27.117,1:26.587,1:26.127,1:26.340,1:26.682,1:26.335,1:26.161,1:26.663,1:28.303,1:27.558,1:25.778,1:25.485,1:25.810,1:26.354,1:26.615,1:26.660,1:25.087,1:25.510,1:31.367,1:51.462,1:26.048,1:26.473,1:26.117,1:26.215,1:26.496,1:26.441,1:26.524,1:26.905,1:26.130,1:25.919,1:25.886,1:25.947,1:25.458,1:25.265,1:25.769,1:26.256,1:25.346,1:25.160,1:25.556,1:27.253,1:26.014,1:26.420,1:27.220
Justin Wilson,1:38.448,1:27.464,1:28.193,1:27.730,1:27.729,1:34.092,2:26.526,1:26.441,1:25.859,1:26.421,1:26.504,1:34.279,1:56.988,1:49.005,2:23.661,1:26.683,1:27.480,1:27.968,1:27.882,1:27.946,1:27.629,1:27.650,1:27.449,1:28.503,1:27.900,1:27.326,1:27.302,1:27.028,1:34.493,2:06.578,1:28.376,1:28.092,1:29.138,1:28.467,1:27.843,1:27.783,1:29.961,1:29.495,1:28.675,1:27.690,1:28.561,1:28.694,1:27.563,1:29.017,1:27.565,1:28.023,1:28.168,1:27.236,1:27.931,1:27.038,1:26.562,1:26.630,1:26.595,1:26.577,1:29.976,1:27.985,1:27.287,1:28.077
Jos Verstappen,1:37.850,1:27.021,1:27.881,1:27.445,1:30.394,1:33.335,2:26.909,1:28.275,1:29.853,1:28.393,1:28.200,1:31.517,1:35.462,2:06.222,2:22.694,1:27.665,1:27.357,1:27.757,1:27.579,1:28.145,1:27.867,1:28.206,1:28.997,1:28.342,1:28.100,1:28.345,1:28.683,1:27.781,1:28.470,1:28.038,1:28.333,1:28.000,1:27.959,1:27.555,1:27.553,1:33.604,1:52.531,1:28.365,1:28.253,1:29.155,1:27.216,1:27.579,1:30.305,1:28.206,1:27.525,1:29.359,1:27.875,1:28.016,1:27.981,1:29.454,1:27.921,1:28.349,1:27.269,1:27.155,1:27.298,1:27.495,1:27.249,1:30.048
Heinz-Harald Frentzen,1:39.760,1:26.670,1:27.261,1:27.038,1:25.316,1:32.739,2:31.266,1:25.720,1:24.963,1:25.000,1:25.502,1:35.387,2:05.520,1:46.188,2:22.609,1:26.487,1:26.553,1:26.592,1:25.855,1:26.889,1:27.375,1:26.625,1:26.184,1:26.811,1:26.602,1:26.109,1:26.067,1:26.092,1:27.353,1:26.834,1:25.703,1:24.966,1:24.878,1:25.481,1:25.080,1:24.701,1:25.037,1:24.950,1:31.595,1:48.114,1:25.233,1:25.304,1:25.343,1:27.859,1:25.416,1:26.234,1:25.429,1:24.735,1:25.043,1:25.185,1:25.005,1:24.994,1:25.207,1:24.270,1:24.433,1:24.598,1:24.293,1:23.933,1:24.427,1:26.305
Olivier Panis,1:35.374,1:25.581,1:25.527,1:25.286,1:25.448,1:35.453,2:39.217,1:27.871,1:25.750,1:25.748,1:26.026,1:27.767,1:29.065,2:03.453,2:32.420,1:26.186,1:25.752,1:24.901,1:24.647,1:25.184,1:25.438,1:25.561,1:26.061,1:25.602,1:25.722,1:25.249,1:25.128,1:24.875,1:25.566,1:27.461,1:32.988,1:44.076,1:24.908,1:25.585,1:25.386,1:25.229,1:26.939,1:25.007,1:25.307,1:26.365,1:24.353,1:25.045,1:25.859,1:26.064,1:31.576,1:44.725,1:23.463,1:25.622,1:24.107,1:24.987,1:26.231,1:25.033,1:25.299,1:24.701,1:25.003,1:25.159,1:24.816,1:24.366,1:25.179,1:26.064
Cristiano da Matta,1:32.433,1:24.686,1:24.325,1:24.027,1:24.497,1:36.438,2:44.781,1:25.848,1:25.811,1:26.545,1:26.572,1:28.021,1:29.266,2:03.484,2:32.423,1:24.657,1:24.555,1:24.877,1:24.591,1:24.600,1:24.565,1:24.725,1:24.678,1:25.011,1:24.533,1:24.415,1:24.418,1:24.493,1:25.018,1:30.798,1:45.214,1:23.528,1:23.934,1:26.143,1:24.528,1:24.703,1:24.507,1:24.589,1:24.708,1:24.632,1:24.843,1:24.757,1:24.628,1:30.746,1:46.535,1:24.900,1:25.439,1:26.877,1:25.702,1:25.440,1:27.291,1:24.872,1:24.707,1:24.915,1:25.166,1:24.635,1:24.732,1:25.367,1:24.897,1:24.613
Antônio Pizzonia (PIZ),1:33.688,1:25.047,1:24.800,1:24.781,1:25.181,1:32.340,2:46.085,1:48.734,1:23.158,1:24.414,1:25.306,1:30.685,1:30.390,1:54.877,2:25.212,1:27.232,1:26.174,1:26.663,1:26.543,1:26.030,1:25.931,1:26.493,1:26.103,1:26.054,1:32.519,1:46.854,1:23.573,1:24.420,1:25.153,1:24.221,1:24.846,1:24.202
Jacques Villeneuve (VIL),1:34.484,1:24.979,1:25.005,1:25.176,1:25.260,1:32.884,2:38.920,1:25.076,1:24.416,1:24.558,1:24.315,1:32.051,1:54.827,1:56.774,2:25.681,1:27.194,1:25.833,1:26.532,1:26.598,1:27.056,1:26.184,1:26.667,1:26.344,1:28.466,1:26.011,1:27.107,1:25.460,1:25.776,1:25.720,1:25.973,1:28.070,1:25.772,1:24.980,1:25.595,1:25.025,1:24.498,1:24.563,1:25.151,1:24.670,1:25.099,1:30.338,1:48.111,1:24.346,1:24.406,1:25.796,1:24.705,1:24.623,1:25.924,1:24.911,1:24.381,1:24.317,1:24.040,1:24.198,1:24.222,1:23.824,1:24.122,1:23.705,1:23.961,1:41.500,1:24.943
Juan Pablo Montoya (MON),1:31.120,1:24.032,1:23.953,1:23.984,1:23.871,1:37.541,2:39.888,1:24.921,1:23.592,1:23.425,1:23.302,1:35.665,2:00.503,1:54.278,2:24.831,1:25.015,1:25.808,1:23.924,1:24.744,1:24.837,1:25.525,1:26.723,1:24.964,1:25.188,1:25.968,1:25.767,1:24.860,1:24.228,1:24.669,1:24.949,1:24.573,1:23.363,1:22.938,1:23.438,1:23.843,1:23.336,1:23.284,1:29.540,1:46.649,1:27.023,1:23.404,1:23.634,1:23.925,1:23.971,1:24.444,1:24.021,1:23.818,1:24.176,1:23.890,1:24.170,1:24.047,1:23.768,1:23.939,1:24.243,1:24.172,1:24.264,1:24.284,1:24.769,1:24.699,1:25.316
Michael Schumacher (MSC),1:30.540,1:23.938,1:23.850,1:23.886,1:23.854,1:37.412,2:40.772,1:24.512,1:23.473,1:23.024,1:23.603,1:33.686,2:05.314,1:55.172,2:23.935,1:25.350,1:26.327,1:26.694,1:26.659,1:26.438,1:26.783,1:26.111,1:26.492,1:28.314,1:25.981,1:26.704,1:25.513,1:25.528,1:26.067,1:25.785,1:26.231,1:24.548,1:23.099,1:23.627,1:23.559,1:23.375,1:23.236,1:23.642,1:24.540,1:30.908,1:46.401,1:23.668,1:23.520,1:24.969,1:25.385,1:24.770,1:25.416,1:26.170,1:23.319,1:23.935,1:23.778,1:23.959,1:23.942,1:23.921,1:24.214,1:23.567,1:23.474,1:23.050,1:23.729,1:23.533
Ralf Schumacher (SCH),1:29.998,1:23.885,1:23.769,1:23.739,1:23.795,1:37.675,2:40.854,1:24.617,1:23.227,1:22.943,1:23.565,1:30.559,1:55.421,1:59.577,2:28.043,1:26.277,1:27.477,1:26.852,1:32.579,1:44.797,1:23.128,1:23.790,1:24.205,1:23.997,1:24.021,1:24.668,1:26.067,1:26.041,1:26.081,1:23.868,1:25.048,1:25.682,1:25.525,1:24.839,1:24.788,1:24.395,1:24.614,1:25.198,1:30.758,1:47.463,1:28.784,1:24.427,1:25.076,1:25.869,1:25.562,1:24.689,1:25.389,1:24.881,1:24.343,1:25.018,1:24.795,1:24.647,1:24.404,1:24.619,1:24.494,1:24.151,1:25.037,1:24.860,1:24.713,1:26.003
Rubens Barrichello (BAR),1:29.385,1:23.512,1:22.855,1:23.431,1:23.793,1:37.393,2:42.889,1:23.846,1:22.719,1:23.216,1:23.413,1:29.201,1:59.270,2:01.725,2:26.440,1:25.032,1:26.370,1:24.102,1:24.992,1:24.853,1:25.321,1:27.039,1:24.818,1:25.147,1:25.920,1:25.105,1:24.441,1:24.901,1:24.834,1:24.121,1:23.669,1:23.190,1:22.622,1:23.628,1:22.892,1:22.897,1:22.525,1:22.236,1:27.933,1:46.042,1:23.876,1:25.686,1:24.120,1:24.409,1:24.625,1:24.176,1:23.642,1:23.786,1:24.291,1:23.883,1:24.242,1:24.310,1:23.940,1:24.486,1:24.612,1:24.646,1:24.932,1:25.482,1:24.996,1:25.696
Giancarlo Fisichella (FIS),1:37.438,1:26.265,1:25.589,1:25.878,1:25.926,1:37.424,2:30.813,1:25.830,1:24.839,1:24.863,1:25.566,1:33.748,1:58.763,1:52.117,2:23.835,1:25.743,1:25.863,1:26.489,1:26.857,1:29.017,1:27.369,1:26.171,1:25.904,1:26.009,1:26.215,1:25.835,1:26.016,1:25.683,1:26.031,1:25.659,1:26.408,1:26.971,1:25.313,1:25.654,1:25.222,1:24.826,1:24.895,1:31.392,1:49.168,1:24.823,1:25.369,1:25.456,1:25.262,2:55.466
Jenson Button (BUT),1:36.687,1:25.937,1:25.622,1:25.691,1:25.923,1:33.580,2:34.689,1:25.739,1:24.905,1:24.703,1:24.993,1:36.532,2:03.512,1:49.171,2:22.260,1:26.578,1:25.850,1:25.992,1:25.933,1:27.946,1:25.738,1:25.460,1:25.800,1:26.613,1:27.046,1:26.513,1:25.624,1:25.771,1:25.850,1:25.862,1:27.172,1:25.987,1:25.432,1:26.216,1:24.724,1:24.571,1:24.468,1:25.405,1:24.553,1:24.206,1:24.781,1:29.504,1:46.139,1:24.143,1:25.229,1:24.306,1:24.735,1:24.021,1:24.391,1:24.319,1:24.103,1:24.325,1:23.912,1:24.652,1:24.927,1:24.947,1:24.721,1:25.289,1:24.727,1:24.607
