Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Nicolas Kiesa,1:52.669,1:40.183,1:39.711,1:40.289,1:39.143,1:38.754,1:39.043,1:38.787,1:44.034,1:41.226,1:46.758,2:10.929,1:39.762,1:40.906,1:41.458,1:40.296,1:41.415,1:41.592,1:46.244,1:42.393,1:42.460,1:40.672,1:41.182,1:42.619,1:40.241,1:41.194,1:40.289,1:40.070,1:39.710,1:39.930,1:44.169,2:09.259,1:40.919,1:41.495,1:40.183,1:40.662,1:41.849,1:39.567,1:44.090,1:41.160,1:41.339,1:39.853,1:41.231,1:41.566,1:39.844,1:39.692,1:39.662,1:42.080,1:39.433,1:39.301
Ralph Firman,1:51.872,1:38.337,1:37.907,1:37.252,1:37.341,1:38.134,1:37.335,1:37.165,1:38.111,1:38.496,1:37.755,1:37.957,1:42.033,2:10.118,1:36.662,1:36.776,1:37.125,1:37.100,1:37.360,1:37.493,1:37.149,1:37.053,1:37.051,1:37.737,1:46.453,2:06.621,1:40.762,1:39.905,1:38.881,1:39.072,1:40.061,1:40.119,1:43.346,1:40.269,1:39.135,1:40.085,1:39.537,1:40.532,1:39.032,1:40.462,1:39.317,1:39.687,1:38.251,1:38.287,1:38.920,1:37.988,1:37.742,1:37.613,1:37.616,1:45.453,1:44.307
Justin Wilson,1:45.742,1:38.378,1:37.618,1:37.895,1:38.013,1:37.043,1:36.546,1:36.154,1:39.944,1:57.088,1:35.014,1:35.951,1:35.883,1:36.496,1:36.018,1:36.991,1:36.294,1:36.269,1:36.189,1:35.843,1:40.138,1:56.941,1:35.670,1:36.279,1:36.489,1:36.334,1:36.402,1:36.321,1:36.396,1:36.173,1:36.046,1:36.080,1:36.148,1:39.573,1:59.053,1:37.399,1:37.608,1:38.376,1:37.760,1:38.109,1:38.442,1:38.495,1:38.736,1:38.567,1:39.526,1:39.007,1:38.494,1:40.528,1:42.594,1:39.771,1:39.063,1:41.098
Jos Verstappen,2:08.811,1:38.964,1:38.983,1:39.321,1:39.232,1:39.092,1:39.578,1:40.294,1:42.010,1:41.006,1:40.555,1:39.836,1:39.401,1:39.971,1:39.406,1:39.620,1:39.901,1:39.630,1:44.062,2:09.023,1:40.771,1:39.026,1:38.956,1:41.017,1:42.279,1:39.392,1:38.971,1:39.572,1:39.029,1:38.783,1:40.159,1:38.989,1:38.818,1:38.591,1:38.349,1:38.468,1:44.703,2:00.978,1:38.238,1:38.026,1:40.703,1:38.606,1:38.149,1:38.178,1:38.379,1:39.187,1:40.703,1:39.109,1:38.755,1:38.696,1:37.869
Heinz-Harald Frentzen,1:49.607,1:37.690,1:37.235,1:37.138,1:37.212,1:37.117,1:36.601,1:38.341,2:05.815
Olivier Panis,1:44.295,1:37.182,1:36.891,1:36.446,1:36.608,1:36.668,1:36.160,1:36.236,1:37.080,1:36.107,1:40.170,1:55.082,1:36.404,1:35.653,1:35.715,1:35.830,1:36.852,1:36.170,1:35.919,1:36.279,1:36.154,1:36.004,1:35.872,1:35.663,1:39.576,1:56.026,1:35.394,1:36.222,1:36.487,1:36.669,1:37.392,1:35.953,1:36.372,1:35.952,1:36.942,1:36.170,1:36.025,1:35.921,1:39.990,1:55.007,1:35.732,1:36.031,1:37.306,1:35.780,1:35.986,1:35.841,1:35.985,1:35.736,1:35.928,1:35.549,1:35.637,1:35.515,1:35.023
Cristiano da Matta,1:42.555,1:36.725,1:36.447,1:36.634,1:36.624,1:36.423,1:36.284,1:36.185,1:35.995,1:40.534,1:56.108,1:36.567,1:35.744,1:37.090,1:35.611,1:35.192,1:35.524,1:35.637,1:35.554,1:35.539,1:35.509,1:35.524,1:35.575,1:38.993,1:55.889,1:35.389,1:35.703,1:35.535,1:36.021,1:35.872,1:36.104,1:35.973,1:36.293,1:35.684,1:35.482,1:35.871,1:35.561,1:39.223,1:57.234,1:36.028,1:37.406,1:37.226,1:36.577,1:36.171,1:35.988,1:36.248,1:36.525,1:36.213,1:35.985,1:35.711,1:35.543,1:35.870,1:36.639
Juan Pablo Montoya (MON),1:40.489,1:33.830,1:33.885,1:34.178,1:34.779,1:34.590,1:34.385,1:34.377,2:43.178
Michael Schumacher (MSC),1:46.673,1:37.785,1:37.484,1:35.649,1:36.661,1:44.632,2:07.068,1:34.749,1:40.985,1:35.580,1:36.046,1:34.690,1:34.159,1:33.553,1:33.686,1:34.318,1:36.419,1:34.741,1:35.293,1:35.923,1:36.427,1:34.218,1:34.407,1:39.439,1:54.630,1:34.796,1:34.297,1:35.166,1:35.957,1:35.977,1:33.707,1:35.342,1:35.680,1:34.374,1:33.764,1:35.101,1:38.898,1:55.548,1:37.072,1:35.908,1:37.605,1:36.936,1:36.822,1:36.316,1:36.187,1:36.585,1:36.265,1:36.347,1:36.104,1:35.995,1:36.045,1:35.952,1:37.269
Ralf Schumacher (SCH),1:47.785,1:49.443,1:37.570,1:35.574,1:34.102,1:35.083,1:35.377,1:38.184,1:39.171,1:35.361,1:35.006,1:33.968,1:34.464,1:39.397,1:53.630,1:35.621,1:34.312,1:35.339,1:36.101,1:36.093,1:36.244,1:36.355,1:35.883,1:40.054,1:52.362,1:35.323,1:35.049,1:36.328,1:35.444,1:34.549,1:35.034,1:35.591,1:34.081,1:34.369,1:34.800,1:35.684,1:35.643,1:39.755,1:56.917,1:36.112,2:06.143,2:00.878,1:33.408,1:33.519,1:34.390,1:35.147,1:34.414,1:34.743,1:34.957,1:35.181,1:34.702,1:37.711
