Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Zsolt Baumgartner,1:54.706,1:38.739,1:35.969,1:32.465,1:30.485,1:29.588,1:28.486,1:27.904,1:28.059,1:30.655,1:27.641,1:28.169,1:32.103,1:55.614,1:28.829,1:27.973,1:30.338,1:28.220,1:28.029,1:27.755,1:28.277,1:29.454,1:28.565,1:29.027,1:27.563,1:27.235,1:28.257,1:27.012,1:26.575,1:26.616,1:26.356,1:31.138,1:52.772,1:27.951,1:28.023,1:29.055,1:28.350,1:28.618,1:30.251,1:31.601,1:28.902,1:27.975,1:28.532,1:27.136,1:26.504,1:30.558,1:26.488,1:26.660,1:26.893,1:29.902
Gianmaria Bruni,1:49.405,1:37.290,1:33.095,1:31.995,1:32.555,1:32.416,1:35.789,1:56.320,1:28.410,1:29.561,1:29.710,1:27.928,1:28.472,1:29.699,1:30.515,1:30.317,1:29.493,1:28.331,1:27.380,1:29.066,1:28.900,1:27.115,1:27.743,1:26.371,1:27.097,1:28.017,1:27.582,1:26.866,1:30.865
Giorgio Pantano,1:51.307,1:37.781,1:35.070,1:31.969,1:30.415,1:27.942,1:27.077,1:26.689,1:25.884,1:25.192,1:24.629,1:24.383,1:24.061,1:27.967,1:49.512,1:25.894,1:26.217,1:25.970,1:26.095,1:25.521,1:25.203,1:25.341,1:25.109,1:25.249,1:27.083,1:25.101,1:24.578,1:24.443,1:24.312,1:25.081,1:25.995,1:26.742,1:30.392
Antônio Pizzonia (PIZ),2:06.256,1:31.335,1:31.781,1:27.236,1:27.032,1:26.408,1:24.552,1:25.018,1:24.876,1:23.609,1:23.399,1:24.712,1:23.430,1:23.023,1:22.994,1:27.701,1:47.643,1:22.950,1:23.328,1:24.473,1:25.063,1:24.583,1:23.315,1:23.010,1:22.891,1:22.839,1:22.886,1:22.502,1:22.819,1:23.366,1:22.584,1:22.246,1:22.307,1:24.614,1:27.864,1:47.014,1:22.483,1:23.332,1:23.351,1:23.688,1:25.301,1:23.672,1:23.451,1:23.900,1:23.745,1:23.261,1:23.943,1:23.313,1:23.229,1:23.163,1:22.689,1:24.909,1:23.111
Ricardo Zonta (ZON),1:48.966,1:38.630,1:35.546,1:31.942,1:28.851,1:27.521,1:25.717,1:25.049,1:24.982,1:24.137,1:24.710,1:24.139,1:28.216,1:49.698,1:25.132,1:25.861,1:25.345,1:24.321,1:25.065,1:24.735,1:24.601,1:25.639,1:24.361,1:24.394,1:23.935,1:24.405,1:26.280,1:25.483,1:24.007,1:24.705,1:24.274,1:23.791,1:27.461,1:48.453,1:23.639,1:24.499,1:24.392,1:24.510,1:26.074,1:24.423,1:24.388,1:24.527,1:24.331,1:24.195,1:24.488,1:24.138,1:23.912,1:24.305,1:23.632,1:23.578,1:24.244,1:23.410,1:23.942
Christian Klien (KLI),1:47.488,1:35.805,1:31.029,1:29.292,1:27.310,1:26.397,1:25.283,1:24.386,1:23.831,1:23.714,1:27.384,1:51.251,1:25.855,1:26.491,1:24.496,1:26.817,1:25.822,1:24.784,1:24.901,1:24.966,1:25.886,1:24.747,1:25.358,1:24.736,1:24.892,1:23.777,1:25.113,1:24.845,1:23.432,1:23.788,1:27.742,1:48.864,1:24.256,1:25.490,1:24.675,1:29.335,1:40.079,1:24.995,1:26.701,1:25.157,1:25.450,1:27.273,1:25.431,1:25.449,1:24.495,1:26.091,1:24.763,1:24.538,1:23.938,1:23.886,1:24.091,1:23.649
Juan Pablo Montoya (MON),1:39.768,1:31.767,1:30.335,1:29.315,1:26.287,1:24.787,1:24.571,1:24.053,1:23.926,1:23.125,1:23.573,1:23.015,1:26.203,1:49.345,1:24.477,1:24.749,1:23.790,1:23.535,1:23.945,1:23.600,1:23.671,1:23.607,1:23.481,1:23.583,1:23.018,1:23.083,1:23.432,1:23.163,1:23.157,1:23.187,1:23.120,1:22.929,1:26.875,1:49.748,1:25.341,1:27.718,1:25.989,1:25.164,1:24.409,1:24.421,1:24.523,1:24.165,1:23.744,1:23.730,1:23.940,1:23.297,1:23.914,1:24.125,1:24.173,1:24.914,1:24.538,1:26.524,1:25.951
Michael Schumacher (MSC),1:53.635,1:34.762,1:35.057,1:29.588,1:29.352,1:26.033,1:25.521,1:25.033,1:23.851,1:23.926,1:22.783,1:21.973,1:22.170,1:23.089,1:28.189,1:48.097,1:23.678,1:24.109,1:24.914,1:24.467,1:23.261,1:23.965,1:22.471,1:22.560,1:22.484,1:22.399,1:22.317,1:21.899,1:21.996,1:22.013,1:22.385,1:21.801,1:21.535,1:21.536,1:21.361,1:25.247,1:45.624,1:22.054,1:21.974,1:22.519,1:22.417,1:23.346,1:23.198,1:23.085,1:22.442,1:22.224,1:22.376,1:23.417,1:22.544,1:23.193,1:23.112,1:23.067,1:23.746
Rubens Barrichello (BAR),1:32.378,1:29.719,1:29.641,1:30.480,1:34.323,1:50.545,1:25.443,1:24.747,1:25.079,1:24.243,1:24.632,1:24.241,1:24.732,1:24.241,1:24.148,1:24.148,1:23.832,1:23.200,1:23.420,1:23.180,1:23.145,1:23.089,1:23.081,1:23.310,1:24.183,1:23.143,1:23.967,1:22.563,1:26.306,1:43.273,1:21.778,1:21.825,1:22.343,1:21.747,1:21.736,1:21.647,1:21.673,1:21.380,1:21.681,1:21.279,1:21.046,1:24.935,1:41.818,1:22.506,1:23.283,1:23.248,1:23.270,1:23.198,1:23.010,1:23.054,1:22.951,1:23.260,1:23.348
Giancarlo Fisichella (FIS),1:50.854,1:37.126,1:34.161,1:30.370,1:28.899,1:26.577,1:25.638,1:25.244,1:25.447,1:25.452,1:24.447,1:23.925,1:23.841,1:23.931,1:23.703,1:24.068,1:23.736,1:23.242,1:26.887,1:47.457,1:24.221,1:24.073,1:24.863,1:23.315,1:23.148,1:23.114,1:23.190,1:22.962,1:22.942,1:22.920,1:23.465,1:22.957,1:22.876,1:24.334,1:24.534,1:24.223,1:28.362,1:46.084,1:24.018,1:23.118,1:23.561,1:23.896,1:23.112,1:22.946,1:22.911,1:22.909,1:24.351,1:22.634,1:22.983,1:22.629,1:22.615,1:22.855,1:22.753
