Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Zsolt Baumgartner,2:48.708,3:22.275,3:10.106,3:03.272,1:53.866,1:53.237,1:54.895,1:52.187,1:51.356,1:51.552,1:51.681,1:55.546,1:53.369,1:52.140,1:51.504,2:01.324,2:09.167,1:51.900,1:53.340,1:51.657,1:51.636,1:52.794,1:51.799,1:51.843,1:51.031,1:51.857,1:53.954,1:51.086
Olivier Panis,3:02.123,3:09.782,3:09.748,3:03.540,1:53.228,1:53.541,1:49.297,1:49.552,1:48.942,1:48.973,1:48.351,1:51.273,1:50.366,1:49.178,1:49.144,1:49.143,1:48.388,1:48.846,1:58.665,2:03.081,1:47.912,1:48.411,1:48.232,1:48.267,1:48.176,1:48.228,1:48.922,1:48.294,1:47.765,1:59.681,2:25.811,3:08.454,3:04.210,3:06.680,1:52.544,1:50.137,1:49.753,1:48.440,1:52.324,2:58.679,3:08.392,1:51.077,1:49.596,1:48.821
Antônio Pizzonia (PIZ),2:35.075,3:32.722,3:09.894,3:02.547,1:49.418,1:48.180,1:47.677,1:48.023,1:47.644,1:47.379,1:47.430,1:50.749,1:49.411,1:48.477,1:47.362,1:47.255,1:56.880,2:03.930,1:47.096,1:48.298,1:47.524,1:47.090,1:47.609,1:47.718,1:47.139,1:46.740,1:47.420,1:48.210,1:47.038,1:56.193,3:00.395
Ricardo Zonta (ZON),2:37.479,3:31.158,3:10.798,3:02.974,1:51.185,1:49.512,1:49.149,1:49.048,1:49.182,1:49.252,1:49.016,1:50.922,1:49.698,1:48.596,1:48.371,1:57.522,2:03.408,1:48.060,1:49.049,1:48.641,1:48.527,1:48.991,1:48.452,1:48.525,1:47.814,1:47.576,1:48.007,1:47.682,1:48.094,1:59.041,2:35.802,3:08.954,3:04.594,3:06.521,1:49.061,1:48.123,1:48.531,1:48.117,1:48.220,3:08.494,3:09.171
Christian Klien (KLI),2:36.105,3:31.782,3:10.633,3:02.331,1:49.221,1:48.380,1:47.838,1:47.892,1:56.975,2:01.822,1:47.509,1:50.013,1:49.665,1:49.498,1:49.339,1:49.350,1:49.513,1:49.340,1:49.222,1:57.817,2:02.062,1:48.340,1:48.247,1:48.473,1:48.981,1:48.776,1:48.842,1:48.852,1:58.007,2:07.235,2:04.824,3:07.553,3:04.129,3:05.744,1:51.803,1:48.387,1:48.297,1:48.166,1:49.896,3:04.294,3:08.655,1:49.882,1:48.072,1:48.126
Juan Pablo Montoya (MON),2:33.769,3:28.750,3:13.347,3:01.400,1:49.331,1:46.576,1:46.928,1:47.164,1:46.797,1:46.556,1:46.908,1:50.226,1:49.802,1:48.272,1:57.332,2:04.483,1:48.103,1:48.264,1:49.272,1:52.992,1:47.734,1:47.603,1:47.189,1:47.321,1:47.448,1:47.413,1:47.084,1:47.699,1:56.511,2:04.859,2:41.970,3:09.947,3:04.701,3:06.628,1:47.146,1:46.547,3:34.523
Michael Schumacher (MSC),2:32.092,3:28.199,3:13.037,3:02.661,1:50.930,1:47.418,1:47.249,1:46.885,1:46.694,1:46.854,1:46.837,1:50.599,1:49.655,1:48.270,1:47.366,1:55.491,2:03.353,1:48.257,1:46.744,1:46.762,1:46.588,1:47.125,1:47.287,1:46.992,1:47.157,1:46.234,1:45.728,1:45.503,1:45.656,1:54.863,3:19.042,3:09.693,3:04.048,3:08.497,1:46.518,1:46.186,1:46.114,1:46.054,1:45.967,3:16.597,3:11.482,1:46.681,1:46.403,1:46.638
Rubens Barrichello (BAR),3:00.696,3:16.812,4:28.716,1:51.688,1:48.439,1:48.727,1:50.540,1:49.005,1:48.104,1:48.036,1:47.644,1:51.275,1:49.493,1:49.657,1:49.201,1:49.121,1:48.349,1:48.719,1:49.068,1:47.933,1:48.015,1:46.712,1:56.116,2:07.663,1:48.763,1:48.141,1:48.544,1:48.055,1:47.979,1:49.951,2:28.797,3:10.047,3:04.494,3:06.560,1:48.133,1:46.735,1:46.546,1:46.241,1:46.113,3:16.462,3:09.463,1:47.358,1:45.666,1:45.868
Giancarlo Fisichella (FIS),2:34.477,3:28.860,3:13.866,3:01.826,1:49.941,1:48.004,1:47.177,1:46.962,1:46.841,1:47.434,1:46.758,1:49.941,1:49.530,1:57.965,2:05.640,1:48.267,1:48.154,1:49.488,1:50.728,1:48.870,1:48.208,1:49.125,1:49.397,1:48.504,1:48.314,1:57.978,2:10.667,1:49.262,1:49.208,1:51.707,2:20.088,3:09.285,3:04.135,3:06.930,1:52.142,1:48.359,1:48.224,1:48.024,1:48.807,3:04.921,3:09.536,1:49.798,1:47.909,1:48.121
Jenson Button (BUT),2:42.750,3:26.787,3:10.837,3:02.253,1:49.130,1:48.391,1:48.534,1:48.545,1:48.206,1:48.169,1:48.052,1:50.175,1:49.011,1:49.338,1:48.283,1:48.551,1:48.036,1:47.864,1:47.477,1:48.052,1:56.513,2:03.293,1:47.440,1:47.311,1:47.191,1:47.151,1:47.511,1:47.367,1:47.436
