Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Giancarlo Fisichella (FIS),1:30.057,1:17.458,1:17.077,1:16.753,1:16.362,1:16.235,1:16.600,1:16.305,1:16.200,1:16.117,1:16.650,1:16.632,1:16.348,1:17.411,1:17.531,1:16.997,1:16.609,1:16.758,1:16.372,1:17.792,1:18.700,1:34.512,1:15.802,1:16.252,1:16.329,1:16.270,1:16.647,1:17.965,1:16.173,1:16.184,1:16.670,1:16.309,1:16.279,1:16.099,1:15.986,1:15.640,1:15.953,1:15.899,1:15.635,1:16.448,1:16.488,1:15.722,1:15.786,1:17.911,1:35.187,1:17.508,1:16.690,1:16.975,1:17.497,1:16.553,1:16.184,1:16.488,1:16.374,1:16.082,1:16.072,1:16.085,1:16.137,1:16.490,1:16.010,1:16.351,1:18.025,1:15.916,1:15.758,1:15.924,1:16.368,1:17.353
Jenson Button (BUT),1:29.240,1:15.850,1:15.897,1:15.204,1:14.527,1:14.983,1:15.508,1:15.480,1:15.527,1:14.909,1:14.117,1:14.557,1:14.280,1:17.161,1:32.475,1:14.948,1:16.045,1:15.936,1:15.609,1:15.531,1:15.100,1:15.011,1:14.974,1:15.122,1:15.240,1:15.499,1:15.439,1:15.222,1:14.660,1:14.729,1:14.969,1:14.792,1:14.581,1:17.506,1:31.451,1:16.060,1:16.272,1:15.835,1:15.434,1:16.693,1:14.977,1:15.453,1:14.894,1:15.021,1:14.425,1:14.423,1:14.617,1:14.840,1:15.528,1:18.241,1:32.225,1:15.780,1:15.528,1:15.774,1:15.560,1:15.290,1:15.082,1:15.047,1:15.324,1:14.920,1:15.493,1:15.697,1:15.678,1:15.673,1:16.144,1:19.229
Mark Webber (WEB),1:24.503,1:15.830,1:15.673,1:16.498,1:15.862,1:15.487,1:15.585,1:15.295,1:15.310,1:14.892,1:14.950,1:17.622,1:32.308,1:16.733,1:16.816,1:16.857,1:16.551,1:16.272,1:16.961,1:17.321,1:16.185,1:17.918,1:17.227,1:16.854,1:16.687,1:16.490,1:15.416,1:14.919,1:18.322,1:31.106,1:15.512,1:14.895,1:15.063,1:15.655,1:15.734,1:15.445,1:15.614,1:15.792,1:16.370,1:15.840,1:17.368,1:15.562,1:15.544,1:15.616,1:17.708,1:34.052,1:15.590,1:15.901,1:16.297,1:16.425,1:16.062,1:16.072,1:16.127,1:15.994,1:15.781,1:16.118,1:15.873,1:15.715,1:15.833,1:15.766,1:15.605,1:15.729,1:15.202,1:14.954,1:14.883,1:15.809
Jarno Trulli (TRU),1:22.213,1:16.321,1:15.182,1:15.047,1:14.521,1:14.758,1:14.462,1:14.516,1:14.386,1:17.452,1:34.687,1:17.070,1:17.046,1:18.095,1:17.277,1:16.799,1:16.114,1:16.234,1:17.464,1:16.933,1:16.509,1:17.341,1:17.568,1:16.670,1:16.796,1:19.102,1:17.716,1:19.642,1:40.779,1:15.434,1:16.448,1:16.187,1:16.587,1:18.369,1:17.407,1:16.832,1:17.288,1:16.146,1:15.199,1:15.742,1:15.761,1:14.894,1:15.697,1:16.104,1:17.843,1:33.209,1:15.417,1:16.379,1:15.821,1:16.323,1:15.691,1:16.124,1:15.913,1:15.592,1:15.678,1:16.105,1:15.966,1:15.989,1:15.869,1:15.802,1:16.327,1:16.070,1:16.085,1:16.165,1:16.963,1:16.980
David Coulthard (COU),1:23.016,1:15.933,1:15.620,1:14.894,1:14.745,1:14.691,1:15.001,1:14.558,1:14.715,1:17.431,1:33.364,1:15.345,1:14.921,1:16.370,1:15.808,1:15.573,1:15.908,1:15.923,1:15.927,1:15.655,1:15.279,1:15.369,1:15.474,1:15.496,1:15.450,1:15.411,1:15.502,1:18.091,1:32.243,1:15.028,1:14.972,1:15.335,1:15.568,1:16.131,1:15.486,1:15.560,1:16.017,1:15.532,1:15.395,1:15.605,1:15.370,1:15.686,1:15.541,1:15.187,1:15.253,1:15.281,1:18.460,1:33.808,1:15.448,1:15.969,1:15.567,1:15.650,1:15.998,1:16.013,1:15.874,1:17.104,1:17.597,1:15.688,1:15.314,1:15.280,1:15.057,1:15.205,1:15.398,1:15.652,1:15.900,1:16.437
Felipe Massa (MAS),1:31.161,1:17.552,1:17.149,1:17.089,1:16.560,1:16.588,1:17.075,1:16.700,1:16.402,1:16.509,1:16.493,1:16.772,1:16.802,1:16.989,1:16.805,1:16.515,1:16.355,1:16.519,1:17.035,1:17.057,1:16.352,1:16.465,1:19.469,1:34.995,1:16.450,1:16.831,1:16.596,1:16.917,1:16.966,1:20.017,1:16.996,1:17.055,1:16.947,1:19.089,1:17.197,1:16.940,1:17.241,1:17.739,1:17.187,1:16.834,1:16.987,1:17.017,1:18.091,1:16.675,1:19.600,1:34.475,1:16.385,1:16.863,1:16.771,1:16.554,1:16.320,1:16.671,1:16.471,1:17.630,1:16.460,1:16.372,1:16.525,1:16.352,1:16.624,1:16.565,1:16.248,1:16.250,1:17.638,1:16.311,1:18.736
Takuma Sato (SAT),1:27.349,1:15.949,1:15.554,1:15.745,1:15.124,1:15.413,1:15.478,1:15.269,1:15.737,1:17.862,1:32.406,1:15.353,1:16.580,1:16.875,1:16.807,1:16.831,1:16.034,1:16.182,1:15.302,1:16.822,1:16.240,1:15.814,1:17.507,1:16.638,1:16.889,1:15.984,1:17.258,1:32.576,1:14.585,1:15.184,1:21.365,1:16.260,1:15.227,1:15.732,1:15.848,1:15.308,1:15.418,1:15.728,1:15.754,1:16.539,1:16.368,1:15.469,1:15.216,1:15.232,1:14.987,1:14.854,1:14.796,1:17.536,1:33.804,1:16.513,1:16.518,1:16.338,1:16.094,1:16.138,1:15.923,1:15.709,1:15.951,1:15.611,1:15.678,1:18.771,1:16.040,1:15.841,1:15.683,1:15.435,1:15.011,1:15.648
Kimi Räikkönen (RAI),1:21.312,1:15.308,1:14.299,1:14.083,1:14.048,1:14.685,1:14.316,1:13.932,1:14.118,1:13.780,1:16.921,1:33.694,1:14.783
Fernando Alonso (ALO),1:20.913,1:16.759,1:14.985,1:14.617,1:14.547,1:14.541,1:14.521,1:14.265,1:17.433,1:33.244,1:15.885,1:15.590,1:15.887,1:16.244,1:15.892,1:15.472,1:16.125,1:15.628,1:15.917,1:15.596,1:15.213,1:15.324,1:15.172,1:14.995,1:15.262,1:15.342,1:15.093,1:14.959,1:18.076,1:31.507,1:15.250,1:15.270,1:15.608,1:15.150,1:15.509,1:15.912,1:16.249,1:15.715,1:15.075,1:15.122,1:15.087,1:15.196,1:14.826,1:15.298,1:14.575,1:14.598,1:17.601,1:33.261,1:15.312,1:15.281,1:15.635,1:17.221,1:18.201,1:18.518,1:17.699,1:18.138,1:17.021,1:15.156,1:14.961,1:14.876,1:14.848,1:15.202,1:15.188,1:14.950,1:14.917,1:17.769
Nick Heidfeld (HEI),1:32.998,1:17.766,1:17.241,1:17.076,1:16.904,1:17.220,1:18.092,1:16.995,1:17.404,1:17.562,1:16.929,1:17.895,1:17.677,1:18.455,1:17.858,1:17.252,1:17.683,1:20.325,1:36.046,1:16.903,1:17.310,1:17.337,1:17.644,1:18.685,1:17.766,1:18.575,1:18.112,1:18.526,1:18.023,1:18.902,1:19.136,1:18.019,1:17.791,1:18.527,1:20.225,1:19.815,1:19.151,1:21.394,1:45.906,1:38.750,1:18.762,2:00.792
