Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Marc Gené,1:32.519,1:22.948,1:22.077,1:21.591,1:21.709,1:21.181,1:21.171,1:21.204,1:25.643,1:41.848,1:21.018,1:21.347,1:21.429,1:21.723,1:21.668,1:21.672,1:22.348,1:21.638,1:21.580,1:22.169,1:23.699,1:21.745,1:21.737,1:21.465,1:25.931,1:41.077,1:22.288,1:21.259,1:21.822,1:22.001,1:21.615,1:21.440,1:21.968,1:22.964,1:21.265,1:21.641,1:20.692,1:20.960,1:20.926,1:23.592,1:34.004,1:45.508,1:24.904,2:19.509,2:13.870,1:24.844,1:22.903,1:21.825,1:22.262,1:23.094,1:22.590,1:22.502,1:22.737,1:21.785,1:21.402,1:20.995,1:20.927,1:20.434,1:20.890,1:21.448
Zsolt Baumgartner,1:40.203,1:27.180,1:25.654,1:25.164,1:25.458,1:25.062,1:25.210,1:25.094,1:24.456,1:24.350,1:24.671,1:24.317,1:30.229,1:48.066,1:26.063,1:27.481,1:26.395,1:25.235,1:25.249,1:28.591,1:26.157,1:25.067,1:24.402,1:24.724,1:26.804,1:26.331,1:31.326,1:45.800,1:30.816
Gianmaria Bruni,1:38.466,1:27.270,1:25.780,1:25.377,1:25.619,1:24.906,1:24.944,1:25.212,1:24.663,1:24.577,1:29.487,1:46.210,1:24.545,1:26.797,1:26.728,1:28.538,1:27.026,1:25.758,1:26.299,1:28.163,1:25.587,1:25.158,1:24.865,1:26.721,1:32.337,1:35.941,1:24.665,1:24.655,1:30.870,2:36.583,1:25.171,1:26.139,1:24.296,1:24.776,1:26.845,1:25.068,1:24.391,1:35.103,1:52.245,1:39.363,2:21.936,2:15.623,1:31.225,1:26.490,1:25.749,1:26.017,1:25.250,1:25.886,1:25.880,1:26.105,1:26.404,1:26.105,1:26.463,1:32.019,1:31.153,1:32.974
Giorgio Pantano,1:34.468,1:24.066,1:23.116,1:22.944,1:23.902,1:23.871,1:22.298,1:22.275,1:22.407,1:22.320,1:22.359,1:23.496,1:22.146,1:26.907,1:45.529,1:23.239,1:23.437,1:29.149,1:24.146,1:24.130,1:23.615,1:25.710,1:23.699,1:24.914,1:24.348,1:23.308,1:23.426,1:23.922,1:23.840,1:23.188,1:25.129,1:23.062,1:23.018,1:22.977,1:22.811,1:27.954,1:44.895,1:23.502,1:28.879,1:30.312,1:30.027,1:39.793,2:21.572,2:15.129,1:26.802,1:24.227,1:23.318
Olivier Panis,1:37.125,1:25.295,1:23.926,1:23.131,1:23.271,1:23.186,1:23.469,1:23.352,1:24.234,1:27.049,1:24.219,1:24.231,1:24.461,1:24.119,1:24.052,1:28.871
Cristiano da Matta,1:33.451,1:23.574,1:21.950,1:23.137,1:22.210,1:21.811,1:21.453,1:21.304,1:21.451,1:21.459,1:21.572,1:21.414,1:21.597,1:21.337,1:26.304,1:44.413,1:22.303,1:22.315,1:22.526,1:22.547,1:22.779,1:22.790,1:24.031,1:24.819,1:23.593,1:23.414,1:22.340,1:21.851,1:21.571,1:21.448,1:21.588,1:21.916,1:21.886,1:21.107,1:20.768,1:20.845,1:25.601,1:46.324,1:22.951,1:25.531,1:31.834,2:29.882,2:21.561,2:18.166,1:24.316,1:25.116,1:24.906,1:23.778,1:24.385,1:22.019,1:24.162,1:21.931,1:21.666,1:21.386,1:21.675,1:23.469,1:21.609,1:21.595,1:21.166
Christian Klien (KLI),1:35.370,1:23.665,1:23.021,1:23.179,1:21.904,1:21.965,1:21.422,1:21.426,1:21.274,1:20.956,1:21.345,1:21.115,1:21.554,1:21.262,1:26.158,1:44.295,1:22.708,1:22.880,1:22.804,1:23.809,1:23.005,1:22.458,1:22.953,1:23.014,1:23.435,1:23.627,1:23.496,1:22.409,1:22.178,1:21.461,1:21.587,1:21.473,1:21.575,1:21.636,1:22.117,1:26.146,1:44.419,1:21.652,1:21.874,1:25.234,1:30.506,2:29.445,2:21.688,2:17.692,1:26.225,1:24.676,1:24.709,1:23.539,1:23.777,1:23.244,1:22.549,1:22.095,1:22.086,1:23.196,1:21.913,1:21.815,1:21.385,1:21.229,1:21.341
Juan Pablo Montoya (MON),1:30.588,1:21.951,1:21.131,1:20.617,1:20.803,1:20.891,1:21.009,1:21.066,1:21.095,1:20.969,1:25.079,1:39.144,1:20.998,1:21.093,1:21.410,1:21.058,1:21.080,1:23.605,1:20.518,1:20.443,1:20.653,1:20.657,1:20.744,1:20.289,1:20.016,1:19.968,1:20.133,1:20.289,1:25.058,1:39.356,1:21.652,1:22.024,1:21.064,1:21.023,1:20.757,1:20.855,1:20.903,1:20.596,1:20.392,1:20.201,1:25.963,1:49.251,1:56.593,2:22.278,2:15.212,1:22.289,1:21.832,1:20.940,1:20.907,1:21.215,1:20.838,1:20.632,1:20.865,1:20.457,1:20.936,1:20.602,1:20.469,1:20.830,1:20.691,1:20.895
Michael Schumacher (MSC),1:27.465,1:21.119,1:20.474,1:20.235,1:20.230,1:20.049,1:19.664,1:19.403,1:20.277,1:19.241,1:19.306,1:19.223,1:18.918,1:18.739,1:22.778,1:41.393,1:20.576,1:20.603,1:20.480,1:20.643,1:21.209,1:21.021,1:21.286,1:20.742,1:20.686,1:20.520,1:20.528,1:20.392,1:20.548,1:20.025,1:19.524,1:19.567,1:20.150,1:19.942,1:20.426,1:19.677,1:24.055,1:42.320,1:21.352,1:21.007,1:22.286,1:38.517,2:28.918,2:21.737,2:18.390,1:22.974,1:20.438,1:20.040,1:20.173,1:20.298,1:19.957,1:20.492,1:20.175,1:19.757,1:20.241,1:19.786,1:19.908,1:20.425,1:20.287,1:22.108
Rubens Barrichello (BAR),1:26.416,1:20.785,1:19.825,1:19.606,1:20.199,1:19.558,1:19.463,1:19.296,1:23.680,1:41.117,1:20.357,1:21.142,1:21.126,1:20.963,1:22.518,1:22.793,1:20.801,1:20.308,1:20.347,1:20.414,1:20.674,1:20.412,1:20.287,1:20.030,1:20.626,1:20.272,1:20.185,1:23.796,1:38.645,1:20.462,1:20.689,1:20.157,1:20.095,1:20.284,1:20.047,1:19.613,1:19.930,1:20.971,1:19.829,1:20.049,1:26.295,1:42.469,2:22.882,2:23.220,2:16.129,1:22.985,1:20.785,1:20.070,1:20.483,1:20.567,1:20.119,1:20.355,1:20.238,1:20.194,1:20.539,1:20.408,1:20.143,1:19.969,1:19.928,1:20.269
