Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Sakon Yamamoto (YAM),1:30.342,1:50.404
David Coulthard (COU),1:25.944,1:17.174,1:16.642,1:15.899,1:15.637,1:15.817,1:15.835,1:15.836,1:15.914,1:15.439,1:15.397,1:14.953,1:14.849,1:14.620,1:14.812,1:14.746,1:14.812,1:14.852,1:14.915,1:14.567,1:14.425,1:14.195,1:19.152,1:35.544,1:14.545,1:14.699,1:14.892,1:15.968,1:14.949,1:15.243,1:15.000,1:15.379,1:15.047,1:14.676,1:14.661,1:14.502,1:14.811,1:14.650,1:14.764,1:14.644,1:14.869,1:19.361,1:37.422,1:14.783,1:16.137,1:16.221,1:16.201,1:16.403,1:15.865,1:16.389,1:15.187,1:14.724,1:14.770,1:14.477,1:14.663,1:14.859,1:14.758,1:15.231,1:15.016,1:15.123,1:21.821,1:15.753,1:15.266,1:15.378,1:15.295,1:15.156,1:15.296,1:16.077,1:15.804,1:16.106
Felipe Massa (MAS),1:20.237,1:15.409,1:15.574,1:14.347,1:14.675,1:14.453,1:13.966,1:14.074,1:13.909,1:13.969,1:13.887,1:13.932,1:13.256,1:13.118,1:13.054,1:13.475,1:12.958,1:12.932,1:13.295,1:17.812,1:36.661,1:13.635,1:13.742,1:14.111,1:14.662,1:14.179,1:13.854,1:13.810,1:14.083,1:13.851,1:13.939,1:13.854,1:13.683,1:14.321,1:13.967,1:13.658,1:13.422,1:13.595,1:13.289,1:13.183,1:13.290,1:13.172,1:13.107,1:16.071,1:13.649,1:13.301,1:13.242,1:13.246,1:13.253,1:18.145,1:34.276,1:12.965,1:12.987,1:15.037,1:15.257,1:14.296,1:13.399,1:14.242,1:13.472,1:13.854,1:14.018,1:14.385,1:13.388,1:12.967,1:13.165,1:13.092,1:12.854,1:15.049,1:12.725,1:14.444,1:12.584
Takuma Sato (SAT),1:27.901,1:17.462,1:17.608,1:16.975,1:17.284,1:17.070,1:16.754,1:16.823,1:16.706,1:16.599,1:16.706,1:16.382,1:17.926,1:18.024,1:18.085,1:16.580,1:16.374,1:15.650,1:15.961,1:15.770,1:15.463,1:15.447,1:15.671,1:15.642,1:20.948,1:40.106,1:16.269,1:15.311,1:15.079,1:15.361,1:15.797,1:15.278,1:15.119,1:16.661,1:18.313,1:15.469,1:15.889,1:15.567,1:14.914,1:15.093,1:15.373,1:16.813,1:15.133,1:19.959,1:38.239,1:15.404,1:15.088,1:18.180,1:15.622,1:15.302,1:15.303,1:16.077,1:18.587,1:15.594,1:15.512,1:15.695,1:15.390,1:15.863,1:18.503,1:16.066,1:16.194,1:16.046,1:16.446,1:17.023,1:15.353,1:15.337,1:15.389,1:15.247,1:17.474
Robert Kubica (KUB),1:22.983,1:15.956,1:16.062,1:15.911,1:15.515,1:15.619,1:15.550,1:14.921,1:14.769,1:14.677,1:14.741,1:14.434,1:14.085,1:14.156,1:14.190,1:13.902,1:14.031,1:13.424,1:18.386,1:34.829,1:13.538,1:14.452,1:14.225,1:14.235,1:14.471,1:14.347,1:14.140,1:14.166,1:14.831,1:14.624,1:14.693,1:15.099,1:14.446,1:14.398,1:13.895,1:14.187,1:13.927,1:19.473,1:32.710,1:13.897,1:14.944,1:13.983,1:14.748,1:14.546,1:14.473,1:14.312,1:14.270,1:14.596,1:14.608,1:14.313,1:13.970,1:13.823,1:14.037,1:13.781,1:13.835,1:13.561,1:13.557,1:17.990,1:31.797,1:14.087,1:12.686,1:13.422,1:13.835,1:13.932,1:14.546,1:14.654,1:15.568,1:15.931,1:16.401,1:16.175,1:15.951
Kimi Räikkönen (RAI),1:21.067,1:15.225,1:15.722,1:14.708,1:14.165,1:14.565,1:14.271,1:14.265,1:14.159,1:14.140,1:14.112,1:13.672,1:13.339,1:13.159,1:13.076,1:13.212,1:13.205,1:12.994,1:13.663,1:12.665,1:18.423,1:36.677,1:14.572,1:13.887,1:15.669,1:13.987,1:13.944,1:14.176,1:14.077,1:13.778,1:13.544,1:13.722,1:13.724,1:13.659,1:13.828,1:13.503,1:13.548,1:13.553,1:13.508,1:13.210,1:13.186,1:13.450,1:13.195,1:14.057,1:13.703,1:13.763,1:13.194,1:13.547,1:13.181,1:13.497,1:12.736,1:12.790,1:17.733,1:33.251,1:14.150,1:13.876,1:14.070,1:14.205,1:14.208,1:13.964,1:14.211,1:13.336,1:13.072,1:13.315,1:13.512,1:12.445,1:13.434,1:13.350,1:13.560,1:13.526,1:15.380
Kazuki Nakajima (NAK),1:29.310,1:18.057,1:17.447,1:16.995,1:17.307,1:16.833,1:16.580,1:17.351,1:16.679,1:16.435,1:16.008,1:16.433,1:16.743,1:18.233,1:16.089,1:15.514,1:15.930,1:14.915,1:15.137,1:14.951,1:14.466,1:14.722,1:14.681,1:16.232,1:14.964,1:15.499,1:15.000,1:14.622,1:14.473,1:14.904,1:21.138,1:44.396,1:16.241,1:15.099,1:15.579,1:15.181,1:15.048,1:15.080,1:15.046,1:15.831,1:15.105,1:15.840,1:15.290,1:14.736,1:14.871,1:14.933,1:14.516,1:15.065,1:14.712,1:14.292,1:14.333,1:14.334,1:14.667,1:14.041,1:13.881,1:13.617,1:14.382,1:13.838,1:15.213,1:14.170,1:20.384,1:36.266,1:13.543,1:13.530,1:13.297,1:13.204,1:13.180,1:13.302,1:13.116,1:13.178
Heikki Kovalainen (KOV),2:14.479,1:55.322,1:17.207,1:17.405,1:15.965,1:16.002,1:16.484,1:15.885,1:16.194,1:16.631,1:16.581,1:15.763,1:18.916,1:17.411,1:18.695,1:15.980,1:15.542,1:16.031,1:15.931,1:15.942,1:15.946,1:15.581,1:15.828,1:17.033,1:15.664,1:15.204,1:15.079,1:15.793,1:15.296,1:15.190,1:14.891,1:15.300,1:15.293,1:15.317,1:15.730
Fernando Alonso (ALO),1:21.788,1:15.928,1:16.013,1:15.564,1:15.212,1:15.158,1:14.818,1:14.806,1:14.949,1:14.596,1:14.697,1:14.333,1:13.851,1:13.767,1:13.834,1:13.571,1:13.516,1:13.545,1:13.722,1:13.842,1:13.218,1:19.250,1:37.172,1:14.414,1:15.283,1:14.735,1:14.619,1:14.612,1:14.919,1:14.811,1:14.828,1:15.419,1:15.984,1:14.946,1:14.698,1:14.709,1:14.312,1:14.787,1:14.384,1:14.501,1:14.717,1:14.524,1:14.324,1:14.293,1:14.462,1:14.336,1:14.582,1:14.590,1:15.459,1:14.837,1:15.270,1:20.038,1:34.361,1:14.967,1:14.160,1:13.618,1:13.461,1:13.210,1:13.150,1:13.510,1:14.269,1:14.287,1:14.024,1:13.962,1:13.924,1:13.680,1:13.735,1:14.657,1:15.054,1:15.875,1:17.842
Nico Rosberg (ROS),1:25.617,1:17.051,1:16.384,1:15.737,1:15.814,1:15.696,1:15.798,1:15.624,1:15.510,1:15.221,1:15.115,1:14.856,1:14.569,1:14.509,1:14.769,1:14.798,1:14.980,1:14.402,1:14.799,1:14.485,1:14.249,1:14.162,1:18.637,1:38.406,1:14.706,1:14.955,1:15.031,1:15.008,1:15.349,1:15.462,1:14.911,1:14.710,1:14.784,1:14.588,1:14.963,1:14.357,1:14.387,1:14.650,1:14.443,1:14.171,1:14.461,1:14.056,1:14.119,1:14.372,1:13.874,1:14.378,1:13.829,1:14.000,1:14.344,1:13.682,1:13.537,1:13.215,1:13.209,1:17.763,1:36.331,1:13.159,1:13.344,1:14.679,1:14.494,1:14.344,1:15.086,1:13.553,1:13.510,1:13.307,1:13.492,1:14.419,1:15.602,1:15.909,1:13.667,1:13.245,1:13.475
Nick Heidfeld (HEI),1:23.938,1:16.009,1:15.974,1:16.132,1:15.467,1:15.916,1:16.969,1:15.224,1:15.170,1:15.041,1:15.405,1:14.952,1:14.765,1:14.496,1:14.734,1:14.945,1:14.591,1:15.521,1:14.316,1:14.025,1:14.057,1:14.503,1:14.881,1:14.715,1:19.721,1:35.813,1:14.906,1:14.753,1:15.291,1:14.949,1:15.638,1:14.641,1:15.410,1:15.092,1:14.665,1:14.718,1:14.802,1:14.733,1:14.521,1:14.092,1:14.605,1:14.009,1:14.207,1:14.338,1:13.996,1:14.126,1:13.844,1:14.051,1:14.136,1:13.991,1:18.279,1:33.895,1:13.452,1:13.709,1:14.136,1:14.023,1:14.116,1:15.148,1:14.668,1:14.381,1:17.656,1:14.614,1:14.416,1:14.550,1:14.186,1:14.125,1:14.119,1:15.139,1:14.713,1:14.781,1:15.687
Lewis Hamilton (HAM),1:24.976,1:15.390,1:15.883,1:16.270,1:15.645,1:15.583,1:15.452,1:43.762,1:14.379,1:15.133,1:14.543,1:14.458,1:14.612,1:16.242,1:15.957,1:14.362,1:14.154,1:13.923,1:13.693,1:13.295,1:13.764,1:19.071,1:33.150,1:13.677,1:14.015,1:14.114,1:14.334,1:14.614,1:14.409,1:14.808,1:15.025,1:14.440,1:14.684,1:14.547,1:13.446,1:18.490,1:33.245,1:13.429,1:13.499,1:14.258,1:14.280,1:13.823,1:14.331,1:14.066,1:14.498,1:14.239,1:14.120,1:13.994,1:14.337,1:14.200,1:13.589,1:13.242,1:13.385,1:13.756,1:13.162,1:18.420,1:31.261,1:12.506,1:13.160,1:13.029,1:13.666,1:13.443,1:13.355,1:13.371,1:13.090,1:13.046,1:13.227,1:13.223,1:13.179,1:13.621
