Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Damon Hill,1:43.858,1:29.284,1:28.848
Alessandro Zanardi,1:39.069,1:29.159,1:28.755,1:29.240,1:27.850,1:27.955,1:27.774,1:27.328,1:27.734,1:27.212,1:26.908,1:26.693,1:26.830,1:39.136,1:27.309,1:27.256,1:26.085,1:25.801,1:27.989,1:26.839,1:25.498,1:25.246,1:25.141,1:25.533,1:28.526,1:29.429,1:25.741,1:26.519,1:25.534,1:26.313,1:25.573,1:25.772,1:25.794,1:25.466,1:26.168,1:25.575,1:26.171,1:26.652,1:25.443,1:24.880,1:24.765,1:24.591,1:24.421,1:24.286,1:23.982,1:23.913,1:23.617,1:24.007,1:23.294,1:43.804,1:28.729,1:24.985,1:25.159,1:24.530,1:24.818,1:25.149,1:24.594,1:25.466,1:25.006,1:24.693,1:24.449,1:24.915,1:28.011,1:27.697,1:27.226,1:25.403,1:25.114,1:25.868,1:27.868,1:25.443,1:25.583,1:26.793,1:26.310,1:25.541,1:26.359,1:29.229
Luca Badoer (BAD),1:46.314,1:30.246,1:29.154,1:29.119,1:29.879,1:29.883,1:29.206,1:28.691,1:29.816,1:31.705
Toranosuke Takagi,1:45.230,1:29.725,1:28.827,1:28.632,1:28.233,1:27.999,1:28.292,1:28.359,1:27.923,1:28.565,1:27.824,1:28.243,1:27.493,1:28.266,1:27.622,1:27.527,1:27.942,1:28.342,1:27.470,1:27.408,1:29.552,1:28.322,1:26.555,1:26.674,1:26.829,1:26.482,1:26.901,1:27.222,1:26.504,1:26.663,1:27.230,1:30.236,1:28.926,1:27.762,1:27.273,1:28.810
Johnny Herbert,1:40.403,1:28.923,1:28.578,1:29.382,1:27.868,1:28.040,1:27.843,1:27.295,1:27.698,1:27.231,1:26.985,1:26.606,1:26.766,1:26.098,1:25.571,1:25.422,1:25.755,1:25.331,1:25.172,1:25.193,1:25.348,1:25.359,1:25.287,1:25.331,1:25.397,1:24.919,1:25.314,1:25.304,1:27.097,1:25.808,1:25.438,1:25.870
Pedro Diniz,1:41.859,1:29.266,1:29.044,1:30.041,1:27.528,1:28.214,1:27.849,1:27.838,1:27.329,1:27.286,1:27.330,1:26.865,1:26.604,1:26.694,1:25.905,1:25.951,1:25.910,1:26.051,1:26.028,1:25.077,1:25.465,1:25.730,1:25.552,1:27.098,1:25.450,1:25.439,1:25.867,1:25.315,1:25.000,1:25.250,1:33.619,1:24.696,1:23.724,1:24.457,1:24.857,1:26.732,1:24.620,1:24.720,1:23.626,1:23.766,1:23.616,1:23.386,1:23.588,1:23.105,1:23.244,1:22.667,1:22.855,1:22.637,1:23.134
Mika Salo,1:40.970,1:29.547,1:29.050,1:28.632,1:28.201,1:28.244,1:27.825,1:27.900,1:27.072,1:27.417,1:27.205,1:27.122,1:26.499,1:26.461,1:26.097,1:25.779,1:26.045,1:25.860,1:25.482,1:25.685,1:25.345,1:25.794,1:25.040,1:25.598,1:27.057,1:26.090,1:25.592,1:25.331,1:25.421,1:25.317,1:24.787,1:25.768,1:26.002,1:30.055,1:25.428,1:25.190
Mika Häkkinen,1:31.016,1:25.691,1:25.257,1:24.958,1:25.104,1:24.678,1:24.577,1:24.200,1:24.159,1:24.053,1:24.137,1:24.335,1:24.020,1:23.890,1:25.097,1:24.482,1:25.379,1:24.360,1:24.331,1:23.834,1:23.593,1:23.833,1:23.589,1:24.096,1:23.549,1:24.420,1:23.664,1:23.282,1:23.293,1:23.893,1:23.734,1:24.410,1:25.575,1:24.516,1:24.824,1:24.081,1:23.737,1:23.458,1:40.485,1:23.943,1:24.133,1:24.147,1:24.380,1:23.773,1:23.203,1:22.850,1:23.027,1:23.169,1:23.492,1:43.259,1:28.309,1:23.637,1:23.219,1:22.503,1:22.933,1:23.374,1:24.563,1:23.890,1:23.419,1:23.540,1:25.270,1:23.040,1:24.151,1:23.770,1:27.558,1:23.045,1:22.259,1:23.799,1:24.726,1:24.144,1:23.982,1:24.156,1:24.427,1:24.531,1:24.301,1:25.326,1:25.977,1:26.480
Eddie Irvine,1:32.353,1:26.316,1:25.489,1:25.319,1:25.369,1:24.967,1:24.531,1:24.534,1:24.544,1:24.392,1:25.114,1:24.417,1:24.259,1:24.168,1:23.886,1:24.445,1:24.321,1:23.622,1:23.832,1:23.930,1:23.988,1:24.277,1:23.125,1:23.350,1:23.464,1:24.257,1:23.696,1:23.295,1:23.521,1:23.212,1:23.433,1:24.357,1:25.171,1:24.824,1:24.849,1:23.979,1:40.020,1:25.704,1:23.744,1:22.968,1:23.225,1:24.133,1:24.268,1:24.176,1:23.556,1:23.305,1:22.866,1:22.790,1:22.956,1:24.082,1:23.675,1:23.313,1:23.887,1:24.157,1:23.207,1:39.074,1:26.305,1:23.721,1:23.646,1:23.165,1:22.753,1:22.572,1:24.380,1:24.416,1:24.074,1:23.460,1:23.694,1:22.912,1:22.971,1:23.770,1:23.979,1:24.735,1:25.796,1:25.324,1:25.425,1:25.474,1:25.210,1:26.794
Jean Alesi,1:42.375,1:29.330,1:28.968,1:28.184,1:28.089,1:28.306,1:27.753,1:27.803,1:27.341,1:27.571,1:27.036,1:27.120,1:26.505,1:26.558,1:25.870,1:25.952,1:26.027,1:25.957,1:25.770,1:25.322,1:25.541,1:25.879,1:25.093,1:25.585,1:27.036,1:25.834,1:25.893,1:25.386,1:25.040,1:25.232,1:24.991,1:25.294,1:26.131,1:25.319,1:23.732,1:23.579,1:23.854,1:25.691,1:24.591,1:23.771,1:23.720,1:23.621,1:25.210,1:24.253,1:23.590,1:23.963,1:23.417,1:23.609,1:41.942,2:05.301
Heinz-Harald Frentzen,1:35.455,1:27.430,1:26.937,1:26.684,1:26.552,1:25.777,1:26.025,1:25.404,1:25.564,1:25.578,1:25.621,1:25.135,1:25.058,1:24.792,1:24.911,1:24.822,1:25.549,1:25.074,1:24.787,1:24.663,1:25.931,1:24.941,1:25.022,1:24.998,1:24.674,1:24.484,1:25.228,1:24.564,1:24.135,1:24.550,1:24.894,1:25.497,1:26.438,1:25.119,1:24.520,1:23.963,1:24.441,1:25.587,1:25.389,1:24.572,1:24.184,1:24.819,1:24.022,1:23.883,1:23.899,1:23.673,1:23.620,1:23.945,1:23.582,1:24.521,1:24.019,1:23.020,1:22.685,1:23.131,1:22.803,1:22.613,1:42.216,1:27.489,1:24.215,1:24.233,1:23.641,1:22.925,1:22.835,1:22.471,1:24.324,1:23.687,1:23.013,1:23.472,1:22.998,1:23.060,1:22.743,1:23.043,1:24.991,1:24.590,1:24.484,1:24.492,1:24.401,1:27.314
