Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Damon Hill,2:06.367,1:57.699,1:57.487,1:57.677,1:58.025,1:57.453,1:56.877,1:57.440,1:57.369,1:58.111,1:57.542,1:58.095,1:57.586,1:57.607,1:57.303,2:05.251,2:10.989,1:57.066,1:56.064,1:55.364,1:57.025,1:55.573,1:55.648,1:55.022,1:54.954,1:55.463,1:55.884,2:03.611,2:12.201,1:56.094,1:56.656,1:57.101,1:56.752,1:56.497,1:58.273,1:57.077,1:56.228,1:56.375,1:56.454,1:56.745,1:57.534,1:57.852,1:57.456,1:58.126
Alessandro Zanardi,2:05.878,1:57.574,1:57.568,1:57.575,1:58.467,1:56.667,1:57.079,1:57.635,1:57.403,1:57.797,1:58.170,1:57.541,1:57.300,1:57.304,1:57.584,1:57.528,1:57.457,1:57.305,1:57.357,1:57.107,2:06.831,2:14.173,1:57.153,1:57.031,1:57.348,1:56.611,1:55.901,1:56.258,1:56.627,1:57.214,2:05.949,2:11.025,1:55.786,1:55.952,1:56.330,1:56.871,1:57.119,1:56.543,1:56.297,1:56.659,1:56.992,1:56.685,1:56.822,1:57.606
Luca Badoer (BAD),2:12.843,2:01.331,1:58.903,1:58.234,1:58.644,1:58.345,1:58.747,1:59.803,1:58.813,1:59.325,1:59.092,1:58.588,2:07.151,2:17.065,1:57.990,1:58.541,1:58.818,1:59.254,1:58.980,1:58.166,1:59.094,1:58.336,1:58.786,1:59.164,1:58.579,2:06.580,2:16.304,1:58.309,1:58.537,1:58.202,1:57.929,2:00.105,2:03.191
Johnny Herbert,2:07.871,1:59.052,1:58.777,1:58.645,1:58.684,1:58.609,1:59.767,1:58.928,1:58.645,1:58.795,1:59.165,1:59.138,1:59.210,2:01.195,2:06.739,2:16.503,1:57.595,1:57.094,1:57.438,1:57.252,1:57.776,1:57.776,1:57.645,1:57.672,1:57.672,1:57.330,1:57.599
Pedro Diniz,2:12.206,2:02.624,1:59.772,1:59.831,1:58.876,1:59.280,1:58.963,1:59.323,1:58.967,1:59.816,1:58.485,1:58.179,1:58.628,1:59.225,2:06.023,2:15.688,1:58.326,1:59.096,2:00.115
Mika Salo,2:06.805,1:58.024,1:57.407,1:57.779,1:57.990,1:57.385,1:57.176,1:57.382,1:57.662,1:57.558,1:57.683,1:58.012,1:57.742,1:57.383,1:57.480,1:56.861,2:04.945,2:11.804,1:57.684,1:57.589,1:57.224,1:56.027,1:56.607,1:55.708,1:55.950,1:55.883,1:55.940,1:58.313,1:58.554,1:58.069,1:58.030,1:55.815,1:58.595,2:03.725,2:10.143,1:56.069,1:56.073,1:55.946,1:56.067,1:55.773,1:55.874,1:55.508,1:55.299,1:55.763
Mika Häkkinen,2:01.611,1:55.918,1:55.819,1:55.727,1:55.309,1:55.156,1:56.203,1:56.214,1:55.939,1:56.110,1:56.165,1:56.227,1:56.020,1:56.672,1:56.738,1:56.365,1:56.288,2:04.314,2:11.858,1:55.778,1:56.464,1:54.361,1:53.955,1:54.896,1:55.310,1:54.248,1:54.366,1:54.086,1:54.893,1:55.334,2:02.770,2:12.625,1:55.776,1:56.379,1:55.739,1:56.246,1:56.200,1:56.424,1:56.636,1:56.949,1:56.776,1:57.323,1:57.892,1:57.447
Eddie Irvine,2:03.726,1:57.555,1:57.176,1:57.689,1:57.276,1:56.416,1:57.035,1:56.740,1:56.750,1:57.113,1:57.316,1:56.904,1:57.201,1:56.767,1:56.965,1:56.644,1:56.576,2:03.766,2:10.968,1:56.485,1:59.431,1:56.208,1:55.913,1:55.982,1:55.765,1:56.110,1:55.582,1:55.759,1:56.164,1:55.943,1:56.575,2:03.253,2:11.718,1:55.915,1:56.497,1:56.589,1:56.624,1:57.042,1:56.562,1:56.186,1:56.721,1:57.260,1:57.621,1:59.517
Jean Alesi,2:10.089,1:58.196,1:58.811,1:58.323,1:58.690,1:57.911,1:57.254,1:56.510,1:56.819,1:56.591,1:57.422,1:57.971,1:57.661,2:05.785,2:15.037,1:56.490,1:56.740,1:57.971,1:58.197,1:58.389,1:57.917,1:56.592,1:56.294,1:56.624,1:56.216,1:56.284,1:56.296,1:56.277,2:04.210,2:11.935,1:56.016,1:57.173,1:56.929,1:56.529,1:57.322,1:56.600,1:56.600,1:56.468,1:56.727,1:56.431,1:56.580,1:56.670,1:57.688,1:59.670
Heinz-Harald Frentzen,2:02.537,1:56.493,1:56.529,1:56.948,1:56.055,1:56.244,1:56.138,1:56.591,1:56.857,1:57.100,1:57.118,1:56.943,1:57.062,1:56.865,1:56.595,1:56.967,2:04.130,2:11.474,1:56.522,1:55.891,1:57.077,1:55.427,1:55.880,1:55.412,1:55.586,1:55.531,1:55.687,1:56.061,1:57.674,1:55.520,1:56.072,2:04.007,2:10.267,1:55.679,1:56.180,1:55.783,1:56.749,1:56.662,1:56.567,1:56.876,1:57.221,1:57.118,1:58.049,1:58.346
Marc Gené,2:13.307,2:01.849,2:00.261,1:59.572,1:59.784,1:58.849,1:59.265,1:59.514,2:00.584,1:59.900,1:59.971,2:00.217,2:01.655,2:09.018,2:14.301,1:58.725,1:58.228,1:58.113,1:57.947,1:59.759,1:57.835,1:57.966,1:57.864,1:57.561,1:57.373,1:56.863,1:56.789,1:57.231,2:06.890,2:15.096,1:57.749,1:58.714,2:03.213,1:58.272,1:59.366,1:57.987,1:58.024,1:58.172,1:58.244,1:58.384,1:58.627,2:00.135,2:00.383
