Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Damon Hill,1:41.649,2:23.323,1:31.565,1:30.896,1:30.760,1:30.675,1:30.731,1:31.118,1:30.725,1:30.650,1:30.575,1:30.468,1:30.724,1:30.823,1:30.746,1:30.362,1:30.194,1:30.213,1:30.492,1:30.874,1:30.843,1:30.703,1:35.865,1:50.105,1:31.142,1:30.681,1:30.354,1:30.262,1:30.471,1:31.118,1:35.452,2:06.626,1:33.472,1:31.930,1:30.125,1:30.719,1:30.152,1:30.582,1:30.393,1:30.738,1:29.983,1:29.922,1:29.965,1:30.080,1:29.863,1:35.157,1:47.801,1:29.252,1:29.780,1:29.555,1:29.884,1:29.442,1:29.783,1:29.596,1:30.244,1:30.794,1:30.776,1:30.428,1:31.777,1:35.372
Alessandro Zanardi,1:45.278,2:22.577,1:33.340,1:32.118,1:31.855,1:31.967,1:31.632,1:31.931,1:31.871,1:32.254,1:31.986,1:31.748,1:32.220,1:32.262,1:31.722,1:31.741,1:31.279,1:31.121,1:31.173,1:31.399,1:31.713,1:38.794,1:50.053,1:31.034,1:31.028,1:31.220,1:32.339,1:31.478,1:31.526,1:31.592,1:32.558,1:39.679,1:33.019,1:32.599,1:31.542,1:31.045,1:31.274,1:31.180,1:37.061,1:51.196,1:30.522,1:32.268,1:31.579,1:31.959,1:31.371,1:31.600,1:32.279,1:31.717,1:31.837,1:31.868,1:31.559,1:31.001,1:31.072,1:31.190,1:32.080,1:32.812,1:32.075,1:32.454,1:31.693,1:30.928
Luca Badoer (BAD),1:51.741,2:22.936,1:32.409,1:32.787,1:32.718,1:38.866
Toranosuke Takagi,1:49.950,2:21.976,1:33.054,1:32.767,1:32.600,1:33.183,1:32.920,1:33.492,1:33.868,1:34.289,1:33.751,1:33.719,1:33.696,1:33.341,1:33.432,1:33.376,1:32.838,1:33.066,1:33.265,1:39.352,1:51.543,1:32.442,1:32.468,1:32.713,1:32.968,1:33.646,1:32.969,1:33.062,1:33.566,1:37.480,2:17.129,1:34.618,1:38.131,1:34.501,1:33.367,1:32.875,1:33.047,1:33.323,1:32.930,1:32.466,1:38.003,1:55.455,1:32.786,1:33.085,1:33.513,1:33.540,1:33.953,1:33.541,1:33.898,1:35.105,1:34.412,1:33.286,1:33.176,1:33.347,1:33.554,1:38.490,1:35.505,1:37.219
Johnny Herbert,1:44.041,2:22.860,1:31.524,1:32.583,1:31.348,1:31.389,1:31.612,1:31.501,1:31.793,1:31.265,1:30.885,1:31.435,1:31.203,1:31.169,1:31.145,1:30.919,1:30.572,1:30.665,1:30.815,1:31.007,1:31.777,1:31.222,1:36.318,1:48.109,1:30.871,1:31.547,1:30.467,1:30.412,1:30.757,1:33.352,1:34.167,1:53.544,1:32.672,1:32.469,1:30.577,1:30.640,1:30.740,1:30.276,1:30.237,1:36.194,1:49.357,1:30.521,1:30.493,1:30.413,1:30.360,1:30.587,1:30.616,1:30.779,1:37.366,1:53.898,1:31.002,1:30.265,1:30.103,1:30.411,1:30.552,1:30.462,1:30.453,1:31.803,1:31.466,1:30.867
Pedro Diniz,1:43.358,2:23.395,1:32.715,1:32.269,1:31.359,1:31.240,1:31.671,1:31.452,1:31.822,1:31.309,1:30.850,1:31.461,1:31.145,1:31.333,1:31.075,1:31.126,1:31.085,1:31.122,1:30.921,1:31.271,1:31.564,1:30.942,1:30.782,1:36.404,1:49.506,1:30.178,1:29.819,1:29.826,1:30.899,1:33.500,1:33.817,1:53.710,1:32.771,1:33.199,1:30.175,1:30.316,1:30.646,1:30.841,1:30.842,1:31.170,1:34.935,1:50.838,1:30.500,1:30.578,1:31.086,1:30.691,1:31.259,1:31.165,1:31.318,1:31.686,1:31.697,1:30.641,1:30.473,1:30.600,1:30.381,1:30.568,1:30.686,1:30.544,1:30.373,1:30.882
Mika Häkkinen,1:36.793,2:25.685,1:29.180,1:28.873,1:28.914,1:28.984,1:29.277,1:29.753,1:29.931,1:30.010,1:28.965,1:28.890,1:29.200,1:29.394,1:29.558,1:29.329,1:29.141,1:29.115,1:29.114,1:29.428,1:29.736,1:29.712,1:29.567,1:29.792,1:35.660,2:13.155,2:07.963,1:28.309,1:56.702,2:10.489,2:09.576,1:31.577,1:28.722,1:29.412,1:39.149
Eddie Irvine,1:37.957,2:25.015,1:30.277,1:29.455,1:29.144,1:30.128,1:29.631,1:29.895,1:29.777,1:29.632,1:29.635,1:29.373,1:29.317,1:29.585,1:29.758,1:29.778,1:29.302,1:29.207,1:29.363,1:29.500,1:29.622,1:29.903,1:29.677,1:29.489,1:29.237,1:34.893,1:51.880,1:29.198,1:29.711,1:29.660,1:29.960,2:38.260,1:30.458,1:29.251,1:29.247,1:29.351,1:29.340,1:29.604,1:29.416,1:29.603,1:33.896,1:47.109,1:28.886,1:30.416,1:29.261,1:29.342,1:28.986,1:29.107,1:29.314,1:29.567,1:29.564,1:29.077,1:29.220,1:28.782,1:28.786,1:29.294,1:29.071,1:29.997,1:29.269,1:29.540
Jean Alesi,1:42.869,2:23.015,1:32.036,1:31.104,1:30.967,1:31.039,1:31.496,1:32.060,1:31.596,1:31.126,1:30.847,1:30.928,1:31.065,1:30.872,1:30.901,1:30.609,1:30.491,1:30.651,1:30.434,1:30.513,1:36.896,1:50.470,1:32.159,1:30.346,1:30.354,1:30.524,1:30.469,1:30.749,1:30.957,1:32.977,1:35.117,1:56.679,1:45.916,2:08.083,2:05.904,1:30.641,1:30.334,1:36.413,1:34.374,1:30.625,1:32.218,1:31.284,1:30.854,1:30.647,1:30.567,1:30.579,1:30.760,1:31.017,1:31.085,1:31.811,1:31.023,1:35.315,1:31.351,1:31.710,1:31.066,1:31.224,1:31.641,1:31.510,1:32.526
Heinz-Harald Frentzen,1:39.045,2:24.878,1:31.015,1:30.419,1:29.974,1:30.150,1:30.903,1:30.923,1:31.043,1:31.049,1:30.603,1:30.480,1:30.558,1:30.576,1:30.550,1:30.412,1:30.177,1:30.034,1:30.221,1:30.634,1:30.864,1:31.244,1:31.218,1:36.780,1:51.011,1:30.343,1:29.949,1:30.249,1:30.620,1:31.055,1:32.317,2:10.608,1:33.373,1:31.258,1:29.821,1:30.049,1:30.530,1:30.513,1:30.313,1:30.426,1:29.745,1:29.600,1:29.942,1:29.753,1:35.281,1:47.159,1:29.330,1:29.680,1:30.315,1:30.521,1:30.207,1:29.945,1:29.923,1:29.849,1:30.036,1:30.388,1:30.660,1:29.977,1:29.671,1:29.766
Marc Gené,1:50.454,2:22.363,1:33.208,1:32.930,1:32.469,1:32.707,1:33.425,1:33.247,1:33.439,1:34.307,1:33.814,1:33.643,1:33.961,1:33.581,1:33.360,1:33.291,1:32.740,1:33.184,1:39.350,1:51.686,1:33.287,1:32.940,1:32.413,1:32.372,1:33.674,1:33.821,1:32.883,1:32.742,1:33.122,1:36.835,2:17.237,1:35.292,1:37.632,1:34.443,1:33.353,1:32.975,1:33.047,1:33.162,1:33.073,1:38.184,1:49.853,1:31.727,1:31.982,1:31.612,1:31.759,1:31.876,1:32.015,1:32.782,1:32.489,1:32.288,1:32.206,1:32.343,1:32.245,1:32.688,1:32.920,1:34.964,1:32.847,1:33.570
Olivier Panis,1:49.438,2:21.842,1:32.802,1:32.340,1:32.121,1:31.943,1:32.316,1:32.458,1:32.256,1:32.102,1:32.041,1:31.744,1:31.822,1:31.751,1:31.823,1:31.788,1:31.475,1:31.604,1:31.854,1:31.956,1:32.457,1:31.817,1:33.079,1:31.477,1:31.431,1:37.347,1:48.960,1:31.500,1:31.313,1:34.156,1:32.534,1:32.608,1:32.678,1:32.832,1:32.531,1:31.338,1:32.043,1:37.139,1:49.374,1:31.171,1:30.793,1:31.044,1:31.596,1:31.737,1:31.324,1:31.571,1:32.032,1:31.874,1:32.191,1:31.808,1:31.431,1:31.394,1:31.384,1:32.489,1:31.608,1:31.418,1:31.654,1:32.826,1:32.944,1:32.257
Ricardo Zonta (ZON),1:48.308,2:22.063,1:32.238,1:32.266,1:31.871,1:32.170,1:32.389,1:31.915,1:31.801,1:32.296,1:32.170,1:31.622,1:32.127,1:32.048,1:31.806,1:31.532,1:31.830,1:31.742,1:31.422,1:31.559,1:31.905,1:31.893,1:31.617,1:31.709,1:37.213,1:49.389,1:30.611,1:31.830,1:31.745,1:32.940,1:40.147,1:53.619,1:31.596,1:31.873,1:32.242,1:33.267,1:32.838,1:32.684,1:33.277,1:33.405,1:58.079
Jacques Villeneuve (VIL),1:44.781,2:22.665,1:32.973,1:32.231,1:31.674,1:31.552,1:31.875,1:32.010,1:32.247,1:31.728,1:31.856,1:31.915,1:32.070,1:31.887,1:31.599,1:31.372,1:31.443,1:31.342,1:31.343,1:31.536,1:31.735,1:32.063,1:32.101,1:31.622,1:31.784,1:31.562,1:32.339,1:31.482,1:38.844
Alexander Wurz (WUR),1:47.484,2:22.130,1:33.635,1:32.287,1:32.109,1:32.048,1:32.336,1:32.067,1:32.088,1:31.894,1:32.217,1:32.014,1:31.579,1:32.042,1:31.837,1:31.815,1:31.605,1:31.824,1:31.474,1:31.605,1:36.753,1:49.988,1:30.776,1:30.642,1:31.634,1:31.146,1:31.644,1:31.894,1:31.705,1:32.849,1:32.379,1:37.280,1:33.257,1:32.892,1:31.986,1:31.231,1:31.602,1:31.354,1:30.982,1:30.625,1:35.884,1:50.066,1:31.169,1:31.806,1:31.519,1:31.582,1:31.676,1:31.577,1:31.298,1:31.610,1:31.653,1:30.984,1:31.587,1:31.101,1:31.419,1:31.581,1:31.470,1:32.263,1:32.021,1:31.292
Ralf Schumacher (SCH),1:40.122,2:24.314,1:31.460,1:30.714,1:30.763,1:30.173,1:30.806,1:30.918,1:30.801,1:30.420,1:30.414,1:31.180,1:30.661,1:30.561,1:30.738,1:30.253,1:30.347,1:29.864,1:30.195,1:30.466,1:30.740,1:30.922,1:30.948,1:36.730,1:47.628,1:29.414,1:29.576,1:29.700,1:30.073,1:30.515,1:31.683,2:16.461,1:30.792,1:29.664,1:29.493,1:29.749,1:29.638,1:29.857,1:29.882,1:35.583,1:50.772,1:30.145,1:29.791,1:30.137,1:29.870,1:30.140,1:30.570,1:30.578,1:30.319,1:30.072,1:30.432,1:30.271,1:29.811,1:29.787,1:30.087,1:29.977,1:30.147,1:30.243,1:30.109,1:30.079
Rubens Barrichello (BAR),1:42.070,2:23.148,1:32.164,1:31.054,1:30.979,1:31.035,1:31.566,1:32.053,1:31.599,1:31.108,1:30.886,1:30.861,1:31.067,1:30.751,1:30.965,1:30.724,1:30.380,1:30.255,1:30.206,1:30.594,1:30.854,1:30.387,1:30.068,1:29.692,1:35.329,1:51.535,1:30.230,1:30.179,1:29.707,1:30.837,1:32.602,2:06.371,1:32.289,1:31.666,1:30.145,1:30.207,1:30.003,1:30.603,1:30.159,1:30.344,1:30.067,1:34.781,1:48.856,1:29.919,1:29.610,1:30.336,1:46.959,1:48.456,1:29.493,1:30.009,1:30.018,1:29.880,1:30.512,1:30.149,1:31.681,1:30.092,1:29.774,1:31.075,1:30.838,1:29.557
