Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Alexander Albon (ALB),1:34.539,1:26.009,1:24.971,1:24.565,1:25.025,1:24.732,1:24.319,1:24.174,1:24.415,1:24.037,1:24.246,1:23.981,1:24.090,1:24.102,1:24.235,1:24.058,1:24.223,1:23.904,1:24.077,1:24.169,1:25.397,1:23.884,1:23.948,1:24.233,1:27.702,1:43.451,1:23.170,1:22.331,1:23.065,1:22.763,1:23.084,1:23.098,1:23.152,1:23.299,1:23.773,1:22.671,1:22.838,1:22.595,1:22.623,1:22.522,1:22.610,1:22.743,1:22.671,1:22.845,1:32.128,2:46.477,2:10.647,2:13.289,1:49.481,1:24.413,1:26.110,1:56.884,1:25.471,1:22.712,1:21.761,1:21.640,1:22.098,1:22.628,1:21.843,1:21.568,1:22.003,1:21.803,1:21.233,1:21.300,1:21.028,1:21.032
George Russell (RUS),1:39.457,1:28.445,1:28.553,1:26.660,1:26.616,1:26.713,1:26.054,1:26.071,1:26.191,1:25.869,1:25.782,1:25.724,1:25.829,1:25.879,1:26.117,1:26.110,1:26.568,1:26.242,1:26.685,1:27.839,1:26.255,1:26.356,1:29.409,1:26.386,1:26.417,1:28.869,1:26.021,1:26.125,1:26.850,1:26.346,1:26.044,1:30.685,1:44.192,1:24.240,1:24.536,1:24.479,1:27.597,1:26.618,1:28.974,1:26.215,1:26.602,1:25.247,1:25.094,1:52.042,2:15.923,1:55.210,2:12.078,1:49.489,1:25.676,1:24.515,1:52.072,1:26.639,1:24.445,1:24.009,1:23.645,1:23.700,1:24.139,1:23.277,1:23.257,1:23.152,1:23.030,1:23.096,1:22.801,1:22.382,1:22.690
Lando Norris (NOR),1:37.604,1:27.195,1:26.159,1:25.283,1:25.456,1:24.861,1:24.940,1:24.956,1:26.011,1:26.000,1:24.729,1:24.290,1:24.538,1:24.363,1:24.465,1:24.503,1:24.628,1:24.469,1:24.538,1:24.684,1:24.255,1:24.300,1:23.915,1:24.219,1:23.854,1:28.923,1:41.589,1:22.561,1:22.642,1:22.772,1:22.862,1:22.957,1:23.613,1:23.359,1:23.227,1:24.874,1:22.994,1:23.371,1:23.247,1:23.566,1:25.023,1:23.214,1:23.213,1:23.873
Charles Leclerc (LEC),1:31.214,1:24.378,1:23.549,1:23.153,1:23.277,1:22.933,1:22.792,1:23.078,1:22.749,1:23.165,1:23.053,1:22.188,1:22.808,1:22.925,1:22.869,1:23.008,1:22.606,1:22.572,1:22.662,1:22.873,1:23.000,1:23.553,1:23.641,1:24.412,1:26.802,1:43.607,1:21.433,1:23.054,1:22.228,1:21.644,1:22.150,1:21.770,1:22.549,1:21.906,1:21.955,1:24.372,1:22.340,1:22.161,1:22.297,1:22.304,1:23.006,1:22.143,1:22.173,1:22.567,1:23.099,1:52.276,2:14.639,1:54.064,2:13.903,2:11.378,2:04.822,2:06.460,1:22.963,1:20.914,1:21.101,1:20.127,1:20.002,1:20.135,1:20.320,1:20.165,1:20.327,1:20.467,1:20.317,1:20.433,1:20.459,1:20.514
Pierre Gasly (GAS),1:31.885,1:24.591,1:23.795,1:23.635,1:23.402,1:23.408,1:23.114,1:22.874,1:23.840,1:23.436,1:23.206,1:23.257,1:23.138,1:23.565,1:23.636,1:23.423,1:23.683,1:23.928,1:23.729,1:23.786,1:24.138,1:27.921,1:42.439,1:22.897,1:23.644,1:22.819,1:22.767,1:22.692,1:22.819,1:22.944,1:23.292,1:22.686,1:23.212,1:22.716,1:22.387,1:22.524,1:22.385,1:22.723,1:22.755,1:22.510,1:23.605,1:22.589,1:22.441,1:22.258,1:22.469,2:01.274,2:15.989,1:34.495,2:09.473,2:09.182,2:04.710,2:05.614,1:23.998,1:21.280,1:21.195,1:20.587,1:20.536,1:20.665,1:20.621,1:20.843,1:20.649,1:20.756,1:20.853,1:20.754,1:20.752,1:20.830
Antonio Giovinazzi (GIO),1:37.251,1:27.105,1:25.880,1:25.567,1:25.402,1:30.587,1:43.822,1:24.731,1:24.947,1:25.012,1:24.979,1:24.686,1:24.933,1:25.162,1:25.182,1:25.156,1:27.031,1:25.919,1:27.574,1:24.999,1:25.129,1:25.868,1:26.827,1:25.157,1:24.642,1:24.933,1:24.681,1:25.449,1:25.422,1:24.680,1:24.590,1:27.179,1:24.844,1:24.648,1:24.886,1:25.177,1:25.207,1:26.855,1:25.816,1:26.107,1:31.113,1:45.223,1:22.931,1:37.908,2:00.815,1:37.352,1:36.013,1:55.903,1:45.095,1:25.940,1:23.917,1:45.188,1:24.248,1:24.160,1:22.990,1:22.272,1:23.522,1:22.404,1:22.177,1:22.449,1:22.139,1:22.173,1:22.069,1:21.833,1:22.019,1:22.259
Lance Stroll (STR),1:36.721,1:26.917,1:25.962,1:25.340,1:25.231,1:25.193,1:25.298,1:25.238,1:25.518,1:24.894,1:24.643,1:24.514,1:24.228,1:24.409,1:24.516,1:24.320,1:24.823,1:24.263,1:24.330,1:24.352,1:24.249,1:27.999,1:43.247,1:23.497,1:23.691,1:23.481,1:23.315,1:23.226,1:23.293,1:23.343,1:23.505,1:23.233,1:23.780,1:23.534,1:23.325,1:23.263,1:24.659,1:23.415,1:23.667,1:23.604,1:24.640,1:23.338,1:23.677,1:23.819
Carlos Sainz (SAI),1:35.138,1:26.323,1:25.210,1:24.586,1:24.801,1:24.856,1:24.505,1:24.640,1:24.448,1:24.190,1:24.321,1:24.142,1:24.085,1:24.569,1:24.381,1:23.999,1:24.330,1:23.987,1:24.278,1:24.734,1:24.382,1:24.536,1:25.955,1:29.857,1:41.501,1:22.686,1:23.273,1:23.548,1:23.403,1:23.581,1:23.556,1:23.308,1:23.608,1:23.505,1:23.315,1:23.346,1:23.247,1:23.298,1:23.202,1:23.187,1:25.395,1:22.877,1:23.079,1:22.813,1:38.145,2:01.382,1:45.378,1:30.542,1:54.841,2:09.138,2:04.568,2:01.202,1:24.539,1:22.452,1:21.765,1:21.771,1:22.092,1:22.815,1:20.859,1:21.438,1:21.254,1:21.356,1:21.384,1:21.173,1:21.337,1:21.373
Max Verstappen (VER),1:29.414,1:23.595,1:23.359,1:23.097,1:22.803,1:22.817,1:22.953,1:22.625,1:22.709,1:22.551,1:22.502,1:22.535,1:22.617,1:22.688,1:22.850,1:22.968,1:23.015,1:23.041,1:23.333,1:26.931,1:41.126,1:22.192,1:22.223,1:22.283,1:22.315,1:22.903,1:22.700,1:22.326,1:22.719,1:21.567,1:22.064,1:21.925,1:21.844,1:21.951,1:22.189,1:21.779,1:21.811,1:22.037,1:21.827,1:22.071,1:21.760,1:22.271,1:25.237,1:39.663,1:20.208,1:53.162,2:01.355,2:01.510,2:11.910,2:14.988,2:05.229,2:06.439,1:21.534,1:21.126,1:20.202,1:20.070,1:19.769,1:20.316,1:20.128,1:20.045,1:20.033,1:19.988,1:20.287,1:19.993,1:20.195,1:20.449
Daniil Kvyat (KVY),1:33.892,1:25.634,1:24.954,1:24.568,1:24.806,1:24.499,1:24.285,1:24.177,1:24.339,1:24.289,1:24.163,1:23.798,1:24.082,1:24.499,1:23.979,1:24.021,1:24.254,1:24.015,1:24.020,1:24.359,1:27.854,1:42.550,1:22.560,1:24.412,1:23.005,1:23.205,1:22.569,1:23.094,1:23.178,1:23.390,1:23.937,1:23.878,1:23.149,1:23.066,1:22.737,1:22.073,1:22.752,1:22.653,1:22.699,1:22.328,1:22.608,1:22.206,1:22.320,1:22.408,1:30.505,2:27.421,1:39.111,1:36.197,1:55.762,2:09.799,2:04.426,2:02.541,1:25.614,1:22.368,1:21.854,1:21.655,1:22.237,1:22.661,1:21.548,1:21.736,1:21.249,1:21.322,1:21.158,1:20.726,1:21.091,1:21.254
